"Date","UPL.NS.Open","UPL.NS.High","UPL.NS.Low","UPL.NS.Close","UPL.NS.Volume","UPL.NS.Adjusted"
2015-08-25,493,507.45,484.75,499.9,2227500,495.627
2015-08-26,499.9,517.95,492.45,505.35,1417100,501.03
2015-08-27,514,527.95,512,518.75,1817300,514.315
2015-08-28,525,533.7,514.4,521.75,1876700,517.29
2015-08-31,515.1,517.35,500.2,502.55,1581200,498.254
2015-09-01,498,530,494.05,525.85,2975600,521.355
2015-09-02,532,540,526.95,531.05,1903300,526.51
2015-09-03,541,551.4,537.4,548,2705800,543.315
2015-09-04,547.35,547.35,521.6,529.65,1021900,525.122
2015-09-07,535,535.15,521.9,525.05,1059800,520.562
2015-09-08,526.7,530,499.25,518.8,1749200,514.365
2015-09-09,527.9,533.9,515.55,520.6,1285600,516.15
2015-09-10,509,515,485.1,496.1,2736400,491.859
2015-09-11,497,509.8,487.8,506.45,2060700,502.121
2015-09-14,509.8,510,495,502.15,1970000,497.857
2015-09-15,504.2,506,490,492.2,1534800,487.992
2015-09-16,496.45,501,473.5,477.9,2237600,473.815
2015-09-17,477.9,477.9,477.9,477.9,0,473.815
2015-09-18,487.95,502.4,475,481.05,7956500,476.938
2015-09-21,478,484,468.25,470.75,1544300,466.726
2015-09-22,478,482,458.8,462.6,1349500,458.645
2015-09-23,456,467,449.05,465.05,1541700,461.075
2015-09-24,465.7,469.2,460.5,466.5,1605600,462.512
2015-09-25,466.5,466.5,466.5,466.5,0,462.512
2015-09-28,468.7,471.85,451.05,454.35,762100,450.466
2015-09-29,446.2,451.15,438,441.3,1350700,437.528
2015-09-30,449,461.7,443.75,458.3,1974300,454.382
2015-10-01,463.4,463.5,448.15,454,951800,450.119
2015-10-02,454,454,454,454,0,450.119
2015-10-05,457.85,457.85,433.8,452,2194800,448.136
2015-10-06,457.3,466.7,452,464.75,1818200,460.777
2015-10-07,466.8,466.8,444.5,448.9,1932800,445.063
2015-10-08,450,452.6,439.8,444.55,2528700,440.75
2015-10-09,445.25,455.95,445.25,453,1384200,449.128
2015-10-12,457.5,469,455.1,467.2,1121000,463.206
2015-10-13,471,477.45,467.2,475.6,1499500,471.534
2015-10-14,475,478.95,465.2,470.3,1044400,466.28
2015-10-15,472,478.5,468.3,476.45,2161200,472.377
2015-10-16,477,482.95,463.25,476.55,1184000,472.476
2015-10-19,476.55,489.8,475.75,488.05,1316400,483.878
2015-10-20,487,489,475.05,481.75,823700,477.632
2015-10-21,481.9,486.4,470.5,479.65,794600,475.55
2015-10-22,479.65,479.65,479.65,479.65,0,475.55
2015-10-23,481.5,487.85,460,461.75,1280700,457.803
2015-10-26,466,468.9,440.8,448.05,4335800,444.22
2015-10-27,451.7,472.25,449.75,469.1,2355400,465.09
2015-10-28,471.45,480.4,464.2,474.15,1783500,470.097
2015-10-29,474.15,479.5,472.65,475.75,1201200,471.683
2015-10-30,477,480.6,456.65,459.7,1719500,455.77
2015-11-02,460.6,464,451.5,458.15,865500,454.233
2015-11-03,458,461.9,450.1,451.3,968000,447.442
2015-11-04,453,456.9,443.1,454.6,1562000,450.714
2015-11-05,453,455.05,437.6,439.55,1040300,435.792
2015-11-06,438.95,451.3,433,448.55,1583800,444.716
2015-11-09,444.9,463.45,436.25,460.8,1265800,456.861
2015-11-10,459,460,448.6,453.3,779600,449.425
2015-11-11,453.3,453.3,453.3,453.3,0,449.425
2015-11-12,453.3,453.3,453.3,453.3,0,449.425
2015-11-13,443.05,446,430,434.95,1583600,431.232
2015-11-16,433.6,443.9,430.85,439.2,934500,435.446
2015-11-17,446.15,448,438.05,444.75,1041400,440.948
2015-11-18,447.5,454,442.1,445.05,1008700,441.245
2015-11-19,449.5,455.75,445.25,449.9,811700,446.054
2015-11-20,453.65,462.85,451.15,459.2,1055300,455.275
2015-11-23,464,472,439.25,441.95,4313900,438.172
2015-11-24,445.85,446.6,435.5,437.05,1662600,433.314
