"Date","BATAINDIA.NS.Open","BATAINDIA.NS.High","BATAINDIA.NS.Low","BATAINDIA.NS.Close","BATAINDIA.NS.Volume","BATAINDIA.NS.Adjusted"
2015-05-28,1049.85,1065.85,1020.2,1053.45,1967800,517.812
2015-05-29,1050,1078.55,1046,1070.95,670400,526.414
2015-06-01,1068.9,1069,1045.45,1057.15,248100,519.631
2015-06-02,1057.15,1057.95,1024,1034.95,588200,508.718
2015-06-03,1031.9,1041.2,1004.3,1026,473800,504.319
2015-06-04,1026,1040.55,1021.35,1030.6,437700,506.58
2015-06-05,1030,1045.7,996.65,1002.25,405800,492.645
2015-06-08,1007.95,1012.35,975.1,993.25,601300,488.221
2015-06-09,991,991,942.25,978.2,597600,480.824
2015-06-10,980,1005,976.35,993.4,354400,488.295
2015-06-11,1003.9,1014,983,994.95,264700,489.057
2015-06-12,995,1002,975.2,992.2,338500,487.705
2015-06-15,1006.9,1038.9,987.05,1025.9,433000,504.27
2015-06-16,1038.1,1038.5,1009,1017.4,349000,500.092
2015-06-17,1021.7,1029.9,1005.45,1009.8,490100,496.356
2015-06-18,1011.2,1021.9,998.4,1002.25,452900,492.645
2015-06-19,1014.95,1030.7,1000,1022.55,513900,502.623
2015-06-22,1030,1049.4,1026.05,1040.05,719200,511.225
2015-06-23,1048,1053.1,1038,1046.35,297900,514.322
2015-06-24,1053,1053,1022,1035.3,430500,508.891
2015-06-25,1035.65,1056,1030,1048.95,429800,515.6
2015-06-26,1043.7,1052,1035,1044.4,167200,513.364
2015-06-29,1031,1040,988.05,1028.05,308100,505.327
2015-06-30,1026.7,1067.5,1025,1057.7,421200,519.901
2015-07-01,1050,1071.45,1046,1065.75,411200,523.858
2015-07-02,1066,1080,1062.2,1072.55,267600,527.2
2015-07-03,1078.4,1089,1067.05,1083.55,399900,532.607
2015-07-06,1077,1145,1062.9,1135.5,597600,558.143
2015-07-07,1141.9,1171,1141.9,1157.25,993000,568.834
2015-07-08,1150.5,1158,1126.2,1148.75,428200,564.656
2015-07-09,1141,1173.5,1130.9,1158.35,360800,569.374
2015-07-10,1169.3,1171.2,1140.05,1157.35,313300,568.883
2015-07-13,1162.9,1186.55,1144.1,1182.65,325300,581.319
2015-07-14,1189,1195.3,1166,1173.35,318400,576.748
2015-07-15,1174,1199,1172,1195.8,315200,587.783
2015-07-16,1195,1205.6,1185,1197.95,208700,588.839
2015-07-17,1201.8,1220,1183.05,1211.2,267300,595.352
2015-07-20,1211.5,1213.55,1190,1195.05,206000,593.787
2015-07-21,1196,1199.5,1160,1172.25,151200,582.458
2015-07-22,1164,1164,1133,1140.7,339800,566.782
2015-07-23,1144,1169,1140,1157.1,402300,574.931
2015-07-24,1160,1166.2,1145.8,1158.5,394000,575.626
2015-07-27,1158.5,1162,1136.65,1151.4,304700,572.099
2015-07-28,1151.4,1157.5,1112.65,1116.4,364200,554.708
2015-07-29,1116.4,1133.8,1105,1125.05,807300,559.006
2015-07-30,1135,1208,1135,1188.65,552400,590.607
2015-07-31,1192.85,1215,1174.15,1200.4,284900,596.445
2015-08-03,1203.5,1233,1202.35,1211.45,363400,601.936
2015-08-04,1218,1230,1196.55,1224.3,252800,608.321
2015-08-05,1231.9,1244,1215.65,1233.15,794500,612.718
2015-08-06,1225,1225,1160,1169.75,1240600,581.216
2015-08-07,1175,1190,1166,1185.55,591500,589.067
2015-08-10,1195,1204.9,1182,1187.9,308200,590.235
2015-08-11,1192.9,1192.9,1153.1,1180.9,305100,586.756
2015-08-12,1179,1179,1143,1150.3,342700,571.552
2015-08-13,1154.2,1168.45,1146.5,1151.5,289900,572.148
2015-08-14,1165,1177,1151,1163.05,226600,577.887
2015-08-17,1180.1,1192.6,1170,1175.95,204900,584.297
2015-08-18,1176.2,1187,1171,1179.3,163900,585.961
2015-08-19,1179,1201,1168,1179.7,186200,586.16
2015-08-20,1180,1182.15,1123.1,1131.8,630000,562.36
2015-08-21,1110,1147,1086.9,1127.35,383300,560.149
2015-08-24,1101,1102.1,1002.1,1019.5,585700,506.561
2015-08-25,1040.95,1040.95,975.05,1014.4,463200,504.027
2015-08-26,1015,1056,999,1040.35,275500,516.921
2015-08-27,1042.2,1174,1041.2,1116.25,677200,554.634
2015-08-28,1119,1142,1067,1074.8,581700,534.038
2015-08-31,1075,1091,1056.6,1072.6,183700,532.945
2015-09-01,1065,1088,1057.5,1079,209600,536.125
2015-09-02,1085,1091.15,1034.25,1050.8,407700,522.113
2015-09-03,1047,1057.6,1025.5,1029.15,303700,511.356
2015-09-04,1029.15,1040.95,1002,1035.35,283400,514.437
2015-09-07,1039.8,1039.8,996,1002.45,221100,498.09
2015-09-08,1002,1022.4,986,1012.65,213400,503.158
2015-09-09,1025,1048,1015.25,1022.75,302100,508.176
2015-09-10,1018,1026.75,998.05,1023.8,154900,508.698
2015-09-11,1029,1037.85,1005,1026.5,360500,510.039
2015-09-14,1028.5,1080,1028.25,1061.75,683700,527.554
2015-09-15,1075,1106.7,1048.05,1099.7,580000,546.41
2015-09-16,1105,1131.7,1105,1119.05,703200,556.025
2015-09-17,1119.05,1119.05,1119.05,1119.05,0,556.025
2015-09-18,1122,1147.8,1122,1140.6,336300,566.732
2015-09-21,1130,1157.9,1125.85,1147.05,237200,569.937
2015-09-22,1151,1154,1122,1129.2,640200,561.068
2015-09-23,1110,1116.5,1080,1109.85,562300,551.454
2015-09-24,1112,1143,1095.6,1123.7,662000,558.335
2015-09-25,1123.7,1123.7,1123.7,1123.7,0,558.335
2015-09-28,562.5,576.125,550,553.25,331100,274.895
2015-09-29,554.65,554.65,529,534.075,422200,265.367
2015-09-30,525,544.05,525,539.125,445000,267.876
2015-10-01,543.6,547.5,526.35,529.05,271700,262.87
2015-10-02,529.05,529.05,529.05,529.05,0,262.87
2015-10-05,533.825,546.95,531.45,537.775,533200,267.205
2015-10-06,546.5,551.5,541.025,549.475,379900,273.019
2015-10-07,550.8,562.65,546,549.75,230200,546.311
2015-10-08,548.95,559.3,546.5,552.8,144900,549.342
2015-10-09,555,558.8,539.35,545.05,155600,541.64
2015-10-12,543,551,533.1,535.8,325900,532.448
2015-10-13,540,541.8,523,525.05,253400,521.766
2015-10-14,521,540,519.45,535.95,254300,532.597
2015-10-15,537,542.5,525.05,526.8,271300,523.505
2015-10-16,528,535.85,521.5,529.15,261400,525.84
2015-10-19,530,530.85,522.55,524.85,239800,521.567
2015-10-20,526,531.5,523.1,526.7,529000,523.405
2015-10-21,528,538.2,522.65,525.85,740000,522.56
2015-10-22,525.85,525.85,525.85,525.85,0,522.56
2015-10-23,526.6,530.5,524.2,525.85,343100,522.56
2015-10-26,528,529,515,519.6,337100,516.35
2015-10-27,519,525,516,523.95,167900,520.672
2015-10-28,523.95,532.4,521.3,525.7,330900,522.411
2015-10-29,524.55,527.95,499,503.8,917400,500.648
2015-10-30,507.6,509.9,497.3,502.95,598200,499.804
2015-11-02,502,511.9,485.5,503.55,644700,500.4
2015-11-03,508,509.5,490.6,493.55,570400,490.463
2015-11-04,495.6,497,481,484.2,596100,481.171
2015-11-05,467,479,461.55,464.65,1676400,461.743
2015-11-06,470,472.5,462.05,466.05,237000,463.135
2015-11-09,463.5,488,456.65,484.2,484800,481.171
2015-11-10,488,489,465.7,470.5,330300,467.557
2015-11-11,470.5,470.5,470.5,470.5,0,467.557
2015-11-12,470.5,470.5,470.5,470.5,0,467.557
2015-11-13,477.4,477.4,465,472.05,228600,469.097
2015-11-16,471,474.5,463,472.7,228300,469.743
2015-11-17,478,478,467.05,472.3,237700,469.345
2015-11-18,471.95,479.4,466.4,476.45,397700,473.47
2015-11-19,479.95,482.95,474.45,478.3,268200,475.308
2015-11-20,480.05,493.7,480.05,492.3,276000,489.22
2015-11-23,495.25,499.9,485.05,488.05,303900,484.997
2015-11-24,488.05,494.9,471.9,486.2,586300,483.159
2015-11-25,486.2,486.2,486.2,486.2,0,483.159
2015-11-26,479,532.4,478,513.7,2088500,510.487
2015-11-27,507.85,507.85,492.5,496.45,520900,493.344
2015-11-30,488.2,505.5,488.1,499.5,369400,496.375
2015-12-01,502,502,483,485.45,635800,482.413
2015-12-02,488.85,489.5,476,480.45,626900,477.445
2015-12-03,478,482.25,476.45,479.7,323700,476.699
2015-12-04,478,487.85,477.3,483.65,275700,480.624
2015-12-07,489.75,493.9,484,485.55,364000,482.513
2015-12-08,483,497,482,494.8,465700,491.705
2015-12-09,498,499.4,473.8,479.9,954700,476.898
2015-12-10,479.95,479.95,470.6,473.3,1448900,470.339
2015-12-11,473.25,475,464.6,469.3,279800,466.364
2015-12-14,465,474,464.15,472.4,301500,469.445
2015-12-15,474.5,488.7,474.5,485.3,435600,482.264
2015-12-16,487,488.95,475.3,479.4,430300,476.401
2015-12-17,482.7,503,480.8,498.8,368500,495.68
2015-12-18,496.95,496.95,482.75,490,159600,486.935
2015-12-21,490.2,492,484,485.8,300700,482.761
2015-12-22,486,497.7,486,494.1,218000,491.009
2015-12-23,495.9,502.7,495,498.9,324800,495.779
2015-12-24,500,512.85,493,495,611900,491.903
2015-12-25,495,495,495,495,0,491.903
2015-12-28,497.7,510.95,493,506.35,544900,503.182
2015-12-29,509.3,515.95,506.2,508.7,519200,505.518
2015-12-30,509.2,512.5,503.1,505.15,245500,501.99
2015-12-31,507.6,524.8,505.95,521.95,1257000,518.685
