"Date","AXISBANK.NS.Open","AXISBANK.NS.High","AXISBANK.NS.Low","AXISBANK.NS.Close","AXISBANK.NS.Volume","AXISBANK.NS.Adjusted"
2015-06-26,568.1,569.7,560,565.5,4432400,555.79
2015-06-29,554,567.3,546,562.7,5390100,553.04
2015-06-30,561.05,566,553,558.95,5479800,549.35
2015-07-01,558.8,580.5,556.85,578.65,7663100,568.72
2015-07-02,580.1,586.65,576.1,584,9886400,573.97
2015-07-03,581.85,588.5,581,585.95,4422400,575.89
2015-07-06,575.5,585.8,573.5,584.2,4973900,574.17
2015-07-07,585.3,590.75,581.35,586.2,4969500,576.14
2015-07-08,578,585,574.9,576.65,6414100,566.75
2015-07-09,575.85,577.4,566.4,571.7,3602400,566.4
2015-07-10,574.2,583,570.8,578.1,6853700,572.74
2015-07-13,578.1,583.45,570.15,581.95,5161100,576.56
2015-07-14,582.6,587.65,578.9,583.9,4566600,578.49
2015-07-15,584.55,589.45,581.5,584,3307700,578.59
2015-07-16,587.4,613.45,587,608.65,14142800,603.01
2015-07-17,604.5,609.9,598.5,602.1,5847800,596.52
2015-07-20,600,603.4,590.3,599.9,4688300,594.34
2015-07-21,596.6,601,582.75,584.65,4375900,579.23
2015-07-22,582.85,593.5,579,589.85,5900100,584.39
2015-07-23,590,598.55,581.4,583.75,5569200,578.34
2015-07-24,587.65,593.75,575.1,580.45,13673400,575.07
2015-07-27,577.5,579.45,553.75,555.8,9829000,550.65
2015-07-28,558.6,564,550.45,561.25,8129200,556.05
2015-07-29,563.3,568.15,562,567.2,4635300,561.95
2015-07-30,571.4,575.75,563.1,565.7,6484700,560.46
2015-07-31,567.7,579.3,567,573.5,6283500,568.19
2015-08-03,576,582.7,573.4,576.7,4355500,571.36
2015-08-04,578.9,584.45,571.65,580.1,5903900,574.73
2015-08-05,582,589.5,576.5,580.4,3419200,575.02
2015-08-06,580,586.5,578.95,584.75,3125900,579.33
2015-08-07,584.9,584.9,576,580.3,2298500,574.92
2015-08-10,582.75,584.7,570.75,575.9,2402500,570.56
2015-08-11,577.7,580.85,566.35,571.25,3168600,565.96
2015-08-12,569.4,569.8,556,557.85,4787000,552.68
2015-08-13,563.5,571.45,560,567.55,5982700,562.29
2015-08-14,565.15,574.25,554.85,570,7528900,564.72
2015-08-17,569.75,571.75,560.05,561.4,4466100,556.2
2015-08-18,567,567.25,555.5,561.35,2952400,556.15
2015-08-19,560.9,561.75,552.8,554,4135000,548.87
2015-08-20,550,553,529.5,533.4,8909700,528.46
2015-08-21,527,528.9,514.3,525.3,10454700,520.43
2015-08-24,506.7,506.7,475.1,482.05,17627700,477.58
2015-08-25,489,506.25,483.5,502.95,14248900,498.29
2015-08-26,499.5,501.9,488.65,495.6,6910500,491.01
2015-08-27,505.7,512,496.45,509.25,11302600,504.53
2015-08-28,516,528.9,502.25,508.15,10015300,503.44
2015-08-31,506.7,517.9,502,507.75,6111800,503.05
2015-09-01,500,501,477.15,480.1,8843500,475.65
2015-09-02,483.05,488,464.6,466.6,11537400,462.28
2015-09-03,471,489.5,468.75,486.9,8651400,482.39
2015-09-04,483.1,483.4,462.5,468,8969600,463.66
2015-09-07,469.65,472.2,446.75,449.85,9743600,445.68
2015-09-08,452.25,475.6,450,473.9,12602400,469.51
2015-09-09,484.2,495,475.1,486.25,11672400,481.75
2015-09-10,477.8,487,472.1,482.6,8384300,478.13
2015-09-11,488,493.7,474.6,481.25,7212100,476.79
2015-09-14,480,498,479.25,496.2,5537300,491.6
2015-09-15,497.1,498.5,480.85,481.9,9567400,477.44
