"Date","NHPC.NS.Open","NHPC.NS.High","NHPC.NS.Low","NHPC.NS.Close","NHPC.NS.Volume","NHPC.NS.Adjusted"
2015-12-11,19.25,19.45,18.85,18.95,3046200,16.68
2015-12-14,18.9,19,18.7,18.75,2084900,16.51
2015-12-15,18.7,19,18.6,18.85,1098600,16.6
2015-12-16,18.85,19.3,18.85,19.15,2246500,16.86
2015-12-17,19.2,19.7,18.95,19.6,3349800,17.26
2015-12-18,19.6,20.05,19.5,19.75,4583300,17.39
2015-12-21,19.8,20.55,19.75,20.45,4250900,18
2015-12-22,20.45,20.55,20.05,20.1,4116800,17.7
2015-12-23,20.15,20.4,20,20.05,2317200,17.65
2015-12-24,20.15,20.2,19.95,20.05,1556100,17.65
2015-12-25,20.05,20.05,20.05,20.05,0,17.65
2015-12-28,19.95,20.15,19.95,20.1,1407200,17.7
2015-12-29,20.1,20.25,20.05,20.15,2570900,17.74
2015-12-30,20.15,20.25,19.95,20.05,2122100,17.65
2015-12-31,20,21.35,19.9,21.05,17067900,18.53
2016-01-01,21.1,21.5,20.75,21.2,5131000,18.67
2016-01-04,21.2,21.95,20.95,21.5,7333500,18.93
2016-01-05,21.55,22.4,21.5,22,7926200,19.37
2016-01-06,22.1,22.35,21.7,21.85,4038600,19.24
2016-01-07,21.65,21.7,20.5,20.6,5604900,18.14
2016-01-08,20.8,21.25,20.6,21.1,2744000,18.58
2016-01-11,20.95,21.1,20.7,20.75,2541700,18.27
2016-01-12,20.75,21.1,20.55,20.6,2489700,18.14
2016-01-13,20.7,20.9,19.7,20.1,5151100,17.7
2016-01-14,19.9,20.7,19.6,20.15,4493600,17.74
2016-01-15,20.15,20.45,19.35,19.5,3394300,17.17
2016-01-18,19.6,20.1,18.8,19.15,4689300,16.86
2016-01-19,19.25,19.6,19.1,19.35,2081000,17.04
2016-01-20,19.3,19.3,18.65,18.8,3043700,16.55
2016-01-21,18.8,19.4,18.8,19.05,4285400,16.77
2016-01-22,19.05,19.65,19.05,19.55,2462000,17.21
2016-01-25,19.55,19.9,19.4,19.45,1611500,17.12
2016-01-26,19.45,19.45,19.45,19.45,0,17.12
2016-01-27,19.7,20.05,19.2,19.95,3759700,17.56
2016-01-28,20,20.8,19.8,20.1,18781100,17.7
2016-01-29,20.25,21,20.25,20.95,3368400,18.45
2016-02-01,21.1,21.45,20.75,20.85,3754000,18.36
2016-02-02,21,21.2,20.45,20.6,3239000,18.14
2016-02-03,20.4,20.6,19.8,20,3309700,17.61
2016-02-04,20.15,20.35,19.85,20,2429500,17.61
2016-02-05,20,20.55,19.85,20.45,1917900,18
2016-02-08,20.45,21.05,20.4,20.6,2713900,18.14
2016-02-09,20.3,20.75,20.25,20.65,1630200,18.18
2016-02-10,20.6,21.95,20.4,21.25,20705100,18.71
2016-02-11,21.2,21.35,19.55,19.9,6663700,17.52
2016-02-12,19.85,20,19.4,19.9,5908900,17.52
2016-02-15,20.05,20.75,20.05,20.45,3724900,18
2016-02-16,20.7,20.7,20.05,20.15,3195400,17.74
2016-02-17,20.15,20.15,19.35,20.05,5641200,17.65
2016-02-18,19.45,20.35,19.35,19.9,9011200,18.36
2016-02-19,19.95,20.35,19.8,20.05,3283700,18.5
2016-02-22,20.1,20.6,20.1,20.45,3271900,18.87
2016-02-23,20.45,20.75,20.3,20.45,3648400,18.87
2016-02-24,20.4,20.75,20,20.15,4188600,18.59
2016-02-25,20.2,20.35,19.15,19.45,9230700,17.95
2016-02-26,19.55,20,19.2,19.7,6617200,18.18
2016-02-29,19.9,20.4,19.8,20.1,4926800,18.55
2016-03-01,20.2,20.7,20.15,20.45,6151800,18.87
2016-03-02,20.65,21,20.65,20.8,3892700,19.19
2016-03-03,21.25,21.25,20.9,21.05,2805400,19.42
2016-03-04,20.95,21.25,20.8,20.95,5190700,19.33
2016-03-07,20.95,20.95,20.95,20.95,0,19.33
2016-03-08,20.95,21.25,20.7,20.9,4993900,19.29
2016-03-09,20.6,21.65,20.6,21.45,4253100,19.79
2016-03-10,21.45,21.7,21.1,21.25,3498100,19.61
2016-03-11,21.45,21.45,20.8,21,2040500,19.38
2016-03-14,20.95,21.4,20.95,21.25,4204100,19.61
2016-03-15,21.2,21.3,20.9,21.25,3179000,19.61
2016-03-16,21.1,22,21.1,21.8,6711900,20.12
2016-03-17,21.9,22.25,21.3,21.5,5308200,19.84
