"Date","SRF.NS.Open","SRF.NS.High","SRF.NS.Low","SRF.NS.Close","SRF.NS.Volume","SRF.NS.Adjusted"
2015-07-16,1317.7,1324.4,1296.35,1304.1,107900,1282.81
2015-07-17,1308.6,1324.95,1302.05,1310.4,130300,1289.01
2015-07-20,1312,1354,1308.15,1348.2,295300,1326.19
2015-07-21,1356.8,1362.05,1287.55,1301.1,265900,1279.86
2015-07-22,1301.1,1322,1301,1315.6,100900,1294.12
2015-07-23,1320,1320,1295.55,1308.3,79400,1286.94
2015-07-24,1313,1318.55,1293.4,1299,50300,1277.79
2015-07-27,1299,1303.2,1270.3,1280.15,95000,1259.25
2015-07-28,1282.9,1325,1260.2,1310.45,214700,1289.06
2015-07-29,1315,1320.4,1305,1311.1,69600,1289.7
2015-07-30,1322.5,1387,1309.1,1377.8,442700,1355.31
2015-07-31,1390,1423.5,1367.25,1390.65,419100,1367.95
2015-08-03,1369.7,1416.05,1368.9,1385.05,121300,1362.44
2015-08-04,1388,1472.4,1370.7,1463.7,460400,1439.81
2015-08-05,1483,1498.85,1460,1465.85,304400,1441.92
2015-08-06,1474,1476.65,1411.8,1444.8,222500,1421.21
2015-08-07,1469,1475,1409.2,1420.55,359800,1397.36
2015-08-10,1439.7,1444.95,1408.1,1416.45,135300,1393.33
2015-08-11,1427.7,1438.9,1374.1,1390.4,203600,1367.7
2015-08-12,1383.95,1390,1301.5,1314.7,173100,1293.24
2015-08-13,1325.95,1339,1267,1283.35,186700,1262.4
2015-08-14,1297.5,1334.85,1289.3,1318.1,129200,1296.58
2015-08-17,1320,1325.8,1285,1296.95,98600,1275.78
2015-08-18,1286,1380,1286,1355.9,195300,1333.77
2015-08-19,1384,1387.3,1336,1346.75,281700,1324.76
2015-08-20,1346.75,1355.4,1290.4,1298.15,177500,1276.96
2015-08-21,1276.65,1295.55,1232.6,1268.75,219700,1248.04
2015-08-24,1206.1,1225.8,1051.25,1075.5,347600,1057.94
2015-08-25,1095,1178.85,1017.85,1154,291400,1135.16
