"Date","UJJIVAN.NS.Open","UJJIVAN.NS.High","UJJIVAN.NS.Low","UJJIVAN.NS.Close","UJJIVAN.NS.Volume","UJJIVAN.NS.Adjusted"
2016-09-16,424.9,427.7,415,417.1,613700,417.1
2016-09-19,419.9,427.5,416.2,420,653400,420
2016-09-20,421,423.9,407.5,411.1,557600,411.1
2016-09-21,413.2,418.5,406.15,407.95,676200,407.95
2016-09-22,414.75,454.9,404.5,451.15,6763800,451.15
2016-09-23,454.4,462.9,438.6,441.9,3503000,441.9
2016-09-26,442.4,454.5,439,451.05,1749700,451.05
2016-09-27,453.8,458.4,445,451.4,1299600,451.4
2016-09-28,453,457.5,447,453.25,911200,453.25
2016-09-29,456.2,464.9,399,432.2,2677600,432.2
2016-09-30,430,451.5,429.55,447.35,1042200,447.35
2016-10-03,452,474.1,450.6,467.65,1891300,467.65
2016-10-04,474,484.9,471,478.7,2001200,478.7
2016-10-05,481.3,482.7,465.05,467.1,971900,467.1
2016-10-06,469.5,479.7,455.65,464.85,826500,464.85
2016-10-07,468,468,459,463.35,456500,463.35
2016-10-10,465.4,466.15,458,461.4,353200,461.4
2016-10-11,461.4,461.4,461.4,461.4,0,461.4
2016-10-12,461.4,461.4,461.4,461.4,0,461.4
2016-10-13,459,459,443.5,450.8,593300,450.8
2016-10-14,452.9,459.85,447.05,455.15,520800,455.15
2016-10-17,456.5,463.9,447.25,450.35,594400,450.35
2016-10-18,454,470.85,453,467.25,1031000,467.25
2016-10-19,469.9,469.9,461.9,465,363000,465
2016-10-20,466.1,475.5,461.2,464.9,795400,464.9
2016-10-21,465.9,467.45,452,456.3,472000,456.3
2016-10-24,456.9,462.9,449.1,451.7,428500,451.7
2016-10-25,451.55,458,448.7,451.5,314400,451.5
2016-10-26,450,450,440.2,442.8,431200,442.8
2016-10-27,442.15,443.5,434.2,436.6,343000,436.6
2016-10-28,435,445.9,435,438.25,405300,438.25
2016-10-31,438.25,438.25,438.25,438.25,0,438.25
2016-11-01,443.25,445.5,432.75,434.15,343800,434.15
2016-11-02,425,430.7,421.5,422.8,303500,422.8
2016-11-03,421.15,434.8,421.15,424.15,390800,424.15
2016-11-04,425.8,426.7,410,416.45,456000,416.45
2016-11-07,424.95,434.6,424.95,428.25,398900,428.25
2016-11-08,435,444.3,428.35,437.45,480800,437.45
2016-11-09,397,471.8,384.95,442.55,2917000,442.55
2016-11-10,448.75,461.9,424.35,428.4,1457900,428.4
2016-11-11,420,428.15,403.25,406.35,1007400,406.35
2016-11-14,406.35,406.35,406.35,406.35,0,406.35
2016-11-15,412,413.3,342,348.15,3129800,348.15
2016-11-16,358.4,366.05,340.6,352.4,2317500,352.4
2016-11-17,356.05,359.9,343.55,353.5,1114200,353.5
2016-11-18,355.1,367.85,348.35,359.6,1083100,359.6
2016-11-21,360,364,337,340.95,1e+06,340.95
2016-11-22,345.3,351.5,312.3,323.65,2118300,323.65
2016-11-23,328.7,347.5,324,342.8,1602900,342.8
2016-11-24,342,352.4,334.6,346.1,985500,346.1
2016-11-25,346.5,361.8,342.7,357.55,1142700,357.55
2016-11-28,352,357.5,345.55,348.1,819900,348.1
2016-11-29,348.7,375,348.7,362.8,2157900,362.8
2016-11-30,366.4,371.5,363,365.4,892700,365.4
2016-12-01,367.5,368,352.5,353.4,726300,353.4
2016-12-02,350,352.55,342.25,344.25,583500,344.25
2016-12-05,345,356.1,338.6,345.35,1042200,345.35
2016-12-06,350.1,359,349,353.55,1038400,353.55
2016-12-07,357,357,345,346.55,460000,346.55
2016-12-08,349.9,358,348.7,355.8,608400,355.8
2016-12-09,359.4,359.45,352.5,353.75,382500,353.75
2016-12-12,350,352.35,341.25,342.6,361100,342.6
2016-12-13,342,344,333.2,334.25,442100,334.25
2016-12-14,334,342,327.6,328.75,527700,328.75
2016-12-15,321,339.5,320.25,334.45,745400,334.45
2016-12-16,336.4,344.85,331.4,334.8,898000,334.8
2016-12-19,333.5,337.85,324.6,326.35,448500,326.35
2016-12-20,326.7,329.3,307.9,310.3,1028300,310.3
2016-12-21,313.5,317.5,307.1,308.25,647400,308.25
2016-12-22,306.45,307.2,291.05,293.05,1085300,293.05
2016-12-23,293,301,291.3,297.8,959000,297.8
2016-12-26,295.4,297.75,284.85,288.45,565100,288.45
2016-12-27,289.9,302.4,288.2,299.7,1329000,299.7
2016-12-28,301.5,319.5,301.5,313.35,2607800,313.35
2016-12-29,315,317.9,311.7,315.85,739500,315.85
2016-12-30,318.25,325,318.25,322.35,1573400,322.35
2017-01-02,324.2,333.85,322.1,331.85,881000,331.85
2017-01-03,335.45,335.45,328.5,329.9,746200,329.9
2017-01-04,330.3,340.9,330.3,331.4,709800,331.4
2017-01-05,335,338.5,333.15,336.2,607400,336.2
2017-01-06,337.1,343,330.6,332.35,667400,332.35
2017-01-09,333,334,325,326.05,419200,326.05
2017-01-10,326.05,329.7,324.6,325.55,344100,325.55
2017-01-11,327.8,334.75,327.2,331.05,856300,331.05
2017-01-12,331.9,338.4,329.6,334.75,1199200,334.75
2017-01-13,335.75,336,326.75,327.8,693700,327.8
2017-01-16,326.95,343.1,325.1,338.6,1200700,338.6
2017-01-17,342.8,361.8,341.5,358.3,2264500,358.3
2017-01-18,359.85,366.8,355.25,362.5,1488800,362.5
2017-01-19,363.6,363.6,342.45,353.35,4197900,353.35
2017-01-20,351.9,355,345,346.8,917900,346.8
2017-01-23,345.8,351.8,341.45,347.85,365400,347.85
2017-01-24,348.8,355.3,347.6,350.5,377900,350.5
2017-01-25,352,374.9,352,364.55,2348000,364.55
2017-01-26,364.55,364.55,364.55,364.55,0,364.55
2017-01-27,364,369.35,360.5,361.85,622400,361.85
2017-01-30,361.6,368.7,357.25,365.55,778400,365.55
2017-01-31,363,371,361.5,363.5,635800,363.5
2017-02-01,362.95,394.9,358.35,392.2,2561200,392.2
2017-02-02,394.7,430,391.4,424.25,5609100,424.25
2017-02-03,428.4,442.7,423.9,425.7,2113000,425.7
2017-02-06,432,439.9,426,435.4,1062300,435.4
2017-02-07,438.3,443,428,433.65,701300,433.65
2017-02-08,434.2,446.7,427.05,443.7,1278000,443.7
2017-02-09,446,451.7,433,440.15,1021700,440.15
2017-02-10,441.95,444.2,435.1,436.85,468600,436.85
2017-02-13,439.6,439.6,425.55,428.5,582800,428.5
2017-02-14,428.5,435.3,425,427,437300,427
2017-02-15,427.2,428.6,408.3,410.95,773700,410.95
2017-02-16,411.85,435.7,407.95,431.95,1e+06,431.95
2017-02-17,435.9,448,429.75,442.15,1540600,442.15
2017-02-20,442.5,446.55,435,441.95,586100,441.95
2017-02-21,443.5,444.7,436.1,438.6,407900,438.6
2017-02-22,439,439.95,427.25,430.4,380300,430.4
2017-02-23,430,441.9,426.6,434.25,573400,434.25
2017-02-24,434.25,434.25,434.25,434.25,0,434.25
2017-02-27,431,441,430,438.15,572800,438.15
2017-02-28,439.4,440.75,432.55,434.5,297300,434.5
2017-03-01,436.05,438.8,432,433.25,263100,433.25
2017-03-02,435,453.4,432.85,442.75,2019800,442.75
2017-03-03,442.75,461.8,440.05,459,1969700,459
2017-03-06,459,464.3,451.05,456.35,922000,456.35
2017-03-07,445,453,440.55,448.65,711900,448.65
2017-03-08,450,456.05,442.1,445.35,901400,445.35
2017-03-09,446.1,450,438.4,440.6,428100,440.6
2017-03-10,442.5,446.45,431.5,434.75,423800,434.75
2017-03-13,434.75,434.75,434.75,434.75,0,434.75
2017-03-14,443.15,447.45,435.8,437.2,610300,437.2
2017-03-15,440.1,449.1,437.6,442.1,659900,442.1
2017-03-16,445.1,447,442,444,297400,444
2017-03-17,446.25,457.3,438.8,440.75,882800,440.75
2017-03-20,443,445.2,438.5,440.5,322100,440.5
2017-03-21,442.75,443.6,434.1,435.05,311900,435.05
2017-03-22,432.9,432.9,421.5,422.5,432300,422.5
2017-03-23,430,432,423,424.25,704700,424.25
2017-03-24,426.1,431.95,421,422.4,567100,422.4
2017-03-27,424,426.1,415,417.1,443700,417.1
2017-03-28,420,429,417.35,420.05,809800,420.05
2017-03-29,420.9,428.8,417.25,420.55,667300,420.55
2017-03-30,423,434,422.65,430.15,1025000,430.15
2017-03-31,432.35,444.7,422,423.35,2126800,423.35
2017-04-03,426.45,426.5,418,418.9,1023600,418.9
2017-04-04,418.9,418.9,418.9,418.9,0,418.9
2017-04-05,418.5,418.5,406.4,412.15,1470500,412.15
2017-04-06,409,411.95,396,400.6,2376000,400.6
2017-04-07,399.95,410,390.5,393.4,3281800,393.4
2017-04-10,394.95,395.1,383.35,386.75,1676100,386.75
2017-04-11,387.9,398.9,387.1,395.35,1372700,395.35
2017-04-12,399.1,399.15,388.65,390.8,899800,390.8
2017-04-13,393.6,407.5,393,402.45,2116900,402.45
2017-04-14,402.45,402.45,402.45,402.45,0,402.45
2017-04-17,402.8,403,394.05,397.75,1160300,397.75
2017-04-18,398.75,407.75,393,395.25,1267500,395.25
2017-04-19,400,406.25,396.1,404.35,1015700,404.35
2017-04-20,406.4,409.25,401.3,402.65,856500,402.65
2017-04-21,404.35,408,398,402.6,732300,402.6
