"Date","KOTAKBANK.NS.Open","KOTAKBANK.NS.High","KOTAKBANK.NS.Low","KOTAKBANK.NS.Close","KOTAKBANK.NS.Volume","KOTAKBANK.NS.Adjusted"
2015-05-06,1430.55,1434.9,1342.85,1351.2,4703800,674.2257
2015-05-07,1352,1352,1292,1308.2,2909200,652.7694
2015-05-08,1317,1351,1315,1329.5,2174100,663.3978
2015-05-11,1334.9,1351.2,1324.05,1339.05,1419000,668.1631
2015-05-12,1335.5,1335.5,1308,1318.85,1370700,658.0836
2015-05-13,1322.1,1351.25,1311,1341.5,1818100,669.3856
2015-05-14,1332.4,1333.8,1315,1326.8,1692200,662.0505
2015-05-15,1334,1351.8,1328,1344.55,1562200,670.9075
2015-05-18,1337.6,1368.4,1335,1364.35,1048200,680.7873
2015-05-19,1364,1393.55,1362.1,1377.3,1568400,687.2492
2015-05-20,1381.5,1396,1379,1384.75,1066200,690.9666
2015-05-21,1381.35,1401,1368,1397.5,1083800,697.3286
2015-05-22,1393.4,1403.25,1378.05,1387.3,887500,692.239
2015-05-25,1385,1394.4,1358,1375.1,1237000,686.1514
2015-05-26,1372.95,1388.8,1362.3,1382.4,761000,689.794
2015-05-27,1374.9,1383.1,1368.5,1374.55,1303100,685.877
2015-05-28,1375,1385.05,1364.45,1368.15,3195600,682.6835
2015-05-29,1357.1,1405,1357.1,1399.3,1312300,698.2268
2015-06-01,1400,1410,1387,1392.75,1002400,694.9584
2015-06-02,1390.55,1394.35,1352.35,1359.3,1474000,678.2675
2015-06-03,1363.8,1363.8,1336,1345.95,1610700,671.606
2015-06-04,1350.05,1370,1340,1365,1451800,681.1117
2015-06-05,1357.1,1366,1350.1,1356.35,1067600,676.7955
2015-06-08,1360,1361.9,1342.1,1352.85,709800,675.049
2015-06-09,1349,1364.85,1325.35,1330.95,983500,664.1213
2015-06-10,1330.95,1345.95,1325.05,1334.6,838300,665.9426
2015-06-11,1338.1,1343.8,1271,1280.9,1574300,639.1472
2015-06-12,1272.2,1319.7,1264.2,1311.1,1578900,654.2165
2015-06-15,1312.95,1314.95,1258,1289.7,1959200,643.5382
2015-06-16,1267,1295.7,1262.2,1289.15,1224000,643.2638
2015-06-17,1296.25,1302,1280.5,1295.05,1671700,646.2078
2015-06-18,1298.55,1314.4,1289.5,1307.4,2018200,653.2783
2015-06-19,1308.5,1338,1262.5,1328.15,860100,663.6466
2015-06-22,1336.95,1373.65,1328.3,1357.9,1245400,678.512
2015-06-23,1359.4,1384.6,1347.7,1380.45,1480000,689.7797
2015-06-24,1380,1395,1366.2,1383.8,1178100,691.4536
2015-06-25,1375,1414.2,1369.2,1406.6,2672800,702.8462
2015-06-26,1390,1392,1373.95,1380.3,1010300,689.7048
2015-06-29,1358,1379.45,1342.1,1368.45,1065900,683.7835
2015-06-30,1378,1403.5,1374,1385.8,1879300,692.453
2015-07-01,1379.6,1430,1377,1408.25,1844400,703.6707
2015-07-02,707,719.675,701.325,717.675,1677700,358.606
2015-07-03,721.5,730.45,709.15,714.425,3296500,356.982
2015-07-06,720,732,715,721.95,4311900,360.7421
2015-07-07,724.975,729.5,710.575,712.8,2347000,356.1701
2015-07-08,703.85,712.25,693.05,707.1,2341600,706.6438
2015-07-09,711,720,701.1,705.2,779500,704.745
2015-07-10,707,711.5,696.7,709.4,1384900,708.9423
2015-07-13,712.9,717.8,703,715,955100,714.5387
2015-07-14,714.95,715.25,704,710.7,1172700,710.2415
2015-07-15,710.95,715,707.5,712.3,893900,711.8404
2015-07-16,713.95,743,712.2,741.25,2218800,740.7718
2015-07-17,737,738,727.15,733.15,1157800,732.677
2015-07-20,735.2,740,725.1,736.6,823800,736.1248
2015-07-21,735,744.8,718,720.65,968200,720.1851
2015-07-22,719.1,733.7,717.5,728.65,657700,728.1799
2015-07-23,729,735.1,718.1,720.35,922800,719.8852
2015-07-24,720,730,717.6,724.7,749700,724.2325
2015-07-27,719.5,724.5,713.1,715,786500,714.5387
2015-07-28,717.9,731.4,717.5,729.4,845700,728.9294
2015-07-29,731.95,737.3,721.15,725.95,934400,725.4817
2015-07-30,733.5,733.95,713.8,716.8,2401000,716.3375
2015-07-31,697.25,708.7,683.8,695.4,4943600,694.9514
2015-08-03,694.95,705.55,687.15,690.2,1457000,689.7547
2015-08-04,694,699,680.15,690.85,1465900,690.4043
2015-08-05,695,695.6,683.35,691.9,1479000,691.4536
2015-08-06,694.2,710,690.8,706.8,1185700,706.344
2015-08-07,705.9,712.5,701.35,705,877300,704.5452
2015-08-10,708,716.5,702,707.3,966400,706.8437
2015-08-11,706.85,710.95,699.9,704.7,691100,704.2454
2015-08-12,702.95,704.25,682.55,686.15,786600,685.7073
2015-08-13,688,695,683.1,690.75,592400,690.3044
2015-08-14,692.5,719.5,692,717.7,822500,717.237
2015-08-17,718.8,724.75,705.5,719.8,762300,719.3356
2015-08-18,719.85,721.6,699,705.1,473900,704.6451
2015-08-19,704.7,718.7,697.3,712.4,945200,711.9404
2015-08-20,712.95,715,693,697.45,815700,697
2015-08-21,689.6,700,680,688,1230700,687.5561
2015-08-24,672,674.75,630.7,647.6,2496900,647.1822
2015-08-25,658,660.5,621.9,639.45,1764500,639.0375
2015-08-26,639.45,647.5,623.3,627.25,1274100,626.8453
2015-08-27,625,655.3,625,650.4,1949500,649.9804
2015-08-28,659,662,641,647.45,1217000,647.0323
2015-08-31,642,658.9,637.5,651.7,582600,651.2796
2015-09-01,646.8,647.4,608.5,613.75,2257500,613.354
2015-09-02,617.95,619,601,608.7,1747200,608.3073
2015-09-03,609.7,629.95,605,627.1,1835500,626.6954
2015-09-04,623.8,623.8,594.5,606.3,1696200,605.9088
2015-09-07,605.25,613.25,595,600.65,1236300,600.2625
2015-09-08,604,624.5,600.55,620.4,1557300,619.9998
2015-09-09,628.1,639.2,626.1,634.7,1266100,634.2905
2015-09-10,623.8,639.8,612.25,635.3,1181100,634.8901
2015-09-11,633,642,627.5,631.25,951300,630.8427
2015-09-14,631.9,649.3,630.35,645.75,951000,645.3334
2015-09-15,642.65,645.35,635.15,640,735500,639.5871
2015-09-16,643.3,647,635.1,641,761600,640.5865
2015-09-17,641,641,641,641,0,640.5865
2015-09-18,643,668,634.6,657.4,2944600,656.9759
2015-09-21,659.1,669,654,665.45,1022800,665.0207
2015-09-22,669.9,670,638.55,642.7,1051300,642.2854
2015-09-23,631,662,631,658.65,920100,658.2251
2015-09-24,658,661.75,642,654.45,1813200,654.0278
2015-09-25,654.45,654.45,654.45,654.45,0,654.0278
2015-09-28,653.05,659.9,638.65,641.1,847600,640.6864
2015-09-29,631.05,657,624,651.5,1491100,651.0797
2015-09-30,653,657.75,642.5,648.1,922800,647.6818
2015-10-01,646,654.5,638,640.85,961100,640.4365
2015-10-02,640.85,640.85,640.85,640.85,0,640.4365
2015-10-05,649.9,660,637.45,653.05,1276700,652.6287
2015-10-06,659,662,642,655.75,1058100,655.3269
2015-10-07,655.25,665,651,660.5,777000,660.0739
2015-10-08,663.5,663.75,649.4,653.6,1466500,653.1783
2015-10-09,655.95,662,653.8,659.5,920800,659.0745
2015-10-12,661.15,669.7,656.3,662.05,606100,661.6229
2015-10-13,660.6,664.75,651,656.05,456500,655.6267
2015-10-14,656,662.5,651,652.85,654400,652.4288
2015-10-15,655.5,664,652.15,653.45,849000,653.0284
2015-10-16,651.5,662,645.15,659.3,912200,658.8746
2015-10-19,659.95,663,653.45,658.35,655100,657.9252
2015-10-20,659,661.85,647,654.05,964000,653.628
2015-10-21,653.95,660,650.05,656.6,1116100,656.1764
