"Date","LICHSGFIN.NS.Open","LICHSGFIN.NS.High","LICHSGFIN.NS.Low","LICHSGFIN.NS.Close","LICHSGFIN.NS.Volume","LICHSGFIN.NS.Adjusted"
2015-07-13,458.5,466.35,452.05,463.15,1790000,444.67
2015-07-14,465.2,467.85,459.2,461.1,1123600,442.7
2015-07-15,461.35,465.9,455.85,457.8,1106900,439.54
2015-07-16,459,464.9,457,463.2,1018500,444.72
2015-07-17,465.8,476.5,458.95,475.05,2289500,456.1
2015-07-20,479.9,481.95,472.65,476.8,2859400,457.78
2015-07-21,485,487,457.75,465.15,4088700,446.59
2015-07-22,465.15,487.8,463,486.3,2683900,466.9
2015-07-23,488,498.8,481.15,497,3529400,477.17
2015-07-24,497,501,490.75,494.9,2343400,475.16
2015-07-27,492,492,476.75,479.3,2273400,460.18
2015-07-28,479.3,496.9,474.35,492,2565500,472.37
2015-07-29,492,496,483.65,488.65,1962700,469.16
2015-07-30,491.8,496.55,488.5,490.85,2166200,471.27
2015-07-31,492,504.55,492,499.2,2189900,479.28
2015-08-03,499.2,514.95,499.2,511.6,2745300,491.19
2015-08-04,515,520.35,507.05,513.2,2572300,492.73
2015-08-05,515.5,519.65,504.9,506.2,1667500,486.01
2015-08-06,506.2,523.95,500,522.65,2294100,506.81
2015-08-07,522,523,509,510.5,1414200,499.81
2015-08-10,509,518.45,501,506.15,1152900,495.55
2015-08-11,505.5,510.5,492,498.95,1283700,488.5
2015-08-12,496,497,474.1,479.85,1804800,469.8
2015-08-13,479,497,478.35,492.55,2128200,482.23
2015-08-14,497.5,506.95,489.6,502.25,1551800,491.73
2015-08-17,504.7,508.7,498,500.9,960700,490.41
2015-08-18,502,512,496.2,498.9,989100,488.45
2015-08-19,495.95,497.95,491,494,885500,483.65
2015-08-20,492,494,468,472.15,2121400,462.26
2015-08-21,466,466.6,446.8,461.1,3381900,451.44
2015-08-24,442.25,448.35,414,424.5,3409900,415.61
2015-08-25,435,442,409,434.2,4081100,425.1
2015-08-26,432,438.4,424.7,427.7,2182400,418.74
2015-08-27,440,451.5,430.2,445.6,5675100,436.26
2015-08-28,449,457.3,432.65,439.25,2828800,430.05
2015-08-31,435.55,447,432.3,443,1624800,433.72
