"Date","BHARATFORG.NS.Open","BHARATFORG.NS.High","BHARATFORG.NS.Low","BHARATFORG.NS.Close","BHARATFORG.NS.Volume","BHARATFORG.NS.Adjusted"
2015-09-23,901.59998,927.79999,894.09998,917.40002,1050500,906.57395
2015-09-24,923,925,900.75,903.04999,1537600,892.39325
2015-09-25,903.04999,903.04999,903.04999,903.04999,0,892.39325
2015-09-28,903.79999,919.59998,882.40002,907.25,1029100,896.5437
2015-09-29,885,913.04999,884,896.65002,1065400,886.06881
2015-09-30,902.90002,918,898,907.54999,855300,896.84015
2015-10-01,915,937.5,909,926.65002,1649300,915.71479
2015-10-02,926.65002,926.65002,926.65002,926.65002,0,915.71479
2015-10-05,939,953.70001,933.04999,948.25,1039400,937.05987
2015-10-06,953,956.25,925.79999,931.95001,929600,920.95223
2015-10-07,931,938.40002,922.09998,931.84998,788500,920.85338
2015-10-08,932,942.59998,928,930.5,593300,919.51933
2015-10-09,938.90002,952.5,936,948.59998,1127000,937.40571
2015-10-12,962,967.79999,950.5,956.29999,640300,945.01486
2015-10-13,959,964.59998,930.29999,934.95001,467200,923.91683
2015-10-14,887,906.79999,876.5,890.40002,2522600,879.89257
2015-10-15,895,903.59998,878.15002,885.29999,1103500,874.85272
2015-10-16,890,907.34998,880.09998,896.5,866500,885.92056
2015-10-19,900,902.5,891.09998,896.20001,520300,885.62411
2015-10-20,895.40002,938.25,894.84998,933.20001,1287500,922.18748
2015-10-21,934.90002,938,920,926.25,430000,915.31949
2015-10-22,926.25,926.25,926.25,926.25,0,915.31949
2015-10-23,930.79999,939.15002,921,922.29999,464200,911.41609
2015-10-26,922.95001,926.84998,895,901.90002,1074500,891.25686
2015-10-27,901,919,893,914.29999,602000,903.51049
2015-10-28,912,912,861.20001,867.95001,1163400,857.70749
2015-10-29,867.79999,880,810,814.29999,5088700,804.69058
2015-10-30,818.40002,869,814,859.34998,2604900,849.20894
2015-11-02,868.90002,868.90002,848.5,861.15002,563100,850.98774
2015-11-03,865,867.29999,843.20001,855.79999,649200,845.70084
2015-11-04,859.79999,875.70001,851,865.90002,800600,855.68169
2015-11-05,866.90002,875.59998,855,860.70001,522800,850.54304
2015-11-06,865,872,851,866.45001,482900,856.22519
2015-11-09,852.04999,885.95001,846,880.84998,658800,870.45522
2015-11-10,882,896.70001,870,881.20001,461000,870.80112
2015-11-11,889.90002,895,886.04999,889.04999,68800,878.55846
2015-11-12,889.04999,889.04999,889.04999,889.04999,0,878.55846
2015-11-13,876.04999,900,867,898.25,525200,887.64991
2015-11-16,891,899.70001,878.90002,888.95001,437700,878.45967
2015-11-17,893,893,870.5,879.09998,388800,868.72587
2015-11-18,870,879.70001,839.04999,842.90002,996000,832.95311
2015-11-19,848.40002,868,837.15002,859.79999,1031600,849.65364
2015-11-20,859,876.84998,851,870.25,506100,859.98033
2015-11-23,869,888,864.25,885.75,509900,875.29742
2015-11-24,885,893.84998,872.34998,877.59998,560800,867.24357
2015-11-25,877.59998,877.59998,877.59998,877.59998,0,867.24357
2015-11-26,880.59998,885,857,858.95001,883300,848.81369
2015-11-27,863,869.5,850.09998,852.95001,647900,842.8845
2015-11-30,847,863,846.65002,852.90002,968300,842.8351
2015-12-01,854.70001,859.04999,840,847.79999,642100,837.79525
2015-12-02,849,860,832.79999,847.59998,1119700,837.5976
2015-12-03,845,872.90002,843.20001,865.15002,702000,854.94054
2015-12-04,860,864,838.04999,839.70001,944100,829.79086
2015-12-07,831.09998,836.84998,816.70001,831.09998,886100,821.29231
2015-12-08,825.04999,835,812.70001,827.70001,1151900,817.93247
2015-12-09,800,807.65002,773.04999,793.40002,2451100,784.03725
2015-12-10,801,815,789,803.5,1216700,794.01804
2015-12-11,805,810,791,801,874600,791.54754
2015-12-14,802,802,783,794.40002,869000,785.02545
2015-12-15,797,827,795,822.59998,1195500,812.89262
2015-12-16,827,847.20001,822,840.59998,960100,830.6802
2015-12-17,841.79999,846.84998,833.34998,839.15002,886200,829.24736
2015-12-18,827.84998,840,827.34998,834.29999,819300,824.45456
2015-12-21,826.04999,856.34998,826.04999,854.45001,528000,844.3668
2015-12-22,857.29999,869.45001,855,864.70001,568900,854.49584
2015-12-23,866,875,848.40002,851.70001,720100,841.64925
2015-12-24,857,867.90002,854,860.25,431700,850.09834
2015-12-25,860.25,860.25,860.25,860.25,0,850.09834
2015-12-28,862.04999,910.5,860.34998,904.70001,1731400,894.02381
2015-12-29,910,912.90002,891.25,893.20001,877500,882.65951
2015-12-30,897,916.70001,890.70001,895.79999,1212400,885.22881
2015-12-31,899,906.5,888.25,892,981100,881.47366
2016-01-01,893,897.79999,885,887.70001,223200,877.22442
2016-01-04,886.5,889.59998,865,870.90002,536500,860.62269
2016-01-05,870.09998,876.29999,854.5,857.45001,734800,847.33139
2016-01-06,857.59998,882.70001,857.59998,876.34998,775800,866.00832
2016-01-07,870,874,819.34998,824.65002,798600,814.91847
2016-01-08,826.65002,858,826.65002,831.5,653000,821.68761
2016-01-11,831,841.95001,816.40002,827.29999,431100,817.53716
2016-01-12,832.70001,834.40002,809,815.59998,492900,805.97522
2016-01-13,822,826.40002,796.59998,817.59998,630400,807.95162
2016-01-14,814.79999,830,796.15002,816.90002,533900,807.25993
2016-01-15,815.04999,825.90002,786.65002,792.75,660200,783.3949
2016-01-18,793,793,740.79999,775.90002,997800,766.74376
2016-01-19,785.45001,805,759.90002,790.09998,552700,780.77614
2016-01-20,784,784,752,774.75,619700,765.60731
2016-01-21,784,792.79999,772.20001,780.09998,430400,770.89415
2016-01-22,788.79999,803.40002,782.09998,798.45001,365300,789.02764
2016-01-25,805,828,803.54999,813.20001,549800,803.60358
2016-01-26,813.20001,813.20001,813.20001,813.20001,0,803.60358
2016-01-27,819.5,831.45001,798.45001,826.54999,646200,816.79602
2016-01-28,821,829.45001,811.40002,821,589900,811.31152
2016-01-29,821,839.75,808,833.54999,494000,823.71341
2016-02-01,838.90002,855.79999,834.90002,839.95001,312600,830.03791
2016-02-02,838,847.34998,810,815.5,282200,805.87643
2016-02-03,806.65002,806.65002,780,791.5,591400,782.15965
2016-02-04,798,808.5,776.34998,792.54999,921200,783.19724
2016-02-05,800,800.70001,762.29999,771.34998,962700,762.24741
2016-02-08,773.79999,784.04999,755.15002,771.25,758000,762.14861
2016-02-09,770,810.59998,748,778,2852500,768.81896
2016-02-10,796,796,768,783.09998,1064700,773.85875
2016-02-11,786,787.79999,756.09998,765.29999,664700,756.26882
2016-02-12,764.04999,775.70001,720,745,751500,736.20838
2016-02-15,751,790,751,785.79999,401100,776.5269
2016-02-16,798.40002,799,768.25,774.90002,775200,765.75556
2016-02-17,773.90002,788,752,785.09998,847300,778.85047
2016-02-18,792.59998,801.75,763.40002,770.45001,698100,764.31712
2016-02-19,765,782,761.25,771.70001,339100,765.55717
2016-02-22,770.90002,792,768.5,786.5,582000,780.23935
2016-02-23,788.90002,788.90002,762.90002,767.09998,612000,760.99375
2016-02-24,768,772.5,752.59998,758.79999,449400,752.75983
2016-02-25,763.70001,766.95001,728.59998,737.09998,980500,731.23256
2016-02-26,753.5,753.5,733.5,743.04999,378000,737.13521
2016-02-29,752.65002,759,729,746.40002,558600,740.45858
2016-03-01,755,779,743.29999,776,485900,769.82293
2016-03-02,780,798,780,790.25,375900,783.9595
2016-03-03,797.90002,829.5,795.5,826.70001,815800,820.11936
2016-03-04,835,835,810.09998,818,410300,811.4886
2016-03-07,818,818,818,818,0,811.4886
2016-03-08,819.25,834,799,803,583400,796.60801
2016-03-09,801.65002,830.95001,795,826.75,527000,820.16895
2016-03-10,832.79999,846.90002,815.09998,821.34998,749000,814.81191
2016-03-11,823,829.90002,812,816.45001,416800,809.95096
2016-03-14,823.95001,827.40002,807.65002,814.29999,399600,807.81805
2016-03-15,817,817,802.04999,804,425100,797.60005
2016-03-16,805,812.70001,794.20001,810.54999,343100,804.0979
2016-03-17,814.59998,837,814.40002,825.45001,705500,818.87931
2016-03-18,826.90002,852.40002,822.04999,849.04999,722600,846.3929
2016-03-21,858.5,878.90002,855.59998,875.79999,699900,873.05919
2016-03-22,884.95001,892.15002,865,877.75,716200,875.0031
2016-03-23,877.70001,894.40002,875.5,888.5,667800,885.71946
2016-03-24,888.5,888.5,888.5,888.5,0,885.71946
2016-03-25,888.5,888.5,888.5,888.5,0,885.71946
2016-03-28,895,901.95001,874.95001,878.79999,431800,876.0498
2016-03-29,874,915,860,891.95001,1110200,889.15867
2016-03-30,901.90002,909.79999,886,889.84998,772800,887.06521
2016-03-31,890.04999,900.15002,865.5,873.09998,1499200,870.36762
2016-04-01,877,883,858.65002,862.70001,561500,860.00021
2016-04-04,868,875.5,842,847,629300,844.34933
2016-04-05,845,854.5,822.34998,830.20001,665900,827.60192
2016-04-06,800,804.34998,785,788.15002,1909200,785.68352
2016-04-07,793,793,767,776.54999,1365600,774.11979
2016-04-08,775,789,767.70001,769.90002,710800,767.49064
2016-04-11,771.20001,782,760.09998,776.5,814500,774.06996
2016-04-12,781,809.90002,774,804.84998,1165400,802.33121
2016-04-13,818,840,810.20001,830.04999,1057700,827.45236
2016-04-14,830.04999,830.04999,830.04999,830.04999,0,827.45236
2016-04-15,830.04999,830.04999,830.04999,830.04999,0,827.45236
2016-04-18,830,836.15002,819.04999,832.5,313000,829.89471
2016-04-19,832.5,832.5,832.5,832.5,0,829.89471
2016-04-20,839.79999,840.45001,812.04999,817,456100,814.44321
2016-04-21,819.79999,829.40002,805.79999,821.75,463200,819.17835
2016-04-22,821.75,831.5,812.25,815.59998,419100,813.04757
2016-04-25,814.59998,820.34998,792.09998,794.29999,597300,791.81424
2016-04-26,790,816.90002,785,806.65002,1109500,804.12563
2016-04-27,808,823.70001,800.5,803,540800,800.48703
2016-04-28,807.40002,812.90002,788.09998,793,1357300,790.51832
2016-04-29,785,801.20001,785,798.09998,559200,795.60234
2016-05-02,797.59998,810.79999,792,809,370600,806.46825
2016-05-03,812,822.70001,790.75,797.5,891500,795.00424
2016-05-04,794.90002,797.70001,772.45001,775.5,676100,773.07309
2016-05-05,757.45001,785,755,780.25,689600,777.80822
2016-05-06,775.5,790,775.5,779.54999,325000,777.1104
2016-05-09,783.79999,794.79999,782.34998,790.65002,329700,788.1757
2016-05-10,793.40002,796,782.40002,786,349200,783.54023
2016-05-11,778,788.90002,770.04999,780.59998,278400,778.1571
2016-05-12,782,789.70001,773.04999,774.40002,515100,771.97655
2016-05-13,770.70001,770.70001,748.59998,751.29999,972900,748.94881
2016-05-16,751.29999,757.09998,745.20001,753.75,1096700,751.39115
2016-05-17,753.54999,759.90002,738.09998,750.59998,2905800,748.25099
2016-05-18,735.54999,745,728.79999,736.04999,1435000,733.74653
2016-05-19,735,741.5,715.20001,718.45001,585300,716.20164
2016-05-20,718.90002,725.84998,709.15002,718.59998,877700,716.35113
2016-05-23,723.20001,724.95001,710,712.5,487500,710.27024
2016-05-24,712.70001,730,704.90002,726.29999,598100,724.02704
2016-05-25,733.40002,745.90002,729.40002,741.45001,740600,739.12966
2016-05-26,745,756.40002,739,751.40002,880600,749.04853
2016-05-27,753,758.04999,741,744.70001,600500,742.36949
2016-05-30,751.5,752.95001,735.5,745.54999,484000,743.2168
2016-05-31,749.90002,768.84998,743.09998,755.40002,1051600,753.03601
2016-06-01,758.59998,767.5,756.59998,761.65002,500600,759.26645
2016-06-02,759.84998,765.79999,753.40002,759.75,462800,757.37238
2016-06-03,764.20001,774.90002,748.59998,752.25,592200,749.89585
2016-06-06,745,753.75,736,740.84998,491700,738.5315
2016-06-07,741,751.40002,740.90002,748.29999,385600,745.9582
2016-06-08,760,773.54999,760,764.84998,902100,762.45639
2016-06-09,765,774,757.34998,760.65002,401100,758.26958
2016-06-10,762.70001,764.45001,748,750.45001,470100,748.10149
2016-06-13,745.79999,747.70001,729,744.09998,532200,741.77133
2016-06-14,749.59998,754.75,734.75,740.95001,255100,738.63122
2016-06-15,749,751.40002,739,743.09998,309700,740.77446
2016-06-16,742.34998,748.75,728,733.90002,492200,731.6033
2016-06-17,740,740.59998,725.54999,730.15002,311200,727.86503
2016-06-20,729,759.59998,726,755.20001,663300,752.83663
2016-06-21,761,764,750.40002,756.29999,395600,753.93316
2016-06-22,756,764.70001,736.25,737.84998,843000,735.54089
2016-06-23,735.20001,756.75,735.20001,752.04999,616500,749.69646
2016-06-24,718,755,682,751.95001,1779700,749.5968
2016-06-27,748.90002,751.90002,737.65002,742.40002,413800,740.0767
2016-06-28,747.45001,753.95001,736.59998,740.54999,471800,738.23245
2016-06-29,744.40002,762.95001,742.15002,756.5,835700,754.13255
2016-06-30,764.5,773.5,750.09998,760.25,1233100,757.87081
2016-07-01,765,780,758.90002,773.5,697700,771.07935
2016-07-04,775,785,772.40002,777.29999,532800,774.86744
2016-07-05,778,778.90002,763.54999,768.29999,295500,765.89561
2016-07-06,768.29999,768.29999,768.29999,768.29999,0,765.89561
2016-07-07,756.75,756.75,740,741.90002,657000,739.57826
2016-07-08,741.79999,747.5,734.09998,737.65002,430300,735.34156
2016-07-11,752,752,739.75,746.40002,343200,744.06418
2016-07-12,748.5,756.40002,744.04999,751.25,389900,748.89898
2016-07-13,753.70001,756.84998,742.40002,746.5,431400,744.16384
2016-07-14,740,740,718.79999,728.54999,1855400,726.27
2016-07-15,728.70001,737.95001,725.34998,728.45001,493800,726.17034
2016-07-18,733.70001,749,732.34998,737.95001,796800,735.64061
2016-07-19,742.90002,749,735,744.65002,585700,742.31966
2016-07-20,745,752.40002,743.09998,746.25,350300,743.91462
2016-07-21,746.5,749.70001,724.5,727.95001,460700,725.67191
2016-07-22,726.5,740,725.20001,735.75,379500,733.44748
2016-07-25,737.90002,747,732.20001,745.95001,390500,744.12124
2016-07-26,748,752.45001,733.09998,736.90002,283100,735.09344
2016-07-27,738,745,727.5,739.09998,484000,737.288
2016-07-28,743,752.29999,734.59998,749.5,725000,747.66253
2016-07-29,749,768,746.54999,760.95001,938400,759.08447
2016-08-01,763,771.40002,747,749.75,744400,747.91191
2016-08-02,752,759,725.09998,728.25,729200,726.46462
2016-08-03,726,735,719,725.09998,829500,723.32232
