"Date","JETAIRWAYS.NS.Open","JETAIRWAYS.NS.High","JETAIRWAYS.NS.Low","JETAIRWAYS.NS.Close","JETAIRWAYS.NS.Volume","JETAIRWAYS.NS.Adjusted"
2015-03-30,455.75,482.4,455.7,478.3,1174600,478.3
2015-03-31,482,494.5,477,488.65,1352400,488.65
2015-04-01,493,498.3,485.2,489.7,927000,489.7
2015-04-02,489.7,489.7,489.7,489.7,0,489.7
2015-04-03,489.7,489.7,489.7,489.7,0,489.7
2015-04-06,492.9,494.1,473.3,476.95,754100,476.95
2015-04-07,477,496,468.2,491.9,1367000,491.9
2015-04-08,492.9,497,471,473.45,1931300,473.45
2015-04-09,480.95,491,480,488.7,1271400,488.7
2015-04-10,488,488.9,475.1,483,577300,483
2015-04-13,488,495,484.05,486.55,924700,486.55
2015-04-14,486.55,486.55,486.55,486.55,0,486.55
2015-04-15,485.8,485.8,467.7,471.1,569000,471.1
2015-04-16,470,474.45,452.05,456.75,710600,456.75
2015-04-17,455.85,461.2,445.3,449.6,617200,449.6
2015-04-20,450.4,450.4,417.1,429.4,882100,429.4
2015-04-21,427.1,429,413.1,415.8,551300,415.8
2015-04-22,416.25,423.7,407.7,409.7,858200,409.7
2015-04-23,414.7,427.4,408.9,411,898100,411
2015-04-24,407,408,372.45,377.5,1043700,377.5
2015-04-27,379.2,389.9,351.1,377.55,1358800,377.55
2015-04-28,375.05,386,372.5,383.1,562900,383.1
2015-04-29,384.4,389.6,374.2,377.55,615400,377.55
2015-04-30,375.95,384.2,365.6,379.3,620900,379.3
2015-05-01,379.3,379.3,379.3,379.3,0,379.3
2015-05-04,378.1,389.3,378.1,386.4,541500,386.4
2015-05-05,383,414,381.95,408.9,1889900,408.9
2015-05-06,405.9,412.35,385.2,391.2,1106800,391.2
2015-05-07,379.6,389.75,338.5,357.6,2786000,357.6
2015-05-08,365,378.3,365,375.25,912700,375.25
2015-05-11,380,383.8,375.25,378.35,444100,378.35
2015-05-12,377.8,377.8,353.6,357.05,626500,357.05
2015-05-13,360,366.2,351,358.35,630900,358.35
2015-05-14,356.75,368,352.4,360.45,632200,360.45
2015-05-15,362.2,366.9,352.55,356.2,413500,356.2
2015-05-18,354.9,374.3,354.85,367.2,639600,367.2
2015-05-19,366.85,384.5,363,375.25,1058200,375.25
2015-05-20,376,391.4,376,381.6,923800,381.6
2015-05-21,383.3,386.6,374.6,378.1,364300,378.1
2015-05-22,378.55,381.5,368.1,371.55,475200,371.55
2015-05-25,374.7,374.7,362.9,366.6,334700,366.6
2015-05-26,367,372.8,362.6,368.6,415200,368.6
2015-05-27,367.5,377.7,363.5,372.25,603100,372.25
2015-05-28,374.9,390,372,384.7,747400,384.7
2015-05-29,389,404.3,381.5,384.5,1374400,384.5
2015-06-01,358,373.2,357,361.9,966600,361.9
2015-06-02,361.8,366.4,333.1,335.55,1123500,335.55
2015-06-03,337,340.45,312,319.8,915900,319.8
2015-06-04,322.9,324.8,308,314.15,626600,314.15
2015-06-05,313.8,313.8,302.6,305.25,639800,305.25
2015-06-08,305,306.95,288,290.4,757800,290.4
2015-06-09,290,290.5,271.65,275.1,902300,275.1
2015-06-10,274.7,283.5,271.5,275.95,887100,275.95
2015-06-11,280,283.7,268.1,273.15,891300,273.15
2015-06-12,275.5,278.9,258.65,264.45,911400,264.45
2015-06-15,265,267.15,251.25,253.1,861500,253.1
2015-06-16,252.95,296.9,248,290.3,3486900,290.3
2015-06-17,291.5,301,284.2,287.7,2678100,287.7
2015-06-18,289,294.45,286.1,289,911600,289
2015-06-19,291,291.7,272,273.3,1321500,273.3
2015-06-22,275,285.95,274.25,278.85,1164000,278.85
2015-06-23,279,290.25,270.1,285.65,2025200,285.65
2015-06-24,290,304.8,286,289.65,4216500,289.65
2015-06-25,286.4,286.5,278.1,281.4,940500,281.4
2015-06-26,284.6,289,280.3,282.8,989400,282.8
2015-06-29,261.3,276.9,261.3,273.85,1009700,273.85
2015-06-30,275,284.6,273,281.75,853000,281.75
2015-07-01,288,291,275.8,278.65,1410700,278.65
2015-07-02,280,284.6,279.05,280.5,756500,280.5
2015-07-03,281.9,282.8,275.1,277.75,538200,277.75
2015-07-06,274.4,318,271,308.5,4659300,308.5
2015-07-07,312.2,341,311,333.8,6529500,333.8
2015-07-08,329,350.8,328,333.8,3974700,333.8
2015-07-09,336.85,345,325.55,330.55,1376400,330.55
2015-07-10,333.45,337,326.25,331.65,789900,331.65
2015-07-13,333,344.6,327.1,339.45,1387400,339.45
2015-07-14,340.8,358.45,335.5,354.15,2828300,354.15
2015-07-15,355.9,357.7,345.1,349.5,1308200,349.5
2015-07-16,351.5,355.65,346,348.8,750400,348.8
2015-07-17,351,356.5,341.2,343.35,1234800,343.35
2015-07-20,344.95,352,343.9,345.6,894100,345.6
2015-07-21,347,348.2,318.5,320.95,1140900,320.95
2015-07-22,320,333,315.2,324.25,1068400,324.25
2015-07-23,327.8,338.8,324.5,327.65,1170100,327.65
2015-07-24,330.85,335,322,323.7,842100,323.7
2015-07-27,324,331.7,316,319.55,892400,319.55
2015-07-28,323,338,317.4,329.05,1304600,329.05
2015-07-29,340,393.9,340,390.7,8141000,390.7
2015-07-30,394.6,400.9,375.25,382.25,3859400,382.25
2015-07-31,384.35,408.3,382.5,400.15,3329900,400.15
2015-08-03,418.95,435.45,405.45,408.75,4512300,408.75
2015-08-04,412.85,421.4,402.25,415.5,2421300,415.5
2015-08-05,416.85,416.85,406.25,410.35,1178200,410.35
2015-08-06,409.85,424.9,406.3,412.4,2356200,412.4
2015-08-07,414.3,420.95,398.55,402.3,1701400,402.3
2015-08-10,403.4,413.25,385.2,391.1,1402500,391.1
2015-08-11,393.95,395.45,371,374.1,1225000,374.1
2015-08-12,375,375.35,354,356.3,1238900,356.3
2015-08-13,359,377,359,371.2,1532000,371.2
2015-08-14,380.4,404.85,376,400.65,6622900,400.65
2015-08-17,404,404.8,378.05,379.75,2561900,379.75
2015-08-18,383.25,393.9,372.4,375.05,1941700,375.05
2015-08-19,376,384.4,372.75,379.8,1824500,379.8
2015-08-20,383,397,382,389.55,3104800,389.55
2015-08-21,377,381.75,362.1,373.1,2204100,373.1
2015-08-24,347,358.9,298.5,301.25,2438600,301.25
2015-08-25,316,328,283.3,324.25,3350300,324.25
2015-08-26,321.5,334.8,305,325.15,2012900,325.15
2015-08-27,334.9,346,332.3,339.35,1312200,339.35
2015-08-28,340.95,349.1,334.6,337.6,1764500,337.6
2015-08-31,332.7,342,327.6,338.05,961800,338.05
2015-09-01,345,348,321.8,324.7,2295400,324.7
2015-09-02,330,336.25,314.05,317.4,1654500,317.4
2015-09-03,323,331.9,321.25,325.85,1507900,325.85
2015-09-04,323.9,323.9,304.25,312.2,1141800,312.2
2015-09-07,314.1,315.65,295,301.35,1249300,301.35
2015-09-08,305,315,296,312.75,1581700,312.75
2015-09-09,321,322.7,313.3,316.5,940800,316.5
2015-09-10,308,313.95,301.65,311.45,1184700,311.45
2015-09-11,320,333.95,320,328.25,2427200,328.25
2015-09-14,329,334.6,325.25,330.45,803600,330.45
2015-09-15,332.5,351.25,332.5,335.5,3232000,335.5
2015-09-16,340,341.7,325.55,331.4,1323000,331.4
2015-09-17,331.4,331.4,331.4,331.4,0,331.4
2015-09-18,338.25,343.9,334.5,337.4,928900,337.4
2015-09-21,335,344,334.55,341.1,766400,341.1
2015-09-22,343.3,349.8,322.95,326.7,1532300,326.7
2015-09-23,323.95,333.45,322.35,331.35,1133300,331.35
2015-09-24,331.65,335,326.55,331.35,690800,331.35
2015-09-25,331.35,331.35,331.35,331.35,0,331.35
2015-09-28,333,333,318.4,320.05,694100,320.05
2015-09-29,314.8,341.4,310,329.65,1932900,329.65
2015-09-30,332.6,337.5,322.1,324.35,1833500,324.35
2015-10-01,327.9,330.85,316.55,321.35,1853100,321.35
2015-10-02,321.35,321.35,321.35,321.35,0,321.35
2015-10-05,323.75,335.4,322.5,329.7,1480600,329.7
2015-10-06,331.55,341,329,334.45,2038400,334.45
2015-10-07,334.5,337.7,329.1,332.15,950500,332.15
2015-10-08,332.15,333.85,325,329.15,783100,329.15
2015-10-09,332.1,335,323.7,326.4,814000,326.4
2015-10-12,328.45,334.7,324.75,329.3,820200,329.3
2015-10-13,333.7,374.3,333,369.75,11357800,369.75
2015-10-14,372.4,383.75,361.75,367.05,6701600,367.05
2015-10-15,370,374,363.1,365.6,2870200,365.6
2015-10-16,367.95,389.5,362,387.7,4079000,387.7
2015-10-19,392,428,392,417.8,11502700,417.8
2015-10-20,421,424.7,383.6,395.95,7001000,395.95
2015-10-21,398,412.9,389.4,408.5,6411300,408.5
2015-10-22,408.5,408.5,408.5,408.5,0,408.5
2015-10-23,411.5,416.5,404.5,411.5,2984300,411.5
2015-10-26,410.6,412.05,396.2,398.45,1905400,398.45
2015-10-27,400.6,413,398.55,403.8,3911200,403.8
2015-10-28,408,414.9,404,408.15,3032100,408.15
2015-10-29,392.7,410.8,388.95,400.25,3897000,400.25
2015-10-30,405,447.4,402,437.45,9866500,437.45
2015-11-02,461.25,483.6,446,450.75,12808800,450.75
2015-11-03,455.5,462.55,446.1,453.15,5316100,453.15
2015-11-04,456.3,470.8,451,460.3,4836600,460.3
2015-11-05,461,463.45,438,441.15,2455600,441.15
2015-11-06,440.1,447.3,408.65,416.65,4107100,416.65
2015-11-09,390.05,445.65,390.05,440.65,7213100,440.65
2015-11-10,445.1,455,418.3,421.8,8087400,421.8
2015-11-11,426,433.8,423.5,430.85,1166300,430.85
2015-11-12,430.85,430.85,430.85,430.85,0,430.85
2015-11-13,426,442.95,425,435.4,4490300,435.4
2015-11-16,433.8,438,423.2,427.35,2246500,427.35
2015-11-17,431.2,433.1,421.1,428.75,3008000,428.75
2015-11-18,413,427.95,409.15,415.2,5355500,415.2
2015-11-19,420,452,419.6,449.25,8279900,449.25
2015-11-20,450.05,475.8,437.55,458.35,11280400,458.35
2015-11-23,459.7,474.8,453.45,467.35,6520900,467.35
2015-11-24,467,481.6,460.6,473.4,6499800,473.4
2015-11-25,473.4,473.4,473.4,473.4,0,473.4
2015-11-26,477.7,509.75,471.3,506.25,9648000,506.25
2015-11-27,508,518.7,501.75,505.1,6998600,505.1
2015-11-30,502.95,519.4,500.3,512.9,4021300,512.9
2015-12-01,517.4,524.1,510,512.45,3773400,512.45
2015-12-02,515,578.55,506.4,562.7,16361900,562.7
2015-12-03,560,588,558.1,568.9,9480000,568.9
2015-12-04,567.9,579,551.55,555.85,5925300,555.85
2015-12-07,561.4,572,550.5,558.15,3806700,558.15
2015-12-08,566.5,592,566.5,573.05,9902200,573.05
2015-12-09,579,586.4,553.4,560.4,5747800,560.4
2015-12-10,571.9,575.85,548.4,572.2,5685000,572.2
2015-12-11,573.8,576,553.7,562.65,3649100,562.65
2015-12-14,559,573.55,552,570.2,5011200,570.2
2015-12-15,575.75,602.5,573.3,598.5,8752400,598.5
2015-12-16,605,613.95,593.6,598.95,5825400,598.95
2015-12-17,606.5,619.8,602,614.35,5143800,614.35
2015-12-18,615,626.9,608,619,6347100,619
2015-12-21,618.5,628.8,615.7,622.7,3566500,622.7
2015-12-22,625.6,635.9,622,630.5,4319100,630.5
2015-12-23,634.7,637.9,617.5,624.8,3245000,624.8
2015-12-24,626,628.45,607.05,609.45,2193300,609.45
2015-12-25,609.45,609.45,609.45,609.45,0,609.45
2015-12-28,613.5,642,602.1,638,5469500,638
2015-12-29,641.3,653,639.15,647.6,5305100,647.6
2015-12-30,650.5,663.7,645.35,658,3482900,658
2015-12-31,666,709.7,666,702.85,12019100,702.85
2016-01-01,712.7,778,712.5,760.75,20385200,760.75
2016-01-04,751.7,773.7,725.5,732.95,10198900,732.95
2016-01-05,741.9,751.95,728.8,738.8,5209600,738.8
2016-01-06,743.8,758,732.1,744,5740200,744
2016-01-07,740,756.3,724.35,742.6,9021700,742.6
2016-01-08,754,760,743,746.6,4560800,746.6
2016-01-11,745,759.45,738.05,749.15,4013100,749.15
2016-01-12,759.95,783.6,757,773.2,8802600,773.2
2016-01-13,785.7,796.4,739.25,775.8,10915800,775.8
2016-01-14,767,772.2,747.05,753.2,5112400,753.2
2016-01-15,763.45,768.2,696.45,707.9,5157300,707.9
2016-01-18,705,715,608.3,635.5,6660700,635.5
2016-01-19,642,677.9,615,671.1,10473600,671.1
2016-01-20,660,664,626.2,650.85,7474100,650.85
2016-01-21,671,675,648.5,658.85,5305600,658.85
2016-01-22,665.25,667,565.6,617.2,18488400,617.2
2016-01-25,627,634,601,625.25,9993200,625.25
2016-01-26,625.25,625.25,625.25,625.25,0,625.25
2016-01-27,630.25,652.75,626.75,645.5,6195800,645.5
2016-01-28,648.7,657.7,618.75,625,7735800,625
2016-01-29,624.9,624.9,589,602.6,6880900,602.6
2016-02-01,635,639,602.7,605.95,5595900,605.95
2016-02-02,611.1,619.3,595.75,601.45,4924900,601.45
2016-02-03,597,612,555.05,560.7,7642200,560.7
2016-02-04,558.9,564.8,514,528.95,8566800,528.95
2016-02-05,530.5,579.75,515.6,569.5,10568900,569.5
2016-02-08,614,618,586.9,594,11622200,594
2016-02-09,581.2,591.6,571,576.9,4829900,576.9
2016-02-10,581.1,599.9,576,586.95,6196100,586.95
2016-02-11,587,590,516.1,524.45,7807700,524.45
2016-02-12,524,553.45,489.25,543.95,11622000,543.95
2016-02-15,559,575.8,547.7,566.2,5894100,566.2
2016-02-16,571.8,572.1,532.1,534.25,4911200,534.25
2016-02-17,535,553.4,517.6,549.35,6251200,549.35
2016-02-18,560,563.75,534,542.9,4395800,542.9
2016-02-19,557,567,550.6,557.45,4684900,557.45
2016-02-22,558.7,558.95,543.85,551.3,2486700,551.3
2016-02-23,547,564.9,541.4,549.65,4607200,549.65
2016-02-24,548.7,558.8,521,524.9,4500800,524.9
2016-02-25,526,528.85,501.5,504.7,5344100,504.7
2016-02-26,513.7,516.45,490.35,505.4,6916700,505.4
2016-02-29,502.4,508.5,477.7,491.5,6705400,491.5
2016-03-01,479,513.35,476.1,510.1,6092900,510.1
2016-03-02,520,530.5,509.75,513.85,6207500,513.85
2016-03-03,519.15,521.4,509.15,517.25,3672200,517.25
2016-03-04,520,544.8,511.65,534.35,5698600,534.35
2016-03-07,534.35,534.35,534.35,534.35,0,534.35
2016-03-08,531,536.5,520.5,526.65,3245800,526.65
2016-03-09,526.8,543.4,520.6,540.05,3772300,540.05
2016-03-10,549.5,554.9,532.65,536.2,3855300,536.2
2016-03-11,537,545.8,532,538.05,2980300,538.05
2016-03-14,541.5,544.05,523.55,526.2,2696200,526.2
2016-03-15,526.75,536,525,530.8,2826400,530.8
2016-03-16,530,535.2,517.25,528.55,2373000,528.55
2016-03-17,533,533.4,520.15,522.8,1869000,522.8
2016-03-18,520,524.8,514.4,522.6,1994500,522.6
2016-03-21,522.75,549,522.75,546.45,3985700,546.45
2016-03-22,547.6,555,529.55,540.3,3748900,540.3
2016-03-23,534,561.3,533.5,554.15,6202800,554.15
2016-03-24,554.15,554.15,554.15,554.15,0,554.15
2016-03-25,554.15,554.15,554.15,554.15,0,554.15
2016-03-28,555.65,566,541.2,543.95,4161400,543.95
2016-03-29,542.8,549.4,536.25,538.5,2368300,538.5
2016-03-30,545,548.55,539.2,542.9,1461900,542.9
2016-03-31,546,551.35,537.1,547.3,2141200,547.3
2016-04-01,540,569.9,538,566.5,4614800,566.5
2016-04-04,575.35,591.7,573.25,588.4,4533400,588.4
2016-04-05,586,608.45,584,594.45,6965500,594.45
2016-04-06,600,632.95,598,628.95,6458900,628.95
2016-04-07,623,626,608,614.2,4125200,614.2
2016-04-08,611.8,628.5,610,614.95,3479900,614.95
2016-04-11,614.9,628.7,610,626.55,3136900,626.55
2016-04-12,625,644.7,625,630.95,3627600,630.95
2016-04-13,636,637,622.6,626.2,2925000,626.2
2016-04-14,626.2,626.2,626.2,626.2,0,626.2
2016-04-15,626.2,626.2,626.2,626.2,0,626.2
2016-04-18,635,646.55,635,639.4,2473700,639.4
2016-04-19,639.4,639.4,639.4,639.4,0,639.4
2016-04-20,642,642,621.65,624.1,2005000,624.1
2016-04-21,622,629.05,612.55,617.65,2085300,617.65
2016-04-22,616.1,624.6,613.65,615.9,1480100,615.9
2016-04-25,617.2,630,614.7,626.05,1950800,626.05
2016-04-26,632.65,641.8,631,636.15,2997600,636.15
2016-04-27,635.3,641.4,628,637.45,2246600,637.45
2016-04-28,637.35,644.45,624.1,628.15,2313100,628.15
2016-04-29,632.45,634.55,611,617.45,2270700,617.45
2016-05-02,612,629.85,609.05,618.95,2808900,618.95
2016-05-03,624,632.9,616,620.95,2303600,620.95
2016-05-04,623,634.9,620.1,623.8,2073800,623.8
2016-05-05,625,628.95,616,623.05,1473000,623.05
2016-05-06,626.8,632.5,622.6,625.8,1438200,625.8
2016-05-09,628.95,662.4,621.2,657.85,5064500,657.85
2016-05-10,665,669.2,657,661.2,3045300,661.2
2016-05-11,650,664.25,643,651.2,1977200,651.2
2016-05-12,649.2,660.5,643.25,654.25,1721700,654.25
2016-05-13,653,664.25,649.15,651.85,2046100,651.85
2016-05-16,654.75,665,645,662.75,2165500,662.75
2016-05-17,662.4,669.9,648.35,654.75,3056900,654.75
2016-05-18,647.85,657.1,646.1,648.55,2087700,648.55
2016-05-19,650.9,660.5,630,633.45,2039400,633.45
2016-05-20,633.3,635.95,597.6,603.85,2488500,603.85
2016-05-23,607.1,613.7,602,607.15,1643900,607.15
2016-05-24,609.95,610.2,578,582,2328500,582
2016-05-25,587.25,602.3,582.2,598.65,1836000,598.65
2016-05-26,601.4,612,586,606.25,3942500,606.25
2016-05-27,637,638,598.2,604.1,5308900,604.1
2016-05-30,606.7,609.5,592.65,599.3,2117300,599.3
2016-05-31,602,602.75,585,588,1801800,588
2016-06-01,579,584.5,570.7,575.15,2519300,575.15
2016-06-02,574.65,580.5,565.35,570.1,1537300,570.1
2016-06-03,571.8,573,555.75,557.5,1674300,557.5
2016-06-06,557.5,570.7,552.6,565.7,1803400,565.7
2016-06-07,561.4,561.85,550,552.25,1503500,552.25
2016-06-08,549.9,555.3,545.1,551.15,1387600,551.15
2016-06-09,551.15,573.9,547,568.75,2867100,568.75
2016-06-10,576,577.8,566.25,569.6,2465100,569.6
2016-06-13,551.5,561.35,547.7,550.2,1705900,550.2
2016-06-14,553,561.4,550.2,559.15,1323400,559.15
2016-06-15,561.35,575.9,555.1,561.35,5136900,561.35
2016-06-16,557,564.9,553.65,557.55,1787500,557.55
2016-06-17,563,564,545.5,549.95,1302600,549.95
2016-06-20,543.9,589.9,535.3,586,10145400,586
2016-06-21,588,598.7,572.7,576.45,6551000,576.45
2016-06-22,577.9,579.95,559,562.95,2659200,562.95
2016-06-23,562.9,562.9,551.15,556.65,1609000,556.65
2016-06-24,541.2,542.05,507.75,533.6,4058600,533.6
2016-06-27,539.75,549.5,538.05,541.6,1532100,541.6
2016-06-28,545,556.2,544,551.15,1861400,551.15
2016-06-29,555,562,554.6,558.6,1712600,558.6
2016-06-30,563.65,563.65,553.4,555.75,1734000,555.75
2016-07-01,555.75,555.75,544.5,546.35,2351300,546.35
2016-07-04,546,571.5,542.5,570.1,3569100,570.1
2016-07-05,575,581.2,568.5,570.8,2783000,570.8
2016-07-06,570.8,570.8,570.8,570.8,0,570.8
2016-07-07,576.8,581,568.1,569.9,1377300,569.9
2016-07-08,573,578.4,564.2,570.5,1385300,570.5
2016-07-11,580,584.7,570.2,574,2030600,574
2016-07-12,578,582.55,574.2,576.25,1290400,576.25
2016-07-13,577.7,578.25,563.1,564.6,1104400,564.6
2016-07-14,566.8,573.5,564.65,570.7,1033100,570.7
2016-07-15,571.7,571.8,558.2,560.95,824700,560.95
2016-07-18,563.6,572,556.7,559.55,1032600,559.55
2016-07-19,562,566,547.6,553.7,1026800,553.7
2016-07-20,555.9,562.2,554,560.05,989500,560.05
2016-07-21,562.9,562.9,549.2,550.95,940000,550.95
2016-07-22,553.75,572.85,547.35,567.45,1848700,567.45
2016-07-25,569,578,560.75,574.1,1307700,574.1
2016-07-26,570.9,573.95,560.4,566.65,1116000,566.65
2016-07-27,569.7,589.7,568,581.9,3405900,581.9
2016-07-28,585.65,594.6,583.45,588.7,1847900,588.7
2016-07-29,591.6,623.85,590.5,620.6,5045800,620.6
2016-08-01,625,625.6,606.25,608.6,2358100,608.6
2016-08-02,600,605,573.5,578.2,3157000,578.2
2016-08-03,577.8,607.4,575.3,593.8,3286500,593.8
2016-08-04,596,597.8,579.4,588.6,1555200,588.6
2016-08-05,593,605,589.6,599.65,2067700,599.65
2016-08-08,601,603.8,583.35,588.45,2048400,588.45
2016-08-09,585.2,588,551.75,554.55,3077500,554.55
2016-08-10,555,564.9,547.8,552,2186800,552
2016-08-11,554.25,559.95,542.25,547.1,1399300,547.1
2016-08-12,549.85,555.55,535,540.2,2345100,540.2
2016-08-15,540.2,540.2,540.2,540.2,0,540.2
2016-08-16,522,546.35,516.25,539.75,3892600,539.75
2016-08-17,544.8,553,540.6,542.85,1664800,542.85
2016-08-18,547.95,550.85,535.4,540.15,1064800,540.15
2016-08-19,543.65,543.95,533,537.95,1188100,537.95
2016-08-22,541.75,554.5,540,543.55,2208900,543.55
2016-08-23,545.75,558,545.5,549.9,1898400,549.9
2016-08-24,552,554.5,541.6,543.25,1162700,543.25
2016-08-25,547.25,548,531,532.6,1456100,532.6
2016-08-26,534.3,537.95,527.65,529.5,900400,529.5
2016-08-29,532.7,535.7,527.25,529.15,848000,529.15
2016-08-30,532.6,537.6,531.55,534.6,1118100,534.6
2016-08-31,536.8,546.75,535.55,539.05,1797900,539.05
2016-09-01,545.2,552.45,535,538.6,1615700,538.6
2016-09-02,542,542.7,531.3,534.05,850700,534.05
2016-09-05,534.05,534.05,534.05,534.05,0,534.05
2016-09-06,536.75,536.8,525.75,528.45,927600,528.45
2016-09-07,530.45,554.9,528.6,549.35,2515700,549.35
2016-09-08,553.1,557.9,541.6,548.4,1894700,548.4
2016-09-09,549.5,549.5,539.3,540.7,810600,540.7
2016-09-12,534.7,543.9,528.3,531.05,1191600,531.05
2016-09-13,531.05,531.05,531.05,531.05,0,531.05
2016-09-14,533.8,539.3,530.6,534.65,672700,534.65
2016-09-15,536.75,546.9,535.05,540.55,1019500,540.55
2016-09-16,544,547.65,532.5,540.6,1331100,540.6
2016-09-19,542,548,535.5,540.25,951200,540.25
2016-09-20,538,542,533,535.4,645700,535.4
2016-09-21,537.3,545,533.3,535.5,1039600,535.5
2016-09-22,540.95,542.85,536,539.25,685100,539.25
2016-09-23,539,555,538.25,547.55,3157800,547.55
2016-09-26,548.4,562.4,539,541.05,3300700,541.05
2016-09-27,543.8,549,524,526.45,2084700,526.45
2016-09-28,529.2,534.4,525.1,527.15,1333700,527.15
2016-09-29,530.3,530.9,453.15,461.5,4987400,461.5
2016-09-30,464,483.25,456,476.25,2738700,476.25
2016-10-03,478,496.35,476.1,493,2174300,493
2016-10-04,495,503,483.15,487.3,1606800,487.3
2016-10-05,490.8,492.8,482,484.3,1054800,484.3
2016-10-06,484,486.4,471.1,473.85,1222700,473.85
2016-10-07,475.1,477.4,464,466.85,1382000,466.85
2016-10-10,469.2,474.55,465.6,467.05,754000,467.05
2016-10-11,467.05,467.05,467.05,467.05,0,467.05
2016-10-12,467.05,467.05,467.05,467.05,0,467.05
2016-10-13,466.7,466.7,449.2,452,1147800,452
2016-10-14,450.7,460.7,443.1,455.8,1887800,455.8
2016-10-17,457.95,463.6,452,455.65,1165600,455.65
2016-10-18,460,465.2,453.5,461.35,1219500,461.35
2016-10-19,463.05,470.6,457.85,467.85,1551600,467.85
2016-10-20,472.45,473.7,464.4,466.2,960900,466.2
2016-10-21,469.9,483.5,468.6,477.65,2516900,477.65
2016-10-24,478.45,482.4,470.5,471.85,744600,471.85
2016-10-25,473,478,462.4,464.85,1379300,464.85
2016-10-26,464.9,471.25,457,460.35,878900,460.35
2016-10-27,460.9,463.6,453,454.45,1007600,454.45
2016-10-28,454.75,464.5,454.75,458.9,736000,458.9
