"Date","ADANIPORTS.NS.Open","ADANIPORTS.NS.High","ADANIPORTS.NS.Low","ADANIPORTS.NS.Close","ADANIPORTS.NS.Volume","ADANIPORTS.NS.Adjusted"
2015-06-22,306,314.5,304.1,311.05,3121400,309.65
2015-06-23,311.05,318.4,311.05,316.05,2683400,314.62
2015-06-24,316.9,318,309.75,311.55,2241100,310.14
2015-06-25,310.8,316.45,308.1,312.55,5190100,311.14
2015-06-26,311,315.35,309,311.2,2127700,309.8
2015-06-29,306.6,307.5,300.85,306.65,1890600,305.27
2015-06-30,305,309.4,305,307.9,2632100,306.51
2015-07-01,308.8,312.7,306.5,311.3,2854100,309.9
2015-07-02,312.45,319,311.9,316.05,8669500,314.62
2015-07-03,319.95,325.75,319,320.8,5189400,319.35
2015-07-06,316.95,321.1,316.25,320.1,2853100,318.66
2015-07-07,321.8,334.7,321.6,333.05,7877400,331.55
2015-07-08,329.4,329.4,318.9,320.65,6546500,319.2
2015-07-09,323.4,323.4,312.6,315.15,3521000,313.73
2015-07-10,318.75,321.55,315.2,317.1,2531400,315.67
2015-07-13,319,322,313.6,321.4,1890400,319.95
2015-07-14,322.3,322.75,314,315.9,1960100,314.47
2015-07-15,315.9,320.75,315.1,319.65,2112500,318.21
2015-07-16,325,329,322.75,326.9,3075800,325.43
2015-07-17,329.7,330.7,320.1,329.3,2556200,327.81
2015-07-20,328,330.5,325.6,328.8,1847600,327.32
2015-07-21,330.5,331.25,321,322.65,1927100,321.19
2015-07-22,322.4,325.4,320,324.5,1703700,323.04
2015-07-23,325.7,333.35,325,331.35,3000300,329.86
2015-07-24,330.4,330.4,322,323.9,2337400,322.44
2015-07-27,322.2,322.7,312.75,313.95,2359100,312.53
2015-07-28,313.9,317.1,312.2,313.45,2415700,312.04
2015-07-29,314.7,316.3,313.5,314.7,2000300,313.28
2015-07-30,316,319.95,315.1,318.35,3092900,316.91
2015-07-31,319.8,326.5,317.5,325,3265800,323.53
2015-08-03,326,331.9,324,330.7,2834300,329.21
2015-08-04,332.25,340.3,329.6,339.15,4458300,337.62
2015-08-05,342,344,337.55,339.85,2486100,338.32
2015-08-06,341,348.4,335.3,346.75,2426900,345.19
2015-08-07,345.95,347.7,338,339.55,1883300,338.02
2015-08-10,339.1,344.25,337,338.55,4031300,337.02
2015-08-11,340.4,340.4,328.95,331.8,3016900,330.3
2015-08-12,331.8,331.8,331.8,331.8,0,330.3
2015-08-13,328,338,328,334.7,4693300,333.19
2015-08-14,340,365.8,340,363.75,13845300,362.11
2015-08-17,364,365,356.6,358.3,3561500,356.68
2015-08-18,361.65,372.8,361.65,363.45,4140900,361.81
2015-08-19,360,368.2,355.05,365.5,2272300,363.85
2015-08-20,366.95,374.8,358.55,368.55,5891100,366.89
2015-08-21,360.55,367.15,356.35,365.05,4288500,363.4
2015-08-24,348.55,349.7,325.4,334.6,6795000,333.09
2015-08-25,338,349.3,325.65,344.8,5152300,343.24
2015-08-26,344,355.25,336.25,347.85,4493300,346.28
2015-08-27,356.8,362.85,347.95,356.55,14512200,354.94
2015-08-28,360.5,369.45,357,362.65,5905500,361.01
2015-08-31,365,372.4,345.2,355.45,30058500,353.85
2015-09-01,344.95,354.75,339,342.25,3654400,340.71
2015-09-02,344,347.45,332.95,334.55,4886000,333.04
2015-09-03,337.5,344.75,336.1,339.4,2448600,337.87
2015-09-04,338,342.65,330,339.35,2104800,337.82
2015-09-07,340.9,345.5,321.3,322.65,2580600,321.19
2015-09-08,323.65,327.35,311.7,317.55,4788000,316.12
2015-09-09,323.5,327.6,320.15,324.05,2070500,322.59
2015-09-10,319.1,328,314.8,326.2,2432200,324.73
2015-09-11,329,334,320.5,322.95,2528700,321.49
2015-09-14,324.4,331.2,323,329.95,2471800,328.46
2015-09-15,330.4,334.9,326.9,332,2164500,330.5
2015-09-16,337.65,337.65,331.1,334.2,1854400,332.69
2015-09-17,334.2,334.2,334.2,334.2,0,332.69
2015-09-18,340,351.2,335,339.7,11182300,338.17
2015-09-21,335.8,337.3,331.5,332.9,2001100,331.4
2015-09-22,335.5,335.55,317.1,319.1,2640500,317.66
2015-09-23,312.75,316.6,309.25,310.85,3910000,309.45
2015-09-24,313,313.3,300.35,301.85,10386900,300.49
2015-09-25,301.85,301.85,301.85,301.85,0,300.49
2015-09-28,304.6,312,302.75,307.2,3282800,305.81
2015-09-29,304,304.95,293,297.4,5666900,296.06
2015-09-30,302.95,303.5,294,299,5296700,297.65
2015-10-01,302.95,307.1,298.5,305.05,4450400,303.67
2015-10-02,305.05,305.05,305.05,305.05,0,303.67
2015-10-05,310,319.65,309.05,317.85,5465100,316.42
2015-10-06,319.85,320.95,313,315.8,3585000,314.38
2015-10-07,315.8,319.5,312.1,314.55,1851400,313.13
2015-10-08,314.1,322.4,312.15,320.75,3186200,319.3
2015-10-09,323,324.7,315.95,318.55,1322800,317.11
2015-10-12,322,324.25,318,320.75,1229500,319.3
2015-10-13,320,325.3,319.1,323.55,1271600,322.09
2015-10-14,323,328.4,321.3,324.5,1676700,323.04
2015-10-15,325.2,331,325,329,1970500,327.52
2015-10-16,330.45,330.9,320.05,323.3,1561900,321.84
2015-10-19,323.3,324.7,315.6,317.7,1396800,316.27
2015-10-20,319.3,319.3,308.7,309.85,5636600,308.45
2015-10-21,309,314.8,309,314.2,2184100,312.78
2015-10-22,314.2,314.2,314.2,314.2,0,312.78
2015-10-23,317.3,318,313.05,314.15,1598100,312.73
2015-10-26,315.3,317,311.6,316.35,1674100,314.92
2015-10-27,315.8,316.65,310.35,311.3,2983100,309.9
2015-10-28,309,310.75,298.25,300.65,6552700,299.29
2015-10-29,300.85,303.35,298.15,300.1,4435700,298.75
2015-10-30,301.8,302.75,294.35,296.25,3247900,294.91
2015-11-02,293.1,302.7,290.1,295.55,7004800,294.22
2015-11-03,298.35,301.5,290.3,291.2,3207000,289.89
2015-11-04,293.45,295.2,287.55,289.45,2575000,288.14
2015-11-05,289.2,292.95,283,284.1,2305100,282.82
2015-11-06,284.5,287.9,281.3,285.05,2510200,283.76
2015-11-09,277.95,283.5,274.4,276.05,5642700,274.8
2015-11-10,276,276.6,262.45,265.6,5013200,264.4
2015-11-11,265.6,265.6,265.6,265.6,0,264.4
2015-11-12,265.6,265.6,265.6,265.6,0,264.4
2015-11-13,266.5,268.95,261.6,267.35,4675100,266.14
2015-11-16,267,273.25,266.6,272.1,2383600,270.87
2015-11-17,275.8,276.4,269.55,270.75,2545400,269.53
2015-11-18,270.4,272.4,265.7,267.3,2005900,266.09
2015-11-19,268.15,271.5,265.35,270.75,2036000,269.53
2015-11-20,268.1,273.5,268.1,269.7,3352600,268.48
2015-11-23,274.4,278.9,273.4,276.5,3246400,275.25
2015-11-24,276.5,277,269.5,270.25,2730000,269.03
2015-11-25,270.25,270.25,270.25,270.25,0,269.03
2015-11-26,271.5,272.5,267.05,268,5489300,266.79
2015-11-27,269,271.7,267.55,268.25,3022900,267.04
2015-11-30,268.5,269.2,264.25,268,4828700,266.79
2015-12-01,269,269.35,261.1,263.25,5104400,262.06
2015-12-02,263.7,265.8,260.05,261.4,3928800,260.22
2015-12-03,259.95,262.95,256.85,258.85,5427400,257.68
2015-12-04,255,257.9,254.55,255.55,3911800,254.4
2015-12-07,257.85,258.9,254.5,255.1,2699500,253.95
2015-12-08,255,255,250.05,251.05,2741400,249.92
2015-12-09,249,251.3,243.65,244,4226100,242.9
2015-12-10,245.1,249.45,242.15,246.9,4531700,245.79
2015-12-11,247.95,250.4,238.75,241.15,3975600,240.06
2015-12-14,239.8,255.5,239.15,254.55,4625400,253.4
2015-12-15,256.6,257.4,251.1,252.1,3908300,250.96
2015-12-16,253.7,254.5,249,251.65,2954700,250.51
2015-12-17,253,257.65,252,256.3,2430100,255.14
2015-12-18,256,261.25,253.55,260.2,3384200,259.03
2015-12-21,261.55,262.6,257.95,260.6,1249600,259.42
2015-12-22,261.3,261.3,256.35,257.6,1992000,256.44
2015-12-23,259,260.25,255.85,257.3,1924000,256.14
2015-12-24,257.2,261.3,254.45,258.1,1660400,256.94
2015-12-25,258.1,258.1,258.1,258.1,0,256.94
2015-12-28,259,263,257.1,262,2392400,260.82
2015-12-29,263.3,266.4,261.7,263.55,1721000,262.36
2015-12-30,264.4,265,261.05,261.75,1410800,260.57
2015-12-31,262.5,262.95,259.2,260.9,2727800,259.72
2016-01-01,261,268.3,260.1,267.55,1347800,266.34
2016-01-04,264.45,266.5,257,257.95,2536200,256.79
2016-01-05,259.2,260.3,254.25,255.7,2815000,254.55
2016-01-06,253,257.3,250.55,251.8,2029400,250.66
2016-01-07,245.65,247.5,241.5,245,4244400,243.89
2016-01-08,245.3,247.25,239.35,241.4,4219300,240.31
2016-01-11,237,238.7,232.5,234.05,2995700,232.99
2016-01-12,234.2,240.5,234.1,237.25,3544400,236.18
2016-01-13,238.75,239.8,222.8,230.2,4137000,229.16
2016-01-14,227,232.95,224.7,227.8,2802500,226.77
2016-01-15,228.5,229.45,216.5,218.25,3286200,217.27
2016-01-18,211.1,225.9,209.8,219.3,4116300,218.31
2016-01-19,222.8,233.9,218.7,232.85,3713300,231.8
2016-01-20,229.05,229.35,216.05,219.4,4087100,218.41
2016-01-21,224,224,215.1,221.3,7664400,220.3
2016-01-22,223,225,216.45,221.75,5622600,220.75
2016-01-25,223,225.8,217.75,218.4,1804200,217.41
2016-01-26,218.4,218.4,218.4,218.4,0,217.41
2016-01-27,219.95,220.05,214.5,215.35,2189600,214.38
2016-01-28,216,219.95,207.15,210.85,12022100,209.9
2016-01-29,211.35,216.75,208.6,212.25,4589800,211.29
2016-02-01,213.25,221.8,212.75,221.1,3982600,220.1
2016-02-02,221.95,223.95,211.7,213.25,2971000,212.29
2016-02-03,212,214.5,208,210.2,3026400,209.25
2016-02-04,212.55,218,211.65,215.7,2023600,214.73
