"Date","RELIANCE.NS.Open","RELIANCE.NS.High","RELIANCE.NS.Low","RELIANCE.NS.Close","RELIANCE.NS.Volume","RELIANCE.NS.Adjusted"
2015-06-08,906.8,910,883.1,885.45,2479400,876.3507
2015-06-09,883.55,890.65,877.35,883.7,2092300,874.6187
2015-06-10,886,909.9,885,905.8,3088000,896.4915
2015-06-11,906,909.5,873.65,877.15,3354700,868.136
2015-06-12,879,892.7,878.25,889.85,4924500,880.7054
2015-06-15,894.9,905,890,901.75,2939200,892.4832
2015-06-16,899,905,893.2,903.95,3184000,894.6606
2015-06-17,905.05,942.35,894,931.2,5996300,921.6305
2015-06-18,932.55,982,932.5,978.95,11284400,968.8898
2015-06-19,982.5,1006.4,982.5,996.65,10448700,986.408
2015-06-22,996.95,1008.7,986.5,991.7,4433100,981.5088
2015-06-23,992.65,1002.7,991,995,3659000,984.7749
2015-06-24,995,1006.45,986.65,990.9,4252300,980.717
2015-06-25,987,1009,985,1004.55,6211700,994.2267
2015-06-26,999.9,1014.1,995.4,1000.7,4792600,990.4163
2015-06-29,987.9,993.85,972,990.85,4610200,980.6675
2015-06-30,989.9,1002.85,988,1000.1,5299600,989.8225
2015-07-01,1001,1010.45,1001,1005.65,3388500,995.3155
2015-07-02,1009,1019.75,1007.1,1010.85,3641600,1000.462
2015-07-03,1009.75,1013.8,1003.05,1007.2,3161500,996.8495
2015-07-06,996.1,1018.9,995.2,1015.55,2797300,1005.1137
2015-07-07,1011,1016.6,1000,1003.25,2581800,992.9401
2015-07-08,995.85,1008.7,991.65,996.6,3472300,986.3584
2015-07-09,996,1001,983.15,987.4,3713500,977.253
2015-07-10,991.1,1004,990.25,1001.8,3682600,991.505
2015-07-13,1001.8,1012.5,995.15,1007,2253800,996.6516
2015-07-14,1008.9,1011.5,995.2,997.8,2272700,987.5461
2015-07-15,999.75,1014.4,999.55,1011.15,3093300,1000.7589
2015-07-16,1012,1027.8,1011.15,1023.7,3395400,1013.18
2015-07-17,1025.25,1031.15,1018,1021.7,2330400,1011.2005
2015-07-20,1027.8,1029.95,1017.9,1024.75,1451100,1014.2192
2015-07-21,1028,1028.45,1002.75,1007.8,1811100,997.4433
2015-07-22,1005,1053.95,1004.6,1050.4,3956600,1039.6056
2015-07-23,1053.5,1067.85,1041.2,1045.3,4261400,1034.558
2015-07-24,1048,1049.65,1021.1,1025.05,2994300,1014.5161
2015-07-27,1024.9,1029.9,1001.75,1005.35,4598700,995.0185
2015-07-28,1008.3,1016.7,1000.1,1010.25,3059100,999.8682
2015-07-29,1009.5,1012.7,992.1,996,3380900,985.7646
2015-07-30,1000.1,1008,992.3,1000.15,2674700,989.872
2015-07-31,1000,1007.9,990,1001.85,3802300,991.5545
2015-08-03,1001,1013.85,999.4,1002.45,2260100,992.1483
2015-08-04,1003.4,1005.65,980,988,2744500,977.8468
2015-08-05,988.25,1000.8,984.1,987.75,3279000,977.5994
2015-08-06,991,992,977.5,978.95,1990500,968.8898
2015-08-07,979,994,977.15,984.35,1967800,974.2343
2015-08-10,984.5,988.8,964.5,968.9,2123200,958.9431
2015-08-11,971,973.65,958,966,2002900,956.0729
2015-08-12,963.6,966,940.55,942.9,2205900,933.2103
2015-08-13,947,953.95,929.4,933.35,2135000,923.7584
2015-08-14,940.25,972,934.3,966.95,2912000,957.0132
2015-08-17,966,966,946.05,950.7,2481800,940.9301
2015-08-18,956,956,942.2,944.1,1515500,934.3979
2015-08-19,944,961,939.45,954.6,2029200,944.79
2015-08-20,959.95,959.95,913.75,916.3,4344900,906.8836
2015-08-21,910,911.9,897,907.95,4583200,898.6195
2015-08-24,880,880,818,829.55,8145700,821.0251
2015-08-25,840.85,860.65,823.2,848.15,11315800,839.434
2015-08-26,847.8,874.8,840,853.4,4332900,844.6301
2015-08-27,866.8,881.25,857.05,869.15,6171100,860.2182
2015-08-28,875,883,866.1,872.4,2461800,863.4348
2015-08-31,872.85,872.85,853.8,855.9,4733700,847.1044
2015-09-01,853.9,853.9,835.1,839.85,4947800,831.2193
2015-09-02,850,857.1,842.6,849.55,4492200,840.8196
2015-09-03,854.05,860.75,844.4,853.85,2665200,845.0754
2015-09-04,849.7,849.7,825.1,835.9,3703000,827.3099
2015-09-07,838.25,844,827.7,833.2,2339400,824.6376
2015-09-08,836,852.95,825.1,848.6,2948800,839.8793
2015-09-09,861,878.7,850.5,874.05,3963700,865.0678
2015-09-10,861,870.5,855.5,867,2531400,858.0903
2015-09-11,872,876.1,856.2,860.95,2430900,852.1025
2015-09-14,861.75,865.7,851.9,863.85,1820400,854.9726
2015-09-15,862,870,855.6,867,2630900,858.0903
2015-09-16,872.1,877.35,865.2,872.55,3068600,863.5832
2015-09-17,872.55,872.55,872.55,872.55,0,863.5832
2015-09-18,878.45,899.5,877.15,895.4,7831500,886.1984
2015-09-21,880,888.2,876.05,878.1,2910300,869.0762
2015-09-22,880,884.9,844.5,847.9,3599100,839.1866
2015-09-23,843,856.8,840,850.35,3479300,841.6114
2015-09-24,848,848,834.75,837.35,6646500,828.745
2015-09-25,837.35,837.35,837.35,837.35,0,828.745
2015-09-28,839.8,840.9,828.7,834.25,2657100,825.6768
2015-09-29,830,850.25,826.1,840.75,3623800,832.11
2015-09-30,851,864.8,838.5,862.3,3952600,853.4386
2015-10-01,873.95,873.95,858.6,864.7,1980300,855.8139
2015-10-02,864.7,864.7,864.7,864.7,0,855.8139
2015-10-05,862.8,890,861.85,888,3660800,878.8745
2015-10-06,895.65,900.5,885.75,898.05,2818400,888.8212
2015-10-07,894.7,918.05,891,913.8,2632100,904.4093
2015-10-08,914.9,914.9,886.25,889.1,2457900,879.9631
2015-10-09,894.05,905.45,881.5,887.35,2132100,878.2311
2015-10-12,888,901.6,888,891.75,1420000,882.5859
2015-10-13,885.05,896.3,882.9,893.6,1408600,884.4169
2015-10-14,895.8,905,893.95,902.95,1829200,893.6708
2015-10-15,907.7,911,900.1,903.7,2068300,894.4131
2015-10-16,904.5,914.8,903.7,914.8,3485100,905.399
2015-10-19,941,965.5,941,963.5,7658800,953.5986
2015-10-20,965,966.7,953,956.7,4135500,946.8685
2015-10-21,955.5,974.8,953,955,3292600,945.1859
2015-10-22,955,955,955,955,0,945.1859
2015-10-23,963.95,973.05,941.15,955.65,2778000,945.8293
2015-10-26,961.9,963,941.3,942.85,2500400,933.1608
2015-10-27,938.8,948.25,937.4,939.55,2651900,929.8947
2015-10-28,936.9,944.9,929.9,936.95,2733500,927.3214
2015-10-29,936,945,934.95,941,3035600,931.3298
2015-10-30,942.1,955.9,940.1,947.7,3055300,937.961
2015-11-02,949,961.5,945.2,959.8,1650800,949.9366
2015-11-03,963.25,970.45,961.25,967.2,2599700,957.2606
2015-11-04,968,975,946.2,951.3,2293400,941.524
2015-11-05,949,951,933,936.6,2461200,926.975
2015-11-06,939.45,954.75,937.9,952.4,1912500,942.6127
2015-11-09,933.5,965,923.45,961.25,3893100,951.3717
2015-11-10,957,959.5,916.3,922.75,2625500,913.2674
2015-11-11,922.75,922.75,922.75,922.75,0,913.2674
2015-11-12,922.75,922.75,922.75,922.75,0,913.2674
2015-11-13,915.05,938.55,914.5,933.05,3127500,923.4615
2015-11-16,926,942,924.75,934.3,3507900,924.6987
2015-11-17,938.05,938.9,926.2,927.75,1963100,918.216
2015-11-18,927.6,931.3,909.95,912,2571300,902.6278
2015-11-19,918.9,938.7,917.25,934.75,2784800,925.144
2015-11-20,934,952.8,925.55,946.85,2583900,937.1197
2015-11-23,950,957.9,946.2,953.75,2400000,943.9488
2015-11-24,953,971.6,951.05,967.7,3384400,957.7554
2015-11-25,967.7,967.7,967.7,967.7,0,957.7554
2015-11-26,971,991.95,968.25,988.65,5441600,978.4902
2015-11-27,989,992.5,974.1,979.05,2489600,968.9888
2015-11-30,978.5,984.4,962.3,967.1,6839000,957.1616
2015-12-01,964,978.8,961.25,965.9,2967300,955.974
2015-12-02,966.25,979.7,964.5,977.95,1731200,967.9001
2015-12-03,974.9,988.95,974.1,977.2,2597000,967.1578
2015-12-04,972.3,976.2,961.4,965.45,3073000,955.5286
2015-12-07,965.45,973,949.75,952.05,3310700,942.2662
2015-12-08,948.9,953.6,936.1,940.9,1721700,931.2309
2015-12-09,936.2,943.45,912.85,915.9,2097100,906.4878
2015-12-10,922.5,953.8,920,950.35,4249800,940.5837
2015-12-11,951.75,959,942.9,952.95,4150000,943.157
2015-12-14,947.6,963.5,946,955.1,2414700,945.2849
2015-12-15,957,977.95,953.65,975.9,3593000,965.8712
2015-12-16,975.9,987.55,973.5,978.65,2765200,968.5929
2015-12-17,980.05,1015,978,1009.7,4427400,999.3238
2015-12-18,1003.8,1009,990,991.9,3661000,981.7068
2015-12-21,987.9,999,984.35,992.1,2818800,981.9047
2015-12-22,992.8,1002.6,984,987.3,2646800,977.154
2015-12-23,991.8,1006.9,990,1003.8,2953100,993.4844
2015-12-24,1003.9,1007.2,996.3,1000.55,2720500,990.2678
2015-12-25,1000.55,1000.55,1000.55,1000.55,0,990.2678
2015-12-28,1000.6,1013.75,1000,1010.4,2945500,1000.0167
2015-12-29,1010.4,1018.7,1007.15,1015.4,3409000,1004.9653
2015-12-30,1015,1016,1002,1004.5,1863300,994.1773
2015-12-31,1003.4,1019.7,999.1,1014.6,4225000,1004.1734
2016-01-01,1009.8,1018.9,1008.2,1015.35,1238100,1004.9157
2016-01-04,1005,1013.8,986.7,995.3,6896500,985.0718
2016-01-05,1000.3,1010,997,1005.15,3416400,994.8206
2016-01-06,1007.6,1038.4,1000.4,1032.2,6116800,1021.5926
2016-01-07,1021.05,1028,1008.05,1013.25,4512200,1002.8373
2016-01-08,1020,1032.9,1016.7,1025.75,4871800,1015.2089
2016-01-11,1015.95,1060.8,1011,1051.6,6632600,1040.7932
2016-01-12,1055,1065.4,1041.1,1045.45,5342700,1034.7064
2016-01-13,1053.1,1089.75,1047.2,1076.85,16412800,1065.7837
2016-01-14,1063.85,1081,1053.05,1061.65,6359900,1050.74
2016-01-15,1069.75,1089.5,1065.6,1073.3,6575700,1062.2703
2016-01-18,1075,1083.95,1008.1,1016.85,6229900,1006.4003
2016-01-19,1029,1049.8,1014.1,1043.6,4912000,1032.8754
2016-01-20,1034.9,1034.9,990,1004.55,10312300,994.2267
2016-01-21,1017.55,1025.75,976.7,984.2,7261700,974.0859
2016-01-22,994.05,1011,994.05,1004.15,5413400,993.8309
2016-01-25,1010,1018.75,1000,1003.95,2994300,993.6329
2016-01-26,1003.95,1003.95,1003.95,1003.95,0,993.6329
2016-01-27,1008.1,1010,996.95,999.35,3943200,989.0802
2016-01-28,1001,1021.8,997.1,1016.9,5274400,1006.4499
2016-01-29,1018.95,1040,1018,1035.4,4383500,1024.7597
2016-02-01,1039.95,1041.8,1025.55,1030.3,2267200,1019.7122
2016-02-02,1030.3,1032.8,990.5,1001.15,3376400,990.8617
2016-02-03,988,994,975,981.4,3586800,971.3147
2016-02-04,988,1001,965.7,973.05,4161000,963.0504
2016-02-05,979.1,982,961.4,970.9,4799800,960.9226
2016-02-08,971.1,984.8,957.95,961.05,2760800,951.1738
2016-02-09,952.9,968.8,950,957.5,4481000,947.6603
2016-02-10,951.7,973,948.65,962.65,3859200,952.7574
2016-02-11,962.85,965.95,915.5,924.55,3912100,915.0489
2016-02-12,933.9,933.9,888.1,906.55,6701900,897.2338
2016-02-15,918,951.35,918,946.75,4407800,937.0207
2016-02-16,951.1,958,927,930.55,2977200,920.9872
2016-02-17,935.1,957.45,916.4,952.6,3529800,942.8106
2016-02-18,962.95,968.7,936,940.1,3299100,930.439
2016-02-19,940,952.75,937.35,944.35,2339600,934.6454
2016-02-22,944.1,968.3,944.1,962.3,2919100,952.4109
2016-02-23,963.1,967.2,942.75,949.65,4340700,939.8909
2016-02-24,944.9,958.55,942,952.65,3471300,942.8601
2016-02-25,954.2,956.55,940.85,944.1,5675000,934.3979
2016-02-26,953,958.75,944.3,950.35,1908500,940.5837
2016-02-29,951.3,994.6,935,966.65,7093400,956.7162
2016-03-01,964.7,985.05,964.65,981.3,3760900,971.2157
2016-03-02,992.9,1005.75,987.25,1001.5,4595800,991.2081
2016-03-03,1010,1018,997.5,1012.85,3630000,1002.4414
2016-03-04,1014,1015,1003.5,1006.4,2054400,996.0578
2016-03-07,1006.4,1006.4,1006.4,1006.4,0,996.0578
2016-03-08,1007.5,1030.9,1007.5,1027,3022500,1016.446
2016-03-09,1020,1043.9,1018.6,1041.7,2709800,1030.9949
2016-03-10,1042.05,1045.9,1009,1011.75,4733100,1001.3528
2016-03-11,1014.9,1029.55,1010.6,1014.5,3501600,1004.0745
2016-03-14,1019.1,1026.4,1012.95,1019.75,2715500,1009.2705
2016-03-15,1024,1027.85,1015.1,1020.5,2397300,1010.0128
2016-03-16,1021,1025.8,1005.45,1021.75,2529000,1011.25
2016-03-17,1027,1036.9,1012,1016,3847700,1016
2016-03-18,1018.25,1030.15,1015.7,1027.2,3207200,1027.2
2016-03-21,1027.95,1041.5,1022.75,1037.3,2904800,1037.3
2016-03-22,1037,1052.25,1035.65,1047.85,3504900,1047.85
2016-03-23,1046.9,1046.9,1022.4,1029.2,3841600,1029.2
2016-03-24,1029.2,1029.2,1029.2,1029.2,0,1029.2
2016-03-25,1029.2,1029.2,1029.2,1029.2,0,1029.2
2016-03-28,1030,1031.7,1015.65,1020.4,4130500,1020.4
2016-03-29,1023.8,1042,1020.2,1036.25,3627900,1036.25
2016-03-30,1042.7,1051.75,1042.7,1047.05,3303700,1047.05
2016-03-31,1041,1056,1032.7,1045.2,7047900,1045.2
2016-04-01,1039.1,1046.3,1025,1034.45,2830100,1034.45
2016-04-04,1040,1042.2,1025.3,1035.05,1973200,1035.05
2016-04-05,1031.35,1042.4,1022.2,1026.95,2345100,1026.95
2016-04-06,1032.1,1036.7,1022.6,1033.75,1597900,1033.75
2016-04-07,1034.9,1048,1022.1,1037.25,2009000,1037.25
2016-04-08,1035.9,1054.45,1031.2,1036.35,3065700,1036.35
2016-04-11,1037,1045.5,1033,1040.3,2356300,1040.3
2016-04-12,1040.3,1057.45,1038.05,1047.4,2552000,1047.4
2016-04-13,1052.55,1069.9,1052.55,1066.05,3666100,1066.05
2016-04-14,1066.05,1066.05,1066.05,1066.05,0,1066.05
2016-04-15,1066.05,1066.05,1066.05,1066.05,0,1066.05
2016-04-18,1065.8,1066.8,1055.4,1064.75,4358100,1064.75
2016-04-19,1064.75,1064.75,1064.75,1064.75,0,1064.75
2016-04-20,1069.2,1069.2,1035.8,1037.3,4957400,1037.3
2016-04-21,1041.4,1052,1035,1041.15,2601400,1041.15
2016-04-22,1039,1047.5,1029.3,1038.95,2675500,1038.95
2016-04-25,1044.45,1044.45,1012.3,1016.9,13979500,1016.9
2016-04-26,1015.4,1023.9,1007.5,1016.95,6041200,1016.95
2016-04-27,1017.9,1025.95,1016,1019.4,3315000,1019.4
2016-04-28,1014,1019.2,990.95,996.7,14160500,996.7
2016-04-29,993.45,998.55,978.85,982.7,5367000,982.7
2016-05-02,979,992.4,978,986.95,2427700,986.95
2016-05-03,988,994.95,972.75,975.8,4016600,975.8
2016-05-04,974.05,983.7,973,978.1,3096400,978.1
2016-05-05,980,983.45,970.9,975.25,4952400,975.25
2016-05-06,973,976.8,967,968.95,3371200,968.95
2016-05-09,975,986,972.8,983.1,3508000,983.1
2016-05-10,983.1,984.7,978,982.55,1656800,982.55
2016-05-11,971.8,980.75,970,975.4,2820600,975.4
2016-05-12,976,994.2,975.05,992.8,2922700,992.8
2016-05-13,988.95,990.55,975,978.15,3348300,978.15
2016-05-16,977,982.5,971.1,975.95,2132000,975.95
2016-05-17,980.25,983.1,966.35,969.15,2779000,969.15
2016-05-18,965.9,972.5,964.1,970.55,1880900,970.55
2016-05-19,971.7,971.9,945.6,951.2,2088000,951.2
2016-05-20,952,954.5,931.35,934.2,4238900,934.2
2016-05-23,937.35,940.7,925.65,930,4198000,930
2016-05-24,928.05,944,928.05,940.45,2807700,940.45
2016-05-25,949.85,952.8,941.15,951.2,2112100,951.2
2016-05-26,950,952.4,944.1,946.85,3243600,946.85
2016-05-27,949.05,976.9,948.75,974.7,3063300,974.7
2016-05-30,976.4,981.5,965,968.7,2202000,968.7
2016-05-31,969,973,956.5,957.85,5333400,957.85
2016-06-01,957.95,966.1,951.8,953.6,2067000,953.6
2016-06-02,954.5,957.15,945.1,956.25,2343800,956.25
2016-06-03,960,962.9,955.85,959.65,1975700,959.65
2016-06-06,961,963,952.55,954.8,1982400,954.8
2016-06-07,957.25,960.95,951.6,955.05,4332600,955.05
2016-06-08,958,958,949.15,954.1,2773900,954.1
2016-06-09,960,976.45,956.2,971.15,3575800,971.15
2016-06-10,974,984.4,968.3,976.7,3729700,976.7
2016-06-13,969.9,983.45,963.05,981.1,2334800,981.1
2016-06-14,980.95,985.4,969.3,976.25,2497000,976.25
2016-06-15,980,986.5,973.75,984.6,2543900,984.6
2016-06-16,981,983.65,967.05,976.3,2142300,976.3
2016-06-17,977,978.65,970.1,974.9,2408000,974.9
2016-06-20,972.15,992.6,968,990.2,2459200,990.2
2016-06-21,994.1,994.15,979.7,987.1,3184800,987.1
2016-06-22,985,985.9,977.1,980.5,2923200,980.5
2016-06-23,979.95,982,970,980.45,2248600,980.45
2016-06-24,964.9,964.9,933.4,951.45,5711100,951.45
2016-06-27,940.5,958.4,940.5,955.65,2094500,955.65
2016-06-28,956.4,961.55,955,957.8,1738300,957.8
2016-06-29,962,968.95,960,966.9,1719800,966.9
2016-06-30,972,977.5,967.05,969.15,2916300,969.15
2016-07-01,972.75,976.8,970,973.45,1510900,973.45
2016-07-04,975.5,993.6,975.5,986.7,1783700,986.7
2016-07-05,986.1,1002.9,980.3,993.1,2596600,993.1
2016-07-06,993.1,993.1,993.1,993.1,0,993.1
2016-07-07,992.5,1000.5,986.15,987.9,2749600,987.9
2016-07-08,987,989,976.35,978.4,1632200,978.4
2016-07-11,991,994.95,985.5,992.5,1889600,992.5
2016-07-12,995.25,1005,991,1003.4,2232600,1003.4
2016-07-13,1005.2,1016.7,1004.15,1008.75,3409300,1008.75
2016-07-14,1008.1,1014.1,998.25,1004.9,2459100,1004.9
2016-07-15,1009,1021,1003.5,1012.2,3198500,1012.2
2016-07-18,1028,1038.75,1001.75,1006.25,7339000,1006.25
2016-07-19,1006,1022.95,995.3,1017.8,3805700,1017.8
2016-07-20,1019.95,1028.3,1016.55,1023,2803600,1023
2016-07-21,1024,1025,1005,1006.35,1534000,1006.35
2016-07-22,1006,1017.8,1005.1,1014.85,1577100,1014.85
2016-07-25,1014,1023.75,1007.35,1022.75,1883800,1022.75
2016-07-26,1023,1034.8,1015.2,1024.05,2403800,1024.05
2016-07-27,1023.05,1026,1008.95,1013.1,2521400,1013.1
2016-07-28,1014.95,1030.5,1013.05,1026.35,3568300,1026.35
2016-07-29,1024,1024.9,1012,1014.9,2201100,1014.9
2016-08-01,1018,1020.3,1005.05,1009.5,1823600,1009.5
2016-08-02,1008,1020,1006.3,1012.8,1762400,1012.8
2016-08-03,1014.4,1014.4,991.5,993.95,2713800,993.95
2016-08-04,999,1000,983.4,993,2328700,993
2016-08-05,998,1019,997.05,1016.25,2767900,1016.25
2016-08-08,1019.9,1034,1018.65,1029.25,3098700,1029.25
2016-08-09,1027,1034.5,1021,1030.7,3038000,1030.7
2016-08-10,1031.25,1034.55,1002,1003.65,3079400,1003.65
2016-08-11,1001.95,1022.85,999.6,1014.1,3238800,1014.1
2016-08-12,1017,1042.9,1017,1035.8,3740800,1035.8
2016-08-15,1035.8,1035.8,1035.8,1035.8,0,1035.8
2016-08-16,1036.25,1044.8,1015.5,1024.9,3055600,1024.9
2016-08-17,1024.1,1028.8,1007.2,1013.3,3539900,1013.3
2016-08-18,1016,1023.65,1016,1018.05,1771400,1018.05
2016-08-19,1018,1022,1007.1,1014.9,1869300,1014.9
2016-08-22,1012,1019.7,1007.2,1011.85,1527900,1011.85
2016-08-23,1012,1015,1005,1010.45,1673300,1010.45
2016-08-24,1011.7,1021.95,1011,1020.5,1993100,1020.5
2016-08-25,1021.2,1029,1009,1012.7,3419700,1012.7
2016-08-26,1017.9,1030.8,1014.6,1027.9,2203400,1027.9
2016-08-29,1027.25,1059.75,1026.1,1057.45,3701400,1057.45
2016-08-30,1062,1068.5,1053,1066.4,4153500,1066.4
2016-08-31,1064.9,1074,1047,1060,5324900,1060
2016-09-01,1053,1072.75,1025.7,1029.2,9742400,1029.2
2016-09-02,1031.1,1032.55,1002.3,1013.35,6428800,1013.35
2016-09-05,1013.35,1013.35,1013.35,1013.35,0,1013.35
2016-09-06,1019.9,1025,1015,1019.9,2631000,1019.9
2016-09-07,1022,1027.05,1013.05,1017.65,2954900,1017.65
2016-09-08,1023.05,1035.95,1020.2,1033.4,2790100,1033.4
2016-09-09,1035,1049.9,1030,1044.55,3490400,1044.55
2016-09-12,1030.4,1056,1029.15,1046.5,7699800,1046.5
