"Date","JISLJALEQS.NS.Open","JISLJALEQS.NS.High","JISLJALEQS.NS.Low","JISLJALEQS.NS.Close","JISLJALEQS.NS.Volume","JISLJALEQS.NS.Adjusted"
2015-07-13,72.85,73.9,72.05,73.05,3147300,72.0262
2015-07-14,73.5,75.95,73.5,74.5,6910600,73.4559
2015-07-15,74.8,75.15,72.75,73.1,3833700,72.0755
2015-07-16,73.6,73.85,72.5,72.7,3055400,71.6811
2015-07-17,72.8,74.6,72.7,73.95,2818200,72.9136
2015-07-20,74.3,77,73.3,76.6,5511600,75.5264
2015-07-21,78.45,78.7,75.1,75.55,8781200,74.4912
2015-07-22,75.5,77.4,75.1,77.15,2648400,76.0687
2015-07-23,76.6,78.95,76.5,77.3,3721700,76.2166
2015-07-24,77.2,77.5,75.4,75.85,2688600,74.7869
2015-07-27,75.3,75.65,72.55,72.7,3316500,71.6811
2015-07-28,72.7,73.65,70.7,72.35,5326600,71.336
2015-07-29,72.45,73,71.25,72.2,3016400,71.1881
2015-07-30,72.65,74.75,71.9,74.35,5779900,73.308
2015-07-31,74.6,75.9,73.6,74.4,4473100,73.3573
2015-08-03,74.5,76.5,74.2,75.65,3206100,74.5897
2015-08-04,75.85,76.6,74.5,76.2,3106500,75.132
2015-08-05,76.5,76.9,75.3,75.7,2479600,74.639
2015-08-06,75.6,76.1,73.8,74.85,2588500,73.801
2015-08-07,74.95,76.7,74.5,75.6,2051500,74.5404
2015-08-10,75.5,77.9,74.7,76.1,4519400,75.0334
2015-08-11,76.9,76.9,69.25,69.65,7776400,68.6738
2015-08-12,69,69.9,65.2,65.75,6606100,64.8285
2015-08-13,66.3,67.3,63.1,63.4,4229700,62.5114
2015-08-14,64,65.6,63.05,64.6,3927100,63.6946
2015-08-17,64.95,65.35,63.5,63.9,2768500,63.0044
2015-08-18,64.9,66.75,64.4,65.85,4158100,64.9271
2015-08-19,65.9,66.85,65.1,65.65,2570700,64.7299
2015-08-20,65.4,66,63,63.25,3265300,62.3635
2015-08-21,61.4,63.8,60.4,63.3,2934700,62.4128
2015-08-24,60.5,61.35,51.55,52.95,6226700,52.2079
2015-08-25,54.9,55.95,50.5,55.35,6911900,54.5743
2015-08-26,54.9,57.6,53,56.5,4438700,55.7081
2015-08-27,57.9,58.95,56.9,58.25,9423900,57.4336
2015-08-28,58.85,59.85,57.35,58.2,2990800,57.3843
2015-08-31,58,58.9,57.25,58.45,3097200,57.6308
2015-09-01,57.9,57.9,54.05,55.25,2850900,54.4757
2015-09-02,55.7,56.4,54.5,55.7,2056000,54.9194
2015-09-03,56.3,58,55.9,57.6,2705700,56.7927
2015-09-04,57.7,57.75,53.4,55.1,2576700,54.3278
2015-09-07,55.8,56.3,53.1,54.4,2811500,53.6376
2015-09-08,54.25,57.2,53.9,56.2,2112600,55.4123
2015-09-09,57.25,57.9,56.35,56.9,1899600,56.1025
2015-09-10,56,58.25,54.4,57.65,2896100,57.3459
2015-09-11,57.5,60.6,57.5,59.6,3279300,59.2857
2015-09-14,60.05,61.45,59.8,61,2526300,60.6783
2015-09-15,61,61.4,58.05,58.55,2706000,58.2412
2015-09-16,59.25,59.85,58,58.8,1967300,58.4899
2015-09-17,58.8,58.8,58.8,58.8,0,58.4899
2015-09-18,59.5,60.8,59.05,60.25,2996200,59.9322
2015-09-21,59.05,61.45,59.05,60.65,1545400,60.3301
2015-09-22,61.1,61.95,58.5,58.9,2363600,58.5893
