"Date","SUNTV.NS.Open","SUNTV.NS.High","SUNTV.NS.Low","SUNTV.NS.Close","SUNTV.NS.Volume","SUNTV.NS.Adjusted"
2015-05-06,355.5,361.05,340.05,342.95,524500,329.508
2015-05-07,339.1,357.9,336.8,354.2,980700,340.317
2015-05-08,354.45,367.4,346.6,362.15,617200,347.956
2015-05-11,362.15,369.9,357,367.05,315200,352.664
2015-05-12,367.05,367.05,350.2,358,474800,343.968
2015-05-13,358.45,363.5,345.65,350.55,516400,336.81
2015-05-14,351,357.7,347,355.5,357400,341.566
2015-05-15,356,356.95,345.15,347.35,479400,333.736
2015-05-18,349,368.45,346.1,362.9,449600,348.676
2015-05-19,364,364,349,350.7,650400,336.955
2015-05-20,353,357.35,350,354.35,345200,340.462
2015-05-21,354.5,362.45,353.2,359.6,442000,345.506
2015-05-22,358,367,355,357.7,619000,343.68
2015-05-25,357,366,350.6,363.35,354400,349.109
2015-05-26,364.9,374.75,359,371.15,441900,356.603
2015-05-27,369.15,381.05,364.15,379.8,617800,364.914
2015-05-28,379.8,388.8,373,387.05,783300,371.88
2015-05-29,387.55,388.8,370.85,379.2,421100,364.338
2015-06-01,385,386.5,361.5,362.9,449400,348.676
2015-06-02,362,365.4,352.3,355.6,380000,341.663
2015-06-03,351,355.15,334.1,349.45,390200,335.754
2015-06-04,350.7,360.05,324.9,359.4,465500,345.314
2015-06-05,358.5,363.4,351,356.4,481300,342.431
2015-06-08,320.8,320.8,257.45,278.65,14851700,267.729
2015-06-09,275,296.7,272.3,291,4631600,279.594
2015-06-10,299,315.35,288.55,295.3,4062500,283.726
2015-06-11,296,296.9,279,287.85,2551200,276.568
2015-06-12,287.5,294.1,282,287,2639800,275.751
2015-06-15,294,321.4,293.3,303.75,5056200,291.845
2015-06-16,304.7,312.55,303.75,310.2,1518300,298.042
2015-06-17,310.2,314.9,305.15,312.1,1056200,299.867
2015-06-18,306.15,312.55,305.85,309.5,570200,297.369
2015-06-19,312,342.2,312,333.9,4327600,320.813
2015-06-22,337.4,342.25,324.1,333.15,2004000,320.092
2015-06-23,319.6,326.75,311.7,322,2350700,309.379
2015-06-24,324.8,324.8,275.15,293.15,11428900,281.66
2015-06-25,296,298,286,290.85,5369600,279.45
2015-06-26,292.7,297,285,289.4,3757800,278.057
2015-06-29,280,285,273.5,280,3388700,269.026
2015-06-30,286.1,292.5,269.95,282.5,6176500,271.428
2015-07-01,282.4,286.75,279,280.2,1987700,269.218
2015-07-02,280.2,288.9,273,283.1,3550100,272.004
2015-07-03,282.85,286.75,280.35,282.65,1294300,271.572
2015-07-06,275.95,299.5,273.55,287.4,2693700,276.136
2015-07-07,291,293.5,285.15,286.9,1306900,275.655
2015-07-08,285,289.4,277.05,279.2,1088600,268.257
2015-07-09,279,283.4,276.15,278.2,1152200,267.296
2015-07-10,285.9,293.3,273.1,275.25,3063800,264.462
2015-07-13,277,284.8,274.5,277.65,1814800,266.768
2015-07-14,279.4,282.65,278,279.05,1066500,268.113
2015-07-15,277,277.1,266.8,267.25,3074200,256.775
2015-07-16,265.5,273.95,265.45,269.85,1872400,259.273
2015-07-17,270.1,272,265.5,267.75,1784300,257.256
2015-07-20,271.15,272.75,264.35,264.7,1538700,254.325
2015-07-21,265.8,269.6,261.95,262.4,1379500,252.115
2015-07-22,265.6,270,255.8,258.05,2451600,247.936
2015-07-23,261,279,258,274.15,4107700,263.405
2015-07-24,277.4,283.55,271.1,279.7,2450500,268.737
2015-07-27,295,303.9,285,292.35,3958500,280.892
2015-07-28,291.15,293,270.05,275,2794100,264.222
2015-07-29,290,313.7,277.05,303.65,3828500,291.749
2015-07-30,306.05,329.75,295.6,309.25,6824800,297.129
2015-07-31,311,346.4,310.2,336.8,10256400,323.599
2015-08-03,336,397.7,336,374,9421300,359.341
2015-08-04,375,376.6,344.1,352.95,4642900,339.116
2015-08-05,356.5,372,347,353.05,4510400,339.212
2015-08-06,355,356.5,345.1,348.8,2115900,335.129
2015-08-07,346,350,335.15,337.35,2566900,324.128
2015-08-10,338.4,350.5,338.4,341.2,3260200,327.827
2015-08-11,325,349,318.2,342.4,4466600,328.98
2015-08-12,344,346.1,323,327.05,2676200,314.231
2015-08-13,330.95,338,320.4,332.1,1451900,319.084
2015-08-14,337,353.7,325.65,350.2,3088400,336.474
2015-08-17,354,371.9,342,363.85,2933500,349.589
2015-08-18,359.6,365.8,335,347.25,3370900,333.64
2015-08-19,348.7,358.5,340.15,352.3,1846100,338.492
2015-08-20,345,353,340.8,344.95,2219800,331.43
2015-08-21,342,346,323,338.05,2477400,324.8
2015-08-24,328,328,292.95,298.6,2151400,286.897
2015-08-25,303.9,326.8,301.25,322.3,2978900,309.668
2015-08-26,325,331.5,312.7,325.65,1342900,312.886
2015-08-27,329,345.9,327.5,340.4,2339300,327.058
2015-08-28,347.5,350.95,330.65,334.65,1459400,321.534
2015-08-31,333,345.4,331.35,342.8,2587100,329.364
2015-09-01,341.95,367.7,336.6,346.25,2273700,332.679
2015-09-02,349.95,379.45,339.2,371.8,2797600,357.228
2015-09-03,382,387,369,372.6,1990600,357.996
2015-09-04,369.95,394,357.4,387.65,2435300,372.456
2015-09-07,390.2,399,365,369.6,2859700,355.114
2015-09-08,374.5,382.5,365.6,376.25,1993200,361.503
2015-09-09,380.95,383.55,367.5,370.7,1567800,356.171
2015-09-10,362.5,365.6,335.55,344.35,3216000,330.853
2015-09-11,348.75,351.8,335.2,341.8,3198900,328.403
2015-09-14,345.75,349.5,338.25,344.55,1798600,331.046
2015-09-15,342.5,352.75,340.15,342.45,1722800,329.028
2015-09-16,345,348.9,340.8,344.65,1097800,331.142
2015-09-17,344.65,344.65,344.65,344.65,0,331.142
2015-09-18,349.5,355.9,342.7,348.05,1497700,334.408
2015-09-21,350,360,346.55,355.9,1840400,341.951
2015-09-22,359.95,371,355,360.65,2275000,346.515
2015-09-23,357,369.8,349.3,365.95,1161100,351.607
2015-09-24,373.7,380.5,365.1,376.15,2661500,361.407
2015-09-25,376.15,376.15,376.15,376.15,0,361.407
2015-09-28,377,377.05,355,357.05,1381700,343.056
2015-09-29,352,369.05,349,357.95,1528000,343.92
2015-09-30,362.85,363.95,355.2,359.25,765200,345.169
2015-10-01,360,369.2,355.45,366.45,919100,352.087
2015-10-02,366.45,366.45,366.45,366.45,0,352.087
2015-10-05,370.95,370.95,363.1,366.35,789700,351.991
2015-10-06,367.9,367.9,356.7,357.9,1029000,343.872
2015-10-07,359,359.95,350.15,352.15,935500,338.348
2015-10-08,353,363.5,352.5,356.25,860900,342.287
2015-10-09,358.7,360.9,351.25,352.6,509700,338.78
2015-10-12,354.65,361.8,350.05,354.45,524400,340.558
2015-10-13,355,369,353.3,366.25,983900,351.895
2015-10-14,369.35,373.3,358.25,360.25,899200,346.13
2015-10-15,358,369.9,357.2,368.7,961500,354.249
2015-10-16,369.5,373,366.2,369,765400,354.537
2015-10-19,374,375.25,370.2,372.25,526500,357.66
2015-10-20,373.7,379,367.7,376.15,568700,361.407
