"Date","JSWSTEEL.NS.Open","JSWSTEEL.NS.High","JSWSTEEL.NS.Low","JSWSTEEL.NS.Close","JSWSTEEL.NS.Volume","JSWSTEEL.NS.Adjusted"
2015-07-03,886,895,867.1,868.95,3720900,72.0051
2015-07-06,858.75,884.7,844.15,881.25,4158200,83.6082
2015-07-07,882,888.65,870,876.5,5258900,83.1576
2015-07-08,869.45,873,843.35,848.8,5448400,80.5296
2015-07-09,851,859.5,834.6,839,4946900,79.5998
2015-07-10,849.9,849.9,818,829.9,8017000,78.7364
2015-07-13,835.1,840.5,819.95,834.8,6870200,79.2013
2015-07-14,840.05,844.9,827.05,831.05,8426800,78.8455
2015-07-15,834.85,841.5,821.5,824.6,8968000,78.2336
2015-07-16,830,872.5,825.35,868.4,8516800,82.3891
2015-07-17,866.8,866.8,853.5,858.3,6176700,81.4309
2015-07-20,856.95,865.5,850,852.1,3209100,80.8426
2015-07-21,854,854.9,830.25,836.05,3706800,79.3199
2015-07-22,833.9,862,830,859.05,3978600,81.502
2015-07-23,862,867.5,852.55,859.5,3992600,81.5447
2015-07-24,859,868.7,840.5,845.45,3543300,80.2117
2015-07-27,842,845.9,811,813.95,3971900,77.2232
2015-07-28,816,825,800,809.75,5514500,76.8247
2015-07-29,809.55,818.75,800.05,813.05,6404200,77.1378
2015-07-30,809.95,855,802.4,850.15,17834200,80.6576
2015-07-31,850,853.75,825.4,831.45,5538700,78.8835
2015-08-03,831,842.5,819,834.05,4551700,79.1302
2015-08-04,839,893.65,825.5,879.75,10741800,83.4659
2015-08-05,890,913.5,884,886.25,7235900,84.0826
2015-08-06,888,912,871.15,902.3,7855900,85.6054
2015-08-07,903,930.8,898.5,922.45,6474400,87.5171
2015-08-10,922,934.95,908,916.1,5391100,86.9146
2015-08-11,912.05,921.15,889.6,896.3,7367300,85.0361
2015-08-12,889.85,912.45,872.55,877.55,11933000,83.2572
2015-08-13,885,898,851.25,857.3,11228200,81.336
2015-08-14,865,903.5,855.2,900.6,9206100,85.4441
2015-08-17,900,976.7,900,966.8,14490700,91.7248
2015-08-18,972.5,1013,954.15,987.1,20205600,93.6507
2015-08-19,985,995,956.5,974.8,8608600,92.4838
2015-08-20,961.55,980,953.1,961.55,16718300,91.2267
2015-08-21,942,953,931.1,947.15,11999900,89.8605
2015-08-24,910,914.75,855,866.8,9891300,82.2373
2015-08-25,879.05,900,828.7,888.2,7624100,84.2676
2015-08-26,886,910.5,860,891.35,7803800,84.5665
2015-08-27,899,937.55,896.55,932.1,12623000,88.4326
2015-08-28,950,950.85,912.6,925.9,5894700,87.8444
2015-08-31,929,933.95,912.05,920.05,4991200,87.2894
2015-09-01,903.15,917.4,893,902.05,5320100,85.5816
2015-09-02,903,925,885.3,891.05,7482100,84.538
2015-09-03,897,940,894.5,930,8770500,88.2334
2015-09-04,925,927.45,892.05,903.45,5668200,85.7145
2015-09-07,906.05,918.5,885.55,890.8,6717000,84.5143
2015-09-08,895,950,891,942.65,9845500,89.4335
2015-09-09,968.8,999,954.75,981.55,11875400,93.1242
2015-09-10,966.5,986.5,952.45,975.65,8878700,92.5644
2015-09-11,984.05,987.75,957,963.6,6720500,91.4212
2015-09-14,980.2,999.5,963.6,993.25,8455200,94.2342
2015-09-15,998.5,1005.8,943.1,948.2,9069400,89.9601
2015-09-16,957,965.4,941,950.45,6624500,90.1736
2015-09-17,950.45,950.45,950.45,950.45,0,90.1736
2015-09-18,961,977,926.2,944.3,14930700,89.5901
2015-09-21,935.1,947.7,923.3,926.15,8287400,87.8681
2015-09-22,928.05,933.7,903.1,911.75,7904700,86.5019
2015-09-23,899.9,899.9,865.55,874.35,10533400,82.9536
2015-09-24,870,895.5,864.1,880.3,9277500,83.5181
2015-09-25,880.3,880.3,880.3,880.3,0,83.5181
2015-09-28,881,887.5,858.1,864.95,5006500,82.0618
2015-09-29,840.25,859.95,830.1,840.15,6367400,79.7089
2015-09-30,858,894.8,852.25,889.25,9580900,84.3672
2015-10-01,888,889.5,872,876.4,5778100,83.1481
2015-10-02,876.4,876.4,876.4,876.4,0,83.1481
2015-10-05,883,913,879.2,908.2,8785800,86.1651
2015-10-06,913.8,915.9,897.6,900.35,7584600,85.4203
2015-10-07,904.9,923.7,897.55,915.05,9421300,86.815
2015-10-08,914,927.9,902,913.5,7572700,86.6679
2015-10-09,924,931,905.55,909.35,7588200,86.2742
2015-10-12,913.9,924.85,893,902.6,10185500,85.6338
2015-10-13,904,920.55,891.3,917.55,9713800,87.0522
2015-10-14,913,941,900.65,905.35,10874700,85.8947
2015-10-15,910,922,900.05,912.7,8789100,86.592
2015-10-16,914,920,895.25,896.95,6739600,85.0978
2015-10-19,897.3,906.9,882.45,890.65,8540900,84.5001
2015-10-20,889,904,884.5,893.55,11650600,84.7752
2015-10-21,891.55,913.8,887,906.15,11028900,85.9706
2015-10-22,906.15,906.15,906.15,906.15,0,85.9706
2015-10-23,919,921,901.9,915.55,11081300,86.8624
2015-10-26,919,925,906.15,908.8,6851300,86.222
2015-10-27,905.35,915,896.8,911.2,6490700,86.4497
2015-10-28,908.7,916.85,905.05,911.7,5870900,86.4972
2015-10-29,909.2,924.95,905.7,921.5,13032300,87.4269
2015-10-30,921,939.8,907.15,910.35,8594100,86.3691
2015-11-02,910.9,915.8,887.65,895.95,5215500,85.0029
2015-11-03,899.2,905.55,888,893.6,4467100,84.7799
2015-11-04,897,904.75,890.1,892.15,3418600,84.6424
2015-11-05,890.5,893.95,868.2,871.75,6709400,82.7069
2015-11-06,866.05,881,856.1,873.5,4956000,82.873
2015-11-09,858.9,934.6,856.6,886.15,4956500,84.0731
2015-11-10,880.1,882.05,868,872.65,3870800,82.7923
2015-11-11,872.65,872.65,872.65,872.65,0,82.7923
2015-11-12,872.65,872.65,872.65,872.65,0,82.7923
2015-11-13,874.1,917,870.5,910.55,5458000,86.3881
2015-11-16,904.9,920,892.7,906.4,6734100,85.9943
2015-11-17,908.2,918,891,894.55,5019200,84.8701
2015-11-18,894.8,902.2,879,885.65,5359600,84.0257
2015-11-19,888.65,907.9,888.65,905.05,4458100,85.8663
2015-11-20,907,913.5,892.7,895.1,6360600,84.9223
2015-11-23,896.2,901.95,882.3,889.9,3245800,84.4289
2015-11-24,884.95,898.5,881.35,886.65,5396400,84.1206
2015-11-25,886.65,886.65,886.65,886.65,0,84.1206
2015-11-26,891,899,881.1,892.8,7810300,84.704
2015-11-27,892.9,903.4,870.1,872.05,8163200,82.7354
2015-11-30,871,909.8,870.7,905.5,12445000,85.909
2015-12-01,892,948.7,891.15,943.75,16148900,89.5379
2015-12-02,946.25,984.6,939,981.25,19082900,93.0957
2015-12-03,978,994,967,976.8,12941700,92.6735
2015-12-04,974,977.95,962.85,970.7,10064600,92.0948
2015-12-07,973.1,981.75,962.55,973.1,11031500,92.3225
2015-12-08,971.25,975.45,957.6,960.75,5796100,91.1508
2015-12-09,959.25,960,939.2,941.85,6127400,89.3576
2015-12-10,943,966.1,935.55,960.6,8144900,91.1365
2015-12-11,966,983.7,957,967.9,9911200,91.8291
2015-12-14,969,1025,967.15,1020.5,19498000,96.8195
2015-12-15,1022.9,1026.9,1004.2,1013.25,7208800,96.1317
2015-12-16,1017,1029,998.3,1008.9,7149100,95.719
2015-12-17,1010,1054.7,1010,1047.8,14684900,99.4096
2015-12-18,1043.2,1046.5,1022.2,1027,8950600,97.4362
2015-12-21,1034,1054.85,1029.5,1046.35,6490700,99.272
2015-12-22,1043.2,1056.5,1035.1,1037.8,6015200,98.4609
2015-12-23,1045.05,1055.6,1042.1,1051.5,5577500,99.7606
2015-12-24,1062,1072,1047.75,1065.3,4649600,101.0699
2015-12-25,1065.3,1065.3,1065.3,1065.3,0,101.0699
2015-12-28,1067.05,1068.8,1023.6,1029.15,6017400,97.6402
2015-12-29,1032,1047.7,1028.5,1035.6,6974600,98.2521
2015-12-30,1040.5,1050,1017.5,1027.5,6161600,97.4836
2015-12-31,1028,1039,1020,1032.2,6390300,97.9296
2016-01-01,1028.9,1036.8,1020.5,1027,4507100,97.4362
2016-01-04,1023,1061,1018.3,1044.7,12127700,99.1155
2016-01-05,1056.1,1091.35,1052.25,1083.1,14205100,102.7587
2016-01-06,1083,1097,1052,1058.2,8015400,100.3963
2016-01-07,1035.25,1046,1022.55,1026.35,5304600,97.3745
2016-01-08,1034.9,1047.65,1026,1041.15,7315600,98.7787
2016-01-11,1029.05,1032.7,1008.25,1019.65,5261300,96.7389
2016-01-12,1024.9,1030.15,1002.5,1012.8,5909700,96.089
2016-01-13,1019.5,1024.9,980.3,1003.7,10572100,95.2256
2016-01-14,987,1017.95,974.3,1003.45,7062400,95.2019
2016-01-15,1011,1012.9,967.5,972.45,5723600,92.2608
2016-01-18,973.55,1018,953,990.95,9450200,94.016
2016-01-19,996.95,1010,982.9,998.55,6397200,94.737
2016-01-20,982.6,1044.9,976.15,1023.85,7868100,97.1374
2016-01-21,1035.6,1044.4,997,1025.35,9454500,97.2797
2016-01-22,1036,1073.45,1029.2,1068,8586700,101.3261
2016-01-25,1070,1114.75,1060.1,1107.25,14860700,105.0499
2016-01-26,1107.25,1107.25,1107.25,1107.25,0,105.0499
2016-01-27,1105,1127,1104.25,1121.25,15625600,106.3781
2016-01-28,1107.5,1112.05,1088,1092.2,16934700,103.622
2016-01-29,1086,1101.9,1042.4,1057.05,11992500,100.2872
2016-02-01,1041.6,1071.85,1032.8,1050.55,13325900,99.6705
2016-02-02,1052.05,1060.45,998.95,1003.3,9835300,95.1877
2016-02-03,984.4,1029,958.35,973.4,17343200,92.3509
2016-02-04,978.2,1021.6,970.6,1010.7,9921300,95.8898
2016-02-05,1016.25,1043.5,1008,1037.05,10015000,98.3897
2016-02-08,1065,1082,1045,1050.1,12200000,99.6278
2016-02-09,1039.5,1055,996.7,1000,9116200,94.8746
2016-02-10,995,1039.75,986.4,1022.55,12409200,97.014
2016-02-11,1016.35,1028,987,1001.6,14652800,95.0264
2016-02-12,1011.25,1016.4,950,1005.5,14369400,95.3964
2016-02-15,1018,1057.5,1016,1041.4,9467800,98.8024
2016-02-16,1050.05,1053.8,1024,1033.7,7094900,98.0719
2016-02-17,1030.1,1054.65,998.1,1047.5,7799800,99.3811
2016-02-18,1059.55,1062,1036.75,1056.8,7849700,100.2635
2016-02-19,1050,1087.5,1045.55,1083.5,8393000,102.7966
2016-02-22,1089.05,1106,1075.2,1102.7,7329700,104.6182
2016-02-23,1095,1144.4,1095,1124,18691100,106.639
2016-02-24,1111.05,1134.45,1105,1109.5,8374100,105.2634
2016-02-25,1112,1138.9,1111,1125.65,28055800,106.7956
2016-02-26,1125,1126,1090.6,1099.1,5918200,104.2767
2016-02-29,1104,1145,1099,1126.45,9054600,106.8715
2016-03-01,1130,1152.6,1126,1143.45,10282700,108.4844
2016-03-02,1152,1167,1127.3,1133.25,9316800,107.5166
2016-03-03,1142,1166.8,1136.2,1159.8,10701700,110.0356
2016-03-04,1161.1,1197.85,1152,1185.45,12243500,112.4691
2016-03-07,1185.45,1185.45,1185.45,1185.45,0,112.4691
2016-03-08,1193.95,1206.85,1176,1186.25,8142200,112.545
2016-03-09,1165.05,1185.5,1159.9,1180.05,6366100,111.9568
2016-03-10,1184,1204.5,1175.85,1185.9,7841700,112.5118
2016-03-11,1180,1197.45,1177,1183.55,6014400,112.2888
2016-03-14,1186,1197.9,1176,1180.9,6132600,112.0374
2016-03-15,1180,1201,1173.05,1195,8475200,113.3751
2016-03-16,1200,1207.8,1185.2,1200.1,6420800,113.859
2016-03-17,1211.5,1220.85,1197,1202.4,8833900,114.0772
2016-03-18,1205,1217,1199,1212.9,6627100,115.0734
2016-03-21,1208.05,1222,1198.35,1215.95,5651100,115.3628
2016-03-22,1211,1238.2,1202,1230.15,6090900,116.71
2016-03-23,1235,1253.15,1226.75,1248.7,8305500,118.4699
2016-03-24,1248.7,1248.7,1248.7,1248.7,0,118.4699
2016-03-25,1248.7,1248.7,1248.7,1248.7,0,118.4699
2016-03-28,1240,1249,1217.7,1226.9,4161600,116.4016
2016-03-29,1230,1244,1221.65,1232.85,4893700,116.9661
2016-03-30,1250,1277,1236.5,1271.7,6858400,120.652
2016-03-31,1262,1293.9999,1258,1283.25,12316500,121.7478
2016-04-01,1271.35,1277.3,1251,1262.65,6773800,119.7934
2016-04-04,1266,1270.75,1246.1,1259.75,5599100,119.5183
2016-04-05,1252.1,1267.35,1240,1259.45,6438000,119.4898
2016-04-06,1260,1298,1256,1292.7,11183200,122.6444
2016-04-07,1295,1297.65,1275.15,1277.3,5239900,121.1833
2016-04-08,1272,1283,1265.15,1273.4,4714000,120.8133
2016-04-11,1277.4,1303.45,1270,1299.7501,6883200,123.3133
2016-04-12,1299.2,1309.95,1288.2001,1297.7,7246400,123.1188
2016-04-13,1305.0999,1318.9999,1295.75,1313.55,7360200,124.6225
2016-04-14,1313.55,1313.55,1313.55,1313.55,0,124.6225
2016-04-15,1313.55,1313.55,1313.55,1313.55,0,124.6225
2016-04-18,1312.2,1339.9001,1307.3,1334.25,5235800,126.5864
2016-04-19,1334.25,1334.25,1334.25,1334.25,0,126.5864
2016-04-20,1346.6499,1366.9,1338.1,1361.6,8518500,129.1813
2016-04-21,1362,1372,1346.7,1349.6001,8947000,128.0428
2016-04-22,1355,1363.9999,1341.0001,1343.3,6094500,127.445
2016-04-25,1342.1001,1354.25,1325.2,1345.2,4835500,127.6253
2016-04-26,1346.0001,1370.9,1343.95,1367.95,7730500,129.7837
2016-04-27,1360,1371.4,1352.1001,1362.5999,4896100,129.2761
2016-04-28,1368,1376.2,1353.55,1368.45,10075500,129.8311
2016-04-29,1360,1380,1352.3,1373.2001,7211900,130.2818
2016-05-02,1370,1376.0001,1360.6,1364.8,5170700,129.4848
2016-05-03,1365.05,1374.1,1353.1,1356.7999,5316200,128.7258
2016-05-04,1345,1348.9999,1316.0001,1321.7,5443900,125.3958
2016-05-05,1325.0999,1334.5,1309.5,1319.9001,6319000,125.225
2016-05-06,1314.1499,1327.3,1309.1,1320.0999,5152300,125.2439
2016-05-09,1326.55,1340,1315,1326.1501,4928300,125.818
2016-05-10,1320,1325,1275.5,1287.8,6697600,122.1795
2016-05-11,1270,1300.5499,1263.55,1291.3499,6035700,122.5163
2016-05-12,1288.9,1296.85,1276.65,1282.7,4380800,121.6956
2016-05-13,1277.05,1283,1263,1268.7,4275900,120.3674
2016-05-16,1267.4,1299.4,1253.55,1295.6,3966300,122.9195
2016-05-17,1300,1308,1283,1290,4564700,122.3882
2016-05-18,1285,1320.9,1280,1309.2999,10606800,124.2193
2016-05-19,1324.5,1343.9,1312.2501,1320.2,10040100,125.2534
2016-05-20,1318,1330.3,1301.0001,1305,3264800,123.8113
2016-05-23,1314.9001,1328,1293.9999,1318.55,6613500,125.0969
2016-05-24,1320,1324.9001,1308.9999,1320.15,5942100,125.2487
2016-05-25,1323.9999,1336.55,1297.15,1300.35,4941700,123.3702
2016-05-26,1307,1325,1301.0001,1318.95,7608900,125.1349
2016-05-27,1323,1380,1313.1,1375.65,8752800,130.5142
2016-05-30,1378,1393,1357.8,1371.9501,5173000,130.1632
2016-05-31,1371.0001,1403,1361.7,1389.1499,10605400,131.795
2016-06-01,1396.0001,1405,1370.3999,1374.8,6472100,130.4336
2016-06-02,1370.3999,1388.95,1358.1,1379.2999,5151900,130.8605
