"Date","CADILAHC.NS.Open","CADILAHC.NS.High","CADILAHC.NS.Low","CADILAHC.NS.Close","CADILAHC.NS.Volume","CADILAHC.NS.Adjusted"
2015-04-30,1680,1725.80002,1670,1701.79993,389300,324.05645
2015-05-01,1701.79993,1701.79993,1701.79993,1701.79993,0,324.05645
2015-05-04,1700,1783.99994,1699.94995,1767.25006,279800,336.51945
2015-05-05,1775,1780,1753.99994,1764.10004,244700,335.91963
2015-05-06,1766.00006,1770,1725.05005,1733.95004,179600,330.17847
2015-05-07,1733.95004,1741.00006,1678.00003,1683.99994,504300,320.66698
2015-05-08,1691.00006,1738.99994,1675.24994,1689.70001,225800,321.75239
2015-05-11,1691.00006,1704.25003,1651.64993,1656.79993,471100,315.48756
2015-05-12,1673.00003,1678.69995,1643.24997,1649.64996,346700,314.12606
2015-05-13,1668.00003,1674.79996,1608.00003,1619.25003,496400,308.33731
2015-05-14,1634.94995,1668.99994,1625,1656.75003,311200,315.47806
2015-05-15,1671.99997,1766.99997,1663.00003,1689.14993,4239900,321.64764
2015-05-18,1709.75006,1728.99994,1694.70001,1699.14993,628600,323.55184
2015-05-19,1708.99994,1763.00003,1701.54999,1735.14999,1452900,330.40696
2015-05-20,1743.00003,1778.80005,1740,1756.15005,611400,334.40579
2015-05-21,1780,1811.99997,1728.24997,1752.14996,1236000,333.6441
2015-05-22,1755,1779.79996,1738.00003,1751.79993,634100,333.57744
2015-05-25,1760,1764.94995,1734.04999,1745.14999,242200,332.31116
2015-05-26,1743.00003,1751.99997,1720,1744.40002,96500,332.16835
2015-05-27,1748.00003,1869.90005,1739.94995,1854.29993,2378200,353.09547
2015-05-28,1858.99994,1903.69995,1840,1866.34995,930800,355.39004
2015-05-29,1868.99994,1900,1830,1882.40005,716400,358.4463
2015-06-01,1870,1898.09998,1855,1868.60001,618800,355.81849
2015-06-02,1880,1884.70001,1830.09995,1850.89996,754900,352.44805
2015-06-03,1862.85004,1877.59995,1820,1847.64999,561200,351.8292
2015-06-04,1849.49997,1883.89999,1799.49997,1822.14996,563100,346.97348
2015-06-05,1825,1844.85001,1785,1799.04999,583700,342.57479
2015-06-08,1820,1820,1770.89996,1774.90005,474000,337.97616
2015-06-09,1783.99994,1783.99994,1740,1748.09998,411500,332.8729
2015-06-10,1756.84998,1794.90005,1753.99994,1789.70001,608400,340.79437
2015-06-11,1805,1805,1743.99994,1753.54996,333200,333.91068
2015-06-12,1760,1760,1731.04996,1744.64996,374900,332.21595
2015-06-15,1758.99994,1780,1726.54999,1764.94995,209600,336.08147
2015-06-16,1764.94995,1773.89999,1740,1750.14999,228600,333.26326
2015-06-17,1770,1813.99994,1753.24997,1793.69995,446600,341.55604
2015-06-18,1798.95004,1821.60004,1776.00006,1784.85001,337200,339.87083
2015-06-19,1791.00006,1818.84995,1785,1793.20007,485000,341.46085
2015-06-22,1811.00006,1823.09998,1748.00003,1771.34995,846400,337.30015
2015-06-23,1780,1790.05005,1722.29996,1730.14999,749700,329.45487
2015-06-24,1748.95004,1778.99994,1743.20007,1749.70001,912400,333.17758
2015-06-25,1750,1773.09998,1690,1727.35001,1554200,328.92169
2015-06-26,1739.94995,1763.89999,1722.89993,1741.25,670400,331.56853
2015-06-29,1719.79996,1730,1695.24994,1715.65002,685400,326.69378
2015-06-30,1715,1803.89999,1715,1796.64993,842100,342.11777
2015-07-01,1810,1851.00006,1796.79993,1824.55002,755100,347.4305
2015-07-02,1862.5,1863.99994,1825,1838.00003,796200,349.99165
2015-07-03,1841.99997,1851.79993,1823.00003,1839.25003,468000,350.22968
2015-07-06,1807.10007,1848.00003,1785.05005,1829.55002,366900,348.3826
2015-07-07,1830.05005,1858.00003,1829.55002,1840.95001,937700,350.55339
2015-07-08,1840,1900,1824.90005,1882.94998,763100,358.55101
2015-07-09,1896.00006,1918.99994,1885,1901.39999,351200,362.06426
2015-07-10,1910,1925.89996,1887.94998,1892.70004,334700,360.40762
2015-07-13,1900,1940,1870.09995,1928.84995,298100,367.29128
2015-07-14,1938.84995,1944.49997,1905,1913.45001,327100,364.35882
2015-07-15,1921.19995,1978.00003,1920.05005,1947.40005,755800,370.82359
2015-07-16,1971.90002,2018.99994,1951.99997,2009.34998,642700,382.62008
2015-07-17,2015,2044.75006,1973.20007,1986.39999,574400,378.24995
2015-07-20,1973.99994,2011.00006,1973.99994,2000.65002,354900,380.96344
2015-07-21,2010,2010,1865,1884.64996,463000,358.87472
2015-07-22,1885,2018.00003,1885,1987.05002,1398700,378.37372
2015-07-23,1987.05002,2003.95004,1950,1954.85001,354500,372.2422
2015-07-24,1971.99997,1971.99997,1906.04996,1919.04999,330700,365.42517
2015-07-27,1920,1938.00003,1855.14999,1914.49997,256200,364.55876
2015-07-28,1918.00003,1937.85004,1890,1924.10004,917500,366.3868
2015-07-29,1938.00003,1976.95007,1863.00003,1879.40002,881700,357.87503
2015-07-30,1893.99994,1928.00003,1870,1901.75003,604700,374.07323
2015-07-31,1917.55005,1917.55005,1871.00006,1886.84998,849900,371.1424
2015-08-03,1886.99997,1904.75006,1820.09995,1852.25006,1081500,364.33662
2015-08-04,1868.00003,1893.50006,1825,1846.79993,982000,363.26458
2015-08-05,1868.99994,1938.84995,1841.19995,1919.85001,605000,377.63349
2015-08-06,1936.99997,1958.89999,1901.10001,1920.24994,586100,377.71216
2015-08-07,1920,1954.85001,1912.05002,1921.34995,422500,377.92853
2015-08-10,1925,1933.84995,1881.04996,1894.94995,438200,372.73566
2015-08-11,1918.00003,1933.99994,1895.05005,1913.54996,533600,376.39427
2015-08-12,1925,2035.29999,1920.05005,2011.69998,2754400,395.70033
2015-08-13,2038.99994,2042.70004,1926.00006,1945.09995,967900,382.60014
2015-08-14,1968.00003,1999.49997,1953.99994,1984.45007,533300,390.34029
2015-08-17,1998.00003,2000,1951.99997,1986.39999,249900,390.72384
2015-08-18,1995,2015.20004,1960,1982.59995,191200,389.97637
2015-08-19,1981.99997,2022.94998,1975,2002.29996,617900,393.85135
2015-08-20,1998.75,2026.99997,1930,1935.95001,510500,380.80035
2015-08-21,1936.00006,2000,1884.64996,1950.20004,515300,383.60333
2015-08-24,1931.99997,1953.00003,1800.70007,1842.94998,681500,362.5073
2015-08-25,1898.99994,1900,1731.90002,1823.30002,628900,358.64216
2015-08-26,1841.99997,1858.00003,1784.94995,1834.85001,602700,360.91404
2015-08-27,1851.99997,1924.40002,1851.99997,1901.60004,428700,374.04373
2015-08-28,1921.99997,1950,1906.99997,1928.95004,274600,379.42346
2015-08-31,1929.40002,1945,1888.00003,1898.20007,211200,373.37496
2015-09-01,1898.99994,1908.99994,1831.04996,1878.80005,417900,369.55899
2015-09-02,1878.99994,1907.29996,1830,1841.64993,699500,362.25158
2015-09-03,1855,1886.00006,1847.85004,1865.39993,829700,366.92319
2015-09-04,1881.00006,1881.00006,1800,1812.59995,884800,356.53746
2015-09-07,1810,1825,1785,1799.10004,575400,353.88203
2015-09-08,1800,1814.79996,1764.14993,1780.14999,859800,350.15457
2015-09-09,1805,1833.95004,1790.14999,1799.85001,369500,354.02955
2015-09-10,1785,1806.99997,1765,1784.40002,308600,350.99055
2015-09-11,1795.95001,1809.94995,1771.99997,1781.39999,144100,350.40045
2015-09-14,1806.00006,1809.90005,1775,1798.54996,182400,353.77383
2015-09-15,1819.04999,1823.00003,1785,1786.99997,237200,351.50196
2015-09-16,1799.04999,1948.00003,1783.99994,1918.69995,1587400,377.40728
2015-09-17,1918.69995,1918.69995,1918.69995,1918.69995,0,377.40728
2015-09-18,1941.90002,1948.00003,1881.84998,1919.45007,656300,377.55482
2015-09-21,1918.00003,2012.79999,1913.99994,1989.14993,747800,391.26475
