"Date","IBREALEST.NS.Open","IBREALEST.NS.High","IBREALEST.NS.Low","IBREALEST.NS.Close","IBREALEST.NS.Volume","IBREALEST.NS.Adjusted"
2015-06-24,53.7,55.65,52.9,54.15,15612000,54.15
2015-06-25,53.7,55.4,53.3,54.5,15508700,54.5
2015-06-26,54.8,59.7,52.15,57.55,21290600,57.55
2015-06-29,54,55.9,52.95,54.95,10000700,54.95
2015-06-30,54.45,57.95,54.35,57.05,12488700,57.05
2015-07-01,57.1,57.95,55.2,56.8,7482400,56.8
2015-07-02,57,58.4,56.2,56.55,11062200,56.55
2015-07-03,57,57.35,55.1,56,7832100,56
2015-07-06,55,57.25,53.8,56.85,9943500,56.85
2015-07-07,56.7,58.35,56.05,57.55,10196000,57.55
2015-07-08,56.8,58.25,55.25,57.55,14426500,57.55
2015-07-09,57.6,58.75,56.1,56.3,6190900,56.3
2015-07-10,56.8,57.2,54.7,55.25,4280000,55.25
2015-07-13,56.3,57.25,55.1,56.85,4672600,56.85
2015-07-14,57.1,57.5,55,55.35,4377200,55.35
2015-07-15,55.5,57.1,55.45,55.9,4642300,55.9
2015-07-16,56.4,56.6,54.35,54.7,3661700,54.7
2015-07-17,55,55.4,53.6,54.05,3675800,54.05
2015-07-20,54.35,54.5,52.55,52.85,4269800,52.85
2015-07-21,53.15,53.8,50.8,51.4,4547200,51.4
2015-07-22,51.4,59.1,51,55.7,11159500,55.7
2015-07-23,56.1,56.4,54.3,55.05,5890200,55.05
2015-07-24,55.1,58.45,53.65,57.9,10741400,57.9
2015-07-27,57.35,61.4,56.35,58.6,14636500,58.6
2015-07-28,58.75,60.4,58.3,59.2,8641600,59.2
2015-07-29,59.4,61.1,58.8,60.1,9726300,60.1
2015-07-30,60.55,63,59.55,62.5,13134100,62.5
2015-07-31,62.45,64.25,60.4,63,11668400,63
2015-08-03,62.95,64.95,61.05,61.8,10371500,61.8
2015-08-04,66,66.8,62.55,64.55,20136300,64.55
2015-08-05,65.1,68.7,64.85,67.55,13609500,67.55
2015-08-06,67.65,69.15,66.35,67.9,9481800,67.9
2015-08-07,67.3,67.85,65.3,66.4,9131200,66.4
