"Date","AMBUJACEM.NS.Open","AMBUJACEM.NS.High","AMBUJACEM.NS.Low","AMBUJACEM.NS.Close","AMBUJACEM.NS.Volume","AMBUJACEM.NS.Adjusted"
2015-06-09,222.6,226.75,221.4,225.75,1635000,220.3505
2015-06-10,225.6,227.9,222.5,225.85,1326000,220.4482
2015-06-11,227.2,232.9,220.2,221.9,2285200,216.5926
2015-06-12,220,221.5,214.8,218.45,2071900,213.2251
2015-06-15,218.5,219.8,215.1,215.65,1311000,210.4921
2015-06-16,215.65,221,214.3,219.55,1211900,214.2988
2015-06-17,219.1,224,216.5,222.05,1548300,216.739
2015-06-18,221.7,224.5,220.5,222.15,1018400,216.8366
2015-06-19,222.55,228,221.6,226.6,1392400,221.1802
2015-06-22,227.85,230.85,225.3,228.45,1162700,222.986
2015-06-23,228.45,231.35,227,230.65,1256800,225.1333
2015-06-24,229.9,232.6,225.8,227,1613300,221.5706
2015-06-25,227,228.6,224.4,226.6,2082600,221.1802
2015-06-26,226.5,229.8,225.05,227,1388900,221.5706
2015-06-29,224,228.25,220.25,227.45,980500,222.0099
2015-06-30,227,230.85,225,229.9,1597200,224.4013
2015-07-01,230,239.8,229,238.15,2913800,232.454
2015-07-02,238.25,241.9,235.8,239.85,2573700,234.1133
2015-07-03,239.05,243,239,242.35,1396100,236.5535
2015-07-06,237.1,246.7,237,245.75,1515300,239.8722
2015-07-07,245.5,247.7,243.6,245.8,2317800,239.921
2015-07-08,244.65,244.65,237.1,241,1262600,235.2358
2015-07-09,239.5,244.65,239.5,242.15,634300,236.3583
2015-07-10,242.15,244.5,238.6,241.95,1117200,236.1631
2015-07-13,241,248.4,240.6,247.85,882700,241.922
2015-07-14,248.4,253.85,246.45,252.35,1491800,246.3143
2015-07-15,252.65,257.3,250.2,255.2,1257100,249.0962
2015-07-16,255,255.95,250.85,254.3,821300,248.2177
2015-07-17,256.6,256.6,250.05,250.6,6722000,244.6062
2015-07-20,250,252.4,245.4,251.35,2520100,245.3383
2015-07-21,251,253.2,241.15,242.1,1874900,236.3095
2015-07-22,241.3,247.35,239.05,246.55,928300,240.6531
2015-07-23,247.5,247.6,242.9,244.45,609500,238.6033
2015-07-24,242.6,245.7,239,240.15,1229700,234.4061
2015-07-27,237.1,241.65,232.15,234.05,2260000,228.452
2015-07-28,229.75,237.7,228.1,230.2,3148600,224.6941
2015-07-29,230.3,234.9,226.75,233.55,1599200,227.964
2015-07-30,233.5,235.8,229.7,231.05,2314400,225.5238
2015-07-31,231.5,234.4,230.9,232.3,1135100,228.325
2015-08-03,231.25,232.6,228.5,229.6,1027000,225.6712
2015-08-04,230.5,231.4,226,229.1,985000,225.1798
2015-08-05,230,232.5,228.9,229.65,741000,225.7204
2015-08-06,230.2,233.15,227.95,230.35,1552800,226.4084
2015-08-07,231.3,231.65,227.95,228.5,1059600,224.59
2015-08-10,228.9,230.4,225,226.65,833100,222.7717
2015-08-11,226.05,226.5,221.2,222.6,1663700,218.791
2015-08-12,222.05,224.8,219.25,223.25,1937100,219.4299
2015-08-13,223.8,225.8,205,222.1,1686000,218.2996
2015-08-14,222.65,227.2,221.05,226.3,754600,222.4277
2015-08-17,225.85,227.7,221.45,226.3,1935400,222.4277
2015-08-18,226.1,228.7,225.1,227.1,930000,223.214
2015-08-19,226.55,232.3,225.3,231,2290600,227.0473
2015-08-20,228.1,230.5,222,223.95,1763300,220.1179
2015-08-21,221.2,237.9,220.9,227.05,3353900,223.1649
2015-08-24,223.45,223.45,209.5,212.15,3420200,208.5198
2015-08-25,213,216,202.1,207.6,5337000,204.0477
2015-08-26,207,207.5,197.4,198.2,13203100,194.8085
2015-08-27,204,211,200.3,209.9,9588600,206.3083
2015-08-28,212,212.9,204.85,206.1,2305600,202.5733
2015-08-31,206,211.5,202.4,207.2,2519700,203.6545
2015-09-01,207,209.65,203.55,207.6,2862900,204.0477
2015-09-02,209.05,214.5,208.15,209.9,3979700,206.3083
2015-09-03,212.25,221.5,212.25,218.45,3757200,214.712
2015-09-04,216.85,218.1,209.6,211.5,4209800,207.8809
2015-09-07,212,213.55,206.5,206.9,2205100,203.3596
2015-09-08,207.55,209.6,205.05,208.55,2767000,204.9814
2015-09-09,211,216.5,209.55,212.15,2977300,208.5198
2015-09-10,209.95,213.1,206.25,211.3,3337600,207.6844
2015-09-11,213.9,213.9,206.35,207,3237300,203.4579
2015-09-14,207.9,212,205.8,211.25,3455000,207.6352
2015-09-15,211.05,211.6,203.1,204.4,5716000,200.9024
2015-09-16,207.7,211.4,206,210.45,3528300,206.8489
2015-09-17,210.45,210.45,210.45,210.45,0,206.8489
2015-09-18,212,212.45,208.15,209.75,3986000,206.1609
2015-09-21,208.7,210.65,203.55,209.9,2320600,206.3083
2015-09-22,210.25,211.75,205.1,207.85,2351700,204.2934
2015-09-23,204.05,209.35,204.05,208.7,2097300,205.1288
2015-09-24,206.3,208.9,204.55,207,4214900,203.4579
2015-09-25,207,207,207,207,0,203.4579
2015-09-28,206.95,206.95,202.1,203.05,816800,199.5755
2015-09-29,200.5,207.65,196.25,203,2655400,199.5264
2015-09-30,204,206.5,203.65,205.8,1873700,202.2785
2015-10-01,207.2,211,206.8,209.95,3720900,206.3575
2015-10-02,209.95,209.95,209.95,209.95,0,206.3575
2015-10-05,211,212.6,209.2,209.95,2664000,206.3575
2015-10-06,212,212.85,207.6,209.8,2279400,206.21
2015-10-07,210.1,210.15,207.65,209.15,1205700,205.5711
2015-10-08,209,211.35,208.15,209.9,2837000,206.3083
2015-10-09,211.15,211.8,206.25,209.15,4634100,205.5711
2015-10-12,209.4,210.5,208.35,209.95,1486900,206.3575
2015-10-13,210,210.75,209.5,209.95,2682900,206.3575
2015-10-14,210.1,210.75,209,209.95,2170500,206.3575
2015-10-15,210.5,211.2,209.1,209.65,2993200,206.0626
2015-10-16,210.95,214.75,209.35,212.15,3865600,208.5198
2015-10-19,214.5,214.5,209.55,210.05,3187000,206.4557
2015-10-20,210.4,210.4,208.9,209.95,2407000,206.3575
2015-10-21,208.15,210.05,208.15,209.2,1299200,205.6203
2015-10-22,209.2,209.2,209.2,209.2,0,205.6203
2015-10-23,210.5,211.5,208,208.95,1604300,205.3746
2015-10-26,209.85,209.85,206.3,208.65,874200,205.0797
2015-10-27,208.6,210,204.1,205.4,4472700,201.8853
2015-10-28,204,209.5,203.1,208.75,3866200,205.178
2015-10-29,204,210,202.7,207.45,4392500,203.9002
2015-10-30,207.45,210.4,206.15,206.95,2865800,203.4088
2015-11-02,207.65,210.25,205,210,965200,206.4066
2015-11-03,211.2,231,208.85,209.7,4046700,206.1117
2015-11-04,211,211.45,208,209.05,2195000,205.4729
2015-11-05,209,209.7,206.8,208.15,1127200,204.5883
2015-11-06,208.1,210,205.85,209.85,1717500,206.2592
2015-11-09,203.3,207.6,203.3,205,3763100,201.4922
2015-11-10,204,204.4,195.7,196.7,5616100,193.3342
