"Date","DCBBANK.NS.Open","DCBBANK.NS.High","DCBBANK.NS.Low","DCBBANK.NS.Close","DCBBANK.NS.Volume","DCBBANK.NS.Adjusted"
2015-04-27,117.9,118.2,112.3,113.75,1000500,113.75
2015-04-28,113.5,119.45,112.25,118.35,1101100,118.35
2015-04-29,118.95,125.5,117.6,121.65,2480200,121.65
2015-04-30,121.5,122.5,120.1,122.05,952700,122.05
2015-05-01,122.05,122.05,122.05,122.05,0,122.05
2015-05-04,123,124.9,122.25,124.4,1529800,124.4
2015-05-05,124.05,124.55,121,122.25,765500,122.25
2015-05-06,121.05,122.7,117,118.15,1102400,118.15
2015-05-07,117.6,121,116.25,118.85,1657500,118.85
2015-05-08,119.5,122,118.85,121.4,829000,121.4
2015-05-11,122.7,124.3,122,123.35,894600,123.35
2015-05-12,123.5,123.7,119.5,120.05,620400,120.05
2015-05-13,121.05,123.75,120.6,122.45,1029000,122.45
2015-05-14,122.9,124.5,120.2,124,947600,124
2015-05-15,124.5,128.9,123.5,125.35,3776000,125.35
2015-05-18,125.35,127.7,124.7,125.45,1331000,125.45
2015-05-19,125.45,130.2,125.1,128.8,3675600,128.8
2015-05-20,130,131,129.3,130.4,2167800,130.4
2015-05-21,131.7,134.9,130.7,133.95,3254400,133.95
2015-05-22,134.6,136.95,132.65,136.4,2490500,136.4
2015-05-25,136.2,136.4,131.4,133.5,1182800,133.5
2015-05-26,133,133.3,129.6,130.95,1001400,130.95
2015-05-27,129.95,136.65,128.75,131.25,1903800,131.25
2015-05-28,132.3,133.8,131.5,132.75,836500,132.75
2015-05-29,133.45,134,131.5,133.2,937900,133.2
2015-06-01,132.6,134.4,132.25,132.85,740300,132.85
2015-06-02,133,133.35,126,126.6,1266400,126.6
2015-06-03,126.4,127.7,120,123.95,1306300,123.95
2015-06-04,124.15,127.9,122.85,127.15,837000,127.15
2015-06-05,127,129.9,127,127.7,945800,127.7
2015-06-08,127.7,128.45,125.35,126.65,503100,126.65
2015-06-09,126,126.6,120.8,122.3,1627800,122.3
2015-06-10,122.2,126.4,122,125.1,1011700,125.1
2015-06-11,126.2,126.9,121.65,123.9,1113500,123.9
2015-06-12,122.2,123.8,120.8,122.3,703000,122.3
2015-06-15,123.55,125.9,122.6,125.05,776400,125.05
2015-06-16,125,128.9,122.85,128.35,1140700,128.35
2015-06-17,129.95,132,127.8,129.05,1822800,129.05
2015-06-18,129.5,133.5,129.5,132.25,2122500,132.25
2015-06-19,132,132,128.6,130.3,1166500,130.3
2015-06-22,131.3,132.7,128.3,130.9,1898600,130.9
2015-06-23,131.9,133,131.1,131.75,1002900,131.75
2015-06-24,132,132.1,128.15,128.95,640400,128.95
2015-06-25,128.9,130.9,128.1,130.1,573400,130.1
2015-06-26,129,131.65,127.7,130.05,772800,130.05
2015-06-29,127.1,131.2,121.6,130.2,1269900,130.2
2015-06-30,131,131.5,128.9,130.3,670400,130.3
2015-07-01,130,132.25,129.5,130.35,1072800,130.35
2015-07-02,131,131.95,130.35,131.2,1123800,131.2
2015-07-03,131.25,133,130.4,131.2,985600,131.2
2015-07-06,128.5,134.5,128.1,132.25,1288500,132.25
2015-07-07,132.9,133.7,130.95,131.85,1020600,131.85
2015-07-08,130,132,129.25,131.15,1211300,131.15
2015-07-09,131.9,137.5,131.05,135.25,3670600,135.25
2015-07-10,136.45,138.45,135.8,137.9,2991600,137.9
2015-07-13,139,148,138,147.05,5734800,147.05
2015-07-14,148,150.9,137.1,141.1,8812600,141.1
2015-07-15,135,137.95,132.2,133.1,4909400,133.1
2015-07-16,133,136.4,132.85,134.55,1934100,134.55
2015-07-17,134.95,135,132,132.2,1220700,132.2
2015-07-20,131.9,133.9,131.1,132.15,1124000,132.15
2015-07-21,132.1,134.8,131,131.65,1121900,131.65
2015-07-22,131.95,132.4,131,131.35,725000,131.35
2015-07-23,131.5,134.95,131.5,134.05,1022800,134.05
2015-07-24,135,137.2,133.4,133.95,1469100,133.95
2015-07-27,136,136.65,133.25,133.9,1131500,133.9
2015-07-28,134.8,135,132.25,132.55,573500,132.55
2015-07-29,132.8,133.45,131.5,131.95,444000,131.95
2015-07-30,133,134.75,131.1,131.7,695700,131.7
2015-07-31,132,134.8,131.5,132.35,858100,132.35
2015-08-03,132.25,136.6,131.2,136.15,1431900,136.15
2015-08-04,137.5,139.5,134.65,138.9,2060100,138.9
2015-08-05,140,140.85,137.15,139.3,1346400,139.3
2015-08-06,139.5,139.9,136.75,137.05,491600,137.05
2015-08-07,137.5,140.9,134.1,134.55,1268100,134.55
2015-08-10,135.95,141.4,135.75,139.5,1577100,139.5
2015-08-11,140,140.6,137,138.1,686100,138.1
2015-08-12,137,137.5,135.05,135.95,627000,135.95
2015-08-13,137,137.6,133.3,133.7,744400,133.7
2015-08-14,134,137.85,132.1,137.05,805800,137.05
2015-08-17,136.95,138.4,134.65,137.2,545500,137.2
2015-08-18,137.2,139.25,136.7,138.85,458900,138.85
2015-08-19,138.85,140.2,137.9,138.6,664900,138.6
2015-08-20,138,140.8,133.05,135.65,876000,135.65
2015-08-21,133,137.9,132.15,136.25,779400,136.25
2015-08-24,132.05,133.05,123.25,124.75,1379100,124.75
2015-08-25,127,130.75,110.8,122.65,1949500,122.65
2015-08-26,122,125.75,117.6,118.35,1339300,118.35
2015-08-27,123,124.75,121.05,124,810200,124
2015-08-28,126.45,129.8,125,127,817300,127
2015-08-31,126.8,129.8,126.2,129.25,523000,129.25
2015-09-01,127.2,128.3,122,123.8,632200,123.8
2015-09-02,125,125.9,120.65,122.6,826700,122.6
2015-09-03,124.6,129.65,123.05,127.7,763200,127.7
2015-09-04,128,128,123.1,124.35,727300,124.35
2015-09-07,124.5,126.65,121.7,122.6,740700,122.6
2015-09-08,122.2,128.3,122.2,126.3,724700,126.3
2015-09-09,128.8,129.4,126.05,126.4,957000,126.4
2015-09-10,124.75,128,123.1,127.55,544900,127.55
2015-09-11,127.25,129.6,127.25,129.05,528500,129.05
2015-09-14,129,130.85,127.5,130.2,522900,130.2
2015-09-15,130.2,131.35,127,127.1,380500,127.1
2015-09-16,128.55,129.7,125.2,126.05,665400,126.05
2015-09-17,126.05,126.05,126.05,126.05,0,126.05
2015-09-18,129.5,135.85,127.15,133.05,2012900,133.05
2015-09-21,132.45,139.8,131.6,138.15,2366700,138.15
2015-09-22,138,140.9,136.2,138.35,967700,138.35
2015-09-23,136.9,140,135.2,137.75,769700,137.75
2015-09-24,138,142.5,137.25,141.9,1155500,141.9
2015-09-25,141.9,141.9,141.9,141.9,0,141.9
2015-09-28,141.9,143.5,140.2,141.8,801300,141.8
2015-09-29,139.5,145.8,137.6,142.4,1875500,142.4
2015-09-30,143.95,144.4,142.2,143.05,689300,143.05
2015-10-01,144,144.2,140.1,140.6,560100,140.6
2015-10-02,140.6,140.6,140.6,140.6,0,140.6
2015-10-05,142.7,142.7,139,140.9,822700,140.9
2015-10-06,142,142.15,138.25,138.95,1137000,138.95
2015-10-07,139,139.95,137.5,138.5,637500,138.5
2015-10-08,139.45,141.75,138.4,140.35,1043300,140.35
2015-10-09,140.5,141.1,137.15,137.7,615800,137.7
2015-10-12,138,140,137.1,137.7,479400,137.7
2015-10-13,139,140.9,129.65,133.15,3768400,133.15
2015-10-14,120,120,106.55,106.55,17133800,106.55
2015-10-15,99,99.65,91.15,92.15,31361000,92.15
2015-10-16,95.9,99,95.5,95.95,16928000,95.95
2015-10-19,97,97.35,94.05,94.7,3149900,94.7
2015-10-20,95,95,91.5,91.7,3710700,91.7
2015-10-21,91.95,92.9,89.75,90.15,3053200,90.15
2015-10-22,90.15,90.15,90.15,90.15,0,90.15
2015-10-23,91.2,91.4,87.3,87.6,3785400,87.6
2015-10-26,88.1,91.45,87.35,90.15,4391600,90.15
2015-10-27,90.7,91.3,90.2,90.7,1615400,90.7
2015-10-28,91.25,91.25,88.55,88.9,1305700,88.9
2015-10-29,88.9,89.3,86.25,86.65,2270500,86.65
2015-10-30,87,88,86.3,86.8,1463700,86.8
2015-11-02,87.75,88.1,86.65,87.45,1304800,87.45
2015-11-03,88.75,88.8,87,87.3,1190500,87.3
2015-11-04,87.8,88.1,85.75,86.05,853300,86.05
2015-11-05,85.8,86,84.1,84.4,1053100,84.4
2015-11-06,85,85,82.5,83.15,1420000,83.15
2015-11-09,81.8,86.5,80,84.25,1873600,84.25
2015-11-10,84.3,85.6,82.65,82.9,795200,82.9
2015-11-11,83,85.6,83,84.65,430900,84.65
2015-11-12,84.65,84.65,84.65,84.65,0,84.65
2015-11-13,84,84,82.5,83.35,978300,83.35
2015-11-16,83.45,85.7,83.4,84.75,983000,84.75
2015-11-17,85,85.4,83.55,83.7,619400,83.7
2015-11-18,83.75,84.2,81.3,81.5,836900,81.5
2015-11-19,82.7,82.8,81.5,82.55,911300,82.55
2015-11-20,83,84.2,81.2,81.7,997300,81.7
2015-11-23,82.65,83.3,81.35,81.85,839900,81.85
2015-11-24,82.25,82.5,81.5,81.6,579600,81.6
2015-11-25,81.6,81.6,81.6,81.6,0,81.6
2015-11-26,82.15,82.6,81.5,81.7,748800,81.7
2015-11-27,81.95,83.9,81.6,83.2,1537600,83.2
2015-11-30,83.1,86.9,83,85.4,2264300,85.4
2015-12-01,85.75,86.7,83.25,83.5,1422600,83.5
2015-12-02,84,84.2,82,82.95,1858100,82.95
2015-12-03,82.65,82.9,81.45,81.55,848300,81.55
2015-12-04,81,81.5,79.5,79.65,1364700,79.65
2015-12-07,80,81.35,79.5,80.35,928400,80.35
2015-12-08,80.2,80.85,77.1,78.2,928600,78.2
2015-12-09,78.25,78.35,75.4,75.95,1336300,75.95
2015-12-10,76.4,77.5,75,76.9,760900,76.9
2015-12-11,77.1,78.8,76.15,78.25,1103000,78.25
2015-12-14,77.6,78.1,75.45,75.8,875200,75.8
2015-12-15,76,76.45,75,75.45,824300,75.45
2015-12-16,76,76.8,75.5,76.05,555000,76.05
2015-12-17,76.85,79.85,76.6,77.2,2003600,77.2
2015-12-18,77.1,77.95,76.75,77.15,808000,77.15
2015-12-21,77.65,78.8,77,78.15,1093500,78.15
2015-12-22,78.65,81.15,78,80.4,1768300,80.4
2015-12-23,81,84.5,81,83.8,2948900,83.8
2015-12-24,84.6,84.9,82.6,83.1,1290000,83.1
2015-12-25,83.1,83.1,83.1,83.1,0,83.1
2015-12-28,83.2,83.8,81.6,82.15,699000,82.15
2015-12-29,82.4,83.25,80.9,82.6,827100,82.6
2015-12-30,82.9,83,81.7,82.05,508500,82.05
2015-12-31,82.55,82.65,81.15,81.65,512400,81.65
2016-01-01,81.9,82.4,81.1,82.1,703100,82.1
2016-01-04,81.85,82,79.65,79.95,834800,79.95
2016-01-05,80.4,81.25,79.3,79.95,644500,79.95
2016-01-06,80.05,80.5,79.6,79.9,750500,79.9
2016-01-07,79.3,79.4,75.7,76.1,1081100,76.1
2016-01-08,77.8,77.8,75.85,77.45,638800,77.45
2016-01-11,76.7,77.8,75.35,76,685300,76
2016-01-12,76.15,78.4,73.9,75.15,1764000,75.15
2016-01-13,78.7,80.65,76.5,79.05,5419800,79.05
2016-01-14,77.8,78.5,74.35,75,1626400,75
2016-01-15,76.65,76.65,74.7,75.65,1345300,75.65
2016-01-18,75.25,76.05,72.5,73.05,1020800,73.05
2016-01-19,73.5,74.25,72.2,73,643600,73
2016-01-20,73,73,69,70.8,870300,70.8
2016-01-21,71.6,72.8,68.4,70.05,951800,70.05
2016-01-22,71.8,72.3,70.75,72,573300,72
2016-01-25,73,73.5,71.8,72.8,462100,72.8
2016-01-26,72.8,72.8,72.8,72.8,0,72.8
2016-01-27,73.55,74.55,73,74.05,434500,74.05
2016-01-28,74.5,75.75,73.85,75.4,364500,75.4
2016-01-29,75,79.9,74.25,78.3,1055300,78.3
2016-02-01,79,80.5,78.45,79.3,898200,79.3
2016-02-02,80,81,77.3,77.95,666400,77.95
2016-02-03,77.5,77.5,74.9,75.45,508000,75.45
2016-02-04,76.1,77.7,75.35,77.1,570000,77.1
2016-02-05,77.25,80.75,76.15,80.15,1586300,80.15
2016-02-08,80.2,82.6,79.25,79.9,1081400,79.9
2016-02-09,78.5,79.85,77.5,78.1,355300,78.1
2016-02-10,76.2,78,73.15,74.4,687600,74.4
2016-02-11,74.3,74.4,70.1,71.35,811200,71.35
2016-02-12,72,73.4,68.7,72,978800,72
2016-02-15,73.3,78.2,73,76.95,940000,76.95
2016-02-16,78.4,78.4,73.25,74.05,501400,74.05
2016-02-17,74.3,74.3,70.6,73,539200,73
2016-02-18,74.35,74.9,71.4,72.8,391100,72.8
2016-02-19,72.5,75,71.95,73.35,456600,73.35
2016-02-22,74.8,74.8,73,73.8,235700,73.8
2016-02-23,74,74,71.7,72.1,289600,72.1
2016-02-24,72.2,72.5,70.45,71.7,392700,71.7
2016-02-25,72,72.3,69.2,69.6,431300,69.6
2016-02-26,71,72.3,69.05,70,542600,70
2016-02-29,70.05,71.95,68.45,71.3,705900,71.3
2016-03-01,71.8,73.2,70.45,72.95,593100,72.95
2016-03-02,74.25,80.2,74.25,79.4,1684000,79.4
2016-03-03,79.85,79.85,77,77.55,784600,77.55
2016-03-04,77.8,79.8,76.3,77.65,949600,77.65
2016-03-07,77.65,77.65,77.65,77.65,0,77.65
2016-03-08,77.85,78.95,76.05,76.55,725100,76.55
2016-03-09,76.3,77.6,74.8,76.85,443700,76.85
2016-03-10,77.25,77.8,76.05,77.05,444600,77.05
2016-03-11,77.1,77.5,75.5,75.85,329900,75.85
2016-03-14,76.35,77.2,75.6,76.5,423100,76.5
2016-03-15,76.85,77.3,74.9,76.6,813500,76.6
2016-03-16,76.8,78.5,76.3,77.8,469300,77.8
2016-03-17,78.1,79,77.6,78.1,441000,78.1
2016-03-18,78.35,78.85,77,77.3,549700,77.3
2016-03-21,78.1,79,77.05,77.9,586900,77.9
2016-03-22,77.9,78.2,76.2,77.25,539900,77.25
2016-03-23,77.3,77.45,75.6,76.05,498500,76.05
2016-03-24,76.05,76.05,76.05,76.05,0,76.05
2016-03-25,76.05,76.05,76.05,76.05,0,76.05
2016-03-28,76.15,76.3,71.5,72.15,729700,72.15
2016-03-29,71.95,73.5,71.65,72.6,775200,72.6
2016-03-30,73.9,76.45,73.5,75.8,881400,75.8
2016-03-31,76,79.8,75.45,79.25,1279100,79.25
2016-04-01,78.9,80.55,78.5,79.95,679100,79.95
2016-04-04,80.5,82.95,80.45,82.75,1486900,82.75
2016-04-05,82.6,83.6,80,81.1,1362600,81.1
2016-04-06,81.5,83,80.35,82.55,458000,82.55
2016-04-07,82.95,85.55,81.9,83.4,807600,83.4
2016-04-08,84.25,84.25,82.75,83.1,320700,83.1
2016-04-11,83.25,85.2,82.75,83,1226300,83
2016-04-12,83.65,83.75,81.75,82.25,662100,82.25
2016-04-13,83.95,84.45,83,83.45,991400,83.45
2016-04-14,83.45,83.45,83.45,83.45,0,83.45
2016-04-15,83.45,83.45,83.45,83.45,0,83.45
2016-04-18,89.5,90.5,87.5,87.8,6270800,87.8
2016-04-19,87.8,87.8,87.8,87.8,0,87.8
2016-04-20,88.65,99.5,88.25,97.35,9274700,97.35
2016-04-21,99,101.8,94.7,95.75,4584900,95.75
2016-04-22,96.05,99.5,95.95,98,3691200,98
2016-04-25,98.1,98.5,94.15,94.85,1542400,94.85
2016-04-26,95,98.25,94.5,96.95,1467100,96.95
2016-04-27,96.75,96.9,95.1,95.45,910000,95.45
2016-04-28,95.6,96.8,94.25,95.05,819100,95.05
2016-04-29,95.4,95.75,92.8,94.3,960100,94.3
2016-05-02,93.45,93.45,90.6,91.1,1234800,91.1
2016-05-03,91.6,93.3,90,90.3,1088100,90.3
2016-05-04,90.1,93.3,88.85,89.95,1422300,89.95
2016-05-05,90.7,91.6,88.6,88.95,1368400,88.95
2016-05-06,88.95,91.85,88.75,90.8,1216600,90.8
2016-05-09,91.45,92.7,91,91.55,1039500,91.55
2016-05-10,92.1,92.3,91.45,91.65,716500,91.65
2016-05-11,90.4,92.5,90,91.7,834100,91.7
2016-05-12,92.1,92.65,91.3,91.8,537300,91.8
2016-05-13,91.5,95.95,91.2,94.45,2225400,94.45
2016-05-16,94.85,95.1,92.2,93.4,625600,93.4
2016-05-17,93.9,95.35,93.05,93.25,1304700,93.25
2016-05-18,92.65,93,91.65,91.9,856200,91.9
2016-05-19,91.6,92.65,89.8,90.1,493900,90.1
2016-05-20,90.85,90.9,88.65,89.1,416300,89.1
2016-05-23,90.15,90.45,88.1,88.45,308800,88.45
2016-05-24,88.9,89.3,87.6,88.55,337900,88.55
2016-05-25,90.5,90.5,89.45,89.9,306700,89.9
2016-05-26,90.1,93.2,90.1,92.35,1373900,92.35
2016-05-27,93,94.25,92.3,93.9,2217900,93.9
2016-05-30,94,97,94,94.6,683700,94.6
2016-05-31,95.4,95.4,92.2,94.15,571200,94.15
2016-06-01,94.5,96.2,93.5,93.8,781200,93.8
2016-06-02,94,95.9,92.7,95.2,535800,95.2
2016-06-03,95.2,96,92.75,93.5,648500,93.5
2016-06-06,94.35,94.35,92.8,93.25,580100,93.25
2016-06-07,93.9,96.7,93.6,95.75,1593000,95.75
2016-06-08,95.65,96.2,93.5,94.8,608000,94.8
2016-06-09,95.05,97,94,95.6,1821400,95.6
2016-06-10,96,97.95,95.1,95.85,1241000,95.85
2016-06-13,94.9,94.9,93.6,94.15,756400,94.15
2016-06-14,94.35,95.5,94.15,94.9,429900,94.9
2016-06-15,95.8,99.9,94.75,98.8,1726400,98.8
2016-06-16,98.95,100.65,97.05,99.2,1588200,99.2
2016-06-17,100,100.75,97.55,98.5,795600,98.5
2016-06-20,97,98.5,96.1,97.55,854600,97.55
2016-06-21,98.95,101.4,97.55,97.85,1040100,97.85
2016-06-22,97.85,98.7,96.7,97.1,453400,97.1
2016-06-23,97.2,97.75,96.05,96.65,391000,96.65
2016-06-24,94.45,94.9,91.65,94.5,1074700,94.5
2016-06-27,92.7,96.7,92.7,95.95,641200,95.95
2016-06-28,96.6,97.8,96,96.5,501000,96.5
2016-06-29,97.95,97.95,95.55,96.15,520100,96.15
2016-06-30,97,97.8,96.25,97.2,522300,97.2
2016-07-01,97.55,101.25,97.2,99.9,1662000,99.9
2016-07-04,101.55,104.4,101.5,103.6,1733300,103.6
2016-07-05,104.6,107.7,104,104.7,2184800,104.7
