"Date","RDEL.NS.Open","RDEL.NS.High","RDEL.NS.Low","RDEL.NS.Close","RDEL.NS.Volume","RDEL.NS.Adjusted"
2015-05-15,59.3,59.9,59.3,59.5,326200,59.5
2015-05-18,59.6,60.45,59.5,60.25,749700,60.25
2015-05-19,60.25,61.75,60,60.8,947800,60.8
2015-05-20,61.1,61.25,60.1,60.35,580200,60.35
2015-05-21,60.3,60.6,60.15,60.25,216400,60.25
2015-05-22,60.65,60.75,60.2,60.2,604600,60.2
2015-05-25,60.25,60.85,60.15,60.45,593300,60.45
2015-05-26,60.35,60.9,60.35,60.55,436100,60.55
2015-05-27,60.7,60.95,60.35,60.65,397400,60.65
2015-05-28,60.65,60.9,60.4,60.65,658900,60.65
2015-05-29,60.6,61.3,60.55,61,635300,61
2015-06-01,60.3,61.4,60.3,61.1,963000,61.1
2015-06-02,61.15,61.15,60.2,60.35,815100,60.35
2015-06-03,60.35,60.5,58.8,59.35,2603300,59.35
2015-06-04,59.05,59.35,58.15,58.3,1235400,58.3
2015-06-05,58.65,59.85,58.15,59.6,1393400,59.6
2015-06-08,59.15,59.7,58.8,59,1066200,59
2015-06-09,59.3,59.55,58.8,59.2,1786200,59.2
2015-06-10,59.15,59.45,59.1,59.3,448400,59.3
2015-06-11,59.15,59.65,59.15,59.45,582400,59.45
2015-06-12,59.45,59.6,59.1,59.3,318000,59.3
2015-06-15,59.6,59.9,59.5,59.6,160000,59.6
2015-06-16,59.85,60.9,59.65,59.9,386600,59.9
2015-06-17,60.2,60.35,59.9,60.15,737900,60.15
2015-06-18,60,60.35,59.8,59.8,455600,59.8
2015-06-19,60,60.2,59.65,59.75,461200,59.75
2015-06-22,60,60.15,59.85,60,200800,60
2015-06-23,60.15,60.15,59.4,59.6,400600,59.6
2015-06-24,59.9,60.1,59.6,59.7,383100,59.7
2015-06-25,59.8,60,59.7,59.85,181500,59.85
2015-06-26,59.85,61.9,59.85,60.15,2516800,60.15
2015-06-29,59.5,60.35,58.75,59.95,494100,59.95
