"Date","BANKBARODA.NS.Open","BANKBARODA.NS.High","BANKBARODA.NS.Low","BANKBARODA.NS.Close","BANKBARODA.NS.Volume","BANKBARODA.NS.Adjusted"
2016-02-16,140.75,140.75,129.7,130.85,27278700,130.85
2016-02-17,131.2,140.45,126.3,138.3,27514600,138.3
2016-02-18,141.7,146.25,135.4,138.85,21839900,138.85
2016-02-19,136.75,141.85,136.5,139.65,11146100,139.65
2016-02-22,140,141.5,136.65,139.25,8496500,139.25
2016-02-23,139,139.25,132.35,132.95,8612400,132.95
2016-02-24,130.75,136.25,130.05,133.7,11020400,133.7
2016-02-25,135.35,135.85,129.25,130.1,14421300,130.1
2016-02-26,133.75,134.25,126.7,132.75,15314300,132.75
2016-02-29,133.25,139.2,127.1,131.9,26064200,131.9
2016-03-01,134.35,136.8,133,136.05,13674300,136.05
2016-03-02,144.5,152.1,143.1,145.25,30497300,145.25
2016-03-03,147.4,147.4,141.2,145.4,11598800,145.4
2016-03-04,146,150.5,143.6,148.9,14291800,148.9
2016-03-07,148.9,148.9,148.9,148.9,0,148.9
2016-03-08,143.9,147.45,140.6,141.9,14941400,141.9
2016-03-09,140,143.4,139.55,143.05,18609500,143.05
2016-03-10,144,144.3,138.3,139.2,9988200,139.2
2016-03-11,139,142.2,137.5,140.7,7604600,140.7
2016-03-14,142.9,143.2,140.4,140.95,6054500,140.95
2016-03-15,142,144,140.8,143.2,6643300,143.2
2016-03-16,145,146.4,141.2,142.95,13741800,142.95
2016-03-17,146,146.7,141,142.25,10441700,142.25
2016-03-18,143.45,144.5,141.75,144.1,6685100,144.1
2016-03-21,145.65,147.8,144.7,147.4,7220300,147.4
2016-03-22,147.65,147.8,144.7,146.5,4904700,146.5
2016-03-23,145.25,145.75,142.85,144,6452800,144
2016-03-24,144,144,144,144,0,144
2016-03-25,144,144,144,144,0,144
2016-03-28,145,145,137.2,138.75,8134700,138.75
2016-03-29,138.35,141.45,137.7,140.35,5583300,140.35
2016-03-30,142,148.75,140.8,147.05,9150900,147.05
2016-03-31,147,149.4,145.25,147,14300500,147
2016-04-01,145.7,153.5,145.35,152.8,12808500,152.8
2016-04-04,154,154.15,149.65,151.45,6201500,151.45
2016-04-05,150.9,152.3,143.6,144.35,13262400,144.35
2016-04-06,144.4,144.9,141.6,143.35,5995100,143.35
2016-04-07,143.45,146.4,142.15,143.4,5841200,143.4
2016-04-08,143,144.1,141.75,143.1,4019100,143.1
2016-04-11,143.1,150.1,143.1,149.35,7123300,149.35
2016-04-12,149.7,150.85,148,149.2,5850600,149.2
2016-04-13,151.85,153.9,151.3,152.45,8681500,152.45
2016-04-14,152.45,152.45,152.45,152.45,0,152.45
2016-04-15,152.45,152.45,152.45,152.45,0,152.45
2016-04-18,151.1,151.9,146.9,148.1,5736300,148.1
2016-04-19,148.1,148.1,148.1,148.1,0,148.1
2016-04-20,148.55,153.7,146.5,152.65,8066400,152.65
