"Date","CANBK.NS.Open","CANBK.NS.High","CANBK.NS.Low","CANBK.NS.Close","CANBK.NS.Volume","CANBK.NS.Adjusted"
2015-08-21,305.511,322.727,302.009,318.739,4231100,318.739
2015-08-24,301.426,307.213,263.589,276.137,5136800,276.137
2015-08-25,283.043,285.28,258.823,279.833,5431800,279.833
2015-08-26,279.006,282.459,267.723,270.982,3748500,270.982
2015-08-27,279.152,282.313,269.523,280.611,5323000,280.611
2015-08-28,285.231,291.602,271.322,272.83,5378800,272.83
2015-08-31,272.343,282.07,269.717,278.325,3571000,278.325
2015-09-01,275.456,276.137,259.261,260.817,4771900,260.817
2015-09-02,263.589,265.048,251.431,253.522,4414000,253.522
2015-09-03,256.635,263.395,253.279,258.872,3060100,258.872
2015-09-04,257.17,257.17,243.747,249.632,3470900,249.632
2015-09-07,250.556,254.349,244.671,245.693,2202600,245.693
2015-09-08,247.93,257.656,245.401,253.571,3468600,253.571
2015-09-09,259.212,261.45,253.425,257.851,3148000,257.851
2015-09-10,252.89,252.89,246.86,250.41,3718600,250.41
2015-09-11,253.522,257.51,249.778,252.307,2748200,252.307
2015-09-14,254.349,260.866,251.334,259.845,2715800,259.845
2015-09-15,260.574,261.547,253.668,253.863,2643400,253.863
2015-09-16,258.532,263.833,255.954,260.526,3457900,260.526
2015-09-17,260.526,260.526,260.526,260.526,0,260.526
2015-09-18,264.465,274.289,263.589,269.474,4021200,269.474
2015-09-21,266.507,277.644,264.757,276.428,3107200,276.428
2015-09-22,279.152,282.07,264.562,266.799,3544800,266.799
2015-09-23,261.158,274.872,260.185,270.982,3378300,270.982
2015-09-24,270.641,274.58,267.723,270.738,3004600,270.738
2015-09-25,270.738,270.738,270.738,270.738,0,270.738
2015-09-28,272.343,277.693,269.62,270.641,2259000,270.641
2015-09-29,267.188,278.131,262.86,273.9,5486300,273.9
2015-09-30,276.526,278.374,269.474,272.149,2080100,272.149
2015-10-01,275.553,275.553,269.523,271.565,1571800,271.565
2015-10-02,271.565,271.565,271.565,271.565,0,271.565
2015-10-05,275.602,282.994,273.656,281.973,2683600,281.973
2015-10-06,284.307,291.699,280.611,288.538,4055800,288.538
2015-10-07,288.392,295.541,287.906,291.553,2844000,291.553
2015-10-08,290.824,297,288.003,289.948,2609900,289.948
2015-10-09,293.255,295.493,288.441,290.386,1871600,290.386
2015-10-12,286.495,294.131,284.404,287.906,2018800,287.906
2015-10-13,288.392,291.213,285.62,289.365,1485800,289.365
2015-10-14,290.337,291.213,284.502,285.62,1689400,285.62
2015-10-15,287.176,295.006,286.933,293.499,2017700,293.499
2015-10-16,293.742,295.444,288.441,292.769,1974900,292.769
2015-10-19,293.547,294.423,288.878,290.289,1159200,290.289
2015-10-20,289.9,296.417,289.9,292.429,1505100,292.429
2015-10-21,292.283,293.693,284.599,286.058,1450200,286.058
2015-10-22,286.058,286.058,286.058,286.058,0,286.058
2015-10-23,288.878,291.213,286.933,287.809,1203000,287.809
2015-10-26,289.657,289.657,282.605,283.578,1206100,283.578
2015-10-27,283.869,286.155,280.611,282.362,1621800,282.362
2015-10-28,281.584,281.584,274.775,276.915,1572900,276.915
2015-10-29,277.887,278.277,272.343,273.024,1356000,273.024
2015-10-30,275.067,278.179,267.577,269.328,1994100,269.328
2015-11-02,269.231,271.176,265.875,270.301,1651700,270.301
2015-11-03,272.149,275.018,270.787,272.343,1446100,272.343
2015-11-04,274.678,276.234,264.562,265.972,5387000,265.972
2015-11-05,264.562,266.896,261.255,262.568,2150700,262.568
2015-11-06,262.568,270.058,261.206,267.431,2549600,267.431
2015-11-09,261.547,271.857,259.991,269.571,1538600,269.571
2015-11-10,267.918,274.046,264.368,265.729,1865600,265.729
2015-11-11,265.729,265.729,265.729,265.729,0,265.729
2015-11-12,265.729,265.729,265.729,265.729,0,265.729
2015-11-13,265.632,270.982,263.152,269.766,1407200,269.766
2015-11-16,269.231,274.775,268.112,273.997,1153700,273.997
2015-11-17,275.748,276.38,267.091,268.355,1968800,268.355
2015-11-18,269.085,271.614,260.866,262.276,1364400,262.276
2015-11-19,265.146,265.438,260.428,261.936,1850700,261.936
2015-11-20,261.304,265.048,258.24,261.352,2196800,261.352
2015-11-23,262.617,263.979,259.893,260.915,1108600,260.915
2015-11-24,260.671,262.13,254.933,256.538,1578600,256.538
2015-11-25,256.538,256.538,256.538,256.538,0,256.538
2015-11-26,258.045,258.678,254.398,255.176,1306800,255.176
2015-11-27,257.559,264.27,256.149,263.492,2138300,263.492
2015-11-30,263.492,267.383,263.346,264.173,1459300,264.173
2015-12-01,266.021,266.605,261.304,262.909,1046400,262.909
2015-12-02,262.179,262.86,256.051,256.927,1342500,256.927
2015-12-03,254.836,257.413,252.015,252.55,1627900,252.55
2015-12-04,250.945,251.529,245.693,246.13,2183200,246.13
2015-12-07,248.805,249.097,243.796,245.984,1332800,245.984
2015-12-08,245.109,248.465,242.58,243.212,1640300,243.212
2015-12-09,243.066,246.082,239.37,240.878,1323500,240.878
2015-12-10,242.969,243.99,236.89,239.03,1374000,239.03
2015-12-11,239.759,243.066,234.118,235.334,2127900,235.334
2015-12-14,233.34,237.23,232.124,235.48,1399500,235.48
2015-12-15,236.258,236.696,231.006,232.61,1865600,232.61
2015-12-16,233.632,236.452,232.951,233.778,1427200,233.778
2015-12-17,236.063,237.279,233.534,236.112,1367000,236.112
2015-12-18,236.306,240.878,234.702,235.966,2088300,235.966
2015-12-21,238.3,238.3,235.382,236.55,1091200,236.55
2015-12-22,236.793,239.857,232.27,233.097,1393400,233.097
2015-12-23,234.41,235.869,233.729,234.264,922500,234.264
2015-12-24,236.306,236.306,232.659,233.875,821100,233.875
2015-12-25,233.875,233.875,233.875,233.875,0,233.875
2015-12-28,234.264,236.258,233.486,234.313,774900,234.313
2015-12-29,235.382,236.355,232.464,234.021,955100,234.021
2015-12-30,234.507,236.55,229.741,230.422,1537900,230.422
2015-12-31,230.325,230.325,225.85,226.58,4542000,226.58
2016-01-01,226.531,233.048,226.045,231.784,1592800,231.784
2016-01-04,229.741,232.075,224.781,226.969,1655100,226.969
2016-01-05,228.477,229.109,222.835,224.294,1645500,224.294
2016-01-06,224.683,226.142,220.793,221.279,2010100,221.279
2016-01-07,218.847,218.847,212.185,212.72,1866600,212.72
2016-01-08,213.984,215.929,212.72,213.692,1240100,213.692
2016-01-11,212.039,214.13,207.37,209.413,1637300,209.413
2016-01-12,210.093,211.941,201.194,202.312,1928100,202.312
2016-01-13,203.577,205.133,191.71,193.85,3735700,193.85
2016-01-14,189.862,191.029,184.415,186.361,2859200,186.361
2016-01-15,187.966,188.598,173.133,174.786,3190700,174.786
2016-01-18,175.564,178.774,167.102,172.403,4386100,172.403
2016-01-19,175.078,177.947,171.819,173.716,2272700,173.716
2016-01-20,170.215,170.36,162.774,166.664,3194900,166.664
2016-01-21,170.215,172.889,165.74,170.117,2830700,170.117
2016-01-22,172.16,183.054,172.16,181.157,4001300,181.157
2016-01-25,183.832,184.561,178.19,179.212,2223000,179.212
2016-01-26,179.212,179.212,179.212,179.212,0,179.212
2016-01-27,179.844,189.668,177.996,184.95,4536900,184.95
2016-01-28,183.832,188.646,181.935,186.604,2668100,186.604
2016-01-29,185.631,191.71,178.239,188.695,4752500,188.695
2016-02-01,189.668,189.668,180.962,182.373,2384700,182.373
2016-02-02,182.519,187.917,179.941,180.573,3542900,180.573
2016-02-03,177.996,178.628,173.424,175.516,2498800,175.516
2016-02-04,177.218,179.552,173.23,176.731,2348200,176.731
2016-02-05,177.023,188.987,176.683,187.674,3931300,187.674
2016-02-08,188.355,201.972,188.111,191.321,5378600,191.321
2016-02-09,188.209,194.045,183.637,185.096,4676500,185.096
