"Date","TATACHEM.NS.Open","TATACHEM.NS.High","TATACHEM.NS.Low","TATACHEM.NS.Close","TATACHEM.NS.Volume","TATACHEM.NS.Adjusted"
2016-11-14,483.35,483.35,483.35,483.35,0,483.35
2016-11-15,483,483.25,459.3,474.1,633600,474.1
2016-11-16,480,483.3,461.05,471.15,371400,471.15
2016-11-17,469.2,474.7,453.5,467.2,520500,467.2
2016-11-18,467.2,475,459,464.15,283600,464.15
2016-11-21,464.15,468.35,444.5,449.25,1115400,449.25
2016-11-22,450,460,446,457.6,418200,457.6
2016-11-23,457.6,474.2,451,460.3,559000,460.3
2016-11-24,462,465,455.5,457.9,1440100,457.9
2016-11-25,457.9,469,456.1,465.9,301200,465.9
2016-11-28,467.8,481.65,466.35,476.6,534300,476.6
2016-11-29,477.7,482.35,465.75,469.75,768100,469.75
2016-11-30,470.15,481.2,468.85,479.4,621300,479.4
2016-12-01,483,483,471,477.2,555200,477.2
2016-12-02,475,480,467.7,470.35,466000,470.35
2016-12-05,470.3,478.9,468.1,475.45,188600,475.45
2016-12-06,480,503.7,478.9,494.95,2131100,494.95
2016-12-07,498,499.75,483.5,493.3,548800,493.3
2016-12-08,498,508,496.4,499.75,933800,499.75
2016-12-09,504.9,513,500.6,503.25,793100,503.25
2016-12-12,502.05,504.2,485.6,487,412300,487
2016-12-13,491.9,493.35,480.5,484.7,366700,484.7
2016-12-14,484.5,492,474.1,476.4,486700,476.4
2016-12-15,472,481.9,467.85,479.35,389600,479.35
2016-12-16,479.8,485.95,473.5,478.55,442300,478.55
2016-12-19,477,490.7,476.85,489.05,669200,489.05
2016-12-20,490.6,491.9,484.8,488.2,893000,488.2
2016-12-21,488.2,492,486.1,488.9,425400,488.9
2016-12-22,485,491.5,484.65,487.2,479800,487.2
2016-12-23,488,491.3,481.9,486.5,412600,486.5
2016-12-26,484,485,472.4,475.3,546600,475.3
2016-12-27,477,490,473.5,486.9,311000,486.9
2016-12-28,488,494.75,487,489,366800,489
2016-12-29,486,497.75,486,493.7,662800,493.7
2016-12-30,493.6,504.9,490,503,404700,503
2017-01-02,506,513,505.45,506.95,606600,506.95
2017-01-03,508.8,510.95,500.1,509.75,498300,509.75
2017-01-04,511.25,517.35,503.4,505.1,548500,505.1
2017-01-05,509,511,503.65,508.15,515800,508.15
2017-01-06,512.95,514.5,506,507.8,389300,507.8
2017-01-09,508.2,513.6,504.5,512.4,421400,512.4
2017-01-10,514.6,516,507.2,510.25,757200,510.25
2017-01-11,510.9,519.95,507.5,517.8,874300,517.8
2017-01-12,518,520,513,515.45,416300,515.45
2017-01-13,520.6,524.05,514,517.6,526000,517.6
2017-01-16,517.45,521.5,514.05,518.45,278000,518.45
2017-01-17,518.45,527.2,518.25,521.5,549200,521.5
2017-01-18,522.9,536.4,522.2,529.35,1188200,529.35
2017-01-19,527.85,533,526,526.8,305200,526.8
2017-01-20,527,530.15,511.7,512.8,405500,512.8
2017-01-23,513.8,517.4,508.3,512.15,496000,512.15
2017-01-24,514.9,524.4,510.7,520.85,558700,520.85
2017-01-25,522.6,544.8,520.55,541.3,1599000,541.3
2017-01-26,541.3,541.3,541.3,541.3,0,541.3
2017-01-27,541.2,547.9,537.45,542.95,1095500,542.95
2017-01-30,541.15,546.65,535.8,541,467200,541
2017-01-31,541.65,549.4,536.4,544.55,1103800,544.55
2017-02-01,548.8,555.3,540.1,553.75,715900,553.75
2017-02-02,550,568.3,547.1,561.4,905000,561.4
2017-02-03,562,564.75,557,560.5,315500,560.5
2017-02-06,560,566,557.3,560.75,434400,560.75
2017-02-07,561.45,563.75,552.4,556.3,232900,556.3
2017-02-08,559,578.2,558.2,573.3,1841500,573.3
2017-02-09,576,581.3,565.5,570.3,1127400,570.3
2017-02-10,573,577.4,565,567.35,345100,567.35
2017-02-13,567.45,570.3,561,563.85,412400,563.85
2017-02-14,564,566.9,557.2,564.4,322500,564.4
2017-02-15,564.4,566,550,551.3,369500,551.3
2017-02-16,551.1,569.9,549.05,567.1,405200,567.1
2017-02-17,568,570,557.75,562.85,336400,562.85
2017-02-20,563.95,572.25,561,569.4,276200,569.4
2017-02-21,570,583.1,567,581.35,532800,581.35
2017-02-22,585,591,581.7,583.85,1023500,583.85
2017-02-23,584,585.35,573.3,576.15,1422300,576.15
2017-02-24,576.15,576.15,576.15,576.15,0,576.15
2017-02-27,576.75,578,563.15,566.5,578200,566.5
2017-02-28,568.05,571.95,558.6,560.45,468000,560.45
2017-03-01,563.55,570.15,557.35,568.2,647600,568.2
2017-03-02,571.9,573.55,559.25,561.65,362900,561.65
2017-03-03,561.7,564.85,549.65,562.65,493100,562.65
2017-03-06,568.95,577.85,561.25,568.05,841500,568.05
2017-03-07,571,578.8,566.2,575.1,677300,575.1
2017-03-08,573.7,576,562.1,566.5,420500,566.5
2017-03-09,565,567.9,560.15,562.65,392100,562.65
2017-03-10,565.9,565.9,555.35,559.5,233100,559.5
2017-03-13,559.5,559.5,559.5,559.5,0,559.5
2017-03-14,565,569.45,562.3,564.7,261800,564.7
2017-03-15,560,568.8,551.25,564.55,758400,564.55
2017-03-16,565,582,563.75,580.5,1610700,580.5
2017-03-17,584,592,575.05,577.6,669400,577.6
2017-03-20,582,582,571,575.75,268600,575.75
2017-03-21,576,581.65,571.6,578.5,329200,578.5
2017-03-22,577,577,566.85,573.1,238900,573.1
2017-03-23,572,577.8,569.3,576.5,233200,576.5
2017-03-24,573.05,583.6,572.8,577.15,343600,577.15
2017-03-27,579,586,572,583.3,467600,583.3
2017-03-28,587,594.5,585,592,1120600,592
2017-03-29,597.7,604,592.15,594.05,1084400,594.05
2017-03-30,595.8,601,591.9,594.55,640100,594.55
2017-03-31,594.55,606.5,591.6,598.75,480900,598.75
2017-04-03,601,604.65,595.6,598.75,380100,598.75
2017-04-04,598.75,598.75,598.75,598.75,0,598.75
2017-04-05,596.15,614,595.05,611.55,655700,611.55
2017-04-06,611.9,615.25,603.9,606.85,500400,606.85
2017-04-07,604.2,610.4,601.15,605.05,272000,605.05
2017-04-10,607,620.95,604.05,615.55,1331600,615.55
2017-04-11,618.8,622.8,616.45,618.45,466600,618.45
2017-04-12,619,624.25,607.6,622.25,482500,622.25
2017-04-13,620.95,623.6,614.3,616.25,263000,616.25
2017-04-14,616.25,616.25,616.25,616.25,0,616.25
2017-04-17,616.25,632.1,610.35,629.55,553700,629.55
2017-04-18,631,633.7,619.9,622.2,418000,622.2
2017-04-19,623,641.4,619.7,638.5,539300,638.5
2017-04-20,640,644.5,634.75,640.25,275500,640.25
2017-04-21,640.25,645.7,634.05,638.25,311100,638.25
