"Date","GMRINFRA.NS.Open","GMRINFRA.NS.High","GMRINFRA.NS.Low","GMRINFRA.NS.Close","GMRINFRA.NS.Volume","GMRINFRA.NS.Adjusted"
2016-05-05,11.95,12.1,11.75,11.95,6771300,11.95
2016-05-06,12,12.45,11.65,12.35,13643300,12.35
2016-05-09,12.5,12.95,12.45,12.5,24309400,12.5
2016-05-10,12.7,12.75,12.25,12.35,12775300,12.35
2016-05-11,12.3,12.3,11.9,11.95,8334800,11.95
2016-05-12,11.9,12.05,11.85,12,6588900,12
2016-05-13,11.95,12,11.55,11.65,12221100,11.65
2016-05-16,11.85,11.9,11.6,11.65,7955000,11.65
2016-05-17,11.8,12,11.7,11.75,7068000,11.75
2016-05-18,11.65,11.8,11.6,11.75,4826200,11.75
2016-05-19,11.85,11.95,11.35,11.45,7177100,11.45
2016-05-20,11.5,11.55,11.2,11.25,10779900,11.25
2016-05-23,11.25,11.35,10.9,10.95,13434100,10.95
2016-05-24,11,11.05,10.7,10.8,11263200,10.8
2016-05-25,10.95,11.25,10.9,11.2,12768300,11.2
2016-05-26,11.2,11.6,11.15,11.35,19442900,11.35
2016-05-27,11.4,11.65,11.2,11.45,9498500,11.45
2016-05-30,11.6,11.65,11.35,11.5,5397300,11.5
2016-05-31,11.5,11.5,10.85,11.25,26002300,11.25
2016-06-01,11.3,11.55,11.2,11.25,11816700,11.25
2016-06-02,11.25,11.3,11,11.15,5867900,11.15
2016-06-03,11.2,11.25,11,11.1,5419800,11.1
2016-06-06,11.1,11.3,10.9,11.2,9607100,11.2
2016-06-07,11.2,11.55,11.15,11.5,11836700,11.5
2016-06-08,11.9,12,11.75,11.85,19669200,11.85
2016-06-09,11.95,11.95,11.7,11.85,6354500,11.85
2016-06-10,11.85,12.35,11.7,12.1,16162700,12.1
2016-06-13,12.05,12.7,11.55,12.35,14313100,12.35
2016-06-14,12.85,12.9,12.25,12.45,23507500,12.45
2016-06-15,12.6,13,12.5,12.55,22098500,12.55
2016-06-16,12.6,13.1,12.45,12.75,31434800,12.75
2016-06-17,13.15,13.2,12.7,12.8,26998700,12.8
2016-06-20,12.75,12.9,12.55,12.8,10114400,12.8
2016-06-21,12.9,13,12.7,12.8,10807200,12.8
2016-06-22,12.8,12.85,12.3,12.45,15679500,12.45
2016-06-23,12.5,12.7,12.25,12.55,12516500,12.55
2016-06-24,11.8,12.3,11.65,12,17777800,12
2016-06-27,11.95,12.65,11.85,12.45,17756300,12.45
2016-06-28,12.5,12.75,12.5,12.7,10393700,12.7
2016-06-29,12.75,12.85,12.65,12.7,10114200,12.7
2016-06-30,12.85,13.5,12.75,13.35,39794800,13.35
2016-07-01,13.6,13.85,13.05,13.15,31708300,13.15
2016-07-04,13.2,13.55,13.2,13.3,16281500,13.3
2016-07-05,13.35,14.6,13.25,13.95,52169900,13.95
2016-07-06,13.95,13.95,13.95,13.95,0,13.95
2016-07-07,14,14.15,13.65,13.75,19274200,13.75
2016-07-08,13.8,13.85,13.4,13.45,10105700,13.45
2016-07-11,13.7,13.85,13.55,13.7,10684300,13.7
2016-07-12,13.85,14.3,13.1,14.1,26940600,14.1
2016-07-13,14.15,15.05,13.9,14.8,49693700,14.8
2016-07-14,14.7,15.05,14.4,14.65,28247400,14.65
2016-07-15,14.7,14.95,14.3,14.4,22251000,14.4
2016-07-18,14.5,14.75,14.05,14.15,12286000,14.15
2016-07-19,14.2,14.35,13.95,14.05,12239500,14.05
2016-07-20,14.05,14.4,13.95,14.2,11228700,14.2
2016-07-21,14.35,14.6,14,14.05,10741400,14.05
2016-07-22,14.15,14.45,13.9,14.25,10063100,14.25
2016-07-25,14.25,14.8,14.2,14.55,19598500,14.55
2016-07-26,14.55,14.7,14.2,14.3,11760600,14.3
2016-07-27,14.25,14.55,13.95,14.2,18103000,14.2
2016-07-28,14.3,14.8,14.25,14.6,22438900,14.6
2016-07-29,14.75,14.9,14.15,14.3,13016900,14.3
2016-08-01,14.4,14.5,13.85,13.95,11657800,13.95
2016-08-02,14,14.1,13.65,13.7,9190700,13.7
2016-08-03,13.75,13.95,13.45,13.6,10033900,13.6
2016-08-04,13.75,13.9,13.6,13.75,7080300,13.75
2016-08-05,13.9,14.05,13.8,13.9,10039300,13.9
2016-08-08,13.95,14.4,13.75,14.25,9628900,14.25
2016-08-09,14.25,14.35,13.95,14,6194000,14
2016-08-10,14,14,12.95,13.05,15977800,13.05
2016-08-11,13.25,13.4,12.9,13.15,8703100,13.15
2016-08-12,13.2,13.4,13.05,13.1,4041700,13.1
2016-08-15,13.1,13.1,13.1,13.1,0,13.1
2016-08-16,13.2,13.3,12.75,12.9,6617100,12.9
2016-08-17,12.85,13.15,12.85,12.95,4041600,12.95
2016-08-18,13.05,13.15,12.9,13.05,4373600,13.05
2016-08-19,13.1,13.3,13,13.15,3965600,13.15
2016-08-22,13.2,13.25,12.95,13.05,3938900,13.05
2016-08-23,13.05,13.4,12.95,13.4,5532300,13.4
2016-08-24,13.45,13.65,13.3,13.45,7911400,13.45
2016-08-25,13.55,13.65,13.15,13.25,28737900,13.25
2016-08-26,13.25,13.6,13.05,13.15,12511700,13.15
2016-08-29,14.4,14.4,13.2,13.3,22922300,13.3
2016-08-30,13.3,13.5,13.25,13.3,8311600,13.3
2016-08-31,13.3,14.05,13.25,13.6,23602100,13.6
2016-09-01,13.6,13.85,13.1,13.2,15075700,13.2
2016-09-02,13.3,13.65,13.25,13.5,9264900,13.5
2016-09-05,13.5,13.5,13.5,13.5,0,13.5
2016-09-06,13.7,14,13.65,13.95,13643400,13.95
2016-09-07,14,14.3,13.7,14,15420900,14
2016-09-08,14.1,15.6,14,15.1,53243300,15.1
2016-09-09,15.1,15.5,14.75,14.9,23853200,14.9
2016-09-12,14.45,14.6,14.05,14.1,15854900,14.1
