"Date","MARICO.NS.Open","MARICO.NS.High","MARICO.NS.Low","MARICO.NS.Close","MARICO.NS.Volume","MARICO.NS.Adjusted"
2015-06-03,421,426.45001,412.10001,416.54999,1162300,201.46855
2015-06-04,417.14999,426.70001,416.60001,424.79999,1015400,205.45874
2015-06-05,424.75,447.79999,420.20001,439.04999,1451000,212.3509
2015-06-08,443.95001,449.79999,427.10001,431.95001,1518400,208.91692
2015-06-09,431,433,417.79999,423.95001,994200,205.04764
2015-06-10,426,427.25,416.14999,421.85001,1131000,204.03195
2015-06-11,422.5,423.5,400.20001,405.64999,727900,196.19666
2015-06-12,405,416.89999,405,413.75,668800,200.11431
2015-06-15,410.25,420.5,410.25,416.54999,292500,201.46855
2015-06-16,417,420,406.20001,407.64999,357400,197.16398
2015-06-17,409.70001,424,409.10001,420.85001,1408700,203.54829
2015-06-18,421.20001,424.5,416,422.45001,466100,204.32215
2015-06-19,423.39999,442,420.20001,439.14999,1734400,212.39927
2015-06-22,440.70001,456.39999,440.70001,449.95001,1034100,217.6228
2015-06-23,454.25,463,442.29999,445.39999,870300,215.42214
2015-06-24,446,467,440,459.60001,2218700,222.29012
2015-06-25,464.5,464.5,444.45001,449.75,1748200,217.52606
2015-06-26,450.79999,450.79999,444,448.79999,660200,217.06658
2015-06-29,440,443,431.75,434.35001,435600,210.0777
2015-06-30,434,452.5,433.54999,449.64999,1891700,217.47769
2015-07-01,452.89999,454.10001,445.14999,447.54999,614800,216.46201
2015-07-02,451.39999,452.79999,439.79999,444.29999,1263000,214.89011
2015-07-03,447.45001,447.45001,432.20001,434.04999,468900,209.9326
2015-07-06,434,447.89999,431,441.95001,347500,213.75352
2015-07-07,442.70001,446.75,437.04999,439.39999,400500,212.52018
2015-07-08,435.04999,448,434.10001,438.75,668100,212.2058
2015-07-09,437.35001,445.79999,426.14999,428.70001,460200,207.34503
2015-07-10,428.70001,435,428.64999,430.10001,401400,208.02215
2015-07-13,430.14999,439.89999,428.29999,438.60001,424300,212.13326
2015-07-14,442,443.54999,436,439.45001,523600,212.54437
2015-07-15,440,441.79999,436.20001,438.35001,267000,212.01234
2015-07-16,439.54999,444.85001,437,440.64999,447100,213.12476
2015-07-17,442.75,442.75,438,439.95001,281500,212.7862
2015-07-20,441,444.20001,435,436.64999,505000,211.19012
2015-07-21,436.85001,439.85001,426.29999,428.85001,1193600,207.41757
2015-07-22,432.45001,432.75,426,430.39999,278900,208.16724
2015-07-23,431.70001,435,429.25,432.04999,405900,208.96528
2015-07-24,432.25,441,428.20001,434.85001,1448000,210.31953
2015-07-27,438,438.54999,426.39999,427.64999,407200,206.83718
2015-07-28,427.70001,430.39999,417.04999,418.89999,507000,202.60515
2015-07-29,421.45001,435,420.25,430.45001,972700,208.19143
2015-07-30,434.85001,440,431.20001,436.79999,520600,211.26266
2015-07-31,439.89999,444.79999,437.14999,440.04999,1582600,212.83456
2015-08-03,441,447,431.5,432.45001,687900,209.15875
2015-08-04,431.10001,444.89999,430.14999,442.10001,1087700,213.82607
2015-08-05,450.04999,457,434.10001,440.39999,4277300,213.00384
2015-08-06,445,448.39999,437.5,440.75,1114800,213.17312
2015-08-07,436.25,440.64999,433,438.89999,1328000,212.27835
2015-08-10,438,443.89999,434.10001,436.89999,382800,211.31103
2015-08-11,439.95001,440,431.10001,436.70001,400500,211.21431
2015-08-12,436.04999,436.04999,419.20001,423.39999,654900,204.78162
2015-08-13,426,431,417.75,419.54999,417900,202.91953
2015-08-14,419.95001,425,417.29999,417.79999,339500,202.07312
2015-08-17,418.79999,427.70001,418,424.75,282000,205.43456
2015-08-18,429,432.60001,426.39999,429.79999,1175500,207.87704
2015-08-19,430.85001,433.85001,427.04999,431.85001,1238400,208.86855
2015-08-20,432.10001,434,419.5,422.04999,427700,204.12868
2015-08-21,419,433.45001,418,430.60001,609200,208.26398
2015-08-24,416.75,422.39999,382,396.25,1237300,191.65026
2015-08-25,400.10001,405,383.04999,399.04999,1548900,193.0045
2015-08-26,397,411.04999,392.70001,401.39999,1241100,194.1411
2015-08-27,407,415.89999,402.25,410.10001,736800,198.34895
2015-08-28,412.89999,416.64999,407.29999,411.10001,801200,198.83261
2015-08-31,406.5,419.89999,402.20001,405.54999,1408400,196.14829
2015-09-01,403.79999,410.54999,400.10001,404.85001,922600,195.80973
2015-09-02,412,412,401.39999,404.95001,1640300,195.8581
2015-09-03,404.5,407.25,402.5,405.5,903600,196.12411
2015-09-04,406.85001,406.85001,398.29999,401.75,436200,194.31039
2015-09-07,403.10001,405.45001,392.35001,396.5,288600,191.77117
2015-09-08,397.5,400.89999,380.29999,383.79999,466400,185.62868
2015-09-09,387.14999,401,387.14999,395,682400,191.04568
2015-09-10,393.75,398.54999,385,394.29999,477400,190.70711
2015-09-11,397,409.95001,396.95001,405.35001,817200,196.05156
2015-09-14,406,411.39999,399,408.20001,687500,197.43
2015-09-15,409.39999,409.39999,403.14999,403.39999,1934100,195.10842
2015-09-16,407.45001,411.75,405,406.79999,1579000,196.75286
2015-09-17,406.79999,406.79999,406.79999,406.79999,0,196.75286
2015-09-18,407.45001,414.5,402.29999,404.79999,1214200,195.78554
2015-09-21,402.45001,409.29999,399.35001,403.85001,437900,195.32607
2015-09-22,405.10001,405.89999,393,393.70001,555200,190.41693
2015-09-23,393,394,384,390.5,583600,188.86921
2015-09-24,398,402.14999,393.04999,395.39999,865800,191.23914
2015-09-25,395.39999,395.39999,395.39999,395.39999,0,191.23914
2015-09-28,399.5,406,395.45001,397.75,1191900,192.37575
2015-09-29,394.39999,400,386.10001,396.45001,777700,191.74699
2015-09-30,399.89999,405.04999,395.89999,404.20001,2576800,195.49536
2015-10-01,408,409,398.60001,399.85001,1675500,193.39144
2015-10-02,399.85001,399.85001,399.85001,399.85001,0,193.39144
2015-10-05,400.29999,404.5,400.29999,402.95001,1022000,194.89078
2015-10-06,403.5,406,400.10001,401.95001,1202400,194.40712
2015-10-07,408,408,401.04999,403.14999,854400,194.98751
2015-10-08,402,402.95001,398.04999,401.75,1034500,194.31039
2015-10-09,402.10001,404,398.45001,400.10001,869100,193.51235
2015-10-12,400.64999,401.70001,387.29999,395.14999,735300,191.11823
2015-10-13,395,395.14999,389.10001,391.25,574400,189.23196
2015-10-14,392.95001,395.64999,389.89999,394.64999,447200,190.8764
2015-10-15,395.95001,402,394.85001,399.64999,1353100,193.2947
2015-10-16,401.89999,401.89999,396.25,399.70001,744100,193.31889
2015-10-19,400,402.79999,398.60001,401.10001,1394000,193.99601
2015-10-20,400.14999,401,390.75,393.85001,1108900,190.48948
2015-10-21,394,396.75,391.25,392.95001,375000,190.05418
2015-10-22,392.95001,392.95001,392.95001,392.95001,0,190.05418
2015-10-23,394,397,381.14999,385.60001,1175200,186.49928
2015-10-26,386,390,381.39999,388.60001,1201100,187.95026
2015-10-27,389.39999,394.60001,386.20001,391.35001,1078400,189.28033
2015-10-28,393,397.5,387.89999,393.70001,680900,190.41693
2015-10-29,393,396,389.75,392.04999,1125000,189.61888
2015-10-30,392.5,394.25,385,387.20001,1031800,187.27314
2015-11-02,387.89999,388.64999,381.25,385.95001,1112300,186.66856
2015-11-03,388,393.54999,378.60001,390.5,2420700,188.86921
2015-11-04,390.95001,407,383.10001,399.39999,9408300,193.17378
2015-11-05,402.60001,416.5,400.10001,403.25,5275700,195.03588
2015-11-06,404.95001,409.60001,401,402.75,1364100,194.79405
2015-11-09,399.95001,405.89999,395,404.35001,1086100,197.28234
2015-11-10,404.89999,410.85001,395,403.64999,575600,196.9408
2015-11-11,403.64999,403.64999,403.64999,403.64999,0,196.9408
2015-11-12,403.64999,403.64999,403.64999,403.64999,0,196.9408
2015-11-13,403,405.70001,396.04999,397.70001,1249100,194.03781
2015-11-16,396.10001,400.95001,390,391.75,690900,191.1348
2015-11-17,393.5,403.89999,393.25,401.95001,1239800,196.11138
2015-11-18,403.5,424.89999,402,418.95001,3302000,204.40568
2015-11-19,424,427,419.10001,421.54999,1429000,205.67421
2015-11-20,420,424,415.10001,419.20001,1018400,204.52766
2015-11-23,421,431.64999,417.54999,429.60001,2320400,209.60181
2015-11-24,431.5,436.5,427.5,432.75,1445800,211.13869
2015-11-25,432.75,432.75,432.75,432.75,0,211.13869
2015-11-26,433,438,425.79999,429.35001,1943600,209.47984
2015-11-27,432.95001,432.95001,418.70001,421,956000,205.40587
2015-11-30,418,425.45001,414.45001,423.45001,3077500,206.60123
2015-12-01,425.35001,426,420.10001,424.45001,1154900,207.08913
2015-12-02,426.04999,434.39999,425,431.95001,1422000,210.74838
2015-12-03,429.10001,430.25,423.25,425.14999,524600,207.43065
2015-12-04,421.25,427.45001,421.25,424.14999,634600,206.94275
2015-12-07,424.20001,431.85001,424.04999,425.95001,1169100,207.82098
2015-12-08,422.60001,431,422.5,426.25,573000,207.96734
2015-12-09,427.85001,434.89999,421.25,423.64999,1484600,206.6988
2015-12-10,429.39999,429.39999,417.64999,424.29999,869200,207.01593
