"Date","CENTURYTEX.NS.Open","CENTURYTEX.NS.High","CENTURYTEX.NS.Low","CENTURYTEX.NS.Close","CENTURYTEX.NS.Volume","CENTURYTEX.NS.Adjusted"
2015-10-29,543.3,560.8,541.3,548.35,1586500,539.53
2015-10-30,546.5,569.8,530.5,554.2,2806200,545.29
2015-11-02,553,557.4,532.5,539.85,815300,531.17
2015-11-03,543.8,552.85,540.5,544.5,952400,535.74
2015-11-04,550,554.4,542.9,550.35,850200,541.5
2015-11-05,552,552.3,521.35,526.75,678700,518.28
2015-11-06,527,531.5,512.2,516.3,956800,508
2015-11-09,502,526.8,496,524.25,790500,515.82
2015-11-10,524,524,508.1,511.3,753400,503.08
2015-11-11,514.95,518.65,514.35,516.65,71000,508.34
2015-11-12,516.65,516.65,516.65,516.65,0,508.34
2015-11-13,507,526.15,507,524.6,670700,516.16
2015-11-16,518,556.2,518,552.2,1331600,543.32
2015-11-17,558.8,569.65,552,564.8,1199600,555.71
2015-11-18,563.6,569.8,546,548.85,904800,540.02
2015-11-19,554.8,579.8,550,574.7,1306800,565.46
2015-11-20,579.3,583.65,572,574.2,1525100,564.96
2015-11-23,576,580.9,565.1,572.45,855300,563.24
2015-11-24,565,583.7,565,577.2,1100500,567.92
2015-11-25,577.2,577.2,577.2,577.2,0,567.92
2015-11-26,579.9,590.95,577.5,586.35,1492400,576.92
2015-11-27,588,593.55,580.2,582.25,955100,572.88
2015-11-30,582.25,591.5,582.25,585,690300,575.59
2015-12-01,585.05,588.7,574.5,576.5,674000,567.23
2015-12-02,577.95,581.7,567.65,579.25,583300,569.93
2015-12-03,578,585.8,570.6,573.15,782000,563.93
2015-12-04,570,572.65,560.75,565.95,745800,556.85
2015-12-07,568.2,578,568,575.75,498800,566.49
2015-12-08,570.5,582.3,548.15,554.35,890200,545.43
2015-12-09,552,556.5,531.7,537.85,889700,529.2
2015-12-10,541.3,546.5,531.25,543.35,806000,534.61
2015-12-11,547,551.6,523.55,531.1,939300,522.56
2015-12-14,532,546.1,526.55,544.05,802200,535.3
2015-12-15,546.3,547.8,539.35,544.85,601400,536.09
2015-12-16,549.3,566.7,543.25,562.95,1265200,553.89
2015-12-17,569.8,581.1,563.25,578.8,1240600,569.49
2015-12-18,580,585.7,565.6,572.7,1319800,563.49
2015-12-21,572,579.8,568.75,576.8,715100,567.52
2015-12-22,577.95,590.2,573.5,582.9,1185200,573.52
2015-12-23,585.85,590.3,578,579.95,932900,570.62
2015-12-24,584.7,602.5,580.2,600,1450300,590.35
2015-12-25,600,600,600,600,0,590.35
2015-12-28,601.2,609.5,593.85,597.7,1161200,588.09
2015-12-29,598,603.7,591.1,594.95,728800,585.38
2015-12-30,596.85,605.6,593,602.2,1280400,592.51
2015-12-31,603,605.95,593.9,596.7,813600,587.1
2016-01-01,597.85,619.5,597,615.8,1103000,605.89
2016-01-04,615.85,624.2,586.25,589.9,1433000,580.41
2016-01-05,594.3,601.8,582.55,597.4,1142900,587.79
2016-01-06,594.95,604.5,585,589.35,1070700,579.87
2016-01-07,584.5,584.5,560,562.2,938300,553.16
2016-01-08,565,574.95,564.1,567.9,707200,558.77
2016-01-11,560,576.9,555,572.1,653400,562.9
2016-01-12,575.4,579.55,560.25,564.05,785400,554.98
2016-01-13,569.95,573.8,532.65,556.4,1162900,547.45
2016-01-14,543.5,556.5,533.7,544.15,759800,535.4
2016-01-15,548,551,507,515.2,1004700,506.91
2016-01-18,511,519.75,492.15,500,1232900,491.96
2016-01-19,504.3,521.95,491.25,518.3,996400,509.96
2016-01-20,510,510,486.2,502.7,1155400,494.61
2016-01-21,513.95,515.9,496.4,503.05,947300,494.96
