"Date","ALBK.NS.Open","ALBK.NS.High","ALBK.NS.Low","ALBK.NS.Close","ALBK.NS.Volume","ALBK.NS.Adjusted"
2015-03-12,106.5,108.2,106,107.6,1639800,105.68
2015-03-13,108.35,108.65,105,106.65,2961900,104.75
2015-03-16,107,107.15,104.25,106.05,1897200,104.16
2015-03-17,106.9,108.7,104.65,108.15,2902700,106.22
2015-03-18,108.25,110.2,107.05,109.25,1663600,107.3
2015-03-19,110.1,110.8,104,104.85,1830300,102.98
2015-03-20,105.25,105.25,102.3,103.1,2041600,101.26
2015-03-23,104,104,98.25,99.3,2518600,97.53
2015-03-24,99,99.55,97.1,98.05,2352800,96.3
2015-03-25,98.7,99,97,97.55,1754800,95.81
2015-03-26,96.95,97.4,95,95.4,2625100,93.7
2015-03-27,96.1,98.85,92.4,98.25,3672600,96.5
2015-03-30,99.05,101.4,97.2,101,1934000,99.2
2015-03-31,101.7,102.6,99,100.2,2241000,98.41
2015-04-01,99.1,101.65,99.1,101.4,2129000,99.59
2015-04-02,101.4,101.4,101.4,101.4,0,99.59
2015-04-03,101.4,101.4,101.4,101.4,0,99.59
2015-04-06,101.95,101.95,99.25,100.5,1664400,98.71
2015-04-07,100.95,102.35,99.35,100.65,1859600,98.86
2015-04-08,101,103.45,100.55,101.05,1339600,99.25
2015-04-09,101.6,104.3,99.9,103.75,2686400,101.9
2015-04-10,103.75,105.6,102.05,104.95,2799200,103.08
2015-04-13,105.2,106.9,104.2,105.2,1715300,103.32
2015-04-14,105.2,105.2,105.2,105.2,0,103.32
2015-04-15,105.3,108.8,105,106.4,2962100,104.5
2015-04-16,106.8,106.9,103.1,104,1943700,102.15
2015-04-17,104.4,106.2,103.1,104.5,2113300,102.64
2015-04-20,104.95,105.5,99.6,100.95,2315900,99.15
2015-04-21,101.6,102.6,100.05,101.35,2165900,99.54
2015-04-22,101.9,103.3,99.7,102.65,2573000,100.82
2015-04-23,103,103.75,100.85,101.35,2012100,99.54
2015-04-24,101.8,101.85,99.3,100.1,2130600,98.32
2015-04-27,100.45,100.55,97,97.6,1647000,95.86
2015-04-28,97.7,99.4,97.25,98.8,1539700,97.04
2015-04-29,98.8,99.7,98.4,99.05,952200,97.28
2015-04-30,98.9,104.4,98.5,103.25,4425300,101.41
2015-05-01,103.25,103.25,103.25,103.25,0,101.41
2015-05-04,104,104.5,101.9,103.9,1511700,102.05
2015-05-05,104.3,105,102.35,102.85,1162700,101.02
2015-05-06,102.5,103.6,98.9,100.85,1844500,99.05
2015-05-07,100,100.9,98,99.35,2414500,97.58
2015-05-08,100.05,103.9,99.05,99.55,6048300,97.78
2015-05-11,100.8,103.5,99.15,102.7,3584800,100.87
2015-05-12,103,103.15,97.2,98.35,2292200,96.6
2015-05-13,98.95,102.45,98.65,101.35,1790700,99.54
2015-05-14,101.2,109.1,99.55,108.6,4118600,106.66
2015-05-15,109,109.9,106.4,106.95,2152000,105.04
2015-05-18,107.5,107.55,103.25,104.3,1775600,102.44
2015-05-19,104,105.45,102.2,102.75,2010200,100.92
2015-05-20,102.85,103.95,102,102.3,1453200,100.48
2015-05-21,102.6,103.2,100.65,101.2,1245000,99.4
2015-05-22,101.6,103.2,100.45,100.8,1519100,99
2015-05-25,100.8,101.75,100,101,918900,99.2
2015-05-26,101.4,101.9,99.55,100.35,1156900,98.56
2015-05-27,99.8,103.8,99.7,103.3,1512500,101.46
2015-05-28,103.5,105.9,103.1,105.45,1939800,103.57
2015-05-29,105.1,107.1,104.8,106.65,1476000,104.75
2015-06-01,106.85,108.25,105.7,106.65,1268100,104.75
2015-06-02,106.8,107.5,98.6,99.25,2981000,97.48
2015-06-03,99.25,99.9,94,95.4,2402400,93.7
2015-06-04,95.9,97.2,92.1,96.6,3594700,94.88
2015-06-05,96.2,97.8,94.7,96.15,1648600,94.44
2015-06-08,95.9,97,92.8,93.4,1517400,91.74
2015-06-09,93,95.55,92.6,93.55,1556600,91.88
2015-06-10,94.45,95.1,93.3,94.1,1133300,92.42
2015-06-11,95.5,95.5,90.4,90.85,1975100,89.23
2015-06-12,90.8,92.65,89.65,92.35,1492200,90.7
2015-06-15,92.45,92.95,89.6,90,1716600,88.4
2015-06-16,89.9,91.65,89.4,91.25,1135800,89.62
2015-06-17,91.7,92.1,90.9,91.45,812800,89.82
2015-06-18,90.45,91.5,88.25,90.15,1255300,90.15
2015-06-19,90.4,91.8,89.45,91.35,1354300,91.35
2015-06-22,91.7,94.8,91.4,93.75,1677300,93.75
2015-06-23,94.55,96.75,93.8,94.4,1945000,94.4
2015-06-24,94.95,94.95,91.1,91.45,1584100,91.45
2015-06-25,91.45,92.3,89.75,91.1,9066400,91.1
2015-06-26,91.5,91.75,88.8,90.2,1709100,90.2
2015-06-29,88,88,85.3,87.15,2423200,87.15
2015-06-30,86.05,87.75,85.8,86.75,1627700,86.75
2015-07-01,86.7,89.5,86.65,88.8,2288400,88.8
2015-07-02,89,89.9,87.55,88,1375700,88
2015-07-03,87.95,88.7,87.15,88.45,1210400,88.45
2015-07-06,85.8,90.05,85.8,89.75,1768100,89.75
2015-07-07,89.75,90.9,88.75,89.65,1482000,89.65
2015-07-08,88,89.35,86.6,88,1510700,88
2015-07-09,88.8,93.95,88,91.65,2956300,91.65
2015-07-10,92.1,92.6,90.9,92.35,1431800,92.35
2015-07-13,92.5,93.3,91.1,92.75,1246500,92.75
2015-07-14,93.4,93.5,91.4,91.75,1084000,91.75
2015-07-15,92.45,92.45,89.55,90.05,1181100,90.05
2015-07-16,90.15,91.35,90,90.85,906400,90.85
2015-07-17,91.15,92,90.7,91.3,857900,91.3
2015-07-20,91.45,91.45,88.55,88.85,1514900,88.85
2015-07-21,89,89.45,87.1,87.4,1313300,87.4
2015-07-22,87,89,86.6,88.6,991000,88.6
2015-07-23,88.75,89.8,87.8,88.95,1348600,88.95
2015-07-24,89,89.85,87.3,87.75,976300,87.75
2015-07-27,88.15,88.15,83.2,83.65,1748300,83.65
2015-07-28,83.65,85.3,82.75,83.3,1854700,83.3
2015-07-29,83.1,89.3,81,87.25,10127000,87.25
2015-07-30,87.85,90.15,86.1,88.05,4543700,88.05
2015-07-31,88.7,93.5,88.2,91.95,4084400,91.95
2015-08-03,91.95,95.8,91,93.45,3279800,93.45
2015-08-04,93.55,95,91.3,94.35,3533400,94.35
2015-08-05,95,95.95,93.8,94.15,2612800,94.15
2015-08-06,93.25,95.9,92.9,94.55,1976300,94.55
2015-08-07,94.5,95.25,92.5,92.85,1461900,92.85
2015-08-10,92.5,93.8,90.1,91.25,1078800,91.25
2015-08-11,91.3,92.1,89.15,89.75,1431700,89.75
2015-08-12,89,89.4,86.75,87.15,1460700,87.15
2015-08-13,87.9,88.75,85.2,85.85,2811300,85.85
2015-08-14,86.4,91.5,85.4,91,2683300,91
2015-08-17,91.3,97.2,91.3,96.3,4650200,96.3
2015-08-18,97,99.4,96.2,98.25,4272500,98.25
2015-08-19,98,98,92.55,93.65,2536300,93.65
2015-08-20,93.3,94.6,87.9,88.35,2702300,88.35
2015-08-21,87,88.65,83.2,88.05,3000500,88.05
2015-08-24,83.2,85.9,80,82.4,6146100,82.4
2015-08-25,84,84.5,77.1,83.05,4027400,83.05
2015-08-26,82.8,84.25,80.5,82.95,3558700,82.95
2015-08-27,84.8,85.7,82.8,85.2,2435700,85.2
2015-08-28,86.5,87.25,82.7,83.8,1886800,83.8
2015-08-31,83.7,85.85,82.7,83.05,2759200,83.05
2015-09-01,82.5,83.1,79.6,80.05,2115100,80.05
2015-09-02,81.2,81.25,79,79.25,2263900,79.25
2015-09-03,80,81,79.05,80,1853000,80
2015-09-04,79.5,79.5,75.35,76.5,2011800,76.5
2015-09-07,77,77.75,74.8,75.2,1905900,75.2
2015-09-08,75.55,77.8,74.35,76.1,3853500,76.1
2015-09-09,77.45,78.6,75.9,77.4,3624300,77.4
2015-09-10,76.2,76.2,73.9,75.3,2943000,75.3
2015-09-11,76.4,77.4,74.75,75.2,1989700,75.2
2015-09-14,75.9,76.95,75.15,76.75,1804000,76.75
2015-09-15,77.5,78,75.2,75.55,1865400,75.55
2015-09-16,76.1,76.4,75.15,75.45,1530100,75.45
2015-09-17,75.45,75.45,75.45,75.45,0,75.45
2015-09-18,76.45,79.35,76,76.65,5251500,76.65
2015-09-21,75.95,81,75.4,78.8,4305200,78.8
2015-09-22,79.95,80,75.2,75.85,2708300,75.85
2015-09-23,75,78.9,74.75,78.25,2548000,78.25
2015-09-24,78,78.65,76.1,76.4,2875900,76.4
2015-09-25,76.4,76.4,76.4,76.4,0,76.4
2015-09-28,76.7,78.45,76.6,77.15,1843600,77.15
2015-09-29,76.4,79,75.6,77.3,4322000,77.3
2015-09-30,78,78.2,76.15,76.75,1667600,76.75
2015-10-01,77.65,77.9,74.8,75.05,2362500,75.05
2015-10-02,75.05,75.05,75.05,75.05,0,75.05
2015-10-05,75.7,76.9,75.6,76.45,2967000,76.45
2015-10-06,77.15,77.85,75.6,77.45,2879300,77.45
2015-10-07,77.45,78.7,77.1,77.95,2888300,77.95
2015-10-08,77.9,79.6,76.95,77.85,3316800,77.85
2015-10-09,78.6,79.25,77.3,77.95,1605700,77.95
2015-10-12,78.05,79.4,77.25,78.45,1399900,78.45
2015-10-13,78.3,78.95,76.8,77.65,1525700,77.65
2015-10-14,77.6,78.35,77.15,77.65,963600,77.65
