"Date","UNIONBANK.NS.Open","UNIONBANK.NS.High","UNIONBANK.NS.Low","UNIONBANK.NS.Close","UNIONBANK.NS.Volume","UNIONBANK.NS.Adjusted"
2015-04-30,142,144.9,141.25,143.8,3174900,135.85
2015-05-01,143.8,143.8,143.8,143.8,0,135.85
2015-05-04,144.5,147.5,143.8,147.05,1844200,138.92
2015-05-05,146.85,148.3,144,144.6,1921300,136.61
2015-05-06,144.1,145.8,136.05,136.55,2830700,129
2015-05-07,136,136.05,130.3,131.7,2398400,124.42
2015-05-08,133.5,135.9,129.75,134,3953900,126.59
2015-05-11,135,141.4,132.35,140.35,3860700,132.59
2015-05-12,140.5,147.6,134.25,143.65,15797500,135.71
2015-05-13,145.25,159.4,145.25,154.6,15448400,146.05
2015-05-14,153.9,163.95,150.8,162.65,9052400,153.66
2015-05-15,163.7,166.9,162.45,164.9,5666200,155.78
2015-05-18,165,165.4,157.6,161,3710600,152.1
2015-05-19,160.9,163.95,160,162.05,2169900,153.09
2015-05-20,162.5,164.6,160.2,163.05,2238600,154.04
2015-05-21,162.9,164.6,161.05,164,2500300,154.93
2015-05-22,164.15,167.7,162.3,163.2,3800000,154.18
2015-05-25,163,165.25,161.65,163.25,1404300,154.23
2015-05-26,162.75,164.2,161.4,162.9,1386100,153.89
2015-05-27,161.8,171.3,161.6,168.85,4985600,159.52
2015-05-28,170,173.1,167.25,171.5,4381000,162.02
2015-05-29,171.5,174.25,170.1,173.4,2623000,163.81
2015-06-01,173.5,176.1,173.3,175.15,2052700,165.47
2015-06-02,176,176,157.65,161.05,9054800,152.15
2015-06-03,161.4,163.45,156.1,162.45,4126100,153.47
2015-06-04,163.4,163.4,151.1,155.3,5177700,146.71
2015-06-05,153.9,157.2,152.3,154.65,3337900,146.1
2015-06-08,154.9,156.9,147.1,147.85,3011900,139.68
2015-06-09,147.55,150.45,146.8,147.8,2995900,139.63
2015-06-10,148.25,151.45,148.1,149.35,1788200,141.09
2015-06-11,150.8,151,141.25,141.85,4005100,134.01
2015-06-12,141.35,145.7,140.65,144.75,4073900,136.75
2015-06-15,145.65,147.2,143.05,143.8,2578900,135.85
2015-06-16,143.8,149.25,142.85,148.55,3180200,140.34
2015-06-17,149,150,146.1,148.2,2227600,140.01
2015-06-18,143,144.75,140.2,143.1,2787800,140.89
2015-06-19,143.8,144.7,141.6,143.3,2067800,141.09
2015-06-22,144,151.5,143.7,150.8,3291000,148.47
2015-06-23,152,160.15,151.5,159.15,6174300,156.7
2015-06-24,159.8,159.8,150.1,151.6,3072700,149.26
2015-06-25,151,155.8,148.75,154.45,3324700,152.07
2015-06-26,153.2,154.6,149.6,153.25,2839500,150.89
2015-06-29,147.05,149,143.8,148.2,3709500,145.91
2015-06-30,147.8,150.25,145.8,147.65,3214500,145.37
2015-07-01,147.95,157.7,147.55,156.3,5392600,153.89
2015-07-02,157,157.85,153.15,153.95,2766000,151.58
2015-07-03,154,162.55,153.1,161.75,6478700,159.26
2015-07-06,158,166.4,156.5,165.05,5512400,162.5
2015-07-07,165,168.4,163.05,165.5,4614000,162.95
2015-07-08,162,164.5,159.1,161.3,3201400,158.81
2015-07-09,161.85,167.5,161.2,165.55,3306800,163
2015-07-10,166.5,171.3,166,170.4,4527000,167.77
2015-07-13,171.8,172.45,166.8,171.3,3412900,168.66
2015-07-14,171.5,174.5,169.05,173.4,3449900,170.73
2015-07-15,173.5,174.3,170.25,171.6,2283900,168.95
2015-07-16,171.65,175.45,170.5,174.75,2989900,172.06
2015-07-17,175,176.65,173.6,174.35,1841100,171.66
2015-07-20,174,174,167.6,168.75,3014900,166.15
2015-07-21,168,171.6,161.3,162.15,2261700,159.65
2015-07-22,161,166.5,159.3,165.4,2153800,162.85
2015-07-23,166.8,166.9,161.8,163,2909700,160.49
2015-07-24,162.5,163.9,159.05,159.5,2011200,157.04
2015-07-27,158.5,158.5,153.55,154.1,1955200,151.72
2015-07-28,155,160.9,150.8,157.35,12568800,154.92
2015-07-29,158.5,158.5,152,153.15,2978500,150.79
2015-07-30,154,165.5,153.9,164.1,4883400,161.57
2015-07-31,165,180.2,162.25,176.5,8845900,173.78
2015-08-03,176.5,189.8,175.4,186.35,8644800,183.48
2015-08-04,187.8,207.85,183,202.9,19118800,199.77
