"Date","BIOCON.NS.Open","BIOCON.NS.High","BIOCON.NS.Low","BIOCON.NS.Close","BIOCON.NS.Volume","BIOCON.NS.Adjusted"
2015-06-03,455.8,459.5,433.9,436.1,807900,431.499
2015-06-04,437.7,437.9,428.25,435.2,459300,430.608
2015-06-05,435.7,448,433.3,444.5,566100,439.81
2015-06-08,447,447,433.25,434.9,368900,430.311
2015-06-09,434.05,456.75,432.75,455.15,881800,450.348
2015-06-10,454,458,450,452.45,418600,447.676
2015-06-11,454.4,461,447.25,449.85,692200,445.104
2015-06-12,448.8,450.9,441.75,446.35,294600,441.641
2015-06-15,445,453.7,444,446.55,396900,441.839
2015-06-16,459.3,460,448.9,453.35,1174600,448.567
2015-06-17,455.8,471.55,453.05,467.2,1214400,462.271
2015-06-18,470.45,475.95,466.4,467.5,879400,462.568
2015-06-19,469.45,472,461.45,466.85,551700,461.924
2015-06-22,467,474,465,470.1,523300,465.14
2015-06-23,471.8,474.7,464.7,467.2,528800,462.271
2015-06-24,468,478.5,467.5,469.95,799600,464.992
2015-06-25,470.95,475,467.7,470.6,451000,465.635
2015-06-26,470,476.9,459.05,462.85,510100,457.967
2015-06-29,457.05,464.9,448.15,463.1,677300,458.214
2015-06-30,464.65,465.8,458.1,461.1,554700,456.235
2015-07-01,459.45,467,458.6,463.9,357400,459.006
2015-07-02,464.95,466.25,460,461.45,288900,456.581
2015-07-03,462.75,477,460.1,473.3,898300,468.306
2015-07-06,473,481.5,470.05,478.05,901700,473.006
2015-07-07,476.75,483.35,470.45,473.25,642200,468.257
2015-07-08,470.05,474,462.2,466.75,390400,461.825
2015-07-09,467.2,476.8,464.75,465.95,314700,461.034
2015-07-10,468.1,472,464.2,466.65,329600,461.726
2015-07-13,466.05,474.2,466.05,470.8,418300,465.833
2015-07-14,471.95,478.9,471.3,473.6,425300,468.603
2015-07-15,474.9,489,470.8,486.85,1308900,481.713
2015-07-16,491.1,494.25,481.35,483.6,1673500,478.498
2015-07-17,485,489.1,475.45,476.85,656100,471.819
2015-07-20,478,482.85,471,476.25,581300,471.225
2015-07-21,477.95,481.8,462.05,463.75,530500,458.857
2015-07-22,462.4,466.65,458.5,460.65,581500,455.79
2015-07-23,462.15,469.55,457.2,458.75,1050100,453.91
2015-07-24,475.1,477.9,464.2,465.8,2753800,460.885
2015-07-27,465.8,468.7,458,459.95,679600,455.097
2015-07-28,460,462.9,449,450.9,776000,446.143
2015-07-29,455,462.2,452.35,455.75,1148800,450.942
2015-07-30,460.1,461.4,454,455.95,745400,451.139
2015-07-31,457.5,460.5,455,457.4,363900,452.574
2015-08-03,459.8,466,458.85,462.2,477700,457.323
2015-08-04,463,468.8,462.6,467.75,597400,462.815
2015-08-05,468.95,476.4,468,469.2,619300,464.25
2015-08-06,470.95,476.5,469.5,470.85,488200,465.882
2015-08-07,471.7,474.4,465.25,468,440100,463.062
2015-08-10,471.95,472.3,463.3,465.65,376700,460.737
2015-08-11,471,475.9,460.55,462.6,1432100,457.719
