"Date","PIDILITIND.NS.Open","PIDILITIND.NS.High","PIDILITIND.NS.Low","PIDILITIND.NS.Close","PIDILITIND.NS.Volume","PIDILITIND.NS.Adjusted"
2015-06-15,531.35,546.3,531.35,535.3,93300,528.5658
2015-06-16,535.3,537.55,521.1,525.85,343800,519.2347
2015-06-17,528,536.5,522,533.15,250100,526.4429
2015-06-18,539.95,544,534,542.45,130400,535.6259
2015-06-19,543.1,558,542.55,554.15,337300,547.1787
2015-06-22,557,561.8,542,550.5,420200,543.5746
2015-06-23,551.4,556,547.1,550.05,254600,543.1303
2015-06-24,550,555,541,544.45,119500,537.6007
2015-06-25,544.45,559.5,539.4,554.8,379100,547.8205
2015-06-26,557.8,567.85,555,563.4,381200,556.3124
2015-06-29,554,559.7,540.55,555.1,191800,548.1167
2015-06-30,548.5,561.6,548.5,550.4,249300,543.4759
2015-07-01,551,566.8,551,554.7,199800,547.7218
2015-07-02,556.1,561.95,542.35,544.65,239800,537.7982
2015-07-03,547.9,551.1,542.8,545.35,128700,538.4894
2015-07-06,541.1,547.75,535.35,540.5,301700,533.7004
2015-07-07,545,574.5,545,565.95,849200,558.8303
2015-07-08,566.7,578,554.6,562.85,511400,555.7692
2015-07-09,562.85,563.4,545,546.4,337000,539.5262
2015-07-10,550.05,553.75,542.5,545.5,180100,538.6375
2015-07-13,547.95,556.15,543.95,551.25,206000,544.3152
2015-07-14,555,555,547,549.4,276600,542.4885
2015-07-15,551.9,554,548.2,550.95,173000,544.019
2015-07-16,551.85,564.9,550.35,560.6,493700,553.5475
2015-07-17,565,568.45,555,560.4,245000,553.3501
2015-07-20,564,564,555,560.85,174400,553.7944
2015-07-21,561,561,543.2,545.2,184500,538.3413
2015-07-22,545,550.4,541,548.4,138200,541.5011
2015-07-23,547.9,555.1,545.5,548.45,167000,541.5504
2015-07-24,548,549.25,542,544.95,170100,538.0945
2015-07-27,546,546.4,531,538.65,172300,531.8737
2015-07-28,541.5,548.75,538.2,542.25,352300,535.4284
2015-07-29,564.95,565.35,550.4,559.25,826800,552.2145
2015-07-30,559.95,566.75,554.35,558.7,389400,551.6715
2015-07-31,563.9,566,556.5,558.15,270000,551.1284
2015-08-03,559.45,563.8,551.35,553.6,285000,546.6356
2015-08-04,554,596.5,551.05,591.75,1168900,584.3057
2015-08-05,596.5,607.8,593,599.2,923000,591.662
2015-08-06,600.95,604.8,586.05,594.65,253500,587.1692
2015-08-07,594.95,610.8,590.5,592.9,610100,585.4412
2015-08-10,594.9,604.55,594,598.25,543000,590.7239
2015-08-11,599,601,580.3,588.6,366400,581.1953
2015-08-12,588,589.9,570,574.3,274700,567.0752
2015-08-13,577.9,584.4,565.5,570.75,415700,563.5699
2015-08-14,571.9,587,571.25,577.7,375000,573.3456
2015-08-17,580,594.7,571,582.35,464400,577.9606
2015-08-18,585.85,586.8,577.1,580.65,423000,576.2734
2015-08-19,581,583,570.1,573.75,237700,569.4254
2015-08-20,576.9,580.05,565.4,567.65,308800,563.3714
2015-08-21,565,567,550.7,565.4,295100,561.1384
2015-08-24,540.6,559.8,536.35,548.7,739600,544.5642
2015-08-25,551,557.8,507.3,540.85,603400,536.7734
2015-08-26,530,559,528.1,550.05,297100,545.904
2015-08-27,557,571,552.4,568.35,310200,564.0661
2015-08-28,570.5,580,562,567.55,254100,563.2721
2015-08-31,566,573.45,562,570.85,206600,566.5472
2015-09-01,567.95,570.65,548,553.45,404400,549.2784
2015-09-02,555,562,546.7,558.7,210900,554.4889
2015-09-03,560.2,566.15,551.6,554.7,201900,550.519
2015-09-04,555,563,542.05,559.4,258700,555.1836
2015-09-07,559.95,560.8,547,554.8,189000,550.6182
2015-09-08,555.5,559.2,542,550.7,276200,546.5492
2015-09-09,554.1,559.8,552.15,555.45,143100,551.2633
2015-09-10,550,571,546.6,566.35,205300,562.0812
2015-09-11,570.15,574.15,563.5,567.05,151400,562.7759
2015-09-14,567,572.5,563,570.8,148200,566.4976
2015-09-15,575,576.95,563.05,568.85,131900,564.5623
2015-09-16,569.15,570,558.8,560.9,132400,556.6723
2015-09-17,560.9,560.9,560.9,560.9,0,556.6723
