"Date","HCLTECH.NS.Open","HCLTECH.NS.High","HCLTECH.NS.Low","HCLTECH.NS.Close","HCLTECH.NS.Volume","HCLTECH.NS.Adjusted"
2016-01-04,841,854.95,837.45,845.95,1086000,814.5981
2016-01-05,848.95,851.05,836.4,842.8,732600,811.5648
2016-01-06,853.7,853.7,837,841.4,1398900,810.2167
2016-01-07,836.1,837.9,819,825.05,1450600,794.4726
2016-01-08,828,836.75,813.8,828.35,1688400,797.6503
2016-01-11,815,833,811.1,814.55,1267600,784.3618
2016-01-12,818,819,798.05,810.05,1157600,780.0286
2016-01-13,814.8,829.85,804.3,826.4,1579200,795.7726
2016-01-14,810.05,841.8,810.05,828.85,2540600,798.1318
2016-01-15,828.5,842,816,838.05,2285500,806.9908
2016-01-18,831.1,853.95,831.1,842.35,1887000,811.1315
2016-01-19,867,870,800,838.25,5309400,807.1834
2016-01-20,831.05,846,823,841.9,1988000,810.6982
2016-01-21,844,850.15,831.25,835.25,1674200,804.2946
2016-01-22,838,850.95,831.9,839.25,1009200,808.1464
2016-01-25,847.5,858.9,836.85,838.7,1095000,807.6168
2016-01-26,838.7,838.7,838.7,838.7,0,807.6168
2016-01-27,838,840.9,830.2,836,1100700,810.8173
2016-01-28,833,849.8,829.7,844.5,1600600,819.0613
2016-01-29,845.25,870,842.3,865.75,1917500,839.6712
2016-02-01,865.8,889.9,865.8,880.3,1297200,853.7829
2016-02-02,880,885,867.05,872.65,1112700,846.3633
2016-02-03,866.35,870,848.85,852.1,978000,826.4323
2016-02-04,855.1,874.8,848.95,867.35,1317300,841.223
2016-02-05,877,877,858.35,869.65,983800,843.4537
2016-02-08,866.1,868.95,846,849.75,805200,824.1531
2016-02-09,843,844,805.95,810.45,1667200,786.037
2016-02-10,815.5,833,807.6,827.4,1132600,802.4764
2016-02-11,827.4,827.4,801.6,808,1619200,783.6608
2016-02-12,814,825.85,784.95,798.25,1392400,774.2045
2016-02-15,813,832.5,810.35,827.1,1380800,802.1854
2016-02-16,825.1,837.9,819.25,824.3,1052200,799.4698
2016-02-17,829.95,835,816.35,824.8,1360100,799.9547
2016-02-18,829.05,847,827.35,843.95,1064500,818.5279
2016-02-19,842,857,828.4,851.55,1183000,825.8989
2016-02-22,849.8,849.8,840.1,845.95,923700,820.4676
2016-02-23,845,849,827,828.95,630400,803.9797
2016-02-24,829.6,839,809,811.05,861100,786.6189
2016-02-25,807,815,799.7,808.75,809800,784.3882
2016-02-26,814.35,832,814,824.65,1023900,799.8092
2016-02-29,822,831.65,795,813.25,1547000,788.7526
2016-03-01,813.9,841.4,809,832.15,1057200,807.0833
2016-03-02,837,865,829.35,854.85,1639600,829.0995
2016-03-03,865,866.35,851.6,859.3,1007900,833.4155
2016-03-04,860.2,861.1,830.35,835.4,1777300,810.2354
2016-03-07,835.4,835.4,835.4,835.4,0,810.2354
2016-03-08,828,831.95,809.45,815.25,3245000,790.6924
2016-03-09,813.95,818,801.35,815.65,6110700,791.0803
2016-03-10,821.8,822.9,806.4,817.85,2507800,793.214
2016-03-11,817,825,812.5,823.05,2120500,798.2574
2016-03-14,823.85,830.4,822,827.9,1426300,802.9613
2016-03-15,826,826.95,810.5,811.85,1355600,787.3948
2016-03-16,813.45,816.5,807.5,814.9,1218200,790.3529
2016-03-17,820,829,810.55,815.3,1714800,790.7409
2016-03-18,816,828.8,815,824.15,1661500,799.3243
2016-03-21,828,828,815.2,822.55,1658200,797.7725
2016-03-22,820.75,831,817,828.45,2733200,803.4948
2016-03-23,828,830,813.4,817.7,2509300,793.0686
2016-03-24,817.7,817.7,817.7,817.7,0,793.0686
2016-03-25,817.7,817.7,817.7,817.7,0,793.0686
2016-03-28,819.9,826.5,806.45,810.65,2957200,786.231
2016-03-29,814.6,816.2,799.9,806.8,2531600,782.4969
2016-03-30,805.45,822,805.45,820.6,2302300,795.8812
2016-03-31,815,824.5,809.9,814.1,4586900,789.577
2016-04-01,820,824,807,820.4,2664800,795.6873
2016-04-04,815,841.95,815,839.85,2830900,814.5513
2016-04-05,839.85,848.9,832.55,843.25,2499800,817.8489
2016-04-06,847,847.95,826.1,838.75,1082900,813.4845
2016-04-07,846.9,846.9,827,828.45,940800,803.4948
2016-04-08,831.85,836,825.6,833.1,722800,808.0047
2016-04-11,836.45,841.95,824.4,839.3,970200,814.0179
2016-04-12,843,845,831.25,839.65,709600,814.3574
2016-04-13,844.95,846.5,835.15,837.55,1318200,812.3206
2016-04-14,837.55,837.55,837.55,837.55,0,812.3206
2016-04-15,837.55,837.55,837.55,837.55,0,812.3206
2016-04-18,845.05,860.65,845,853.3,2926500,827.5962
2016-04-19,853.3,853.3,853.3,853.3,0,827.5962
2016-04-20,862.5,862.5,835.5,841.2,1389000,815.8607
2016-04-21,844,855.35,838.5,846.25,1117500,820.7586
2016-04-22,838.35,852.9,838.35,845.15,1110800,819.6917
2016-04-25,841.25,850,841.25,845.1,831400,819.6432
2016-04-26,839.05,855.4,833.15,849.8,1128500,824.2016
2016-04-27,849.5,855.9,831.05,837.55,2275000,812.3206
2016-04-28,805,823,796.65,799.9,8921900,775.8048
2016-04-29,794,794,747.2,750.3,8989300,727.6988
2016-05-02,750,756.3,740.1,742.2,2510500,719.8429
2016-05-03,747,747.55,726.05,728.4,3499900,706.4586
2016-05-04,727,740.5,726.25,737.1,3202000,714.8964
2016-05-05,736.8,739.8,725.5,732.9,2538900,716.6566
2016-05-06,732.95,732.95,721,722.6,3068200,706.5848
2016-05-09,724,733,718.25,721.4,3692400,705.4115
2016-05-10,723.5,724.2,716.1,718.8,2700900,702.8691
2016-05-11,711,716.8,706.4,708.75,4210800,693.0418
2016-05-12,711,718.9,709.5,714.7,1779300,698.86
2016-05-13,718,727,713,723.15,3575400,707.1227
2016-05-16,725.55,725.6,716.15,718.95,1616500,703.0158
2016-05-17,720,739,720,732.3,3917300,716.0699
2016-05-18,732,744.6,727,742.25,2124500,725.7994
2016-05-19,738,744,727.5,730.1,1745300,713.9186
2016-05-20,729,740,729,736.65,1923300,720.3235
2016-05-23,738.35,739.85,732,733.55,1038200,717.2922
2016-05-24,735,741.45,730.05,739.25,1395000,722.8658
2016-05-25,742,750.4,740.15,749.35,1686700,732.742
2016-05-26,751.05,752,736.65,740.9,3231100,724.4793
2016-05-27,742.6,759.7,742.6,757.6,3045000,740.8091
2016-05-30,761.1,763.7,745.2,747.55,1593300,730.9819
2016-05-31,748,753.35,736.35,739.8,15048100,723.4036
2016-06-01,744,744.35,731.7,734.55,2246700,718.27
2016-06-02,735,739.6,715.5,721.35,4293800,705.3625
2016-06-03,725.3,726.45,720.7,721.9,1503300,705.9004
2016-06-06,722,728.7,715.6,724.6,2040500,708.5405
2016-06-07,728,731.45,721.6,726.7,2492100,710.594
2016-06-08,729,745,728.35,743.5,1900300,727.0217
2016-06-09,748.7,755.9,744,753.05,2778800,736.36
2016-06-10,750,758,745.95,751.05,5785800,734.4043
