"Date","BHARTIARTL.NS.Open","BHARTIARTL.NS.High","BHARTIARTL.NS.Low","BHARTIARTL.NS.Close","BHARTIARTL.NS.Volume","BHARTIARTL.NS.Adjusted"
2015-11-27,343.9,344.75,339.35,342.2,1315800,340.857
2015-11-30,343,344,333.2,334.35,6408500,333.038
2015-12-01,335.95,335.95,321.45,322.75,8163900,321.483
2015-12-02,325.3,325.55,316.45,322.9,6132800,321.632
2015-12-03,322,326.5,318.5,319.55,3973200,318.296
2015-12-04,318,322.5,317.15,321.3,2651100,320.039
2015-12-07,321.3,324,318.65,320.1,2420000,318.843
2015-12-08,320,320.45,315.1,317.85,4137300,316.602
2015-12-09,317.25,317.5,308.1,310.85,4676000,309.63
2015-12-10,313.9,314.45,308.5,312.65,2109800,311.423
2015-12-11,315,315,307.5,309.55,2123300,308.335
2015-12-14,307,311,304.15,306.15,3448400,304.948
2015-12-15,306.15,310,304.6,309.2,2364400,307.986
2015-12-16,311,321.95,309.55,320.35,4134500,319.092
2015-12-17,321,324.3,320.05,322.4,3605100,321.134
2015-12-18,322.3,323.4,318,319.05,4095600,317.798
2015-12-21,319.45,323.25,317,320.9,2978900,319.64
2015-12-22,321,327.3,320.2,323.2,3339300,321.931
2015-12-23,326,332.85,324.2,332.35,3587100,331.045
2015-12-24,332.25,339.75,328.65,338.45,2576300,337.121
2015-12-25,338.45,338.45,338.45,338.45,0,337.121
2015-12-28,337.25,338,330,331.75,3007100,330.448
2015-12-29,332.9,336.25,330.5,335.25,2513300,333.934
2015-12-30,339,339.35,332.05,333.1,1555600,331.792
2015-12-31,334,341.75,332.45,340.4,2952200,339.064
2016-01-01,339.95,344,337.65,340.5,1250200,339.163
2016-01-04,338,338.95,321,326.8,3152700,325.517
2016-01-05,327,328.75,321,323.45,2118900,322.18
2016-01-06,325.9,332.5,319.65,322.2,2414100,320.935
2016-01-07,320.9,325.8,316.6,322.35,2825700,321.085
2016-01-08,324.3,324.95,318.5,323.85,1801800,322.579
2016-01-11,321,324,314.7,321.15,2519700,319.889
2016-01-12,322,325.45,313.6,315.4,2940200,314.162
2016-01-13,321,322.55,302.05,308.6,4546000,307.389
2016-01-14,306.9,312,300.5,308.75,3274500,307.538
2016-01-15,311.7,311.7,303.1,306.1,3219900,304.898
2016-01-18,307.8,308.7,293.85,300.25,4122900,299.071
2016-01-19,301.8,312.4,298.4,310.3,3341600,309.082
