"Date","DABUR.NS.Open","DABUR.NS.High","DABUR.NS.Low","DABUR.NS.Close","DABUR.NS.Volume","DABUR.NS.Adjusted"
2015-04-27,270.10001,272.89999,262.10001,263.45001,1036600,259.57692
2015-04-28,262.14999,263.85001,254,259.10001,1454700,255.29087
2015-04-29,260,260,252.35001,255.3,1525900,251.54673
2015-04-30,255.3,261.14999,250.5,251.89999,1894800,248.1967
2015-05-01,251.89999,251.89999,251.89999,251.89999,0,248.1967
2015-05-04,252.25,263.10001,252.25,261.45001,869300,257.60632
2015-05-05,263.85001,267,261.54999,264.60001,1529100,260.71001
2015-05-06,270,271.39999,261.20001,263.10001,2211400,259.23206
2015-05-07,262.95001,263.20001,251,257.20001,1294000,253.41881
2015-05-08,261,263.29999,258.20001,260.85001,1176100,257.01514
2015-05-11,261.10001,262.45001,255.85001,257.20001,743600,253.41881
2015-05-12,258.39999,262.64999,253.55,260.64999,1377600,256.81807
2015-05-13,260.25,263.85001,255.25,261.39999,973800,257.55704
2015-05-14,261.79999,266.20001,260.54999,263.85001,901900,259.97103
2015-05-15,264.89999,267,263.10001,264.85001,654200,260.95633
2015-05-18,265.79999,266.5,262.5,265.70001,611300,261.79384
2015-05-19,265.79999,265.79999,263.20001,264.70001,388000,260.80854
2015-05-20,265,267.10001,263.45001,264.10001,327600,260.21736
2015-05-21,263.60001,264.5,258.10001,259.04999,1200400,255.24158
2015-05-22,260,265.89999,257.64999,265.25,1209800,261.35045
2015-05-25,266.25,269.60001,264,268.39999,769600,264.45413
2015-05-26,270.5,272.75,265.25,270.64999,2286700,266.67105
2015-05-27,266.29999,270.89999,265.60001,269.35001,1071100,265.39018
2015-05-28,270.5,273.10001,266.10001,271.70001,1156600,267.70563
2015-05-29,272,275.25,268.54999,269.85001,2726400,265.88283
2015-06-01,270,274.45001,267.25,272.70001,830900,268.69093
2015-06-02,272.70001,273.54999,265.64999,266.75,783500,262.82839
2015-06-03,268.25,268.25,257.10001,261.5,528300,257.65558
2015-06-04,260.29999,262,253,255.75,670800,251.99011
2015-06-05,257.89999,260.39999,253.10001,257.79999,777600,254.00996
2015-06-08,258.89999,259.70001,250,251.5,651600,247.80259
2015-06-09,251,254.95,248.85001,253.75,626300,250.01951
2015-06-10,255.45,255.89999,251.25,253.39999,880000,249.67465
2015-06-11,254.8,257.5,250.8,251.39999,856800,247.70406
2015-06-12,252.2,253.75,250,252,516000,248.29524
2015-06-15,253.45,258.54999,251.85001,256.29999,543500,252.53201
2015-06-16,256,257.89999,252.85001,256.54999,507600,252.77834
2015-06-17,257.04999,275.95001,257,265.45001,3092400,261.54752
2015-06-18,266.04999,268.5,263.25,267.70001,1735900,263.76444
2015-06-19,268.14999,272.20001,266.75,269.29999,1046800,265.34089
2015-06-22,271,273.60001,269.35001,270.20001,901200,266.22769
2015-06-23,271,272.10001,268.64999,269.75,380600,265.78429
2015-06-24,269.70001,275.54999,268.29999,273.5,1726900,269.47916
2015-06-25,274,280.75,273.29999,276.75,2277100,272.68138
2015-06-26,276.75,279.20001,272,275.70001,1399800,271.64683
2015-06-29,273.29999,278.29999,268.5,275.89999,1527600,272.58539
2015-06-30,278.29999,281.54999,275.10001,280.10001,2917300,276.73494
2015-07-01,281.70001,284.39999,281.5,282.5,1617500,279.1061
2015-07-02,283.04999,283.14999,277.14999,278.25,1481600,274.90716
2015-07-03,279.64999,287.39999,278.64999,285.54999,1458800,282.11945
2015-07-06,282.89999,288.35001,260,286.39999,704700,282.95924
2015-07-07,287,291.45001,286,288.39999,761000,284.93522
2015-07-08,287,292.79999,284.5,286.60001,970100,283.15685
2015-07-09,286.60001,291.45001,283.64999,287.10001,885500,283.65085
2015-07-10,285.45001,286.45001,281.10001,282.25,1096700,278.85911
2015-07-13,281.60001,287.14999,280.64999,286.45001,724700,283.00866
2015-07-14,288.10001,297.10001,288,296.14999,1508500,292.59211
2015-07-15,299.45001,299.5,291,292.20001,736300,288.68958
2015-07-16,292.85001,294.60001,289.39999,291.20001,661000,287.7016
2015-07-17,292.45001,294.29999,289.54999,292.04999,545400,288.54136
2015-07-20,293.39999,300,291.5,299.20001,893700,295.60549
2015-07-21,300,304.5,299,302.25,1376000,298.61883
2015-07-22,299.89999,301,295.35001,298.60001,785000,295.01269
2015-07-23,300.89999,303.70001,296.39999,298.45001,431000,294.8645
2015-07-24,299.79999,302.29999,296,296.54999,452800,292.9873
2015-07-27,295,300.29999,293.45001,296.35001,889800,292.78972
2015-07-28,296.60001,301.39999,292.60001,294.45001,985900,290.91255
2015-07-29,296.75,301.10001,289.20001,290.60001,2824800,287.1088
2015-07-30,294.70001,295.89999,291.20001,292.20001,1446600,288.68958
2015-07-31,292.85001,295.45001,289.60001,293.29999,988400,289.77634
2015-08-03,294.95001,294.95001,288.5,290.89999,1001900,287.40518
2015-08-04,291.60001,294.25,290.29999,292.20001,1208500,288.68958
2015-08-05,294.5,308.85001,292.89999,306.64999,1556300,302.96596
2015-08-06,309.39999,316.39999,306.10001,308.85001,1922500,305.13955
2015-08-07,307.79999,312.79999,302.79999,309.10001,836100,305.38654
2015-08-10,310.79999,313.89999,304.5,305.35001,446800,301.68159
2015-08-11,307.75,307.75,299.5,299.89999,813800,296.29706
2015-08-12,300,302.70001,295.5,298.39999,924400,294.81508
2015-08-13,299,301.25,290.5,292,1239000,288.49197
2015-08-14,293.79999,297.89999,291,294.70001,380000,291.15955
2015-08-17,297.39999,304.5,293.5,302.89999,806000,299.26102
2015-08-18,307.45001,308.89999,301.45001,303.10001,699900,299.45863
2015-08-19,303,306.95001,296.70001,297.45001,1308800,293.87651
2015-08-20,299.89999,304.20001,295.04999,297.64999,742500,294.07409
2015-08-21,295,301.20001,293.45001,298.64999,1240600,295.06207
2015-08-24,290,293.60001,269.54999,273.45001,2071000,270.16484
2015-08-25,278.39999,281.20001,256.70001,273.39999,3664600,270.11542
2015-08-26,273.5,280,272.10001,275.04999,2052200,271.74559
2015-08-27,281.39999,287.75,278.5,284.5,2427400,281.08208
2015-08-28,285,287.95001,276,280.29999,2725400,276.93252
2015-08-31,280.5,282.70001,271.20001,273.04999,1898200,269.76962
2015-09-01,273.5,275.64999,268.25,270.10001,2407700,266.85508
2015-09-02,272.89999,284.04999,272.39999,280.14999,2279800,276.78433
2015-09-03,284,285.89999,278.35001,285.10001,1573300,281.67487
2015-09-04,281.20001,289.25,280.04999,286.25,2082600,282.81105
2015-09-07,285,286.5,276,277,1669000,273.67218
2015-09-08,276.54999,280,272.10001,274.5,1201200,271.20221
2015-09-09,275.70001,278.85001,273.60001,275.20001,1113100,271.89382
2015-09-10,273,281.45001,268.75,279.89999,1373000,276.53733
