"Date","ADANIPOWER.NS.Open","ADANIPOWER.NS.High","ADANIPOWER.NS.Low","ADANIPOWER.NS.Close","ADANIPOWER.NS.Volume","ADANIPOWER.NS.Adjusted"
2016-03-11,29.8,30.25,29.25,29.85,3943600,29.85
2016-03-14,30.15,30.3,29.75,30.1,3019000,30.1
2016-03-15,29.95,30.3,29.7,29.9,3038000,29.9
2016-03-16,30,30.1,29.4,29.85,2846000,29.85
2016-03-17,30.15,30.45,29.85,30,2131300,30
2016-03-18,30,30.5,29.9,30.35,3447800,30.35
2016-03-21,30,31.3,30,31.15,3871400,31.15
2016-03-22,31.2,31.65,30.85,31.45,4476800,31.45
2016-03-23,31.5,32,31.35,31.8,3209200,31.8
2016-03-24,31.8,31.8,31.8,31.8,0,31.8
2016-03-25,31.8,31.8,31.8,31.8,0,31.8
2016-03-28,32.05,32.3,29.8,30.15,4375600,30.15
2016-03-29,30.3,30.5,28.75,29.4,4520000,29.4
2016-03-30,29.95,32.9,29.6,32.6,12139500,32.6
2016-03-31,32.75,35.6,32.55,34.45,27628200,34.45
2016-04-01,33.95,35.1,33.6,34.8,7229100,34.8
2016-04-04,35.1,36.1,34.95,35.2,6787300,35.2
2016-04-05,35,35.2,33.55,33.9,6869000,33.9
2016-04-06,33.4,34.6,32.9,34.2,8286600,34.2
2016-04-07,34.4,35.9,30.15,33.2,50369300,33.2
2016-04-08,32.55,33.75,32.3,33.55,8740100,33.55
2016-04-11,33.85,34.7,33.5,34.6,12962600,34.6
2016-04-12,34.65,35.4,34.15,34.75,5798200,34.75
2016-04-13,34.9,35.4,34.65,35,6203300,35
2016-04-14,35,35,35,35,0,35
2016-04-15,35,35,35,35,0,35
2016-04-18,34.85,35.5,34.25,35.1,10563700,35.1
2016-04-19,35.1,35.1,35.1,35.1,0,35.1
2016-04-20,35.25,35.55,34.35,34.55,12407300,34.55
2016-04-21,34.2,34.8,34.15,34.3,4525700,34.3
2016-04-22,34.7,34.7,33.95,34.05,4201600,34.05
2016-04-25,34.05,34.1,32.75,32.95,7218800,32.95
2016-04-26,32.6,33.15,32.5,32.75,15674300,32.75
2016-04-27,32.95,32.95,32.1,32.3,9093700,32.3
2016-04-28,32.5,32.55,31.8,32.2,15106600,32.2
2016-04-29,31.85,32.5,31.3,32.05,9979400,32.05
2016-05-02,31.6,32.85,31.55,32.25,10020800,32.25
2016-05-03,32.5,32.9,31.45,31.65,8920400,31.65
2016-05-04,32.9,32.9,30.15,30.4,21664800,30.4
2016-05-05,30.55,30.8,29.25,30,11207300,30
2016-05-06,29.95,30.4,29.55,30,5853600,30
2016-05-09,30.2,30.5,29.9,30.15,8591000,30.15
2016-05-10,30.2,31.65,29.9,30.05,18231400,30.05
2016-05-11,29.6,30.6,29.35,30.1,10785100,30.1
2016-05-12,30.7,30.7,30,30.25,3984900,30.25
2016-05-13,29.6,30.25,29.4,29.65,7176300,29.65
2016-05-16,29.8,30,29.2,29.45,3186900,29.45
2016-05-17,29.75,29.75,29.15,29.25,3207900,29.25
2016-05-18,29.1,30,28.9,29.85,4757500,29.85
2016-05-19,29.35,29.95,28.6,28.95,3973600,28.95
2016-05-20,29.35,29.35,28.4,28.5,3647700,28.5
2016-05-23,28.65,28.7,27.9,28,2392900,28
2016-05-24,28.35,28.35,27.65,28.05,2874200,28.05
2016-05-25,28.3,28.9,28.1,28.6,3334500,28.6
2016-05-26,28.9,31.45,28.9,30.85,17218600,30.85
2016-05-27,30.85,31.05,29.8,30.05,15700600,30.05
2016-05-30,30.25,30.5,29.75,30.2,3815700,30.2
2016-05-31,30.1,30.6,29.25,29.8,4604600,29.8
2016-06-01,30,30.5,29.5,29.75,5736900,29.75
2016-06-02,30.2,30.7,30.1,30.2,5926900,30.2
2016-06-03,30.4,30.45,29.55,29.7,3125700,29.7
2016-06-06,29.6,29.7,28.75,29.1,3177500,29.1
2016-06-07,29.3,30.2,29.1,29.95,2760600,29.95
2016-06-08,30,31.4,29.8,30.7,4946300,30.7
2016-06-09,31.35,31.4,29.7,29.95,18624300,29.95
2016-06-10,29.7,30.3,29.6,29.7,4360900,29.7
2016-06-13,29.45,29.65,29,29.4,3301800,29.4
2016-06-14,29.45,30.25,29.4,30.05,4430700,30.05
2016-06-15,30.25,30.4,30,30.2,2938100,30.2
2016-06-16,30,30.2,29.5,29.9,2873200,29.9
2016-06-17,30.1,30.3,29.65,29.8,2351200,29.8
2016-06-20,29.55,30.05,29.5,29.7,2145700,29.7
2016-06-21,30,30.5,29.8,30,3404300,30
2016-06-22,30,30.3,29.4,29.55,2852600,29.55
2016-06-23,29.65,29.75,29.05,29.4,2395300,29.4
2016-06-24,28.95,28.95,27,28.8,5593000,28.8
2016-06-27,28.75,29.5,28.65,29.35,2577300,29.35
2016-06-28,29.5,30.7,29.5,30.45,8024500,30.45
2016-06-29,30.3,30.7,29.95,30.45,5192100,30.45
2016-06-30,30.65,31.25,29.8,30.5,40498800,30.5
2016-07-01,30.5,30.75,30,30.15,12365400,30.15
2016-07-04,30.45,31,30.2,30.3,9312400,30.3
2016-07-05,30.15,30.9,30,30.15,8476000,30.15
2016-07-06,30.15,30.15,30.15,30.15,0,30.15
2016-07-07,30.3,30.5,29.9,29.95,3453500,29.95
2016-07-08,30,30.05,29.1,29.25,4458100,29.25
2016-07-11,29.6,29.7,29.4,29.6,3961800,29.6
2016-07-12,29.7,29.75,29.1,29.45,4402400,29.45
2016-07-13,30.05,30.3,29.55,29.7,8542100,29.7
2016-07-14,29.75,29.8,29.3,29.45,3833600,29.45
2016-07-15,29.6,29.65,28.8,28.9,6104000,28.9
2016-07-18,29.15,29.2,28.15,28.25,5761400,28.25
2016-07-19,28.6,28.7,28.05,28.35,3256200,28.35
2016-07-20,28.25,28.9,28.25,28.7,2771100,28.7
2016-07-21,28.7,28.85,28.25,28.35,3083100,28.35
2016-07-22,28.45,28.7,28.2,28.55,4048700,28.55
2016-07-25,28.5,28.5,28.3,28.45,5943800,28.45
2016-07-26,28.5,29.1,28.25,28.45,7334800,28.45
2016-07-27,28.55,28.75,28.2,28.4,3961600,28.4
2016-07-28,28.5,28.55,28,28.1,6188800,28.1
2016-07-29,28.1,28.3,27.9,27.95,3357500,27.95
2016-08-01,28.1,28.2,27,27.5,4704000,27.5
2016-08-02,27.5,27.6,26.9,27,4168400,27
2016-08-03,27,27.1,26.25,26.4,4508600,26.4
2016-08-04,26.8,26.9,26.15,26.3,4244900,26.3
2016-08-05,26.45,27.4,26.2,27.1,12228300,27.1
2016-08-08,27.4,28.3,27.2,28,7083200,28
2016-08-09,28,28.6,27.3,27.6,11446100,27.6
2016-08-10,27.5,27.85,26.75,26.85,7402100,26.85
2016-08-11,26.8,27.35,26.5,27.15,3742800,27.15
2016-08-12,27.45,27.45,26.6,26.85,2837200,26.85
2016-08-15,26.85,26.85,26.85,26.85,0,26.85
2016-08-16,27.15,27.25,26.4,27.1,3928100,27.1
2016-08-17,27,27.95,26.85,27.75,4258200,27.75
2016-08-18,27.8,28.05,27.5,27.55,3391900,27.55
2016-08-19,27.6,28.2,27.5,28,4525000,28
2016-08-22,28.1,28.35,27.6,28.2,4146700,28.2
2016-08-23,28.15,28.35,27.75,27.9,2779300,27.9
2016-08-24,27.95,28.15,27.75,28.05,1899000,28.05
2016-08-25,28.05,28.35,26.95,27.35,21019000,27.35
2016-08-26,27.5,27.65,26.75,27.1,3597900,27.1
2016-08-29,27.05,27.3,26.75,27.15,1938900,27.15
2016-08-30,27.3,27.7,27.2,27.55,2361800,27.55
2016-08-31,27.6,28.1,27.25,27.65,5261900,27.65
2016-09-01,27.8,27.85,26.6,26.9,4420100,26.9
2016-09-02,27,27.35,26.8,27.2,2426500,27.2
2016-09-05,27.2,27.2,27.2,27.2,0,27.2
2016-09-06,27.2,27.6,27,27.1,3321200,27.1
2016-09-07,27.3,27.7,27.1,27.4,3648400,27.4
2016-09-08,27.45,27.85,27.3,27.7,3216800,27.7
2016-09-09,28.1,29.35,27.8,28.85,16223900,28.85
2016-09-12,28.2,28.7,27.1,27.4,6097300,27.4
2016-09-13,27.4,27.4,27.4,27.4,0,27.4
2016-09-14,27.5,27.85,27.2,27.7,3297800,27.7
2016-09-15,27.75,27.9,27.35,27.5,2113900,27.5
2016-09-16,27.75,28.05,27.1,27.65,7968500,27.65
2016-09-19,27.65,27.9,27.45,27.65,2503700,27.65
2016-09-20,28,28.2,27.7,27.85,3299700,27.85
2016-09-21,27.75,28.1,27.5,27.65,2047200,27.65
2016-09-22,28,28.05,27.55,27.9,2858800,27.9
2016-09-23,27.9,28.2,27.7,27.8,3468400,27.8
2016-09-26,27.8,28,27.45,27.5,2005100,27.5
