"Date","CESC.NS.Open","CESC.NS.High","CESC.NS.Low","CESC.NS.Close","CESC.NS.Volume","CESC.NS.Adjusted"
2015-05-04,550,552,540.3,548.65,406000,522.92
2015-05-05,552,552,534.7,541.55,959500,516.15
2015-05-06,541.7,546.15,533,536.05,954900,510.91
2015-05-07,540,542.1,517.45,533.5,893100,508.48
2015-05-08,537,545.5,531.35,538,478100,512.77
2015-05-11,540.1,548,538.8,544.45,281600,518.92
2015-05-12,546.5,549,528.6,533.1,167100,508.1
2015-05-13,535,544,526.8,534.85,249000,509.77
2015-05-14,535.5,546.35,529.1,543.15,310100,517.68
2015-05-15,539.1,574.4,538.85,569.8,1207600,543.08
2015-05-18,579,591.8,576,579.7,765000,552.51
2015-05-19,580,588.4,572.25,578.8,509900,551.65
2015-05-20,580,591.75,577,589.75,435300,562.09
2015-05-21,591,604.5,570.05,587.05,2754600,559.52
2015-05-22,588,589.85,556,560.2,1111700,533.93
2015-05-25,561.95,568.8,554,559.45,386400,533.21
2015-05-26,564,564,557.9,561.6,227700,535.26
2015-05-27,561.95,561.95,542.45,544.3,276100,518.77
2015-05-28,547,552.9,537,547.6,655600,521.92
2015-05-29,549.4,552.2,540.25,548.2,447000,522.49
2015-06-01,549,552.65,538.6,546.65,292100,521.01
2015-06-02,550.95,550.95,535,537.75,285600,512.53
2015-06-03,535,535.95,505,524.8,443800,500.19
2015-06-04,524.8,529.3,512.4,522.6,400900,498.09
2015-06-05,516,531.7,515.3,519.1,416100,494.75
2015-06-08,520,522.85,507,512.9,205000,488.85
2015-06-09,513.9,526,510.25,523.65,483500,499.09
2015-06-10,525,533.95,522.65,529.55,254600,504.71
2015-06-11,536,538.15,513.75,516.95,276600,492.71
2015-06-12,511,529.7,511,527.85,216300,503.09
2015-06-15,528,535.8,525.05,528.2,254500,503.43
2015-06-16,527.5,533.15,523.5,529.7,203900,504.86
2015-06-17,531.8,537.9,528.5,533.4,233900,508.38
2015-06-18,537.5,550,534.85,548.8,297500,523.06
2015-06-19,555,561.95,542.65,549.6,329900,523.82
2015-06-22,550.3,557.8,548.1,555.2,161800,529.16
2015-06-23,555.55,560.6,545.2,552.65,279900,526.73
2015-06-24,554,560,550.2,553.6,312600,527.64
2015-06-25,550.5,569.4,543.5,565.85,325600,539.31
2015-06-26,566.55,572.4,552.05,554.25,267900,528.26
2015-06-29,545,556.7,531.5,554.35,227200,528.35
2015-06-30,552.8,562.8,551.6,558.75,234000,532.55
2015-07-01,559,570,556.45,562.55,193300,536.17
2015-07-02,563,564.6,555,556.9,187700,530.78
2015-07-03,555,562.2,550.5,551.75,121200,525.87
2015-07-06,542,568.5,536,566.2,235300,539.65
2015-07-07,568,579,562.8,576.1,322900,549.08
2015-07-08,570.8,579.85,561.75,566.85,304100,540.27
2015-07-09,564.5,577,564.5,567.2,121500,540.6
2015-07-10,575,575,556,560.25,1e+05,533.97
2015-07-13,564.85,564.85,551.3,556.75,276700,530.64
2015-07-14,555,573.9,551.5,570.6,302500,543.84
2015-07-15,570,574.45,564,567.75,131700,541.12
2015-07-16,567.75,583.45,566.3,573.05,308000,546.17
2015-07-17,577,598.75,571.5,592.4,380100,564.62
2015-07-20,605,624.3,605,617.85,821800,588.87
2015-07-21,614.45,614.45,586.5,590.4,331300,562.71
2015-07-22,583.5,593,576,585.25,279700,566.44
2015-07-23,586,587.45,570,571.85,342600,553.47
2015-07-24,568,578.6,566,569.55,262400,551.24
2015-07-27,570,570,560.35,564.1,223700,545.97
2015-07-28,563.2,572.6,562.5,564.45,208400,546.31
2015-07-29,569.7,578,564.15,570.4,230300,552.06
2015-07-30,575,584.25,569.35,571.05,386700,552.69
2015-07-31,576.7,584,560.15,565.25,932700,547.08
2015-08-03,567.25,578,560.4,563.9,266500,545.77
2015-08-04,570,579.9,565,574.6,313100,556.13
2015-08-05,579.95,597.75,568.2,594.65,599100,575.53
2015-08-06,599.3,603,580,583.5,479200,564.74
2015-08-07,587.25,601.45,585,588.7,484400,569.78
2015-08-10,589.75,604.95,586.35,592.05,546300,573.02
2015-08-11,593,609.95,582.4,589,667500,570.07
2015-08-12,587,597.9,579,581.95,418500,563.24
2015-08-13,583.1,594,583.1,587.95,299200,569.05
2015-08-14,591,599.8,586.1,592.95,516900,573.89
2015-08-17,595,597,586.9,589.1,171100,570.16
2015-08-18,587.55,590.8,565.6,568.45,561000,550.18
2015-08-19,567,575,562,565.85,418700,547.66
2015-08-20,566,572.65,545.1,547.95,272300,530.34
2015-08-21,543,558.9,528,555.55,319700,537.69
2015-08-24,539.95,539.95,482.2,493.45,587600,477.59
2015-08-25,518,526.8,488.4,521.85,727400,505.07
2015-08-26,519,544.9,506.25,537.45,323800,520.17
2015-08-27,542.7,549,530,533.25,543400,516.11
2015-08-28,540,545,520,523.3,398400,506.48
2015-08-31,528.65,531.9,518.05,523.95,311300,507.11
2015-09-01,519.5,519.9,502.6,512.3,401100,495.83
2015-09-02,512.4,517,499,501.85,338400,485.72
2015-09-03,501.85,516.5,499.25,509.8,264500,493.41
2015-09-04,510,510,477.85,489.55,534200,473.81
2015-09-07,505,505,482.1,485.65,206200,470.04
2015-09-08,485.75,497.75,481,493.6,434900,477.73
2015-09-09,497.75,503.65,493.1,496.55,300200,480.59
2015-09-10,493,493,478.9,485.3,451400,469.7
2015-09-11,490.05,493.55,483.7,488.65,208800,472.94
2015-09-14,490,514,485.6,506.2,492400,489.93
2015-09-15,506.25,514,502.5,504.6,208400,488.38
2015-09-16,509.45,517,504.5,512.65,291600,496.17
2015-09-17,512.65,512.65,512.65,512.65,0,496.17
2015-09-18,514.15,539,514.1,526.25,465400,509.33
2015-09-21,529.05,551.5,526.2,548.35,370900,530.72
2015-09-22,550,552.3,527.1,530.25,259900,513.2
2015-09-23,520,538.9,515.05,534.2,321900,517.03
2015-09-24,541,541,521.45,532.85,443100,515.72
2015-09-25,532.85,532.85,532.85,532.85,0,515.72
2015-09-28,530.9,533,517.65,521.45,169600,504.69
2015-09-29,514.1,533.2,500.5,517.2,547200,500.57
2015-09-30,524.9,524.9,513.1,516.85,256600,500.24
2015-10-01,516.2,529.65,516.2,518.45,366200,501.78
2015-10-02,518.45,518.45,518.45,518.45,0,501.78
2015-10-05,518.1,541,518.1,530,779000,512.96
2015-10-06,530.9,569.4,530.9,557.15,1192400,539.24
2015-10-07,557.5,570.4,543.1,566.05,477800,547.85
2015-10-08,567.45,573,555.6,564.15,243700,546.02
2015-10-09,564.15,584.1,564.15,580.05,359100,561.4
2015-10-12,584.5,589,572.85,583.65,271800,564.89
2015-10-13,584,595,577,588,166700,569.1
2015-10-14,588,589.45,573.5,577.6,181900,559.03
2015-10-15,577.55,583.8,564,573.6,388000,555.16
2015-10-16,579.1,587.75,577.6,584.5,215500,565.71
2015-10-19,586.35,593,579.8,590.9,226800,571.91
2015-10-20,591,606.4,584.25,600.15,332700,580.86
2015-10-21,605,611.2,590.75,597.05,263200,577.86
2015-10-22,597.05,597.05,597.05,597.05,0,577.86
2015-10-23,597.5,608.95,597.5,605.4,122700,585.94
2015-10-26,610.85,612,596.5,604.05,148300,584.63
2015-10-27,604.05,609,597.3,605.3,207000,585.84
2015-10-28,603.7,608.5,598.3,601.65,252900,582.31
2015-10-29,601.5,601.5,578.05,584.1,645000,565.32
2015-10-30,585.9,593.4,577.7,581.4,344000,562.71
2015-11-02,580.95,591.7,571.5,579.35,325600,560.73
2015-11-03,581.1,586.5,573,575.25,322600,556.76
2015-11-04,575.75,586.1,573.25,576.75,335300,558.21
2015-11-05,576.3,578.1,551.2,555.45,487100,537.59
2015-11-06,556.85,556.85,519.45,538.55,573700,521.24
2015-11-09,530,541,521,537.25,393600,519.98
2015-11-10,534.95,539.8,521.45,525.15,276600,508.27
2015-11-11,525.15,525.15,525.15,525.15,0,508.27
2015-11-12,525.15,525.15,525.15,525.15,0,508.27
2015-11-13,519.55,572.55,514.5,556.7,2111700,538.8
2015-11-16,556.25,556.4,540.05,548.8,523500,531.16
2015-11-17,550,553.8,534.3,541.85,484300,524.43
2015-11-18,542.5,551.7,537.4,540.8,364500,523.42
2015-11-19,542,548.25,537.9,540.2,211800,522.84
2015-11-20,540,546.85,536.6,541.8,315700,524.38
2015-11-23,542.4,562.5,541.45,558.6,452600,540.64
2015-11-24,563,563.95,552,555.05,552100,537.21
2015-11-25,555.05,555.05,555.05,555.05,0,537.21
2015-11-26,555.85,558.5,546.1,548.85,565900,531.21
2015-11-27,550,556.45,545.85,551.3,274800,533.58
2015-11-30,552,557.95,549.05,551.45,325100,533.72
2015-12-01,551.6,558.35,551.6,556.1,182100,538.22
2015-12-02,558,577,557.95,571.7,623600,553.32
2015-12-03,574,574.35,552.4,555,452800,537.16
2015-12-04,552,563.8,549,553.2,277000,535.42
2015-12-07,553.25,561,550.5,556,219600,538.13
2015-12-08,556,567.75,542.4,546.1,547000,528.55
2015-12-09,535,539.75,506.3,516.6,1511000,499.99
