"Date","PVR.NS.Open","PVR.NS.High","PVR.NS.Low","PVR.NS.Close","PVR.NS.Volume","PVR.NS.Adjusted"
2015-04-24,625,633.95,612.2,626.4,19300,624.57
2015-04-27,628.05,628.05,613.6,621.5,20200,619.68
2015-04-28,621,625,614.6,618.4,169500,616.59
2015-04-29,624.8,685,615.2,626.95,12300,625.12
2015-04-30,637,637,610.5,615.1,54900,613.3
2015-05-01,615.1,615.1,615.1,615.1,0,613.3
2015-05-04,624.95,634,621.05,631.75,15400,629.9
2015-05-05,628,643,623.5,636.8,9300,634.94
2015-05-06,621,657.45,608,646.5,37500,644.61
2015-05-07,643.45,649,625.05,645.45,77700,643.56
2015-05-08,656.45,656.45,634.1,641.55,62500,639.68
2015-05-11,635.2,661.15,635.2,659.3,11800,657.37
2015-05-12,659.4,659.4,634.8,637.4,39000,635.54
2015-05-13,642.25,644.8,634.5,640.1,35900,638.23
2015-05-14,634.25,648.85,630.45,644.85,19900,642.97
2015-05-15,643.35,653.45,637,650.5,30700,648.6
2015-05-18,641,659.9,638.4,650.15,13700,648.25
2015-05-19,648.5,667,640.55,646.35,25700,644.46
2015-05-20,659.95,665.55,648.1,650.5,26400,648.6
2015-05-21,659.6,659.6,650.35,657.05,11600,655.13
2015-05-22,653.5,659.75,653.5,655.65,5900,653.74
2015-05-25,660,660,645.1,654.5,6500,652.59
2015-05-26,660,666,650.65,659.7,221100,657.77
2015-05-27,650,675,641.5,656.05,13800,654.13
2015-05-28,660.15,667.95,649,651.75,13000,649.85
2015-05-29,655,669.95,653.8,665.75,46600,663.81
2015-06-01,616,695.3,616,672.6,101500,670.64
2015-06-02,668.5,687,650.05,674.65,34200,672.68
2015-06-03,670.65,671.25,637.5,650.05,41300,648.15
2015-06-04,654.8,675,642.15,668.75,33300,666.8
2015-06-05,673.75,677.95,662,669.65,17300,667.69
2015-06-08,670,718,660.1,665.35,132400,663.41
2015-06-09,658,671,655.05,666.7,14000,664.75
2015-06-10,700,701,640,645.2,434700,643.32
2015-06-11,649.65,650,621.1,646.9,130400,645.01
2015-06-12,650.5,678,640,649.25,209100,647.35
2015-06-15,652.9,656.25,640,644.15,28400,642.27
2015-06-16,648,654.35,640.2,647.6,29000,645.71
2015-06-17,650.5,662,640.15,656.25,39800,654.33
2015-06-18,661.45,670,650.3,655.75,45000,653.83
2015-06-19,659.95,665.5,650.05,656.6,30100,654.68
2015-06-22,659.8,662,656,658.35,10900,656.43
2015-06-23,657,667,652,656,41700,654.08
2015-06-24,655,660.8,653.05,655.25,13800,653.34
2015-06-25,660.75,665.55,651,654.15,27000,652.24
2015-06-26,652.85,652.85,635,639.8,195500,637.93
2015-06-29,632,637.7,618.1,619.8,31200,617.99
2015-06-30,631,638,626,635,27200,633.15
2015-07-01,642.95,656.4,632.25,651.4,177400,649.5
2015-07-02,654,669.95,653.05,666.6,29700,664.65
2015-07-03,669.95,724.85,665.05,708.1,418200,706.03
2015-07-06,696.25,704.25,680.3,700.65,51800,698.6
2015-07-07,701,708,685.35,691.5,88200,689.48
2015-07-08,689.9,696.55,676,680.15,37300,678.16
2015-07-09,690,694,665,685.2,48500,683.2
2015-07-10,690,715,676.55,681.65,49300,679.66
2015-07-13,685.1,727.9,685.1,709.95,340800,707.88
2015-07-14,715,747,702.2,730.8,330700,728.67
2015-07-15,725,775,725,760.5,614000,758.28
2015-07-16,764,781,748,758.55,380300,756.33
2015-07-17,764.9,787,764.9,782.55,488400,780.26
2015-07-20,786.85,813.65,786,807.25,414600,804.89
2015-07-21,813.95,829.75,806.95,815.05,241600,812.67
2015-07-22,821,870,821,857.85,2431100,855.34
2015-07-23,860,885,830,853.3,819900,850.81
2015-07-24,845,845,775,803.9,9673500,801.55
2015-07-27,811,817.8,803.1,806.45,710400,804.09
2015-07-28,811.85,816,785.5,798.15,377300,795.82
2015-07-29,808.6,834,804.8,827.9,899200,825.48
2015-07-30,832.1,845,831.9,841.75,319000,839.29
2015-07-31,847.4,850,837.7,843.65,238400,841.19
2015-08-03,847,848.8,815,829.6,228700,827.18
2015-08-04,834.8,845,830,838.25,261400,835.8
2015-08-05,842.4,855,829.5,837.6,197500,835.15
2015-08-06,843.75,843.75,831,837.5,67500,835.05
2015-08-07,834.95,851.75,822.45,849.8,216900,847.32
2015-08-10,850.15,851.9,826.3,836.7,95100,834.26
2015-08-11,844,844,801,809.25,144100,806.89
2015-08-12,808.7,843.75,798.95,827.05,180100,824.63
2015-08-13,824,838.8,803.5,816.25,99800,813.87
2015-08-14,834,834,788,794.15,157400,791.83
2015-08-17,799.8,813,797,809.65,105200,807.29
2015-08-18,814.6,827,806.15,818,228200,815.61
2015-08-19,820,855,815.95,839.5,360000,837.05
2015-08-20,848,867,832.65,837.9,389300,835.45
2015-08-21,829.95,865,823.05,837.15,338600,834.7
2015-08-24,816,816,750,772.85,349700,770.59
2015-08-25,780,790.3,761.6,782.5,433200,780.21
2015-08-26,787,815,771,784.65,163400,782.36
2015-08-27,804,820,801.9,816.8,93400,814.41
2015-08-28,825,840.1,824.95,833.9,292700,831.46
2015-08-31,825,842.7,825,832.8,67400,830.37
2015-09-01,829.95,855.05,801.55,813.45,258700,811.07
2015-09-02,825,844.75,803,806.45,167000,804.09
2015-09-03,817.95,842,815,836.85,122500,834.41
2015-09-04,840.8,840.8,805,817.3,90000,814.91
2015-09-07,818,834.9,776.9,784.65,147400,782.36
2015-09-08,799.5,800,780,790.5,135600,788.19
2015-09-09,800,834,800,828.9,113400,826.48
2015-09-10,823.35,823.35,800.05,812.2,60400,809.83
2015-09-11,816.05,828,811.8,818.95,76800,816.56
2015-09-14,827.1,857.6,821.3,853.7,367800,851.21
2015-09-15,862,862,825.15,829.4,197900,826.98
2015-09-16,833,837,810,813.25,104800,810.87
2015-09-17,813.25,813.25,813.25,813.25,0,810.87
2015-09-18,820,839.45,810.25,816.5,82800,815.12
2015-09-21,815,828,808.95,824.15,243000,822.75
2015-09-22,825,832.4,805,809.8,223600,808.43
2015-09-23,808,822.4,802.8,816.25,61100,814.87
2015-09-24,816.15,821.95,809.65,811.9,40500,810.53
2015-09-25,811.9,811.9,811.9,811.9,0,810.53
2015-09-28,815.05,821,793,798.6,67300,797.25
2015-09-29,794.9,805,782,802.1,75400,800.74
2015-09-30,812,831.05,811.95,816.3,98700,814.92
2015-10-01,823.6,829.9,816,819.05,82300,817.66
2015-10-02,819.05,819.05,819.05,819.05,0,817.66
2015-10-05,823,842.95,823,834.95,100800,833.54
