"Date","TATAPOWER.NS.Open","TATAPOWER.NS.High","TATAPOWER.NS.Low","TATAPOWER.NS.Close","TATAPOWER.NS.Volume","TATAPOWER.NS.Adjusted"
2015-06-26,75,75,73.35,73.85,1366700,70.07143
2015-06-29,73.5,73.6,71.9,72.85,2006900,69.1226
2015-06-30,73,74.35,73,74.15,2226200,70.35609
2015-07-01,74.15,75.25,73.5,74.75,1730400,70.92539
2015-07-02,75,75.5,74.5,74.9,1558700,71.06771
2015-07-03,74.5,75.25,74,74.3,1118000,70.49841
2015-07-06,73.3,74.75,72.65,74.45,1379000,70.64073
2015-07-07,75,75.35,73.5,73.75,1519500,69.97655
2015-07-08,73,73.3,72.1,72.5,2119500,68.79051
2015-07-09,72.5,73.2,72.2,72.45,1491700,68.74306
2015-07-10,72.45,72.7,71.05,71.5,8725000,67.84167
2015-07-13,71.65,73,71.5,72.75,2062700,69.02772
2015-07-14,73,73.45,72.35,72.95,1117600,69.21748
2015-07-15,72.5,74.85,72.5,74.25,2339600,70.45097
2015-07-16,74.95,76.2,74.2,76,1977300,72.11143
2015-07-17,76.25,76.85,75.65,75.9,2361800,72.01655
2015-07-20,74.8,74.95,74,74.5,1908600,71.92001
2015-07-21,74.2,74.6,72,72.15,1792300,69.65139
2015-07-22,72,73.6,71.45,73,2257100,70.47195
2015-07-23,73.2,73.4,71.7,71.9,2138900,69.41005
2015-07-24,72.2,72.35,71.4,71.8,2110400,69.31351
2015-07-27,71.7,72.2,70.25,71.25,3130700,68.78256
2015-07-28,71,71.75,70,70.95,2122600,68.49294
2015-07-29,71,71.2,67.05,68.3,5818500,65.93472
2015-07-30,66,70,66,69.6,5359400,67.1897
2015-07-31,69.7,70.45,68.15,68.45,3855700,66.07952
2015-08-03,69.2,69.85,68.55,69.5,1826600,67.09316
2015-08-04,69.5,70.2,68.55,69.9,2441900,67.47931
2015-08-05,70,70.95,69.3,69.75,2964100,67.3345
2015-08-06,70.4,70.5,69.2,69.75,1500100,67.3345
2015-08-07,69.75,70.15,68.85,69.1,1379600,66.70701
2015-08-10,69.15,70.15,68.75,69.1,1268100,66.70701
2015-08-11,69.2,69.7,68,68.25,1563800,65.88645
2015-08-12,68.25,68.5,67.3,67.55,1704000,65.21069
2015-08-13,67.9,70.75,67.25,69.15,8195200,66.75528
2015-08-14,69.9,70.1,69.15,69.7,1931900,67.28623
2015-08-17,69.8,70,68,68.65,1239200,66.2726
2015-08-18,68.55,68.95,67.55,68.1,2079400,65.74164
2015-08-19,68.45,68.45,67.25,67.4,1602600,65.06589
2015-08-20,67,68.5,66.15,67.5,2941400,65.16242
2015-08-21,66.8,68.25,66.2,68,3125800,65.64511
2015-08-24,66.45,66.8,61.8,62.25,5925600,60.09423
2015-08-25,62.25,63.2,55.2,58.5,11755800,56.4741
2015-08-26,58.6,61.6,57.75,60.2,5847000,58.11523
2015-08-27,61.4,61.5,60.25,60.55,5956900,58.45311
2015-08-28,61.55,62.25,59.65,61.05,9597600,58.93579
2015-08-31,61.1,62.2,60,60.55,6311500,58.45311
2015-09-01,60.3,61,59.6,60.35,5519400,58.26003
2015-09-02,60.8,60.9,58.1,58.45,3677900,56.42583
2015-09-03,59,60.4,58.65,59.9,1759900,57.82562
2015-09-04,59.35,59.75,56.05,56.55,4740800,54.59163
2015-09-07,57.5,57.8,55.3,56.15,4116600,54.20548
2015-09-08,56.35,59.1,56.2,58.65,3906900,56.61891
2015-09-09,59.9,59.9,58.6,59.2,3209900,57.14986
2015-09-10,58.8,61.3,58.5,60.95,3898700,58.83925
2015-09-11,61.1,61.5,58.75,59.55,3058000,57.48774
2015-09-14,59.8,62.1,59.5,61.8,3161500,59.65982
2015-09-15,61.85,62.1,60.65,61.85,2276700,59.70809
2015-09-16,62,62.35,61.25,62.15,1556200,59.9977
2015-09-17,62.15,62.15,62.15,62.15,0,59.9977
2015-09-18,62.25,65,61.7,64.3,4338300,62.07324
2015-09-21,63.7,65.7,63.55,64.7,3129300,62.45939
2015-09-22,64.9,65.5,62.2,62.85,2552600,60.67345
2015-09-23,62.4,63.95,61.85,63.25,2186800,61.0596
2015-09-24,63.05,66.45,62.65,65.05,6380400,62.79727
2015-09-25,65.05,65.05,65.05,65.05,0,62.79727
2015-09-28,64.9,66.95,63.75,65.5,2253600,63.23168
2015-09-29,64.5,66.3,63.6,66.05,3623700,63.76264
2015-09-30,66.5,67,64.75,64.95,3624900,62.70073
2015-10-01,65.3,66.65,65.3,65.85,1818200,63.56956
2015-10-02,65.85,65.85,65.85,65.85,0,63.56956
2015-10-05,66.1,67.5,65.85,67.2,2183700,64.87281
2015-10-06,67.5,69.45,67,69.05,3684700,66.65875
2015-10-07,69.1,70.75,68.4,70.35,3527900,67.91372
2015-10-08,70.5,71,69.1,70.25,2156100,67.81719
2015-10-09,70.45,71.05,69.25,69.7,2545900,67.28623
2015-10-12,69.95,71.25,69.55,69.95,5866700,67.52757
2015-10-13,70,70.35,69.4,70.15,2212900,67.72065
2015-10-14,70,70.4,69.5,69.65,1506900,67.23797
2015-10-15,70.2,71.1,70,70.2,2276000,67.76892
2015-10-16,70.35,70.6,64,69.8,2399400,67.38277
2015-10-19,70,70,68.75,69.45,1948700,67.04489
2015-10-20,69.4,72.5,69.35,70.9,7165300,68.44468
2015-10-21,71.35,71.35,69.35,70.6,3607800,68.15507
2015-10-22,70.6,70.6,70.6,70.6,0,68.15507
2015-10-23,71.1,71.3,70.05,70.4,2483400,67.96199
