"Date","HINDALCO.NS.Open","HINDALCO.NS.High","HINDALCO.NS.Low","HINDALCO.NS.Close","HINDALCO.NS.Volume","HINDALCO.NS.Adjusted"
2016-07-25,136.5,136.9,133.9,135.2,6407100,134.3402
2016-07-26,135.2,136.8,131,131.65,12881100,130.8128
2016-07-27,132.65,134.6,131.2,133.8,9550300,132.9491
2016-07-28,134,135.6,132.1,134.25,10626300,133.3963
2016-07-29,134.95,135.65,132.15,133.55,7051600,132.7007
2016-08-01,134.5,138.8,134.1,136.6,12647800,135.7313
2016-08-02,137.4,138.25,134.6,135.5,9026100,134.6383
2016-08-03,135.4,137.25,133.6,135.7,9958100,134.837
2016-08-04,136.5,137.95,135.4,137.1,6943200,136.2281
2016-08-05,139,144.25,138.5,143.7,13302700,142.7862
2016-08-08,146.25,152.15,146,149.15,20168900,148.2015
2016-08-09,150.2,150.25,145.4,146.6,9816500,145.6677
2016-08-10,147,149.15,144.55,145.8,9266800,144.8728
2016-08-11,145.6,146,138.5,142.25,9200900,141.3454
2016-08-12,143,149.25,143,146.35,22086600,145.4193
2016-08-15,146.35,146.35,146.35,146.35,0,145.4193
2016-08-16,147.7,155.55,146.6,154.65,17292800,153.6665
2016-08-17,154.35,156.8,153.95,155.95,13401000,154.9583
2016-08-18,156.5,157.15,154,154.35,7030400,153.3685
2016-08-19,156.8,159.45,156.25,158.95,13625000,157.9392
2016-08-22,158,158,155.3,156.05,6708400,155.0576
2016-08-23,155.5,156.95,153.8,155.55,6120100,154.5608
2016-08-24,156.3,157.6,155.4,157,7012900,156.0016
2016-08-25,156.95,157.8,153.5,154.25,7136100,153.2691
2016-08-26,155.45,156.95,154.3,155.5,7924800,154.5111
2016-08-29,155,159.5,154.5,158.3,7488900,157.2933
2016-08-30,159.9,163.5,159.05,162.75,7930300,161.715
2016-08-31,163,164.7,158.25,159.25,15209500,158.2373
2016-09-01,159,160.65,156.6,157.5,6261100,156.4984
2016-09-02,158.3,158.9,154.5,157.25,6820100,156.25
2016-09-05,157.25,157.25,157.25,157.25,0,156.25
2016-09-06,157.55,159.9,157,158.5,5189600,158.5
2016-09-07,158.55,161.8,158.05,159.7,7925100,159.7
2016-09-08,160.9,163.45,160,161.95,9379000,161.95
