"Date","DIVISLAB.NS.Open","DIVISLAB.NS.High","DIVISLAB.NS.Low","DIVISLAB.NS.Close","DIVISLAB.NS.Volume","DIVISLAB.NS.Adjusted"
2015-05-26,1819.9,1851.4,1797.2,1841.05,267200,892.8409
2015-05-27,1836.95,1837.7,1816.1,1825.3,367600,885.2028
2015-05-28,1830,1836.85,1790,1807.85,311700,876.7401
2015-05-29,1807.4,1844.65,1794.3,1819.9,452600,882.584
2015-06-01,1822,1837.7,1803.8,1826.85,93200,885.9544
2015-06-02,1818.05,1839.9,1801,1812.85,202000,879.1649
2015-06-03,1808,1824,1755.4,1770.7,550500,858.7237
2015-06-04,1771.1,1819.95,1765.5,1813.2,309900,879.3347
2015-06-05,1793.5,1815.95,1785.75,1792.1,179300,869.102
2015-06-08,1790,1790,1742.15,1768.4,318300,857.6084
2015-06-09,1751,1779.95,1750,1762,269800,854.5046
2015-06-10,1761.5,1795,1756,1771.25,338400,858.9905
2015-06-11,1788.7,1806.05,1758,1762.8,303800,854.8926
2015-06-12,1770,1788.3,1759,1764.3,131200,855.62
2015-06-15,1778.7,1778.7,1755.5,1764.8,170000,855.8625
2015-06-16,1765,1783.65,1755,1771.9,148600,859.3057
2015-06-17,1777,1815,1776,1796.25,3e+05,871.1146
2015-06-18,1802,1861.5,1802,1838.95,257600,891.8225
2015-06-19,1847.5,1874.55,1816.35,1826.1,279800,885.5907
2015-06-22,1838,1840.65,1796.9,1809.2,227100,877.3948
2015-06-23,1815,1835.8,1805,1824.9,231200,885.0088
2015-06-24,1824.9,1841.95,1803.1,1814.9,250500,880.1591
2015-06-25,1815,1839.9,1727.8,1823.8,473700,884.4753
2015-06-26,1825,1844,1808,1831.55,162000,888.2338
2015-06-29,1811,1837.95,1766.9,1833,193200,888.937
2015-06-30,1844,1895,1836.05,1879.85,396700,911.6575
2015-07-01,1886,1897.05,1861.4,1865.85,287800,904.868
2015-07-02,1869,1878,1846.85,1852.8,122300,898.5392
2015-07-03,1852.2,1874,1850.05,1859.1,122200,901.5945
2015-07-06,1832.55,1918,1832.4,1907.35,242800,924.9939
2015-07-07,1896,1922.95,1894.15,1909.4,240500,925.9881
2015-07-08,1895,1920.1,1880,1887.9,196400,915.5614
2015-07-09,1894,1917,1859,1863.25,179600,903.6071
2015-07-10,1874.85,1888.3,1861,1876.45,181600,910.0086
2015-07-13,1884.45,1889.95,1861.95,1881.95,117100,912.6759
2015-07-14,1888,1897.45,1880,1888.75,104100,915.9736
2015-07-15,1890.75,1898.9,1876.1,1886.05,191300,914.6643
2015-07-16,1896.75,1910,1887,1908.1,145200,925.3577
2015-07-17,1915.25,1985.6,1901.25,1975,567600,957.8017
2015-07-20,1985,1999.75,1950,1959.15,369400,950.115
2015-07-21,1966.95,1977,1930,1946.55,260000,944.0045
2015-07-22,1951,1959.9,1929.65,1943.75,90800,942.6466
2015-07-23,1948,1983.75,1941.4,1976.75,288500,958.6504
2015-07-24,1976.75,1992.85,1947.9,1955.75,156600,948.4662
2015-07-27,1956,1959.35,1900,1906.4,200800,924.5332
2015-07-28,1910,1943,1902,1915.05,158600,928.7282
2015-07-29,1916,1942,1901.15,1908.35,216900,925.4789
2015-07-30,1924,1942,1915,1930.15,373300,936.0511
2015-07-31,1930.25,1978,1930.25,1961.6,396700,951.3032
2015-08-03,1966,1994.9,1954.25,1972.5,221100,956.5893
2015-08-04,1972,1972,1940.2,1960.35,304900,950.697
2015-08-05,1980.95,2010,1953.25,1996.8,248200,968.3739
2015-08-06,1985,2023.16,1972.1,1996.3,442700,987.9215
2015-08-07,2002.9,2015.7,1957.9,1970.35,210800,975.0794
2015-08-10,2110,2145,2055,2062.76,1150800,1020.811
2015-08-11,2081.9399,2173.6001,2067.2,2141.3,971400,1059.6786
2015-08-12,2143,2195,2143,2179.8,582100,1078.7313
2015-08-13,2200,2236,2161.8,2182.3601,786600,1079.9982
2015-08-14,2182,2213.4399,2155,2182.9399,418200,1080.2852
2015-08-17,2183,2215.76,2172.6001,2209.0601,279600,1093.2114
2015-08-18,2209,2303,2202,2290.76,577300,1133.6428
2015-08-19,2300,2447.7,2283.3,2416.2,975900,1195.72
2015-08-20,2405,2430,2378.3,2404.1001,904600,1189.7321
2015-08-21,2352.5,2484.7,2352.5,2439.8999,1141200,1207.4486
2015-08-24,2380,2429,2208.0601,2224.8,839900,1101.0007
2015-08-25,2260,2299.8,2056,2161.6399,1064400,1069.7443
2015-08-26,2190.3601,2348.0601,2135,2157.6001,824300,1067.7451
2015-08-27,2209,2265.5,2165,2212.4399,911300,1094.884
2015-08-28,2250,2280,2215,2247.76,502100,1112.3631
2015-08-31,2249,2400,2229.76,2364.1001,870900,1169.937
2015-09-01,2389.7,2415,2259,2294.6001,748200,1135.5431
2015-09-02,2348,2348,2240,2250.3601,666400,1113.6498
2015-09-03,2270,2286,2220.0601,2240.8601,551400,1108.9485
2015-09-04,2240.8601,2265,2130.3,2176.76,731500,1077.2269
2015-09-07,2180,2196,2081,2094.2,622600,1036.3699
2015-09-08,2080.2,2124.8,2035,2093.6399,682900,1036.0927
2015-09-09,2123,2142,2052.1001,2071.6399,808500,1025.2054
2015-09-10,2045.3,2175.6001,2006.34,2159,899000,1068.4379
2015-09-11,2185.5601,2210,2122.24,2141.5,601700,1059.7775
2015-09-14,2155,2208.1399,2133.1001,2192.1001,540000,1084.8183
2015-09-15,2207.8,2223.6001,2170,2184.76,385400,1081.1859
2015-09-16,1099.5,1123.6801,1092.5699,1105.8,1300500,547.2342
2015-09-17,1105.8,1105.8,1105.8,1105.8,0,547.2342
2015-09-18,1118.5,1129.5,1100,1112.6801,736500,550.6389
2015-09-21,1107.4301,1120.75,1102.45,1116.75,795200,552.6531
2015-09-22,1120,1126,1088.6801,1104.55,1237000,546.6156
2015-09-23,1106.8,1125,1065,1114.7,558200,1103.2771
2015-09-24,1116,1137,1115,1121.4,504200,1109.9085
2015-09-25,1121.4,1121.4,1121.4,1121.4,0,1109.9085
2015-09-28,1130,1137,1094.45,1108.65,546400,1097.2892
2015-09-29,1097.5,1114.75,1095,1102.2,163900,1090.9052
2015-09-30,1127,1127,1106.7,1114.95,417200,1103.5245
2015-10-01,1130,1130,1110.75,1125.95,291100,1114.4118
2015-10-02,1125.95,1125.95,1125.95,1125.95,0,1114.4118
2015-10-05,1135,1152.75,1125.4,1139.65,628700,1127.9715
2015-10-06,1158,1160.4,1121.9,1136.95,406500,1125.2991
2015-10-07,1138.9,1145,1126.15,1135.65,279700,1124.0125
2015-10-08,1136,1140,1087,1089.5,322200,1078.3354
2015-10-09,1094.95,1105.9,1076.8,1095.4,289800,1084.1749
2015-10-12,1098,1101,1082.9,1097.3,339200,1086.0555
2015-10-13,1101.9,1103.9,1083.55,1096.05,270100,1084.8183
2015-10-14,1093.3,1095.9,1065.2,1071.15,486100,1060.1734
2015-10-15,1072,1082,1061,1063.6,151100,1052.7008
2015-10-16,1065,1074.8,1052,1069.65,214300,1058.6888
2015-10-19,1072.35,1108.95,1072.35,1101.15,297800,1089.866
2015-10-20,1105,1114.4,1075.85,1078.95,234900,1067.8934
2015-10-21,1080,1094,1067.55,1088.35,273600,1077.1971
2015-10-22,1088.35,1088.35,1088.35,1088.35,0,1077.1971
2015-10-23,1097.95,1097.95,1081,1090,241800,1078.8303
2015-10-26,1092,1102,1084,1093.4,354400,1082.1954
2015-10-27,1094.95,1117.25,1074.6,1098.3,201800,1087.0453
2015-10-28,1098,1115.9,1091,1109.75,548900,1098.3779
2015-10-29,1110,1131.2,1092.4,1121.1,665700,1109.6115
2015-10-30,1127,1166.4,1124.35,1153.85,473400,1142.0259
2015-11-02,1159,1164.95,1120.3,1155.95,407800,1144.1044
2015-11-03,1158,1195,1158,1189.6,567700,1177.4096
2015-11-04,1196,1204.3,1171.6,1175.75,419000,1163.7015
2015-11-05,1175,1187.1,1146.8,1153.85,257700,1142.0259
2015-11-06,1154,1164,1100,1121.35,375900,1109.859
2015-11-09,1109.8,1158,1091,1139.15,286200,1127.4766
2015-11-10,1140.8,1148,1100,1115.1,290500,1103.673
2015-11-11,1115.1,1115.1,1115.1,1115.1,0,1103.673
2015-11-12,1115.1,1115.1,1115.1,1115.1,0,1103.673
2015-11-13,1109,1156.35,1109,1145.35,237400,1133.613
2015-11-16,1145.1,1167.55,1120,1126.85,278600,1115.3026
2015-11-17,1136,1139.85,1108,1124.25,281200,1112.7293
