"Date","BPCL.NS.Open","BPCL.NS.High","BPCL.NS.Low","BPCL.NS.Close","BPCL.NS.Volume","BPCL.NS.Adjusted"
2015-04-14,818.4,818.4,818.4,818.4,0,352.8184
2015-04-15,814.15,823.6,795.9,802.4,2356000,345.9207
2015-04-16,801,806.8,791.5,800.9,2667200,345.274
2015-04-17,800,814.8,793.65,797.85,2189200,343.9591
2015-04-20,805,812.85,795,803.5,2600300,346.3949
2015-04-21,808,818.6,794.6,799.15,3035000,344.5196
2015-04-22,803.6,815.55,802,805.05,3851400,347.0631
2015-04-23,812,814.65,799,802.55,1703300,345.9854
2015-04-24,804.75,804.75,774.85,780.5,1380000,336.4794
2015-04-27,781.4,782,720.4,732.3,2484600,315.7001
2015-04-28,737,775,734,765.15,3632900,329.862
2015-04-29,763.4,765,747.25,755.95,2026500,325.8958
2015-04-30,756.05,783.15,751.55,764.75,4079800,329.6895
2015-05-01,764.75,764.75,764.75,764.75,0,329.6895
2015-05-04,775,792.4,764,783.7,2082400,337.859
2015-05-05,785,787.15,768,777.3,1889800,335.0999
2015-05-06,770.3,771,738.7,748.2,3016300,322.5547
2015-05-07,740.25,756.5,720.35,729.95,2611600,314.687
2015-05-08,744.9,758.35,737.3,748.05,2220400,322.49
2015-05-11,752.8,754,745,750.8,1532000,323.6755
2015-05-12,751.5,752,723,725.9,2187300,312.941
2015-05-13,729.9,738.25,703.6,735.85,1903300,317.2305
2015-05-14,737.5,759.65,730,756.7,2881500,326.2191
2015-05-15,759.8,769.9,758,767.05,1904500,330.681
2015-05-18,779.7,795,772.3,792.8,3193100,341.7821
2015-05-19,789.9,796.25,776.6,784.3,1360800,338.1176
2015-05-20,790,796,783.7,786.95,1101600,339.2601
2015-05-21,789,789,773.6,776.95,1162500,334.949
2015-05-22,775,785,770.3,782.3,1126900,337.2554
2015-05-25,784,806,783,791.8,1972600,341.351
2015-05-26,793.1,796.8,775,781.75,1003300,337.0183
2015-05-27,782.9,801.85,775.7,796.9,1668000,343.5496
2015-05-28,799.6,823.85,795.5,817.7,5857700,352.5166
2015-05-29,826.1,855,826.1,850.15,4685200,366.5061
2015-06-01,851.1,871.4,839.2,860.75,2629600,371.0758
2015-06-02,862.75,868.95,844.1,846.75,2231000,365.0403
2015-06-03,847.2,850.9,832.7,839.2,2080800,361.7855
2015-06-04,844.85,869.35,838.5,866.7,3025500,373.6409
2015-06-05,867,876.35,854,855.7,2168300,368.8987
2015-06-08,856.5,859.9,839.95,843.05,1892900,363.4452
2015-06-09,838,854.1,836.9,849.4,2239700,366.1828
2015-06-10,848.1,855.4,841.9,843.9,2071500,363.8117
2015-06-11,849.5,862,838.5,842.4,2410200,363.165
2015-06-12,842.4,854.25,830.25,837.5,2198800,361.0526
2015-06-15,838,845.85,831.3,833.5,1661700,359.3281
2015-06-16,834,849.8,808.5,820.5,4579800,353.7237
2015-06-17,820,821.8,803,810.45,2719600,349.3911
2015-06-18,818.5,837.2,815.1,833.8,2778300,359.4575
2015-06-19,839,846.95,828.45,835.65,3542500,360.255
2015-06-22,842.9,851.2,839.1,846.15,2964300,364.7817
2015-06-23,852,865,846.15,860.85,2355700,371.1189
2015-06-24,862,868.95,845,848.4,2708200,365.7517
2015-06-25,848.4,866.65,848.3,858.35,2990400,370.0412
2015-06-26,857.95,873,856.05,862.05,2109100,371.6363
2015-06-29,853.9,881.85,853,871.85,3355100,375.8611
2015-06-30,880.5,883.95,872.5,879.35,4073700,379.0944
2015-07-01,885,896.15,881,887.95,3522400,382.802
2015-07-02,892.5,907.75,892.5,900,3787400,387.9968
2015-07-03,904,914.8,896.55,902.85,3214100,389.2254
2015-07-06,903,935.5,903,930.85,4963600,401.2965
2015-07-07,938,943.25,927.2,932.35,3436200,401.9431
2015-07-08,932.25,952.65,908.9,916.1,7015900,394.9376
2015-07-09,912.55,916.75,863.25,866.65,7576400,373.6194
2015-07-10,865,885.95,863.35,881.75,4514100,380.1291
2015-07-13,885.05,913.9,880,909.3,3819300,392.0061
2015-07-14,914.65,932.8,909.75,926.95,4126400,399.6151
2015-07-15,929,929,912.1,917.65,2303800,395.6059
2015-07-16,923,941,923,938,3129300,404.3789
2015-07-17,942,950.6,935.05,939.65,2231900,405.0902
2015-07-20,948.4,968.3,942.7,963.4,4162900,415.329
2015-07-21,965,969.5,949.9,952.2,2102300,410.5006
2015-07-22,951,978,948.65,972.05,2332600,419.0581
2015-07-23,974.5,987,965.25,970.3,2974400,418.3037
2015-07-24,975,984.25,957,965.55,3259400,416.2559
2015-07-27,964.5,974,951.1,954.45,2046400,411.4706
