"Date","RPOWER.NS.Open","RPOWER.NS.High","RPOWER.NS.Low","RPOWER.NS.Close","RPOWER.NS.Volume","RPOWER.NS.Adjusted"
2015-11-25,48.9,48.9,48.9,48.9,0,48.9
2015-11-26,49.3,52.7,48.9,52.25,12738700,52.25
2015-11-27,52.45,53.5,50.1,51.15,7577700,51.15
2015-11-30,51.5,53.2,51.25,52.5,6838800,52.5
2015-12-01,52.95,53.25,51.45,52.45,5954300,52.45
2015-12-02,52.6,53.3,52.05,52.55,4964800,52.55
2015-12-03,52.45,54.35,52.15,53.15,10058100,53.15
2015-12-04,52.65,53.9,52,52.3,5857500,52.3
2015-12-07,52.75,52.9,51.5,52.05,2855000,52.05
2015-12-08,52.05,52.2,48.95,49.1,5803800,49.1
2015-12-09,49,49.4,48,48.5,4525300,48.5
2015-12-10,48.65,49.35,48.1,49.2,2768500,49.2
2015-12-11,49.2,50.65,47.4,48.2,7426700,48.2
2015-12-14,48.2,49.3,47.75,48.65,3413500,48.65
2015-12-15,48.55,48.85,47.9,48.55,2492000,48.55
2015-12-16,48.95,50.5,48.6,49.4,5034000,49.4
2015-12-17,49.8,50.85,49.5,50.65,3449900,50.65
2015-12-18,50.45,51.95,50.3,51.25,5175600,51.25
2015-12-21,51.45,52.85,51.3,52.5,4701800,52.5
2015-12-22,52.4,53.4,51.75,51.95,4743100,51.95
2015-12-23,52.3,53,52,52.5,3029400,52.5
2015-12-24,53,55,52.3,54.7,11059400,54.7
2015-12-25,54.7,54.7,54.7,54.7,0,54.7
2015-12-28,55.35,55.45,54.55,54.9,5198500,54.9
2015-12-29,55,55.9,54.7,55.2,7446000,55.2
2015-12-30,55.45,56.15,55.2,55.5,5364100,55.5
2015-12-31,55.65,59.4,55.45,56.8,16178500,56.8
2016-01-01,57.2,59.4,56.85,58.8,11685500,58.8
2016-01-04,58.75,60,55.1,57,14193100,57
2016-01-05,57.8,59.35,56.75,58.45,9741500,58.45
2016-01-06,58.45,59.4,56.8,57.45,8529800,57.45
2016-01-07,56,56.7,54.5,55.4,8286200,55.4
2016-01-08,55.65,59,55.65,58.6,12437900,58.6
2016-01-11,57.6,60.4,56.9,60,17366200,60
2016-01-12,61.25,61.25,57.1,58.7,17683300,58.7
2016-01-13,59.7,59.7,54.7,57.5,14681400,57.5
2016-01-14,55.95,57.2,55.1,55.65,8197400,55.65
2016-01-15,55.65,56.4,50.35,51.1,10516900,51.1
2016-01-18,51,51.5,48.15,48.7,10266000,48.7
2016-01-19,49.3,51.7,48.8,50.65,12856900,50.65
2016-01-20,49.7,50.2,46.65,48.3,13029300,48.3
2016-01-21,49.05,50.5,47.25,48.65,12098800,48.65
2016-01-22,49.45,51,49.05,50.35,6382200,50.35
2016-01-25,50.95,51.15,49.15,49.75,4457000,49.75
2016-01-26,49.75,49.75,49.75,49.75,0,49.75
2016-01-27,50.35,50.9,49.4,50.35,5443300,50.35
2016-01-28,50.4,51,49.6,50.35,7700600,50.35
2016-01-29,50.55,51.4,49.1,50.7,6266000,50.7
2016-02-01,50.65,50.9,50,50.4,3832900,50.4
2016-02-02,50.2,51.1,48.7,48.9,4763300,48.9
2016-02-03,48.5,48.5,45.45,45.75,6803700,45.75
2016-02-04,46.25,46.8,43.95,45.15,8139500,45.15
2016-02-05,45.2,47.3,45.1,46.95,4941000,46.95
2016-02-08,46.9,48.5,46.45,46.75,5767700,46.75
2016-02-09,45.75,47.25,45.65,46.6,3854800,46.6
2016-02-10,46.7,46.85,45.05,46.15,4216400,46.15
2016-02-11,46.05,48,42.25,42.85,6210100,42.85
2016-02-12,43.5,43.6,40.35,42.8,6871300,42.8
2016-02-15,43.9,45.75,43.25,44.4,5523000,44.4
2016-02-16,44.95,45.8,43.45,43.75,5601400,43.75
2016-02-17,44,44.45,42.2,44.2,5031000,44.2
2016-02-18,44.6,45.35,43.25,44.5,4761100,44.5
2016-02-19,44.25,45.3,43.9,44.85,3339600,44.85
2016-02-22,45.2,45.25,44.25,44.75,2544300,44.75
2016-02-23,44.75,45.55,43.7,44.15,3557600,44.15
2016-02-24,44.25,44.9,43.3,43.85,2928900,43.85
2016-02-25,45.3,45.45,43.3,43.45,10309400,43.45
2016-02-26,43.85,44.85,42.25,44.55,7346300,44.55
2016-02-29,44.8,45.9,43.7,44.5,8024900,44.5
2016-03-01,44.9,45.8,44.35,45.55,4508400,45.55
2016-03-02,46.3,47.15,45.65,46.25,7317300,46.25
