"Date","KTKBANK.NS.Open","KTKBANK.NS.High","KTKBANK.NS.Low","KTKBANK.NS.Close","KTKBANK.NS.Volume","KTKBANK.NS.Adjusted"
2015-08-25,100.199,101.421,94.1709,100.81,2661000,96.7685
2015-08-26,100.199,101.136,98.0403,98.7328,1600000,94.7746
2015-08-27,100.932,101.584,99.4659,100.769,2237300,96.7292
2015-08-28,102.236,104.231,99.6289,100.973,2364400,96.925
2015-08-31,99.5474,104.68,99.5474,103.458,2636600,99.3104
2015-09-01,102.113,102.643,95.9223,97.3479,2985600,93.4452
2015-09-02,97.4294,98.8957,95.3113,95.8408,2241400,91.9985
2015-09-03,96.8999,98.1218,96.2074,96.8591,909600,92.976
2015-09-04,96.3704,96.3704,90.0163,92.338,2422500,88.6362
2015-09-07,92.4601,93.0304,88.387,89.2424,1551200,85.6647
2015-09-08,89.1202,93.845,88.3055,92.1343,2752200,88.4406
2015-09-09,93.7635,95.3113,92.2158,92.8674,2584000,89.1443
2015-09-10,91.727,95.5965,90.0163,94.7004,3014700,90.9038
2015-09-11,95.7187,96.9406,94.4967,96.0038,2491900,92.155
2015-09-14,96.8591,98.3662,95.3928,97.633,1591900,93.7189
2015-09-15,98.244,98.8957,95.3113,96.0445,1486000,92.1941
2015-09-16,96.9406,97.4701,95.6372,96.3704,910800,92.5069
2015-09-17,96.3704,96.3704,96.3704,96.3704,0,92.5069
2015-09-18,97.5923,101.299,97.5923,100.932,2720700,96.8856
2015-09-21,100.199,101.34,97.8367,101.014,1564000,96.9643
2015-09-22,101.828,102.643,98.3254,99.2215,1689100,95.2437
2015-09-23,96.6147,102.032,96.6147,101.584,2124800,97.5115
2015-09-24,101.828,103.621,100.362,101.665,1965500,97.5892
2015-09-25,101.665,101.665,101.665,101.665,0,97.5892
2015-09-28,102.562,104.191,101.014,101.543,1297000,97.4721
2015-09-29,100.199,103.946,98.1625,103.132,2303600,98.9974
2015-09-30,104.272,104.272,101.869,103.05,1301200,98.9187
2015-10-01,103.539,103.987,101.095,102.317,1549200,98.2151
2015-10-02,102.317,102.317,102.317,102.317,0,98.2151
2015-10-05,103.05,106.472,102.276,105.657,1687700,101.4212
2015-10-06,107.042,107.042,104.557,106.187,1341200,101.9299
2015-10-07,106.635,107.083,105.168,105.535,1206100,101.3041
2015-10-08,105.291,107.205,104.517,105.901,1480900,101.6554
2015-10-09,106.92,107.286,104.761,105.861,1055900,101.617
2015-10-12,105.983,106.879,104.924,105.983,890200,101.7341
2015-10-13,105.739,106.92,105.291,106.635,1001300,102.36
2015-10-14,106.716,108.02,105.739,106.635,1035200,102.36
2015-10-15,107.531,107.857,106.553,107.123,851500,102.8284
2015-10-16,107.409,108.59,105.698,107.571,1555700,103.2585
2015-10-19,107.531,107.857,105.901,106.187,868000,101.9299
2015-10-20,106.39,107.368,105.372,106.187,761300,101.9299
2015-10-21,106.146,106.512,100.81,102.276,2154800,98.1757
2015-10-22,102.276,102.276,102.276,102.276,0,98.1757
2015-10-23,102.847,103.946,101.951,102.48,1088200,98.3716
2015-10-26,103.213,103.458,100.932,101.543,736400,97.4721
2015-10-27,101.421,103.783,101.095,102.969,901000,98.841
2015-10-28,102.562,104.435,101.136,102.113,1320200,98.0193
2015-10-29,101.421,101.869,100.036,100.81,2282500,96.7685
2015-10-30,101.503,106.553,100.199,104.842,5324100,100.6389
2015-11-02,105.901,105.901,102.887,104.476,1923100,100.2875
2015-11-03,105.087,105.901,103.946,104.191,938700,100.014
2015-11-04,105.005,106.105,102.887,103.458,1269600,99.3104
2015-11-05,103.254,103.702,100.566,100.973,918200,96.925
2015-11-06,101.095,102.236,99.3845,100.525,1096700,96.4949
2015-11-09,97.7552,101.177,96.2889,100.403,898700,96.3778
2015-11-10,99.8732,102.154,98.5698,98.8957,961300,94.931
2015-11-11,98.8957,98.8957,98.8957,98.8957,0,94.931
2015-11-12,98.8957,98.8957,98.8957,98.8957,0,94.931
2015-11-13,99.303,100.606,98.6513,99.9954,887800,95.9866
2015-11-16,99.7103,101.788,98.9771,101.177,1260500,97.1208
2015-11-17,102.643,102.724,100.851,101.91,1383800,97.8244
2015-11-18,101.828,102.358,98.5698,98.8142,1383200,94.8527
2015-11-19,99.4659,100.077,99.0586,99.5474,819700,95.5565
2015-11-20,99.7511,104.191,99.1808,101.869,2618700,97.7851
2015-11-23,102.154,102.317,101.095,101.258,747100,97.1986
2015-11-24,101.014,101.462,100.24,100.525,670300,96.4949
2015-11-25,100.525,100.525,100.525,100.525,0,96.4949
