"Date","IGL.NS.Open","IGL.NS.High","IGL.NS.Low","IGL.NS.Close","IGL.NS.Volume","IGL.NS.Adjusted"
2015-05-13,410.5,418,401,405.9,402400,395.84
2015-05-14,406.9,408,402.05,405.3,125600,395.25
2015-05-15,406.7,408.4,398.4,401.75,334400,391.79
2015-05-18,407,415.45,405.1,413.9,360600,403.64
2015-05-19,413.9,415.75,408.15,409.9,217400,399.74
2015-05-20,411.6,414.9,410.4,412.05,209700,401.83
2015-05-21,412.05,415.05,406.1,410.25,78400,400.08
2015-05-22,410,418.7,407.5,413.4,232800,403.15
2015-05-25,410.1,414.4,409.2,411.65,264400,401.44
2015-05-26,410,413,404,406.5,375800,396.42
2015-05-27,404,410.05,402,406.95,194100,396.86
2015-05-28,407.75,407.75,396.05,400.15,710300,390.23
2015-05-29,401.2,406.5,398.1,404.5,560200,394.47
2015-06-01,406,409.55,403,408.15,135200,398.03
2015-06-02,412,412,395.05,398.25,144400,388.38
2015-06-03,396.8,410.8,391.05,403.4,232500,393.4
2015-06-04,404.9,404.9,391.2,392.4,125500,382.67
2015-06-05,390,396.5,390,393,179100,383.26
2015-06-08,394,395.1,383.1,385.2,343400,375.65
2015-06-09,384.9,391,375.8,378.8,270100,369.41
2015-06-10,378.45,387.9,375.35,386.8,267200,377.21
2015-06-11,388.1,392,381.75,385,167800,375.45
2015-06-12,384.4,393.5,381.6,387.7,358500,378.09
2015-06-15,389.55,395.3,384.1,386.35,113000,376.77
2015-06-16,385,389.9,382.55,385.45,81300,375.89
2015-06-17,387.2,403.5,387.2,401.35,410800,391.4
2015-06-18,401.7,404.5,397.2,398.65,121200,388.77
2015-06-19,400.5,401.25,391.15,394,153000,384.23
2015-06-22,395.6,397.9,391.8,395,126800,385.21
2015-06-23,396.7,397.5,391.2,394.85,131900,385.06
2015-06-24,394.5,401.1,391.5,394.8,207300,385.01
2015-06-25,393.7,401.5,387.1,398.8,849600,388.91
2015-06-26,398.5,419.9,398.5,416.05,748600,405.74
2015-06-29,408,432.4,403.75,428.1,755900,417.49
2015-06-30,428.9,435,416.25,417.8,358500,407.44
2015-07-01,436,492,429,455.3,8452100,444.01
2015-07-02,457.8,462.2,444.15,445.65,1853800,434.6
2015-07-03,446,452.4,440.25,444.8,668800,433.77
2015-07-06,438,460.85,435,454,994100,442.74
2015-07-07,457.7,459,449,451.2,509400,440.01
2015-07-08,448,454.9,441,444.65,508800,433.63
2015-07-09,444.1,451,443.95,445.35,339600,434.31
2015-07-10,448.4,451.15,441,445.05,340300,434.02
2015-07-13,448,455,443.85,445.55,444000,434.5
2015-07-14,446.1,450.85,442.75,444.55,191400,433.53
2015-07-15,444.95,451,443,443.75,266200,432.75
2015-07-16,447.4,462,447.4,456.95,826600,445.62
2015-07-17,460,468.7,459.15,462.1,449800,450.64
2015-07-20,462.8,466.4,457.6,460.35,428000,448.94
2015-07-21,461,464.35,459,460,556900,448.6
2015-07-22,457.9,473.9,456.05,470.8,505500,459.13
2015-07-23,467.1,471.95,461,469.6,287400,457.96
2015-07-24,468,472,460,461.2,119700,449.77
2015-07-27,459.8,463.8,455.7,458.1,309700,446.74
2015-07-28,456.15,470.8,455.6,464.2,331900,452.69
2015-07-29,466.55,466.7,460.25,461.95,101700,450.5
2015-07-30,464.4,482.25,461.5,478.65,535200,466.78
2015-07-31,483.6,493,470.05,484.15,490400,472.15
2015-08-03,484.25,502.6,479.1,488.5,258300,476.39
2015-08-04,491.8,491.8,481.9,483.7,129200,471.71
2015-08-05,483,493.45,472.65,479.8,352700,467.9
2015-08-06,481.5,518.8,467.3,503.85,1201600,491.36
2015-08-07,506.2,508.3,492.1,494.9,365600,482.63
2015-08-10,493.25,523,489.75,510,1010700,497.36
2015-08-11,512,514.9,481.55,492.9,317700,480.68
2015-08-12,485,500.05,476.8,479.65,292600,467.76
2015-08-13,484.1,490,479.65,483.4,227000,471.42
2015-08-14,483.5,498.9,483.5,492.2,263400,480
2015-08-17,493.7,504.8,483.7,489.35,235100,477.22
