"Date","CIPLA.NS.Open","CIPLA.NS.High","CIPLA.NS.Low","CIPLA.NS.Close","CIPLA.NS.Volume","CIPLA.NS.Adjusted"
2015-11-09,644.09998,649.70001,638.59998,647.59998,1192500,645.36878
2015-11-10,647,648.5,637.5,641.90002,1166100,639.68847
2015-11-11,644.79999,645.59998,639.09998,643.29999,200700,641.08361
2015-11-12,643.29999,643.29999,643.29999,643.29999,0,641.08361
2015-11-13,635,635.95001,615.09998,617.90002,2193400,615.77116
2015-11-16,617.84998,631.15002,613.15002,625.79999,1127000,623.6439
2015-11-17,628.95001,638.90002,628,635.75,808700,633.55963
2015-11-18,634.79999,642,627.40002,629.75,1026500,627.58031
2015-11-19,635,637.40002,629.84998,635.65002,523900,633.46
2015-11-20,635.90002,648.90002,631.09998,646.84998,1070800,644.62137
2015-11-23,647.59998,648,633.5,641.45001,878100,639.24001
2015-11-24,640,646.79999,635,637.29999,909500,635.10428
2015-11-25,637.29999,637.29999,637.29999,637.29999,0,635.10428
2015-11-26,639.79999,641.90002,633.09998,634.54999,1319100,632.36376
2015-11-27,637.40002,645.70001,635.54999,643.65002,1110700,641.43244
2015-11-30,643,651.5,639,643.65002,2146600,641.43244
2015-12-01,645.5,650,645,648.54999,670500,646.31552
2015-12-02,648.59998,661.40002,648.5,658.40002,1610600,656.13162
2015-12-03,652.75,656,642.25,651.20001,1484700,648.95642
2015-12-04,649.65002,655,643.59998,645.79999,1127500,643.575
2015-12-07,647.95001,654,640.09998,645.20001,921300,642.97709
2015-12-08,642,648.5,638.40002,642.59998,730700,640.38601
2015-12-09,642.04999,644.90002,620,623.79999,1044100,621.65079
2015-12-10,625.04999,640.84998,622,636.79999,1030500,634.606
2015-12-11,636.54999,642.95001,630.75,639.25,1104800,637.04757
2015-12-14,637.90002,643.79999,631.04999,637.04999,721100,634.85514
2015-12-15,637.04999,641.5,636.54999,638.90002,948600,636.6988
2015-12-16,642.95001,643.95001,637.09998,638.65002,1166500,636.44967
2015-12-17,639,644.95001,636.29999,642.90002,1333900,640.68502
2015-12-18,642.79999,649.29999,640.09998,642.09998,995400,639.88773
2015-12-21,649.79999,649.79999,641.09998,643.70001,738800,641.48225
2015-12-22,643.95001,648,641.5,644.20001,508300,641.98053
2015-12-23,646,649.40002,644.5,647.45001,342400,645.21934
2015-12-24,648.79999,654.40002,645.20001,648.20001,395800,645.96675
2015-12-25,648.20001,648.20001,648.20001,648.20001,0,645.96675
2015-12-28,648.15002,659.45001,647.29999,657.59998,793800,655.33433
2015-12-29,660,660,652,653.84998,472500,651.59725
2015-12-30,653.79999,657,650.09998,653.20001,587200,650.94952
2015-12-31,653,655,647.20001,649.75,765200,647.5114
