"Date","NIITTECH.NS.Open","NIITTECH.NS.High","NIITTECH.NS.Low","NIITTECH.NS.Close","NIITTECH.NS.Volume","NIITTECH.NS.Adjusted"
2015-04-29,358.05,380,350.75,359,88800,337.8069
2015-04-30,366.7,366.7,348,350.85,152800,330.1381
2015-05-01,350.85,350.85,350.85,350.85,0,330.1381
2015-05-04,360,360,351.6,356.5,205200,335.4545
2015-05-05,355.95,427,325.55,402,1286700,378.2685
2015-05-06,380.1,394.9,375,383.1,360000,360.4842
2015-05-07,380,388.4,365,369.1,69600,347.3107
2015-05-08,371,377,368.95,373.7,51900,351.6392
2015-05-11,373.7,383,370.25,372.45,43200,350.463
2015-05-12,372.85,375.85,368.2,371.95,28900,349.9925
2015-05-13,372.1,374.75,370,370.35,31300,348.4869
2015-05-14,372.9,373.75,367,372.9,37000,350.8864
2015-05-15,373.05,373.05,368.85,370.8,11200,348.9103
2015-05-18,371.1,383,370.35,381.25,56100,358.7435
2015-05-19,384,393,381.6,387.75,69300,364.8597
2015-05-20,387.75,391.75,378,386,18100,363.213
2015-05-21,387,391,384.05,387.45,12400,364.5775
2015-05-22,386.95,390,383.25,386.4,15400,363.5894
2015-05-25,380.3,387.45,377.1,377.85,6200,355.5442
2015-05-26,376,379.45,373,373.15,6900,351.1216
2015-05-27,373,385,372.95,382.6,23600,360.0138
2015-05-28,379.55,383.95,378,379.75,12200,357.332
2015-05-29,378.05,385.9,377,381.85,61100,359.308
2015-06-01,380.55,387.9,377.55,385.35,9600,362.6014
2015-06-02,383.75,385,379.45,383.15,18200,360.5313
2015-06-03,384,405,380.15,398.8,76100,375.2574
2015-06-04,399,410,397,400.2,78800,376.5748
2015-06-05,398,399.5,391,396,10800,372.6227
2015-06-08,394,394.5,384,387.8,10100,364.9068
2015-06-09,384.5,386.6,375,385.25,6400,362.5073
2015-06-10,382,387,376,382,35900,359.4492
2015-06-11,381.05,394.1,381.05,384.95,13900,362.225
2015-06-12,386.9,386.9,381.4,383.15,4500,360.5313
2015-06-15,380.3,385,380.15,383.3,2700,360.6724
2015-06-16,385.45,386.05,380.55,381.8,8700,359.261
2015-06-17,383,385,380.25,383.8,4300,361.1429
2015-06-18,382.45,388.95,382.15,386.55,6200,363.7306
2015-06-19,386,405.7,386,399.3,51400,375.7279
2015-06-22,403.9,406.7,395,403.55,29300,379.727
2015-06-23,403.1,409,399.05,403.05,372400,379.2565
2015-06-24,403.05,404.95,400,401.5,18200,377.798
2015-06-25,399,400.45,386.55,391.85,10000,368.7177
2015-06-26,390.1,398,388,392.9,19200,369.7057
2015-06-29,388.05,392.1,385.6,388.2,13600,365.2832
2015-06-30,390,392.7,388.6,390.05,41800,367.0239
2015-07-01,386.8,391,386.05,388,118300,365.095
2015-07-02,388.05,391,387.05,388.7,14100,365.7537
2015-07-03,389.95,394.3,389.95,392.05,27100,368.9059
2015-07-06,384,397.1,384,393.55,14100,370.3173
2015-07-07,392.05,398,388.05,388.75,12200,365.8007
2015-07-08,385,389.85,378.75,383.05,23100,360.4372
2015-07-09,383,394,382,384.65,18800,361.9427
2015-07-10,388,392.75,385.55,388.95,13800,365.9889
2015-07-13,388.3,424.25,388.3,418.6,122400,393.8886
2015-07-14,418.65,485,415.55,463.45,2091800,436.0909
2015-07-15,467,479,455.55,459.65,580000,432.5152
2015-07-16,460.95,499,456,486.6,824900,457.8743
2015-07-17,488,490.4,470,475.85,321000,447.7589
2015-07-20,476,489,470.6,481.05,239200,452.6519
2015-07-21,481,516,475.1,481.45,605100,453.0283
2015-07-22,480.15,501.95,477.6,499.2,210100,479.1858
2015-07-23,495,495,484,489.35,119000,478.8433
