"Date","SOUTHBANK.NS.Open","SOUTHBANK.NS.High","SOUTHBANK.NS.Low","SOUTHBANK.NS.Close","SOUTHBANK.NS.Volume","SOUTHBANK.NS.Adjusted"
2015-06-04,20.9104,20.9556,20.322,20.8651,4742600,19.77286
2015-06-05,20.8651,21.1819,20.6841,20.8651,2874300,19.77286
2015-06-08,21.0462,21.0914,20.6388,20.6841,2945300,19.60133
2015-06-09,20.6841,21.0462,20.6841,20.9104,2344600,19.81579
2015-06-10,20.8199,21.544,20.8199,21.2724,2652300,20.15884
2015-06-11,21.363,21.4988,20.9104,21.0009,2006000,19.90155
2015-06-12,20.9556,21.544,20.9556,21.363,1685700,20.24469
2015-06-15,21.4535,21.4988,20.9556,21.0462,1406400,19.94448
2015-06-16,21.0462,21.363,21.0009,21.2724,1234600,20.15884
2015-06-17,21.2724,21.9966,21.1367,21.7703,3044800,20.63067
2015-06-18,21.8156,21.9061,21.4988,21.544,1910600,20.41622
2015-06-19,21.5893,21.7251,21.2272,21.363,2229100,20.24469
2015-06-22,21.4082,22.4492,21.3177,21.9966,6459000,20.84512
2015-06-23,21.9514,22.3587,21.7703,21.9061,3571200,20.75936
2015-06-24,21.9514,21.9514,21.1367,21.2724,3601500,20.15884
2015-06-25,21.0914,22.1324,21.0914,22.0419,6225100,20.88805
2015-06-26,21.9966,22.0871,21.544,21.5893,3794600,20.45915
2015-06-29,20.8199,21.2272,20.7293,21.1367,4022200,20.03024
2015-06-30,21.0462,21.4988,21.0462,21.4082,2349000,20.28753
2015-07-01,21.4988,21.8156,21.3177,21.6345,2529600,20.50198
2015-07-02,21.7251,21.8156,21.5893,21.6345,1807700,20.50198
2015-07-03,21.6345,22.404,21.6345,22.0871,3211300,20.93089
2015-07-06,21.8156,23.3997,21.6345,23.2187,8250100,22.00325
2015-07-07,22.8113,22.9018,22.1324,22.3587,5926000,21.75033
2015-07-08,21.9514,22.3134,21.7251,21.8156,3553800,21.222
2015-07-09,21.8608,22.2229,21.6345,21.9514,3531600,21.35411
2015-07-10,21.9514,22.2682,21.7703,22.0871,4237300,21.48612
2015-07-13,22.0871,23.1734,21.9061,22.9924,4709000,22.36678
2015-07-14,22.9924,23.2187,22.3587,22.4492,4052500,21.83836
2015-07-15,22.4945,23.3092,22.3587,22.9471,10201900,22.32272
2015-07-16,21.7251,21.9061,21.363,21.7703,12510900,21.17794
2015-07-17,21.7251,21.9966,21.4535,21.7703,4055600,21.17794
2015-07-20,21.7703,21.8156,21.544,21.5893,3846200,21.00186
2015-07-21,21.4988,21.7251,21.0462,21.1367,2703600,20.56158
2015-07-22,21.1367,21.5893,21.0914,21.4988,2855400,20.91382
2015-07-23,21.4988,21.544,21.1367,21.1819,3363700,20.60555
2015-07-24,21.1819,21.2724,20.8651,20.9104,2628500,20.34143
2015-07-27,20.8651,20.9556,20.5935,20.6841,2178400,20.12129
2015-07-28,20.6841,21.1367,20.503,20.8199,3227300,20.2534
2015-07-29,20.8199,20.9556,20.5483,20.8199,2647500,20.2534
2015-07-30,20.8651,21.0914,20.503,20.5935,4597300,20.03316
2015-07-31,20.7746,21.0462,20.5935,20.6841,3366600,20.12129
2015-08-03,20.6841,21.4535,20.6388,21.2724,3865200,20.69358
2015-08-04,21.3177,21.544,20.8651,21.1819,3183300,20.60555
2015-08-05,21.3177,21.544,21.2272,21.363,4743400,20.78172
2015-08-06,21.3177,21.4988,21.0914,21.1819,2705200,20.60555
2015-08-07,21.1819,21.2724,20.9556,21.0462,1591800,20.47354
2015-08-10,21.0462,21.1819,20.8199,20.9556,3252700,20.38541
2015-08-11,21.0009,21.0914,20.8199,20.9104,2400900,20.34143
2015-08-12,20.8651,20.9556,20.4578,20.5935,3389300,20.03316
2015-08-13,20.5935,20.8199,20.4125,20.4578,3179900,19.90115
2015-08-14,20.5483,21.1819,20.4578,21.0009,2605100,20.42947
2015-08-17,21.0462,21.2724,20.9104,21.0009,2271500,20.42947
2015-08-18,21.0462,21.1819,20.6388,20.7293,1663400,20.16526
2015-08-19,20.7293,20.7293,20.4125,20.5483,1419600,19.98919
2015-08-20,20.503,20.6841,20.2767,20.322,1947900,19.76904
2015-08-21,20.2315,20.2315,19.9146,20.0052,5355500,19.46086
2015-08-24,19.6883,19.6883,17.1537,17.6063,7360400,17.12724
2015-08-25,18.059,18.5116,16.9727,18.2853,6822700,17.78776
2015-08-26,18.2853,18.5116,17.8779,18.3305,5248100,17.83173
2015-08-27,18.4663,19.0094,18.4663,18.8736,4040000,18.36006
2015-08-28,19.1,19.2357,18.7831,18.8736,2062500,18.36006
2015-08-31,18.9642,19.1,18.2853,18.4663,2260200,17.96384
2015-09-01,18.2853,18.3758,17.6516,17.7421,3013900,17.25934
2015-09-02,17.9232,18.059,17.4706,17.5611,2569000,17.08327
2015-09-03,17.8326,18.2853,17.7421,18.059,2111900,17.56762
2015-09-04,18.0137,18.059,17.3801,17.8326,2171400,17.34738
2015-09-07,18.1042,18.421,17.7874,18.1495,2960000,17.65566
2015-09-08,18.3305,19.1,18.1042,18.9189,3154300,18.40412
2015-09-09,19.1,19.3715,18.8736,19.0094,2398100,18.49216
2015-09-10,18.7379,19.0547,18.5568,18.8736,1753300,18.36006
2015-09-11,18.9189,19.0547,18.2853,18.4663,1585300,17.96384
2015-09-14,18.421,18.6021,18.24,18.5568,693800,18.05188
2015-09-15,18.6473,18.8284,18.0137,18.059,2559800,17.56762
2015-09-16,18.1947,18.4663,18.0137,18.1947,2177400,17.69963
2015-09-17,18.1947,18.1947,18.1947,18.1947,0,17.69963
2015-09-18,18.5116,19.3263,18.5116,19.1,8595100,18.5803
2015-09-21,18.9642,19.5525,18.6926,19.1905,4269000,18.66833
2015-09-22,19.281,19.5525,18.8284,18.9642,3907300,18.44819
2015-09-23,18.7379,19.3263,18.6473,19.1,3544700,18.5803
2015-09-24,19.1452,22.3587,19.0094,21.2724,22068600,20.69358
2015-09-25,21.2724,21.2724,21.2724,21.2724,0,20.69358
2015-09-28,21.2272,21.6345,20.5935,20.8199,4444300,20.2534
2015-09-29,20.7746,21.0914,20.2767,20.6388,3842800,20.07722
2015-09-30,20.6841,21.1819,20.4125,20.503,3206400,19.94512
2015-10-01,20.6388,20.8199,20.0957,20.2315,2261900,19.68101
