"Date","DHFL.NS.Open","DHFL.NS.High","DHFL.NS.Low","DHFL.NS.Close","DHFL.NS.Volume","DHFL.NS.Adjusted"
2015-07-30,486.75,488.5,479.25,481.35,1987900,228.439
2015-07-31,484.25,487.5,479.15,481.35,1320700,228.439
2015-08-03,484,503.1,482,499.6,2837200,237.101
2015-08-04,504.1,513.3,501,508.9,2805900,241.514
2015-08-05,514,517.8,509,513.55,2152100,243.721
2015-08-06,513.9,527.1,505.2,517.8,1675300,245.738
2015-08-07,520,533.5,516.5,529.55,2847500,251.314
2015-08-10,532.3,535.7,515.95,520.35,1834200,246.948
2015-08-11,520.65,526.5,505.65,513.2,1518700,243.555
2015-08-12,508.7,513.8,485.1,490.35,1860800,232.711
2015-08-13,494.9,503.15,482.1,488.6,1471800,231.88
2015-08-14,492.9,513.5,490.9,510.15,1940600,242.107
2015-08-17,512,514,503.6,505.5,1266600,239.901
2015-08-18,508.6,510.7,497.05,500.65,1210200,237.599
2015-08-19,499.95,507.35,495,499.5,1701100,237.053
2015-08-20,502.4,502.4,483.45,489.75,1510800,232.426
2015-08-21,481.25,491.65,461.25,487.65,1528500,231.429
2015-08-24,460.05,470,415,425.4,3635700,201.887
2015-08-25,430,445,405.15,441.1,2116600,209.338
2015-08-26,441.4,444.75,425,437.4,1168900,207.582
2015-08-27,450.85,454,441,444.1,1245500,210.761
2015-08-28,451,462,438.2,446.25,1440400,211.782
2015-08-31,444,466.5,440,459.1,1197500,217.88
2015-09-01,461,461,438.6,444.2,1112000,210.809
2015-09-02,446.5,462,430,432.9,1539200,205.446
2015-09-03,438.6,450.7,438.6,445.75,873800,211.544
2015-09-04,221.5,221.5,211.3,214.2,1430600,101.655
2015-09-07,215,218,210,213.575,1190600,101.359
2015-09-08,215,221.4,210.05,216.4,2051900,102.699
2015-09-09,223.9,226.5,220.15,222.65,781700,211.331
2015-09-10,219,224.9,212.1,219.15,646700,208.009
2015-09-11,222.45,227,220,222.3,528900,210.999
2015-09-14,223.5,226.75,220.3,225.25,612600,213.799
2015-09-15,225.65,227.9,219.3,221.25,468900,210.002
2015-09-16,223.2,223.9,219,221.15,455400,209.907
2015-09-17,221.15,221.15,221.15,221.15,0,209.907
2015-09-18,215,224.65,208.65,215.85,2016400,204.877
2015-09-21,210.2,216.9,210.2,214.35,702400,203.453
2015-09-22,216.5,216.9,205.9,207.5,992300,196.951
2015-09-23,202.65,209.55,201.6,206.8,736000,196.287
2015-09-24,206.2,209,202.2,204.6,866200,194.198
2015-09-25,204.6,204.6,204.6,204.6,0,194.198
2015-09-28,206.3,214.5,205.2,207.3,976800,196.761
2015-09-29,205.15,217.9,198.3,214.75,3409100,203.832
2015-09-30,217.5,222.45,216.25,219.95,2817300,208.768
2015-10-01,221.4,223.2,212.2,214.8,2114700,203.88
2015-10-02,214.8,214.8,214.8,214.8,0,203.88
2015-10-05,216.5,220.25,215.85,219.15,1096200,208.009
2015-10-06,220.95,227.6,217.5,226.2,1553600,214.7
2015-10-07,227.5,231.8,222.5,224.25,1999000,212.849
2015-10-08,225,225.9,218.6,222.1,815400,210.809
2015-10-09,224.85,232.5,224.85,228.95,1762300,217.311
2015-10-12,230,231,225,227.4,536600,215.839
