"Date","IOC.NS.Open","IOC.NS.High","IOC.NS.Low","IOC.NS.Close","IOC.NS.Volume","IOC.NS.Adjusted"
2015-06-02,355,356.15,347.5,349.1,1258900,151.7802
2015-06-03,350,351,336.2,338.9,1590300,147.3455
2015-06-04,340,352,340,350.5,2844500,152.3889
2015-06-05,350.25,357,346.4,355,1911700,154.3454
2015-06-08,354.4,354.7,349,350.9,764400,152.5628
2015-06-09,349,352.5,348.2,349.7,2054000,152.0411
2015-06-10,349,354,345.5,346.5,1127100,150.6498
2015-06-11,349.5,349.5,338.55,339.85,1717200,147.7585
2015-06-12,342,351.9,341.7,350.8,2438000,152.5193
2015-06-15,352,358,350.5,353.3,1242900,153.6062
2015-06-16,353.5,361.8,350.2,356.8,1708500,155.128
2015-06-17,356.45,359.95,350.3,351.65,1040700,152.8889
2015-06-18,354.45,376.4,353.55,374.5,4963100,162.8235
2015-06-19,376.9,385,372.1,382.45,5440500,166.28
2015-06-22,382.6,384.75,380.35,382.95,1963600,166.4974
2015-06-23,382.2,399.9,379.2,398,3877100,173.0407
2015-06-24,398.05,401.85,387.05,389.85,2478700,169.4973
2015-06-25,388,390.75,384,388.5,4012300,168.9104
2015-06-26,388.9,389.9,380.95,384.5,1994600,167.1712
2015-06-29,375.6,393.75,375,384.75,3446900,167.2799
2015-06-30,385.5,389.8,383.5,385.4,2364700,167.5625
2015-07-01,383,396,383,391.65,4047100,170.2799
2015-07-02,393,415,393,412.4,6752200,179.3015
2015-07-03,413.5,419.2,407.65,417.2,5115800,181.3884
2015-07-06,419.8,427.95,418.1,426.4,5034100,185.3883
2015-07-07,430,433.5,422,427.1,4047000,185.6927
2015-07-08,426.9,438.4,425,429.35,4716300,186.6709
2015-07-09,430.1,430.5,413.85,418.4,5049400,181.9101
2015-07-10,415.15,425.5,412.65,420.3,4001800,182.7362
2015-07-13,421,429.75,420.3,424.7,2848900,184.6492
2015-07-14,424.4,440.8,422.6,438.85,4688400,190.8013
2015-07-15,440,440.75,430.15,432.8,3211100,188.1709
2015-07-16,431.05,449.5,431.05,441.95,4827100,192.1491
2015-07-17,442.1,446.9,437.9,439,3352900,190.8665
2015-07-20,443.75,449.55,440.75,445.1,3884200,193.5187
2015-07-21,449,449,437.05,438.65,1426000,190.7143
2015-07-22,441,452.2,438.3,447.8,5141500,194.6925
2015-07-23,449.9,459.2,449,454.65,3905500,197.6708
2015-07-24,457,465.9,454,457.45,4106900,198.8881
2015-07-27,457.85,465,453.55,455.7,2306100,198.1273
2015-07-28,460,460.7,443.2,446,3568900,193.91
2015-07-29,445.3,456,442.5,448.1,2757000,194.823
2015-07-30,449.1,451.75,443.45,445.9,5183000,193.8665
2015-07-31,446.2,446.95,428.1,431.35,4041900,187.5405
2015-08-03,437.15,439.9,420.5,425.05,7013200,184.8014
2015-08-04,429.95,433,421.15,425.1,3486500,184.8231
2015-08-05,426.2,431.65,421.5,423.3,2569500,184.0405
2015-08-06,424.95,429.3,415.8,418.95,2800800,182.1493
2015-08-07,422.95,432.45,415.55,426.4,7629900,185.3883
2015-08-10,430.2,441.05,426.7,429.75,5702800,186.8448
2015-08-11,430,436.7,416.7,418.65,3835100,182.0188
2015-08-12,423.45,423.45,379.35,388.4,7431700,168.8669
2015-08-13,385.6,402,377.95,394.9,11201800,171.6929
2015-08-14,396.95,396.95,385.35,389.65,4171300,169.4103
2015-08-17,392.15,395.5,381.7,384.95,3159500,167.3669
2015-08-18,387.95,403.5,387,400.05,5574300,173.932
2015-08-19,398.95,404.8,395,397.95,2860800,173.019
2015-08-20,402,406.25,392.8,397.7,4158400,172.9103
2015-08-21,395.85,396.95,383.4,394.85,3757300,171.6712
2015-08-24,382,386.7,375.25,378.1,33033200,164.3887
2015-08-25,374,434.3,366,394.85,23359900,171.6712
