"Date","OFSS.NS.Open","OFSS.NS.High","OFSS.NS.Low","OFSS.NS.Close","OFSS.NS.Volume","OFSS.NS.Adjusted"
2015-09-30,3848.35,3950,3848.35,3945.8,53200,3662.129
2015-10-01,3960,4000,3904,3933.3,56800,3650.528
2015-10-02,3933.3,3933.3,3933.3,3933.3,0,3650.528
2015-10-05,3985,3990,3918,3976.85,23000,3690.947
2015-10-06,3954.6,4020,3954.6,3982.2,74700,3695.912
2015-10-07,4000,4019,3966.95,3991.4,25700,3704.451
2015-10-08,4025,4025,3941.05,4006.75,39300,3718.697
2015-10-09,4037,4037,3956,3988.45,32500,3701.713
2015-10-12,4003.55,4010,3874,3914.5,24100,3633.079
2015-10-13,3924,3924,3827,3861.55,23800,3583.936
2015-10-14,3897.9,4085.9,3838,3868.55,36500,3590.433
2015-10-15,3930,3940,3872.7,3914.9,23400,3633.451
2015-10-16,3950,3950,3855,3922.3,32000,3640.319
2015-10-19,3901,3985,3866.6,3957,23300,3672.524
2015-10-20,3983,3983,3920,3943.25,23700,3659.762
2015-10-21,3959,3968,3895,3925.35,22600,3643.149
2015-10-22,3925.35,3925.35,3925.35,3925.35,0,3643.149
2015-10-23,3935,3999.75,3916.05,3986.85,29700,3700.228
2015-10-26,3999,3999,3920,3953.65,20100,3669.415
2015-10-27,3990,3990,3890.05,3909.3,29900,3628.253
2015-10-28,3946.9,3990,3905.1,3969.8,23900,3684.404
2015-10-29,3958.5,3982.65,3865,3886.25,91000,3606.86
2015-10-30,3900,3935,3851.9,3880.15,17600,3601.199
2015-11-02,3949,3965.45,3867.5,3944.9,31000,3661.294
2015-11-03,3989,4049,3938.05,4031.6,64100,3741.761
2015-11-04,4070,4070,3965.5,3986.9,23000,3700.274
2015-11-05,4000,4017,3881.05,3896.45,35300,3616.327
2015-11-06,3919.9,3968,3853.9,3946.35,99800,3662.64
2015-11-09,3920,4010.5,3874.7,3995.95,26900,3708.674
2015-11-10,4000,4010.45,3890.7,3931.95,115500,3649.275
2015-11-11,3931.95,3931.95,3931.95,3931.95,0,3649.275
2015-11-12,3931.95,3931.95,3931.95,3931.95,0,3649.275
2015-11-13,3880,3958.25,3869.6,3883.45,26900,3604.262
2015-11-16,3892,3957.35,3868.8,3932.35,26500,3649.646
2015-11-17,3935,3953.95,3870.35,3906.35,90200,3625.515
2015-11-18,3901,3927.7,3856.05,3871,18600,3592.707
2015-11-19,3891,3968,3871.05,3887.3,14300,3607.835
2015-11-20,3850,3907.4,3849.95,3872.65,30200,3594.238
2015-11-23,3881,3947,3826,3838.35,16800,3562.404
2015-11-24,3840,3900.5,3830.1,3872.5,31900,3594.099
2015-11-25,3872.5,3872.5,3872.5,3872.5,0,3594.099
2015-11-26,3881,3900,3815,3834.1,35100,3558.46
2015-11-27,3840,3884,3834.1,3868.3,10500,3590.201
2015-11-30,3872.3,3895,3802.8,3822.05,22200,3547.276
2015-12-01,3817,3922.1,3817,3914.05,26600,3632.662
2015-12-02,3921,3921.9,3852.55,3860,17300,3582.497
2015-12-03,3839.1,3908.75,3811.5,3821.6,18900,3546.858
2015-12-04,3830,3850,3812.5,3820.3,10300,3545.652
2015-12-07,3825,3844,3780,3791.55,9300,3518.969
2015-12-08,3785.3,3811.95,3781.7,3800.85,26800,3527.6
2015-12-09,3775.45,3800,3660,3680.7,31700,3416.088
2015-12-10,3725,3803.8,3700,3796.65,55200,3523.702
2015-12-11,3752,3779.8,3722.8,3737,103800,3468.34
2015-12-14,3720,3820.6,3685,3759.75,37200,3489.455
2015-12-15,3705,3806.25,3705,3796.85,31900,3523.888
2015-12-16,3796,3846,3740.05,3792.9,68600,3520.221
2015-12-17,3780,3849,3780,3821,47600,3546.301
2015-12-18,3839.9,3839.9,3802.9,3823.8,71200,3548.9
2015-12-21,3847.95,3872,3826.25,3833.05,17700,3557.485
2015-12-22,3801.5,3845.4,3800,3812,39000,3537.948
