"Date","PCJEWELLER.NS.Open","PCJEWELLER.NS.High","PCJEWELLER.NS.Low","PCJEWELLER.NS.Close","PCJEWELLER.NS.Volume","PCJEWELLER.NS.Adjusted"
2015-03-04,267.1,272.55,262.1,265.45,180900,261.53
2015-03-05,267.9,280.8,267,278.95,727400,274.83
2015-03-06,278.95,278.95,278.95,278.95,0,274.83
2015-03-09,276,301.5,268,296.6,1634200,292.22
2015-03-10,298,306.7,297.2,303.7,1275100,299.21
2015-03-11,303,311.2,301,305.55,361700,301.04
2015-03-12,305,314.05,297.2,312.2,445600,307.59
2015-03-13,313.8,314.45,302,305.05,214500,300.54
2015-03-16,306.2,313.6,304.1,310.6,445000,306.01
2015-03-17,310.05,316.25,306.2,312.95,289600,308.33
2015-03-18,310.25,330.5,310.25,321.95,693900,317.19
2015-03-19,325,367,325,339.05,2028200,334.04
2015-03-20,340,344.9,328,335.8,590700,330.84
2015-03-23,337,344.7,330.1,338.35,274300,333.35
2015-03-24,339.85,350.8,338,343.75,304400,338.67
2015-03-25,343,346.7,331.65,334.8,123600,329.86
2015-03-26,333,333,318.2,321.1,124200,316.36
2015-03-27,323,323.95,302.25,313.45,232700,308.82
2015-03-30,313.45,322.5,310.55,313.45,123300,308.82
2015-03-31,315.05,324.9,315.05,317.6,185400,312.91
2015-04-01,317,328.45,314.4,321.15,240400,316.41
2015-04-02,321.15,321.15,321.15,321.15,0,316.41
2015-04-03,321.15,321.15,321.15,321.15,0,316.41
2015-04-06,320.9,333.65,319.5,331.3,145800,326.41
2015-04-07,331.7,338,327.5,335.85,157400,330.89
2015-04-08,330.65,360.7,329.45,349.6,393800,344.44
2015-04-09,351.5,354.45,343,351.35,473900,346.16
2015-04-10,352,359.9,352,357.15,191000,351.87
2015-04-13,360.4,362,352.05,358.75,128500,353.45
2015-04-14,358.75,358.75,358.75,358.75,0,353.45
2015-04-15,359,362,333.6,346.2,245900,341.09
2015-04-16,344.6,353.5,341,348.4,146800,343.25
2015-04-17,351.1,353,345.05,349.35,107900,344.19
2015-04-20,355,356.35,348,353.4,142700,348.18
2015-04-21,359.95,366,351.55,358.05,196500,352.76
2015-04-22,356.65,368.8,352.8,355.8,221400,350.54
2015-04-23,356.5,365.8,351.2,359.2,196400,353.89
2015-04-24,359.8,362,341.4,347.05,121200,341.92
2015-04-27,346.85,351.75,305.65,338.8,124300,333.8
2015-04-28,331,337.35,316.65,323,152900,318.23
2015-04-29,324,340,321.45,336.05,142400,331.09
2015-04-30,331.1,346.85,330.7,342.25,71600,337.19
2015-05-01,342.25,342.25,342.25,342.25,0,337.19
2015-05-04,342.25,357.6,336.2,355.15,96500,349.9
2015-05-05,352.1,363.6,347,361.65,118700,356.31
2015-05-06,358.8,360,341,343.55,114400,338.48
2015-05-07,330.05,351.65,330,334.7,128400,329.76
2015-05-08,338.05,344.95,319.1,322.6,297900,317.84
2015-05-11,319.05,329.35,317,326.4,154200,321.58
2015-05-12,329,330.4,321.1,325.15,124800,320.35
2015-05-13,320.6,328,320,323.2,77500,318.43
2015-05-14,332,332,319.75,325.7,247500,320.89
2015-05-15,336.3,340.5,326.35,329.9,416200,325.03
2015-05-18,330,343,330,341.7,236600,336.65
2015-05-19,342,358.95,342,354.9,165400,349.66
2015-05-20,358,369,355,367.25,196300,361.83
2015-05-21,365,375.4,362.4,373.4,281800,367.88
2015-05-22,376,376.2,367.5,372.6,138000,367.1
2015-05-25,365.2,374.9,365.2,372.7,54300,367.2
2015-05-26,369.65,375.9,359.75,365.35,81700,359.95
2015-05-27,362.75,368.8,358.1,366.2,79900,360.79
2015-05-28,363.25,372.35,363.2,370.55,60500,365.08
2015-05-29,373.1,379.9,365.05,376.05,144300,370.5
2015-06-01,379,402.3,372,396.7,278500,390.84
2015-06-02,402,408,383.35,387.55,846100,381.83
2015-06-03,389.3,389.3,345.75,362.45,168700,357.1
2015-06-04,369.7,376.4,352.6,364.6,90900,359.21
2015-06-05,364,366.8,350.2,353.15,275900,347.93
2015-06-08,353.1,361,345,354.15,83300,348.92
2015-06-09,349.9,354.6,333.1,337.4,110000,332.42
2015-06-10,337.15,346.85,325.2,330.05,116400,325.18
2015-06-11,333.9,340.5,325,327.1,66800,322.27
2015-06-12,332,333.3,318.1,326.6,71000,321.78
2015-06-15,325,333,324,328.8,76700,323.94
2015-06-16,329.8,348.9,329.8,346.95,201400,341.83
2015-06-17,351.6,377.75,347.65,369.1,268600,363.65
2015-06-18,372,397.9,372,390.5,785800,384.73
2015-06-19,390,391.9,373.85,378,350100,372.42
2015-06-22,381.15,386.3,377.4,379.35,130500,373.75
2015-06-23,380.05,381.9,365.1,367.85,96400,362.42
2015-06-24,369.8,376.7,368.05,370.9,56300,365.42
2015-06-25,372,386.35,371.2,379.1,162900,373.5
2015-06-26,381.8,401.7,381.7,391,510300,385.22
2015-06-29,381,384.9,373,379,142500,373.4
2015-06-30,381.8,394,381.8,384.2,104300,378.53
2015-07-01,384,389.95,380.25,382.45,107700,376.8
2015-07-02,394.8,419,387.2,412.75,653500,406.65
2015-07-03,418.2,424.8,410.15,415.65,424800,409.51
2015-07-06,409,419,395.15,414.8,155400,408.67
2015-07-07,417.2,424.85,411.2,418.75,415200,412.57
2015-07-08,403.05,415.95,402.4,407.45,155200,401.43
2015-07-09,410,416.85,400.5,405.2,101300,399.22
2015-07-10,413.95,422,410.05,419.15,152200,412.96
2015-07-13,420.1,424.3,412.55,420.6,82700,414.39
2015-07-14,422.9,433.4,419.1,427.9,147300,421.58
2015-07-15,429,434,421.5,424.75,73300,418.48
2015-07-16,428.6,434,422.9,427.45,91800,421.14
2015-07-17,427,437.5,426,430.1,127800,423.75
2015-07-20,431,449.4,429.05,443.6,341700,437.05
2015-07-21,446.7,454,426.15,429.25,291400,422.91
2015-07-22,430,442.85,425.05,439.4,94000,432.91
2015-07-23,443.6,452,442.05,448,324900,441.38
2015-07-24,447,450,438.6,443.75,550300,437.2
2015-07-27,442.9,444.9,433,435.2,88000,428.77
2015-07-28,436.25,438.95,411,427.3,94800,420.99
2015-07-29,429.85,433.9,427.6,430.95,111000,424.58
2015-07-30,434.9,450,430.95,439.9,95100,433.4
2015-07-31,442,466.95,433.05,460.1,284100,453.3
2015-08-03,452.1,493.4,441,468.55,386000,461.63
2015-08-04,470.45,480,451,454.95,106900,448.23
2015-08-05,457.95,462.5,438,438.7,334200,432.22
2015-08-06,440,448.1,436,439.25,107500,432.76
2015-08-07,440,448.7,430,433.3,407300,426.9
2015-08-10,438,447.95,434,437.25,100700,430.79
2015-08-11,441,443,433,435.2,53400,428.77
2015-08-12,433.7,441.8,428.05,433.4,94000,427
2015-08-13,445,445,383,397.85,1001500,391.97
2015-08-14,410,419,347,354.45,1402200,349.21
2015-08-17,360,407.8,360,403.05,1197100,397.1
2015-08-18,403.1,417.7,393.5,409,690200,402.96
2015-08-19,404.1,415.45,401,406.15,176300,400.15
2015-08-20,403.7,405.55,389.4,397.25,313200,391.38
2015-08-21,395,399,330.5,381.45,260800,375.82
2015-08-24,356.1,398.4,330,342.95,494700,337.88
2015-08-25,360.9,366.8,303,311.85,706800,307.24
2015-08-26,318,339,312.1,326.65,702100,321.83
2015-08-27,339,359,334.4,353.15,369600,347.93
2015-08-28,364.75,389.85,364,384.15,640200,378.48
2015-08-31,381.2,404.9,375.05,399.15,435700,393.25
2015-09-01,396.7,409.4,385,404.3,317000,398.33
2015-09-02,410.9,414,387.65,391.3,245800,385.52
2015-09-03,394,403,392,398.65,99000,392.76
2015-09-04,397,401.8,383.65,388.2,109600,382.47
2015-09-07,388,399.2,388,391.2,128900,385.42
2015-09-08,393.5,397.65,386,390.65,140600,384.88
2015-09-09,399,408,393,400.05,354400,394.14
2015-09-10,393.85,403,391.75,399.65,132200,396.92
2015-09-11,399.95,403,384.15,387.85,90800,385.2
2015-09-14,393.9,395.6,385,389.05,102900,386.39
2015-09-15,390.8,392.75,378.4,387.9,95000,385.25
2015-09-16,393,396.8,387,390.1,118700,387.44
2015-09-17,390.1,390.1,390.1,390.1,0,387.44
2015-09-18,392.5,393.05,347.6,355.55,392800,353.12
2015-09-21,350.6,359.45,321.1,329.75,523900,327.5
2015-09-22,334.9,342.45,331.25,334.85,406900,332.56
2015-09-23,333.7,343.4,331.5,340.2,170100,337.88
2015-09-24,342,351.6,338,345.85,203000,343.49
2015-09-25,345.85,345.85,345.85,345.85,0,343.49
2015-09-28,348,356,345,348.6,162100,346.22
2015-09-29,343.1,348.4,334.05,343,326900,340.66
2015-09-30,347,355.4,344,352.35,123100,349.95
2015-10-01,357,358.4,350.95,353.95,67100,351.53
2015-10-02,353.95,353.95,353.95,353.95,0,351.53
2015-10-05,354,359.25,350.65,352.75,115300,350.34
2015-10-06,357.6,386.2,354.6,384.55,710400,381.93
2015-10-07,389.65,397.8,387.2,393.95,255900,391.26
2015-10-08,396,424.75,371,414.45,768500,411.62
2015-10-09,418.4,426.5,400,415.5,328000,412.66
2015-10-12,415,420.7,405,413.3,99400,410.48
2015-10-13,416,416,400,402.5,129200,399.75
2015-10-14,402.5,424.2,390,421.95,429700,419.07
2015-10-15,425,433,420,424.25,382100,421.35
2015-10-16,426.7,429.85,420,424.85,125400,421.95
2015-10-19,427,430,420,425.95,129100,423.04
2015-10-20,426,436,425,427.95,149600,425.03
2015-10-21,428.55,432,420.3,427.75,77200,424.83
2015-10-22,427.75,427.75,427.75,427.75,0,424.83
2015-10-23,433.6,436,424,425.65,68100,422.74
2015-10-26,428,429,392.65,397.2,257700,394.49
