"Date","PCJEWELLER.NS.Open","PCJEWELLER.NS.High","PCJEWELLER.NS.Low","PCJEWELLER.NS.Close","PCJEWELLER.NS.Volume","PCJEWELLER.NS.Adjusted"
2016-11-04,483,489.1,463.2,474.6,213800,474.6
2016-11-07,476.8,486.8,475.8,481.95,143600,481.95
2016-11-08,484,493.9,478.15,480.25,214300,480.25
2016-11-09,435,447.9,398.75,436.65,531200,436.65
2016-11-10,445,472.95,440,445.05,425100,445.05
2016-11-11,431,432.8,408.15,411.35,400600,411.35
2016-11-14,411.35,411.35,411.35,411.35,0,411.35
2016-11-15,426,426,287.95,354.95,2110600,354.95
2016-11-16,362.3,369.75,316.05,326.75,1728700,326.75
2016-11-17,326,373.7,316.65,357.55,1891200,357.55
2016-11-18,357,360,330.2,349.15,1758600,349.15
2016-11-21,349,353.8,339.95,349.8,768000,349.8
2016-11-22,349.6,375,344,361.8,1423300,361.8
2016-11-23,362,371.7,359.3,366.5,872300,366.5
2016-11-24,360,380.65,351.7,373.9,1844000,373.9
2016-11-25,370,370.55,351.65,356.3,625600,356.3
2016-11-28,353.5,366.25,349.95,361.25,333400,361.25
2016-11-29,360.95,365.9,357,363.55,710800,363.55
2016-11-30,363.8,370.5,359.25,368.5,363800,368.5
2016-12-01,367.9,378.45,343.2,368.85,1947500,368.85
2016-12-02,367.9,372,362.45,369.85,629200,369.85
2016-12-05,366.75,369.9,361,363.55,355100,363.55
2016-12-06,362,366.8,359.25,360.5,482400,360.5
2016-12-07,359.75,363.7,353.5,355.35,242600,355.35
2016-12-08,355.8,368,355.8,360.1,237800,360.1
2016-12-09,360.6,363.45,352.3,354.5,263100,354.5
2016-12-12,353,364.6,350.5,361.05,184800,361.05
2016-12-13,361.05,362.9,354.05,361.25,154900,361.25
2016-12-14,360.8,360.8,356.25,358.15,221100,358.15
2016-12-15,355.8,371.85,352.25,368.9,447500,368.9
2016-12-16,365.8,388.75,359.8,378.2,525700,378.2
2016-12-19,375.4,375.4,363.95,366.3,1266400,366.3
2016-12-20,366.8,367.3,352.65,356,202000,356
2016-12-21,356.75,391.6,353.2,381.6,811100,381.6
2016-12-22,378,397,372.1,387.15,781900,387.15
2016-12-23,382.45,398,375,391.1,580200,391.1
2016-12-26,385,400,378,390.55,654200,390.55
2016-12-27,389.5,399.95,385.4,396.1,1308100,396.1
2016-12-28,393.1,401.45,386.1,390.55,523400,390.55
2016-12-29,388.95,399.9,386.5,396,429400,396
2016-12-30,395,407,390.2,396,439300,396
2017-01-02,395.05,399,388.3,390.5,235800,390.5
2017-01-03,392.95,400,388.7,391.9,518300,391.9
2017-01-04,392.9,396.45,389.05,393.45,310300,393.45
2017-01-05,394.9,414.95,394.9,411.8,975100,411.8
2017-01-06,416,424.2,409.8,411.55,649700,411.55
2017-01-09,409.1,414.75,405.2,408.65,219800,408.65
2017-01-10,409.2,414.8,405.25,407.15,1667400,407.15
2017-01-11,408.2,411,403.5,405.6,296000,405.6
2017-01-12,405,408.4,398,399.5,283300,399.5
2017-01-13,400.95,402.4,391.65,394.1,196000,394.1
2017-01-16,394.2,403.6,391.8,398.4,265200,398.4
2017-01-17,400,404.4,387.4,391.75,251800,391.75
2017-01-18,393.4,394.1,378.65,381.15,342300,381.15
2017-01-19,379.5,383,376.55,380.25,214600,380.25
2017-01-20,378.8,390.9,371.1,373.8,512400,373.8
2017-01-23,374.7,388.3,367.25,386.3,796500,386.3
2017-01-24,395,405,394.5,396.6,1603300,396.6
2017-01-25,396.5,398,385.15,388.9,348800,388.9
2017-01-26,388.9,388.9,388.9,388.9,0,388.9
2017-01-27,387,393.6,385.85,388.55,220800,388.55
2017-01-30,387.8,392.95,387,388.35,139300,388.35
2017-01-31,387.5,388,378.7,380.25,217600,380.25
2017-02-01,380,387.8,368,373.25,390300,373.25
2017-02-02,375,381,372.15,375,322700,375
2017-02-03,376.8,378.9,373.55,374.4,158100,374.4
2017-02-06,375.8,388.25,375,383.55,495500,383.55
2017-02-07,386,386.9,376.5,377.25,165000,377.25
2017-02-08,379.55,394.7,379.55,387.05,664300,387.05
2017-02-09,390.9,399.9,390.5,398,606000,398
2017-02-10,402.1,406,395.35,398.8,479100,398.8
2017-02-13,400.15,403.5,385.1,388.05,289700,388.05
2017-02-14,388.9,391.8,381.5,384.7,347100,384.7
2017-02-15,378,378,353.9,370.65,1123000,370.65
2017-02-16,372,377,369.05,374.3,404700,374.3
2017-02-17,376,385,371.65,380.05,1523700,380.05
2017-02-20,379.9,386.1,377,382.35,445500,382.35
2017-02-21,383.8,395,379.1,388.55,804300,388.55
2017-02-22,388.9,390.95,374.2,376.25,542300,376.25
2017-02-23,376,384,374.6,377,1224600,377
2017-02-24,377,377,377,377,0,377
2017-02-27,375,384,374.5,380.3,294100,380.3
2017-02-28,379,385.75,373.9,374.9,554000,374.9
2017-03-01,376,377.45,371.15,373.65,420200,373.65
2017-03-02,373.8,379.8,373.3,374.8,419900,374.8
2017-03-03,372.8,378.4,370.1,375.75,244600,375.75
2017-03-06,376.9,382,374.5,376.15,270600,376.15
2017-03-07,376.95,380.8,374.35,378.3,173500,378.3
2017-03-08,378,382.5,374.5,376.65,251800,376.65
2017-03-09,374.65,380.5,374.65,377.05,154000,377.05
2017-03-10,378.45,379.95,376.55,377.65,129000,377.65
2017-03-13,377.65,377.65,377.65,377.65,0,377.65
2017-03-14,382.6,388.95,378.75,385,261500,385
2017-03-15,386.25,390.45,385,386.85,214100,386.85
2017-03-16,388.1,420.7,387.25,417.75,1915200,417.75
2017-03-17,419,419.75,409,416.45,511100,416.45
2017-03-20,412.85,442.9,412.85,439.5,1536600,439.5
2017-03-21,434,439.95,427.4,431.3,420500,431.3
2017-03-22,425.1,444.85,413.35,416.9,899900,416.9
2017-03-23,417.4,423.85,402.2,404.8,851500,404.8
2017-03-24,409.8,417.25,403,409.8,604300,409.8
2017-03-27,413.85,416,406.5,411.75,383600,411.75
2017-03-28,414.45,423.9,412.8,418.95,582800,418.95
2017-03-29,421,426.35,413.5,421.8,810200,421.8
2017-03-30,422.9,423.5,414.3,416.3,632600,416.3
2017-03-31,419.8,423,416.4,418,226700,418
2017-04-03,419.65,421.9,416.3,420.9,180100,420.9
2017-04-04,420.9,420.9,420.9,420.9,0,420.9
2017-04-05,419.95,442.75,419.95,438.05,878400,438.05
2017-04-06,437.1,445,432.25,434.2,387700,434.2
2017-04-07,433.5,441.15,424.7,426.85,332700,426.85
2017-04-10,429,432.85,421.05,429.25,232300,429.25
2017-04-11,428.95,431.3,422.3,425.35,313600,425.35
2017-04-12,425.75,431,418.45,422.1,483100,422.1
2017-04-13,423.9,423.9,413.25,416.05,280400,416.05
2017-04-14,416.05,416.05,416.05,416.05,0,416.05
2017-04-17,416,436,412,419.9,620500,419.9
2017-04-18,415.1,421.55,411.85,414.25,320700,414.25
2017-04-19,414.3,424.4,413.2,419.75,449600,419.75
2017-04-20,420.9,423.75,417,419.7,584900,419.7
2017-04-21,425.95,425.95,417.25,421.45,338000,421.45
