"Date","NCC.NS.Open","NCC.NS.High","NCC.NS.Low","NCC.NS.Close","NCC.NS.Volume","NCC.NS.Adjusted"
2015-06-26,81.45,82.8,79.6,81.55,5202200,80.53407
2015-06-29,76.6,78.75,76.15,77,3324200,76.04075
2015-06-30,77.45,79.25,77.4,78.65,3165900,77.6702
2015-07-01,78.65,81.5,78.65,80.4,3209800,79.3984
2015-07-02,80.8,82.25,79.1,79.95,3258900,78.954
2015-07-03,79.9,81.5,78.55,79.45,2258400,78.46023
2015-07-06,77.2,80.3,76.7,79.55,2470700,78.55899
2015-07-07,80.3,82.9,79.8,80.05,4168100,79.05276
2015-07-08,78,81.45,78,78.5,2879600,77.52206
2015-07-09,79.25,80.85,78.2,78.5,2980000,77.52206
2015-07-10,79.25,80.7,78.55,80.05,2697200,79.05276
2015-07-13,81.35,81.35,79.5,80.55,1668800,79.54653
2015-07-14,80.95,85.7,79.75,83.45,8595800,82.41039
2015-07-15,84.5,86.35,82.75,83.85,4410000,82.80541
2015-07-16,84.15,84.65,83.1,83.35,1797600,82.31164
2015-07-17,83.55,84.1,81.7,82.15,1919300,81.12659
2015-07-20,83.25,86.25,83.2,85.15,4182200,84.08922
2015-07-21,85.45,85.6,81.4,82.55,2414600,81.52161
2015-07-22,82.35,84,81.6,83.7,1731900,82.65728
2015-07-23,84.5,86.95,83.7,86.55,4803900,85.47178
2015-07-24,86.4,89.2,86.3,87.3,5728100,86.21244
2015-07-27,86.95,86.95,82.1,82.35,2889400,81.3241
2015-07-28,82.95,83.9,80.95,82.3,2518700,81.27473
2015-07-29,82.95,83.9,81.1,82.25,2438500,81.22535
2015-07-30,83.85,87.4,82.05,83.35,12892300,82.31164
2015-07-31,83.9,83.9,82.1,82.5,4831500,81.47223
2015-08-03,82.75,82.75,80.55,81.3,2261100,80.28718
2015-08-04,81.5,82.8,80.5,82.2,3055500,81.17597
2015-08-05,82.4,84.7,82.05,83.15,5158200,82.11414
