"Date","DRREDDY.NS.Open","DRREDDY.NS.High","DRREDDY.NS.Low","DRREDDY.NS.Close","DRREDDY.NS.Volume","DRREDDY.NS.Adjusted"
2015-09-16,4024.95,4024.95,3988.05,4010.3999,345900,3965.7858
2015-09-17,4010.3999,4010.3999,4010.3999,4010.3999,0,3965.7858
2015-09-18,4038,4045,3997,4005.8501,549300,3961.2866
2015-09-21,3999.3,3999.3,3941,3957.3,211800,3913.2766
2015-09-22,3999.95,3999.95,3904,3929.7,266400,3885.9836
2015-09-23,3909.7,3957.1499,3857,3934.5,175600,3890.7302
2015-09-24,3950,3999,3936.6499,3970.25,519000,3926.0825
2015-09-25,3970.25,3970.25,3970.25,3970.25,0,3926.0825
2015-09-28,3992,4226.8999,3970,4191.25,914200,4144.624
2015-09-29,4138.3999,4147.0498,4020,4081.45,515700,4036.0454
2015-09-30,4088,4195,4080,4162.3501,549300,4116.0456
2015-10-01,4213.75,4250,4190,4232.9502,397200,4185.8603
2015-10-02,4232.9502,4232.9502,4232.9502,4232.9502,0,4185.8603
2015-10-05,4230,4230,4164.25,4180.25,314500,4133.7463
2015-10-06,4232,4304.5,4220,4246.5,335000,4199.2593
2015-10-07,4246,4246,4186.6499,4195.5498,266000,4148.8759
2015-10-08,4224,4243.9502,4201,4225.2002,328400,4178.1965
2015-10-09,4261,4294.8999,4235.8999,4257.8501,265700,4210.4832
2015-10-12,4221,4283.6001,4155.9502,4187.5,242100,4140.9157
2015-10-13,4200,4252.7998,4172.7002,4228.0498,265900,4181.0144
2015-10-14,4230,4260,4180.0498,4196.8501,220200,4150.1618
2015-10-15,4200,4239.6001,4186.25,4207.4502,253600,4160.6439
2015-10-16,4206.3999,4279.5498,4160.25,4270,203900,4222.4979
2015-10-19,4230.1001,4360,4210.3501,4347.6001,336700,4299.2347
2015-10-20,4370,4386.6001,4270.6499,4319.7002,363200,4271.6452
2015-10-21,4265,4265,4163,4173.6001,909200,4127.1704
2015-10-22,4173.6001,4173.6001,4173.6001,4173.6001,0,4127.1704
2015-10-23,4190,4197.3999,4141.3501,4188.3999,1460500,4141.8056
2015-10-26,4251,4261,4155.5498,4200.75,870900,4154.0183
2015-10-27,4224.9502,4225,4162.5,4179.1001,814200,4132.6092
2015-10-28,4200,4200,4080.1001,4113.6499,645400,4067.8871
2015-10-29,4114.9502,4240,4083.2,4221.3501,1215100,4174.3892
2015-10-30,4261,4365.3501,4230,4279.8999,1045300,4232.2877
2015-11-02,4253,4315.1499,4233.2002,4296.2998,447500,4248.5051
2015-11-03,4310,4345,4299.25,4335.1499,506700,4286.923
2015-11-04,4340.1001,4379.2002,4310,4322.8999,286400,4274.8093
2015-11-05,4305.1001,4328.2002,4237.1001,4249.3999,302200,4202.127
2015-11-06,4258,4292,3615,3630.6499,4015400,3590.2603
2015-11-09,3570,3575,3445.95,3501.1499,1714300,3462.201
2015-11-10,3498,3498,3300,3330.7,1893600,3293.6472
2015-11-11,3283.1001,3373,3253.2,3360.05,573200,3322.6708
2015-11-12,3360.05,3360.05,3360.05,3360.05,0,3322.6708
2015-11-13,3316,3408.7,3298,3389.6001,1706600,3351.8921
2015-11-16,3440,3525,3410,3509.2,1305000,3470.1615
2015-11-17,3460,3471.05,3410.1001,3441.3,788400,3403.0169
2015-11-18,3423,3434,3360,3366.95,743500,3329.4939
2015-11-19,3400,3405,3137.8501,3281.1001,3806300,3244.5991
2015-11-20,3317,3377.1499,3309.75,3353.1001,784200,3315.7982
2015-11-23,3360,3423.8,3360,3409.25,567700,3371.3234
2015-11-24,3399,3409,3350,3387.7,321500,3350.0131
2015-11-25,3387.7,3387.7,3387.7,3387.7,0,3350.0131
2015-11-26,3150,3199.8999,3081,3100.75,2741500,3066.2554
2015-11-27,3130,3139.95,3047.05,3099.3,1388200,3064.8215
2015-11-30,3115,3138,3102.05,3110,771100,3075.4025
2015-12-01,3132,3224.45,3129.5,3210.8999,1184900,3175.1799
2015-12-02,3225,3265,3220,3251.6499,835900,3215.4766
2015-12-03,3247,3247,3201.1499,3223.6499,392100,3187.7881
2015-12-04,3194.2,3216.3,3180,3195.5,325800,3159.9513
2015-12-07,3202.95,3205.3,3152.3501,3179.8999,346600,3144.5248
2015-12-08,3148.8,3152.8999,3043,3063.2,878600,3029.123
