"Date","APOLLOTYRE.NS.Open","APOLLOTYRE.NS.High","APOLLOTYRE.NS.Low","APOLLOTYRE.NS.Close","APOLLOTYRE.NS.Volume","APOLLOTYRE.NS.Adjusted"
2015-04-21,182.3,185.2,172,173.05,2724500,169.28
2015-04-22,172.6,175.6,170.2,174.75,2737100,170.94
2015-04-23,175.8,177.45,173.55,174.75,1349200,170.94
2015-04-24,175.05,175.35,166.25,168.3,1521700,164.64
2015-04-27,168.65,173.8,165.7,170.15,2951400,166.45
2015-04-28,169.9,173.5,167.9,172.95,2119500,169.18
2015-04-29,173,175.2,172,173.4,1433100,169.62
2015-04-30,173.2,175,171.7,173.3,3318100,169.53
2015-05-01,173.3,173.3,173.3,173.3,0,169.53
2015-05-04,172,178.65,170.55,177.95,1936700,174.08
2015-05-05,177.95,178.6,174.55,175.65,1210300,171.83
2015-05-06,175,175,162,165.25,3981200,161.65
2015-05-07,165.25,168.7,162.05,163.35,2670200,159.79
2015-05-08,166.9,167.7,163.4,163.9,1378900,160.33
2015-05-11,165.6,172.25,164.85,170.95,1508300,167.23
2015-05-12,173.95,174.25,165.4,169.6,6126800,165.91
2015-05-13,169.15,173.7,167.05,171.8,3702300,168.06
2015-05-14,171,175.3,170,173.75,2300300,169.97
2015-05-15,174.55,176.25,170,171.45,1729700,167.72
2015-05-18,173.3,187,172.5,186.15,6694700,182.1
2015-05-19,182.15,188.15,182.15,183.45,3387500,179.46
2015-05-20,184,188.35,183.95,187.65,2651800,183.56
2015-05-21,188.1,189,182.55,183.25,2866800,179.26
2015-05-22,183.3,185.85,181.05,183.7,2363800,179.7
2015-05-25,183.8,186,183.15,184,1065000,179.99
2015-05-26,184,185.75,182.25,183.4,1038400,179.41
2015-05-27,181.45,184.4,181.3,183.5,1019600,179.5
2015-05-28,183,185,179.85,182.1,1227200,178.13
2015-05-29,182,191.4,180.3,189.85,3101700,185.72
2015-06-01,189.4,192.55,183.75,184.8,2192800,180.78
2015-06-02,185,185.6,175.05,176,2352600,172.17
2015-06-03,175.5,177.9,170.6,175.65,2794800,171.83
2015-06-04,175.7,176.15,170.3,172.35,1898000,168.6
2015-06-05,170,173.6,167.7,171.45,2993900,167.72
2015-06-08,173,175.75,170.75,174.8,3186000,170.99
2015-06-09,174.05,174.5,155.9,161.05,6226000,157.54
2015-06-10,163,166.3,158.65,165.4,4733900,161.8
2015-06-11,166,166.85,160.1,162.5,2986900,158.96
2015-06-12,160.45,165.5,160.45,164.2,1740600,160.62
2015-06-15,163.9,169,162.8,165,1738600,161.41
2015-06-16,164.45,167,163,165.2,2143000,161.6
2015-06-17,165.75,168.65,164.7,167.15,2066700,163.51
2015-06-18,167,169.65,165.6,166.7,1236100,163.07
2015-06-19,167,168.7,162.25,166.1,1427400,162.48
2015-06-22,166.9,171.5,165.9,168.85,1542800,165.17
2015-06-23,168.8,172.5,167.7,169.8,2693800,166.1
2015-06-24,169.75,171.5,167.45,168.35,2086500,164.68
2015-06-25,167.2,172.3,167,171.65,2252100,167.91
2015-06-26,170.3,173.1,168.25,171.9,1671400,168.16
2015-06-29,167.9,168.75,163.15,165.6,2536300,161.99
2015-06-30,164.55,171,163.5,170.25,2161800,166.54
2015-07-01,169.35,175.45,168.25,172.9,2445000,169.14
2015-07-02,173.85,176.5,172.25,173.25,1492800,169.48
2015-07-03,172.35,174.45,169.3,170.65,805900,166.93
2015-07-06,167,173.1,166.4,172.1,1504200,168.35
2015-07-07,174.35,180.75,173.6,177.8,4744800,173.93
2015-07-08,175.5,179.25,170,171.9,2780800,168.16
2015-07-09,172.55,176,170.6,175.15,1808300,171.34
2015-07-10,176.05,177.15,172.75,175.9,1933500,172.07
2015-07-13,177.05,183.5,175.05,183.05,2190200,179.06
2015-07-14,183.95,185.45,182,183.3,1952100,179.31
2015-07-15,184,186.35,183.5,185.65,1626100,181.61
2015-07-16,187,190.2,186.3,189.2,2794900,185.08
2015-07-17,190,190.9,188.25,189.1,2245700,184.98
2015-07-20,189.7,196,188.1,194.7,2243400,190.46
2015-07-21,195.3,196.4,190.7,192.05,3092900,187.87
2015-07-22,191.1,194.7,188,193.2,2359300,188.99
2015-07-23,196,202.9,194.75,197.15,4383800,192.86
2015-07-24,197.8,198.5,192.5,193.95,1674100,189.73
2015-07-27,192.7,195.75,190.2,191.45,2417600,187.28
2015-07-28,192.8,199.5,190.75,196.8,2879100,192.51
2015-07-29,198.4,204.9,198.35,203.8,3514900,199.36
2015-07-30,204.85,208.5,204,207.35,3591300,202.84
2015-07-31,208.3,209.95,200.1,202.55,3800200,198.14
2015-08-03,202.5,208.8,202.35,207.35,2953700,202.84
2015-08-04,207.25,218.5,203.5,217.25,4863200,214.59
2015-08-05,218.5,223.4,208.6,209.7,4259100,207.13
2015-08-06,210.45,213.75,207.15,212.05,2815100,209.45
2015-08-07,212.05,216.7,210.8,212,2628800,209.4
2015-08-10,212.1,214.8,207.5,209.15,2106900,206.59
2015-08-11,208.55,209,180.75,183.1,13375600,180.86
2015-08-12,183.1,190.25,180,188.35,8419200,186.04
2015-08-13,188.95,191.6,185.65,187.95,3575500,185.65
2015-08-14,189.5,192.9,186.4,191.95,2049500,189.6
2015-08-17,192.1,194.5,188.25,192.2,1723800,189.85
2015-08-18,194,204,193.55,202,2956500,199.53
2015-08-19,202.5,206,191.95,195.25,4588600,192.86
2015-08-20,195.9,197.9,191.65,194.45,2802900,192.07
2015-08-21,190.9,196.75,186.2,195.65,2469100,193.25
2015-08-24,187.8,188.5,166.35,169.9,5539800,167.82
2015-08-25,174.6,175.95,165.6,173.1,4959900,170.98
2015-08-26,173,182.7,169,179.15,3250400,176.96
2015-08-27,184.6,186,180.3,181.25,4072600,179.03
2015-08-28,182.2,186.95,178.3,181.25,1879700,179.03
2015-08-31,182,184.9,178.95,180,2207000,177.8
2015-09-01,178.6,180.75,167.5,169.65,3221700,167.57
2015-09-02,170.1,176.25,169.15,173.8,2117800,171.67
2015-09-03,174.9,176.6,170.8,172,2011800,169.89
2015-09-04,170.6,173.3,162.9,170.2,3009800,168.12
2015-09-07,170.7,172.7,167.85,168.7,1393500,166.63
2015-09-08,169.1,179.2,166.65,177.15,2188400,174.98
2015-09-09,179.25,181.6,177.3,178.25,2e+06,176.07
