"Date","DISHTV.NS.Open","DISHTV.NS.High","DISHTV.NS.Low","DISHTV.NS.Close","DISHTV.NS.Volume","DISHTV.NS.Adjusted"
2015-05-29,97.05,102.6,96.1,101.25,13124700,101.25
2015-06-01,100.9,104.25,100,101.55,9305700,101.55
2015-06-02,102,102.4,97,97.75,9537000,97.75
2015-06-03,97.3,99.4,94.85,97.05,10900800,97.05
2015-06-04,97.25,99.5,96,98.7,7297300,98.7
2015-06-05,97.75,101.2,95.8,96.4,13451000,96.4
2015-06-08,95.9,100.1,95.5,96.95,18836900,96.95
2015-06-09,96.25,98.35,94.6,96.35,10486300,96.35
2015-06-10,96.35,100.45,95.55,99.95,13397900,99.95
2015-06-11,100.65,105.7,99.7,102.25,31911700,102.25
2015-06-12,103,107.2,103,105.8,14761900,105.8
2015-06-15,107.4,108.85,106.25,107.55,9810200,107.55
2015-06-16,106.3,108.3,106.05,107.75,7505700,107.75
2015-06-17,108,117.4,107.25,114.15,32399300,114.15
2015-06-18,114.85,114.95,108.75,109.7,11216800,109.7
2015-06-19,105.7,111.2,104.4,105.8,21567200,105.8
2015-06-22,106,107.3,104.7,105.9,5864200,105.9
2015-06-23,106.3,107.75,104.8,105.6,8349500,105.6
2015-06-24,106,106,101.45,102.1,7795800,102.1
2015-06-25,102.1,106.25,99.8,104.55,26429000,104.55
2015-06-26,104.8,106.2,101.6,103.3,9077000,103.3
2015-06-29,99.7,102.75,99.2,101.8,5516400,101.8
2015-06-30,101.85,106.9,100.8,106.35,11756300,106.35
2015-07-01,106.35,107.5,105.05,106,5827100,106
2015-07-02,106.55,108.5,105.3,107.05,6572100,107.05
2015-07-03,107.1,108.2,105.5,106.2,5142400,106.2
2015-07-06,105,107.2,103.9,106.75,3193900,106.75
2015-07-07,107.35,108,104.15,105.6,5612400,105.6
2015-07-08,104.1,106.7,103.3,105.1,4413400,105.1
2015-07-09,105.75,106.1,103.45,103.75,3665200,103.75
2015-07-10,104.75,105.1,103.25,103.75,3097100,103.75
2015-07-13,104.8,109.8,104.25,109.4,7720000,109.4
2015-07-14,110.8,112.3,109.75,110.9,12345600,110.9
2015-07-15,111.35,112.5,110.3,111.65,6318600,111.65
2015-07-16,112.35,112.35,110.05,110.75,4149000,110.75
2015-07-17,111,113.5,110.8,112.65,7881700,112.65
2015-07-20,113.95,117.8,112.9,117.2,8075400,117.2
2015-07-21,117.75,119,113.35,114.95,7645900,114.95
2015-07-22,114.9,119.5,114.5,118.85,5632100,118.85
2015-07-23,119.35,120.6,117.5,119.1,5366900,119.1
2015-07-24,119.25,120.2,115.9,117.15,5126400,117.15
2015-07-27,116.8,118.95,115.85,117.75,7004200,117.75
2015-07-28,119.2,119.8,112.05,113.15,24974000,113.15
2015-07-29,113.8,114.45,108,108.55,10889600,108.55
