"Date","DISHTV.NS.Open","DISHTV.NS.High","DISHTV.NS.Low","DISHTV.NS.Close","DISHTV.NS.Volume","DISHTV.NS.Adjusted"
2016-09-16,101.9,102.45,98.25,100.05,9874300,100.05
2016-09-19,100.1,102.4,99.2,101.45,5289900,101.45
2016-09-20,101.3,101.3,97.65,98.6,4740900,98.6
2016-09-21,98.7,99.9,96.85,97.85,4173500,97.85
2016-09-22,98.35,99.5,97.65,98.55,3241000,98.55
2016-09-23,99.3,100.85,98.05,99.1,3402500,99.1
2016-09-26,98.75,99.25,97.25,97.85,3604600,97.85
2016-09-27,97.85,98.9,96.1,96.6,5711600,96.6
2016-09-28,97.4,97.9,96.05,96.65,6766200,96.65
2016-09-29,97.3,97.85,88.7,89.85,8830600,89.85
2016-09-30,90.9,93.6,90,93.1,4023500,93.1
2016-10-03,93.8,97.95,93.5,97.2,3679200,97.2
2016-10-04,97.1,98.8,95.15,96.6,5738600,96.6
2016-10-05,96.95,98.35,95.95,97.75,2882600,97.75
2016-10-06,97.6,99.25,95.4,96.4,3565800,96.4
2016-10-07,96.95,97,94.8,96,2553500,96
2016-10-10,96.7,100.8,96.3,98.45,6527800,98.45
2016-10-11,98.45,98.45,98.45,98.45,0,98.45
2016-10-12,98.45,98.45,98.45,98.45,0,98.45
2016-10-13,98.3,98.3,92.1,93.45,10962100,93.45
2016-10-14,94.45,95.2,92.8,93.25,3179800,93.25
2016-10-17,93.45,94.4,91.05,91.7,2795500,91.7
2016-10-18,92.9,94.15,92.55,93.65,2215200,93.65
2016-10-19,94.25,95.8,94.25,94.85,3157600,94.85
2016-10-20,95.6,95.85,94.65,94.9,1967600,94.9
2016-10-21,94.95,96.65,94.55,95.85,2719700,95.85
2016-10-24,95.9,97.9,94.4,97.05,3712600,97.05
2016-10-25,97.45,100,95.65,99.5,6228200,99.5
2016-10-26,99.95,101.15,95.8,96.4,7236400,96.4
2016-10-27,96.45,98.3,95.15,95.45,6496900,95.45
2016-10-28,95.5,96.95,95.05,95.95,9567700,95.95
2016-10-31,95.95,95.95,95.95,95.95,0,95.95
2016-11-01,100.8,100.8,96.85,97.1,13033600,97.1
2016-11-02,94.85,95.15,92.7,93,7594500,93
2016-11-03,93.4,94.05,88.65,89,17427500,89
2016-11-04,89.05,90.9,85,87.35,17250300,87.35
2016-11-07,89.3,91.2,87.5,87.8,4401500,87.8
2016-11-08,88.2,90.5,87.3,89.45,7137100,89.45
2016-11-09,80.6,89,76.05,87.45,15435000,87.45
2016-11-10,89,93.5,89,92.4,9324900,92.4
2016-11-11,91,91.2,86.8,87.35,8641400,87.35
2016-11-14,87.35,87.35,87.35,87.35,0,87.35
2016-11-15,86.5,92,84.05,90.55,15942300,90.55
2016-11-16,92.4,93.35,87.35,92.55,9428500,92.55
2016-11-17,92.1,92.8,90.1,91.25,4633300,91.25
2016-11-18,91.9,91.9,88.35,89.3,5215800,89.3
2016-11-21,89.8,89.8,84.2,84.75,5101200,84.75
2016-11-22,85.1,86.25,84.2,85.95,3870100,85.95
2016-11-23,86.5,86.9,83.5,84.45,7606600,84.45
2016-11-24,83.8,84,81.05,81.7,9729900,81.7
2016-11-25,82.85,89,82.3,87.8,13577600,87.8
2016-11-28,87.9,90.25,86.7,89.1,6107100,89.1
2016-11-29,88.85,89.8,87.9,88.8,2516100,88.8
2016-11-30,89.35,91.6,88.3,91.15,6011800,91.15
2016-12-01,91,91.5,88.05,89.65,4968500,89.65
2016-12-02,89,89,85.45,86.25,4376300,86.25
2016-12-05,86.25,86.95,84.1,85.85,3766600,85.85
2016-12-06,86.5,88.3,86,86.95,3498600,86.95
2016-12-07,88,88.25,85.5,86.15,3447200,86.15
2016-12-08,86.55,89.7,86.55,88.75,4052700,88.75
2016-12-09,89.05,90.2,88.3,89.45,3919900,89.45
2016-12-12,89,89.6,87.2,88.35,2960600,88.35
2016-12-13,88,88.1,85.8,86.3,3384500,86.3
2016-12-14,86.4,86.4,84.5,85.05,4138000,85.05
2016-12-15,84.05,85,83.4,83.95,6611400,83.95
2016-12-16,84.2,85,82.55,83.45,3376200,83.45
2016-12-19,83.45,83.9,82.3,82.65,2570700,82.65
2016-12-20,82.5,84.7,81.95,82.6,4051600,82.6
2016-12-21,83.5,84.35,83,84,2180700,84
2016-12-22,83.8,84.4,83,83.85,1938000,83.85
2016-12-23,84.6,85.2,82.95,83.3,2362900,83.3
2016-12-26,83.6,83.65,80.75,81.3,2094800,81.3
2016-12-27,81.4,83.1,81,82.95,3517800,82.95
2016-12-28,83.1,84.35,82.15,82.9,2631800,82.9
2016-12-29,83.1,83.9,82.5,83.15,4237500,83.15
2016-12-30,83.5,85.25,83.5,84.65,2034500,84.65
2017-01-02,85.1,85.75,83.85,84.8,2555200,84.8
2017-01-03,85,85.95,84.5,85.4,2435800,85.4
2017-01-04,86.05,86.25,84.4,84.8,1887400,84.8
2017-01-05,85.8,86.8,83.7,86.3,3395000,86.3
2017-01-06,87,87.3,85.7,86,2044800,86
2017-01-09,85.85,86.85,85.7,86.45,2678900,86.45
2017-01-10,86.4,87.25,86.1,86.9,2040100,86.9
2017-01-11,87.6,88,86.85,87.25,2251800,87.25
2017-01-12,87.15,87.8,86.4,87.2,1796700,87.2
2017-01-13,87.25,88.45,86.4,87.8,3245900,87.8
2017-01-16,87.5,87.75,86.5,86.9,1816500,86.9
2017-01-17,87.45,87.7,86.1,86.9,1411100,86.9
2017-01-18,86.6,87.4,85.05,85.7,3095900,85.7
2017-01-19,85.5,86.8,85.5,86.6,2354600,86.6
2017-01-20,86.05,87.5,84.5,85.05,1983700,85.05
2017-01-23,84.95,85.9,84.35,85.15,3352400,85.15
2017-01-24,85.7,86.15,85.2,85.95,2377500,85.95
2017-01-25,86.4,87.15,85.7,86.8,4936600,86.8
2017-01-26,86.8,86.8,86.8,86.8,0,86.8
2017-01-27,87,89,86.85,88.4,3651100,88.4
2017-01-30,88.45,90.95,86.2,88.15,7025700,88.15
2017-01-31,85.95,87.45,83.55,83.95,7533200,83.95
2017-02-01,83.9,84.6,82,83.8,5333700,83.8
2017-02-02,83.8,86.5,83.55,85.1,3288000,85.1
2017-02-03,85.35,88.7,85.35,87.4,6121200,87.4
2017-02-06,87.65,89,87.35,87.85,2565100,87.85
2017-02-07,87.55,88,86.1,87.65,2207900,87.65
2017-02-08,88.35,89.5,87.2,88.5,2392200,88.5
2017-02-09,89,89.2,86.9,87.6,2967400,87.6
2017-02-10,87.8,88.5,87.15,87.75,1160700,87.75
2017-02-13,88,91.75,87.95,89.15,7055900,89.15
2017-02-14,89.45,89.45,86.6,87.6,2911900,87.6
2017-02-15,87.6,87.75,85.85,86.25,2206200,86.25
2017-02-16,86.35,88.4,85.3,88,2448200,88
2017-02-17,88,89.1,87.5,87.9,1528400,87.9
2017-02-20,87.8,91.2,87.65,90.7,4233000,90.7
2017-02-21,91,93.9,90.85,93.4,8273100,93.4
2017-02-22,94.25,95.4,93.5,94.2,7107500,94.2
2017-02-23,94.2,96.3,92.7,93.35,8090800,93.35
2017-02-24,93.35,93.35,93.35,93.35,0,93.35
2017-02-27,93.4,95.8,93.3,95.5,3323400,95.5
2017-02-28,96.05,98,95.65,96.5,5130400,96.5
2017-03-01,97.15,97.8,95.85,97.05,7629600,97.05
2017-03-02,97.15,98.5,92.7,94.35,5199100,94.35
2017-03-03,94.4,95.7,93,95.2,3211300,95.2
2017-03-06,95.9,97.6,95.2,97.05,7873400,97.05
2017-03-07,97.8,100,97.3,99.5,8074400,99.5
2017-03-08,99.7,100.5,98.45,99.6,3529000,99.6
2017-03-09,99.7,106.7,98.9,103.55,18917700,103.55
2017-03-10,104,104.95,102.85,103.75,5424100,103.75
2017-03-13,103.75,103.75,103.75,103.75,0,103.75
2017-03-14,106.7,107.35,104.75,106.65,3693900,106.65
2017-03-15,107.05,109.8,106.7,107.8,6946900,107.8
2017-03-16,108.65,109,106.1,107.6,4038500,107.6
2017-03-17,108,108.4,105.6,106.2,4880300,106.2
2017-03-20,106.15,107.15,104.8,105.45,4868500,105.45
2017-03-21,105.5,107.9,104.95,107.35,1989700,107.35
2017-03-22,107.25,108.45,105.5,106.25,12039600,106.25
2017-03-23,106.1,108.9,106.1,108.15,2858300,108.15
2017-03-24,109.1,109.35,106.2,107.05,5790500,107.05
2017-03-27,106.6,111,106.25,109.75,5946000,109.75
2017-03-28,110.1,110.9,108.2,108.7,3709400,108.7
2017-03-29,107.15,108.9,105.75,106.4,3636100,106.4
2017-03-30,106.75,111,105,108.55,12769200,108.55
2017-03-31,110,110,107,107.5,4243500,107.5
2017-04-03,107.5,110,101.3,102.8,11900900,102.8
2017-04-04,102.8,102.8,102.8,102.8,0,102.8
2017-04-05,103,104.75,101.6,103.4,8172700,103.4
2017-04-06,103.4,104.2,102.25,103.4,2131600,103.4
2017-04-07,102.8,104.5,99.1,99.75,3559400,99.75
2017-04-10,99.75,103.25,97.85,102.15,7246400,102.15
2017-04-11,101.85,103.5,101.05,102.5,3728100,102.5
2017-04-12,102,103.15,100,100.65,3470900,100.65
2017-04-13,101.85,102.1,99.8,101.1,2119300,101.1
2017-04-14,101.1,101.1,101.1,101.1,0,101.1
2017-04-17,101.1,101.6,99.9,100.25,1034500,100.25
2017-04-18,100.25,101.8,98.55,98.85,1933000,98.85
2017-04-19,99.35,101.5,98.25,98.85,1095400,98.85
2017-04-20,99,100.5,97.55,99.4,2762900,99.4
2017-04-21,99.9,101.2,97.6,98.95,3475400,98.95
