"Date","YESBANK.NS.Open","YESBANK.NS.High","YESBANK.NS.Low","YESBANK.NS.Close","YESBANK.NS.Volume","YESBANK.NS.Adjusted"
2016-09-26,1221.95,1243,1216.25,1235.35,2402900,1235.35
2016-09-27,1247,1251.8,1238.2,1246.9,2938400,1246.9
2016-09-28,1246,1274.8,1245,1271.2,3143500,1271.2
2016-09-29,1276,1304.95,1225,1230.8,8602400,1230.8
2016-09-30,1231.55,1259.1,1211.55,1254.7,4189700,1254.7
2016-10-03,1275,1283,1263.25,1270.25,2167500,1270.25
2016-10-04,1280,1291.8,1270.3,1284.05,2233400,1284.05
2016-10-05,1294,1297.5,1271,1279.15,1696400,1279.15
2016-10-06,1237.1,1295,1231.5,1280.05,5919900,1280.05
2016-10-07,1276,1284.8,1266.15,1273.8,1796400,1273.8
2016-10-10,1279,1290,1276,1279.5,1226500,1279.5
2016-10-11,1279.5,1279.5,1279.5,1279.5,0,1279.5
2016-10-12,1279.5,1279.5,1279.5,1279.5,0,1279.5
2016-10-13,1268,1283.9,1235.3,1255.7,2599400,1255.7
2016-10-14,1260,1268,1244.15,1259.95,1981800,1259.95
2016-10-17,1264.4,1267,1242.25,1250.55,1318300,1250.55
2016-10-18,1255,1296.8,1255,1291.05,2573800,1291.05
2016-10-19,1297.95,1308.55,1277.25,1291.55,2865400,1291.55
2016-10-20,1301,1323.65,1296.8,1308.8,5791100,1308.8
2016-10-21,1314.05,1320,1297,1317.4,2610200,1317.4
2016-10-24,1320,1327.95,1306.05,1310.8,1396000,1310.8
2016-10-25,1310,1312,1298.5,1308.45,1349700,1308.45
2016-10-26,1303.95,1313.6,1284.55,1290.25,1862800,1290.25
2016-10-27,1300,1300.95,1242.1,1253.6,4884700,1253.6
2016-10-28,1259,1277.9,1257.3,1272.3,1321500,1272.3
2016-10-31,1272.3,1272.3,1272.3,1272.3,0,1272.3
2016-11-01,1273.45,1273.45,1247.1,1249.45,1624700,1249.45
2016-11-02,1236.05,1237.95,1200.8,1209.65,2941700,1209.65
2016-11-03,1211,1265,1190,1208.8,1900800,1208.8
2016-11-04,1215,1215.4,1172.6,1196.1,2189300,1196.1
2016-11-07,1210,1231.9,1204,1207.35,1745800,1207.35
2016-11-08,1215,1235.9,1196.15,1226.45,1874800,1226.45
2016-11-09,1140,1229.5,1123.05,1219.15,4419100,1219.15
2016-11-10,1240,1313,1230.3,1290.25,4683200,1290.25
2016-11-11,1270,1286,1209.65,1214.9,4603800,1214.9
2016-11-14,1214.9,1214.9,1214.9,1214.9,0,1214.9
2016-11-15,1218,1218,1147.1,1157.45,4637000,1157.45
2016-11-16,1177,1199,1133.55,1182,3771400,1182
2016-11-17,1184.95,1208.25,1166.15,1173.15,2424600,1173.15
2016-11-18,1178.2,1185.55,1160.1,1180.75,2901300,1180.75
2016-11-21,1182,1191.45,1105.7,1112.5,3455500,1112.5
2016-11-22,1128.7,1141,1095.15,1131.65,3795300,1131.65
2016-11-23,1145,1146,1118.1,1125.25,2507500,1125.25
2016-11-24,1120.1,1130,1109.2,1119.85,2157400,1119.85
2016-11-25,1130.45,1171.7,1124.85,1167.7,2777500,1167.7
2016-11-28,1135,1176,1134,1149.6,3044100,1149.6
2016-11-29,1151.9,1163.8,1141.4,1144.55,2659400,1144.55
2016-11-30,1148,1180.8,1146.15,1173.85,3233500,1173.85
2016-12-01,1175.7,1184.75,1157,1161,2044400,1161
2016-12-02,1154,1163.6,1142.6,1150.15,2420600,1150.15
2016-12-05,1157,1187.5,1151.05,1183.55,1639900,1183.55
2016-12-06,1187.7,1206.45,1177.4,1193.15,2264400,1193.15
2016-12-07,1198.5,1220,1174.9,1188.25,3868600,1188.25
2016-12-08,1193.6,1218.9,1193.25,1215.55,1789100,1215.55
2016-12-09,1220,1225,1203.85,1219.75,2012000,1219.75
2016-12-12,1212,1218,1187.05,1192.65,1586900,1192.65
2016-12-13,1195,1209.8,1180.1,1206.65,2157300,1206.65
2016-12-14,1210,1210.7,1193.55,1196.1,1758400,1196.1
2016-12-15,1182.2,1204.5,1180.15,1185.2,2875200,1185.2
2016-12-16,1189.45,1197,1172.55,1182.1,2965700,1182.1
2016-12-19,1184,1187.85,1174.05,1179.8,1430700,1179.8
2016-12-20,1180.5,1183.55,1143.75,1147.1,2099400,1147.1
2016-12-21,1151.9,1156.55,1134.1,1138.35,2431600,1138.35
2016-12-22,1136.7,1136.7,1115,1126.15,1695200,1126.15
2016-12-23,1126,1139.95,1122.8,1124.7,1623000,1124.7
2016-12-26,1119.9,1121,1090.55,1101.5,2098200,1101.5
2016-12-27,1101.7,1133.1,1099.5,1128,1608700,1128
2016-12-28,1128.9,1139,1110.5,1113.05,1822600,1113.05
2016-12-29,1110,1153.7,1105.1,1148.3,2828600,1148.3
2016-12-30,1147.7,1161.25,1145,1156.45,1643100,1156.45
2017-01-02,1160.6,1162,1131.3,1144.65,1568000,1144.65
2017-01-03,1145,1172.7,1140.45,1162.9,1750200,1162.9
2017-01-04,1166,1171.9,1158.3,1163.15,1228400,1163.15
2017-01-05,1170.1,1219.4,1168.4,1210.2,3710600,1210.2
2017-01-06,1215,1251.9,1215,1246.75,3745100,1246.75
2017-01-09,1254.8,1267.75,1247.3,1256.2,2438200,1256.2
2017-01-10,1259,1274,1251.55,1264.6,1524900,1264.6
2017-01-11,1274,1322.65,1273.05,1317.85,4139800,1317.85
2017-01-12,1319,1343.5,1318,1325.5,3005500,1325.5
2017-01-13,1328.7,1333.95,1307,1318.05,1734300,1318.05
2017-01-16,1318.5,1335.7,1311.4,1328.75,1704700,1328.75
2017-01-17,1336.3,1336.3,1315,1323.8,1396300,1323.8
2017-01-18,1328.8,1351.25,1328,1345.95,2070500,1345.95
2017-01-19,1344.95,1356.5,1332.35,1347.5,5059500,1347.5
2017-01-20,1354,1378.7,1352.15,1358.7,4400200,1358.7
2017-01-23,1360.95,1389,1358.55,1382.95,3107500,1382.95
2017-01-24,1391.95,1413.2,1346.5,1358.9,6128100,1358.9
2017-01-25,1372,1410,1367.2,1406.8,4665900,1406.8
2017-01-26,1406.8,1406.8,1406.8,1406.8,0,1406.8
2017-01-27,1410,1421.5,1390.2,1398.75,2784100,1398.75
2017-01-30,1399.95,1400.45,1383.9,1389,1567800,1389
2017-01-31,1388,1400,1381.05,1396,2315700,1396
2017-02-01,1403,1416.4,1382.2,1413.1,3491800,1413.1
2017-02-02,1419,1419,1383,1387,1883300,1387
2017-02-03,1387.65,1402.3,1385.25,1397.8,1616800,1397.8
2017-02-06,1410,1410.75,1393,1398.45,1321600,1398.45
2017-02-07,1396,1405,1387.4,1396.8,1480000,1396.8
2017-02-08,1400,1423.25,1377.55,1410.25,1812100,1410.25
2017-02-09,1415,1419.6,1395.1,1408.2,1704200,1408.2
2017-02-10,1412,1416.45,1402,1412.85,1559600,1412.85
2017-02-13,1416,1457.3,1410,1452.85,3758700,1452.85
2017-02-14,1456.7,1471.8,1441.2,1457.15,3077700,1457.15
2017-02-15,1457.7,1460.4,1418.85,1430.95,2253200,1430.95
2017-02-16,1432.5,1446,1426,1436.95,1678400,1436.95
2017-02-17,1445,1458.7,1435.25,1440.9,1786400,1440.9
2017-02-20,1440,1440.05,1423.4,1429.25,1315800,1429.25
2017-02-21,1434,1453.8,1431.05,1449.75,1338400,1449.75
2017-02-22,1452.5,1458.55,1441.2,1446.95,1160200,1446.95
2017-02-23,1450,1455,1441.4,1446.75,1274400,1446.75
2017-02-24,1446.75,1446.75,1446.75,1446.75,0,1446.75
2017-02-27,1441.65,1445.25,1417.25,1421.9,1287800,1421.9
2017-02-28,1427,1459.5,1423,1452.7,1616300,1452.7
2017-03-01,1459.7,1466.5,1443.05,1454.65,1172700,1454.65
2017-03-02,1460,1460.2,1419.15,1424.7,1503800,1424.7
2017-03-03,1422.8,1441.95,1420.1,1433.75,1264800,1433.75
2017-03-06,1445.05,1464.8,1437.2,1461.5,1299000,1461.5
2017-03-07,1465,1465,1439.1,1448.2,1489100,1448.2
2017-03-08,1450,1481.6,1448,1474.45,2696300,1474.45
2017-03-09,1477,1478.8,1462,1465.25,1095800,1465.25
2017-03-10,1470,1484.45,1465.1,1481.35,1669100,1481.35
2017-03-13,1481.35,1481.35,1481.35,1481.35,0,1481.35
2017-03-14,1522.7,1539,1514.25,1531.75,3349100,1531.75
2017-03-15,1526.5,1536,1519.7,1529.05,1625800,1529.05
2017-03-16,1540,1545.45,1518.5,1527.95,2039700,1527.95
2017-03-17,1540,1540,1503.5,1507.9,3499100,1507.9
2017-03-20,1518.75,1524,1507.1,1515.75,1216300,1515.75
2017-03-21,1522,1522.15,1468.65,1484.75,2433700,1484.75
2017-03-22,1475,1477,1460.15,1470.85,2000400,1470.85
2017-03-23,1474,1521.5,1462,1518.6,4149600,1518.6
2017-03-24,1539,1544.75,1524.55,1529.05,3365900,1529.05
2017-03-27,1529.05,1542,1520,1527.95,1588800,1527.95
2017-03-28,1534.3,1539.5,1526,1534.85,1667300,1534.85
2017-03-29,1536.5,1555,1527.05,1544.95,1560100,1544.95
2017-03-30,1540,1557.5,1538.65,1552.15,1897400,1552.15
2017-03-31,1554,1555,1534,1546.75,1633200,1546.75
2017-04-03,1548.2,1556.1,1535,1538.85,867800,1538.85
2017-04-04,1538.85,1538.85,1538.85,1538.85,0,1538.85
2017-04-05,1555,1570,1536.3,1567.5,1956700,1567.5
2017-04-06,1567.7,1575.35,1555.75,1564.75,3274900,1564.75
2017-04-07,1556.1,1575.9,1549.6,1556.55,1552600,1556.55
2017-04-10,1562,1605,1559.1,1599.6,2377600,1599.6
2017-04-11,1603,1623.5,1595.4,1614.75,2619200,1614.75
2017-04-12,1617,1635,1603.45,1631.45,1883900,1631.45
2017-04-13,1626,1637.95,1613.1,1616.4,1192700,1616.4
2017-04-14,1616.4,1616.4,1616.4,1616.4,0,1616.4
2017-04-17,1618.6,1625.9,1602.3,1610.6,1102400,1610.6
2017-04-18,1614,1627.95,1597.95,1605.9,1039300,1605.9
2017-04-19,1600.3,1619,1592.25,1605.45,3296000,1605.45
2017-04-20,1520.6,1574.95,1520.6,1545.15,7873100,1545.15
2017-04-21,1557,1562.8,1524,1544.15,3076300,1544.15
