"Date","YESBANK.NS.Open","YESBANK.NS.High","YESBANK.NS.Low","YESBANK.NS.Close","YESBANK.NS.Volume","YESBANK.NS.Adjusted"
2015-02-26,795,801.15,780.1,783.6,4296900,767.98
2015-02-27,789.9,824.5,786.1,820.8,3915700,804.43
2015-03-02,875,888.5,865.05,882.5,5868200,864.9
2015-03-03,884.9,885,865,878.65,2064500,861.13
2015-03-04,906.05,908.95,849.8,856.65,4175200,839.57
2015-03-05,855,864.9,842.5,856.7,2742100,839.62
2015-03-06,856.7,856.7,856.7,856.7,0,839.62
2015-03-09,845,848.8,821.25,824.15,2761900,807.72
2015-03-10,825.95,846,816.95,827.6,3457200,811.1
2015-03-11,828,833.3,816.4,822.9,2793900,806.49
2015-03-12,829,833.5,819.6,823.2,1789200,806.79
2015-03-13,831.25,832.9,797.5,803.35,2707600,787.33
2015-03-16,807,819.9,797.5,813.85,2490400,797.62
2015-03-17,821.5,838.8,816.5,833.2,2528300,816.59
2015-03-18,837,858.9,828.8,855.7,4313100,838.64
2015-03-19,863,870.6,825.35,834,3814000,817.37
2015-03-20,828.95,842,816.55,832.05,3370800,815.46
2015-03-23,836.4,839,823.6,829.2,1737700,812.67
2015-03-24,828.7,836,812.2,822.65,4298500,806.25
2015-03-25,823,827,804,806.5,2928100,790.42
2015-03-26,801,823,792.05,806.35,8445100,790.27
2015-03-27,812.8,822,783.2,816,5623100,799.73
2015-03-30,819.35,827.7,815,822.95,2537400,806.54
2015-03-31,827.7,833.9,810.8,815.75,2854900,799.48
2015-04-01,812.2,851,808.1,847.75,2816500,830.85
2015-04-02,847.75,847.75,847.75,847.75,0,830.85
2015-04-03,847.75,847.75,847.75,847.75,0,830.85
2015-04-06,850.05,857.8,841,845.9,2319500,829.03
2015-04-07,852.5,852.5,835.45,840.8,2731100,824.04
2015-04-08,843.8,843.8,819,820.6,3971800,804.24
2015-04-09,826,843.8,821.85,841.7,3962300,824.92
2015-04-10,846.45,850.4,838.05,842.6,2316800,825.8
2015-04-13,843.9,846.8,835.65,841.7,1972100,824.92
2015-04-14,841.7,841.7,841.7,841.7,0,824.92
2015-04-15,844.3,864,836,845.65,3430300,828.79
2015-04-16,848.65,854.6,835.4,850.8,2490900,833.84
2015-04-17,850.35,850.35,806.2,809.4,4003000,793.26
2015-04-20,812.9,815.7,775.05,787.9,4567600,772.19
2015-04-21,782.65,803,771.8,783.75,3571900,768.12
2015-04-22,790,801.6,776.2,796.05,6894500,780.18
2015-04-23,805,855,804.9,851.3,13240700,834.33
2015-04-24,854,854.7,820.5,823.95,5122600,807.52
2015-04-27,827.8,830.2,803.85,811.1,3065000,794.93
2015-04-28,808.8,831.8,805.5,826.45,4950800,809.97
2015-04-29,824,844.9,820,834.55,3363100,817.91
2015-04-30,831.6,848.8,826.95,839.45,6495100,822.71
2015-05-01,839.45,839.45,839.45,839.45,0,822.71
2015-05-04,847,859.2,840,853.9,2191700,836.87
2015-05-05,852,865.55,849.2,857.45,2320300,840.35
2015-05-06,850,854,817,821.05,3083200,804.68
2015-05-07,819.8,819.8,788.2,798.4,3236100,782.48
2015-05-08,806.5,829.5,803.45,826.1,3420200,809.63
2015-05-11,832,848.4,827,844.35,2009700,827.51
2015-05-12,843.5,843.5,819,822.65,2395000,806.25
2015-05-13,826,849.75,825.6,840.75,3885200,823.99
2015-05-14,839.4,845,826.4,838.8,3017400,822.08
2015-05-15,844.4,864.3,841.6,849.55,3405300,832.61
2015-05-18,853.7,868.8,852.05,864.55,2398300,847.31
2015-05-19,864,877.75,858,864.05,3512700,846.82
2015-05-20,866.7,879,866,874.8,2373600,857.36
2015-05-21,869.95,871,852.9,860.8,1914600,852.41
2015-05-22,863.8,872.5,861.2,866.85,1818200,858.4
2015-05-25,867,868.25,850.55,852.7,1245600,844.39
2015-05-26,856.2,864.5,845.25,860.75,1727400,852.36
2015-05-27,848,874,848,870.9,1802300,862.41
2015-05-28,871.7,875.9,856.1,859.05,3056700,850.67
2015-05-29,860.7,884.35,860.7,882.3,2171900,873.7
2015-06-01,884.9,897.5,878.1,879.55,2540800,870.97
2015-06-02,882.95,883.05,841.35,845.7,3324000,837.45
2015-06-03,843,843.7,825,829.4,4313900,821.31
2015-06-04,835,835.9,820.25,827.15,3211000,819.08
2015-06-05,827,841,818.15,823.4,2694300,815.37
2015-06-08,830,830.5,815.55,822.6,2111200,814.58
2015-06-09,822.9,835.5,818.2,823.2,2315200,815.17
2015-06-10,823,836.4,823,833.45,1758400,825.32
2015-06-11,840,843.45,802,804.6,3091600,796.75
2015-06-12,798.9,810.85,794,805.45,3037800,797.6
2015-06-15,811.9,815,798.05,803.55,1925800,795.71
2015-06-16,804,819,796.1,815.5,2090500,807.55
2015-06-17,820,823.7,811.6,817.1,2119000,809.13
2015-06-18,810.5,828.4,807.15,824.65,3023000,816.61
2015-06-19,826,834.75,822,829.9,1934400,821.81
2015-06-22,835.8,864,835.1,859.4,3212500,851.02
2015-06-23,860.9,869.8,855.8,866.4,2584000,857.95
2015-06-24,861,873.8,852.5,860.05,1926600,851.66
2015-06-25,857.4,865,848,858.65,1909300,850.28
