"Date","SUNPHARMA.NS.Open","SUNPHARMA.NS.High","SUNPHARMA.NS.Low","SUNPHARMA.NS.Close","SUNPHARMA.NS.Volume","SUNPHARMA.NS.Adjusted"
2015-03-13,1044.69995,1044.69995,1006.54999,1011.59998,1499500,1006.94367
2015-03-16,1014.09998,1032.90002,1010.15002,1029.84998,1445600,1025.10967
2015-03-17,1033,1051,1026.15002,1041.90002,1818900,1037.10425
2015-03-18,1043.40002,1048,1031,1044.5,1489100,1039.69226
2015-03-19,1050,1075,1036.19995,1047.75,2661400,1042.9273
2015-03-20,1050,1074.5,1021.29999,1026.65002,2371000,1021.92445
2015-03-23,1036.90002,1045.94995,1013.40002,1024.25,1972100,1019.53547
2015-03-24,1034,1049.80005,1030,1037.15002,2573500,1032.37612
2015-03-25,1058,1067.80005,1042.09998,1052.05005,4242600,1047.20756
2015-03-26,1052.80005,1053,1020,1027.69995,2974900,1022.96954
2015-03-27,1036.90002,1041.55005,1002.09998,1011.20001,1999900,1006.54555
2015-03-30,1021.15002,1025.75,1009,1010.79999,1613000,1006.14737
2015-03-31,1015,1033.25,1010.34998,1023.90002,1939000,1019.18711
2015-04-01,1023.90002,1094,1018.95001,1081.15002,4104900,1076.17359
2015-04-02,1081.15002,1081.15002,1081.15002,1081.15002,0,1076.17359
2015-04-03,1081.15002,1081.15002,1081.15002,1081.15002,0,1076.17359
2015-04-06,1102.69995,1181,1090,1169.30005,4805700,1163.91787
2015-04-07,1180,1200.80005,1135.75,1152.05005,3978000,1146.74727
2015-04-08,1161.34998,1173.30005,1137.05005,1150.44995,2732800,1145.15453
2015-04-09,1159.90002,1162.30005,1106,1113.44995,3143600,1108.32484
2015-04-10,1113,1128.59998,1098.34998,1119.75,2880100,1114.59589
2015-04-13,1120.09998,1157.90002,1112.69995,1150.94995,2036200,1145.65223
2015-04-14,1150.94995,1150.94995,1150.94995,1150.94995,0,1145.65223
2015-04-15,1161.40002,1161.40002,1112.34998,1117.30005,3103200,1112.15722
2015-04-16,1122.19995,1127.25,1082.5,1087.94995,2725000,1082.94222
2015-04-17,1090,1105.19995,1028.75,1037.75,3749800,1032.97333
2015-04-20,1048,1066.90002,1037.80005,1043.80005,2941300,1038.99553
2015-04-21,951,974.25,930,952.20001,265709400,947.81712
2015-04-22,963,978.90002,948,967.79999,10905900,963.34529
2015-04-23,980,980.79999,936,942,9450600,937.66406
2015-04-24,946,956,938.25,947.40002,10416800,943.03923
2015-04-27,951.5,957.29999,921.84998,926.40002,7641300,922.13589
2015-04-28,922,934.20001,912.25,924.84998,5553300,920.59298
2015-04-29,934.20001,947,929,940.5,7229900,936.17096
2015-04-30,926,943.90002,921,938.84998,16367800,934.52853
2015-05-01,938.84998,938.84998,938.84998,938.84998,0,934.52853
2015-05-04,949,957.25,942.04999,947.75,7780900,943.38759
2015-05-05,954.90002,960,950.04999,958.45001,4329900,954.03835
2015-05-06,957.54999,957.70001,925,937.15002,5151600,932.83641
2015-05-07,933,936,920.04999,927.90002,3690000,923.62898
2015-05-08,933.34998,946.25,920.09998,940.25,4998800,935.92211
2015-05-11,950.5,968.45001,948.79999,964.40002,5241100,959.96098
2015-05-12,962.25,965.40002,943,949.65002,4197500,945.27887
2015-05-13,952.90002,962.95001,942.65002,954.04999,2584300,949.65858
2015-05-14,952.79999,953.20001,939,944.40002,2701000,940.05304
2015-05-15,927.40002,952,926.25,946.34998,2563000,941.99401
2015-05-18,947.40002,960,943.29999,956.95001,2137600,952.54526
2015-05-19,956.95001,978.45001,947.84998,957.04999,2047100,952.64477
2015-05-20,961.40002,969.34998,956,965.34998,2163200,960.90656
2015-05-21,966.09998,986.70001,962.09998,981.25,4649200,976.7334
2015-05-22,978,1008.90002,976.75,1003.75,4813800,999.12983
2015-05-25,1003,1010,993.5,1002.15002,2000800,997.53722
2015-05-26,999.95001,1000,982,994.84998,2570800,990.27077
2015-05-27,996.09998,1004,971.09998,975.54999,2738500,971.05962
2015-05-28,973.09998,978.75,946.54999,954.79999,7781500,950.40513
2015-05-29,964.45001,979,960,966.09998,7065700,961.65311
2015-06-01,915.54999,917.79999,869.09998,877.65002,14265600,873.61028
2015-06-02,887.20001,888.40002,856.84998,860.75,7192100,856.78805
2015-06-03,861.59998,863,840.5,842.40002,6496500,838.52253
2015-06-04,835,842.5,818.59998,831.54999,6628700,827.72244
2015-06-05,831.54999,860.59998,830,847.90002,4696500,843.99722
2015-06-08,850,854,825.54999,829.54999,2678200,825.73164
2015-06-09,824,826.45001,808.5,810.65002,3709900,806.91868
2015-06-10,811.20001,830.90002,811.20001,823.09998,4205500,819.31132
2015-06-11,828,840,816,819.54999,4107100,815.77767
2015-06-12,824.75,824.75,807.25,813.54999,2398600,809.80529
2015-06-15,816.40002,847.90002,810.15002,837.70001,3946800,833.84416
2015-06-16,841.79999,843,832.5,840.09998,2221900,836.23307
2015-06-17,846.70001,848.95001,836.54999,843.90002,3705900,840.01563
2015-06-18,847,862,845,856.04999,3919700,852.10967
2015-06-19,861,862.79999,843.25,845.95001,2333000,842.05618
2015-06-22,850.90002,862,850.15002,856.90002,2429200,852.95579
2015-06-23,859.95001,866.70001,856,857.70001,1899100,853.7521
2015-06-24,859,880.75,859,871.09998,5168400,867.09038
2015-06-25,870.75,878.40002,860.84998,866.09998,6719100,862.1134
2015-06-26,869.70001,873.40002,861,867.20001,2614500,863.20837
2015-06-29,852,854,836.29999,849.54999,1794700,845.63959
2015-06-30,854.65002,877.29999,850.59998,874.59998,4010600,870.57427
2015-07-01,881.45001,886.40002,869.59998,873.09998,2251300,869.08118
2015-07-02,882.79999,884.84998,867.5,871.09998,1914600,867.09038
2015-07-03,874.40002,881.70001,868.75,871,1407900,866.99087
