"Date","GRANULES.NS.Open","GRANULES.NS.High","GRANULES.NS.Low","GRANULES.NS.Close","GRANULES.NS.Volume","GRANULES.NS.Adjusted"
2015-05-18,85.15,86.85,84.8,85.05,868300,83.817
2015-05-19,85,87.8,85,86.7,1359300,85.443
2015-05-20,86.95,88.9,85.9,86.4,831300,85.148
2015-05-21,86.85,86.85,85.2,86,346600,84.754
2015-05-22,86.1,87.75,85.3,85.65,575300,84.409
2015-05-25,85.8,86.4,84.8,85,448800,83.768
2015-05-26,85.45,86.1,84.5,84.8,472800,83.571
2015-05-27,84.15,84.15,82.5,82.75,648600,81.551
2015-05-28,83,84.1,82.8,83.2,317300,81.994
2015-05-29,83.2,84.5,83,83.75,412600,82.536
2015-06-01,84.1,86.4,83.1,85.6,867100,84.359
2015-06-02,85.6,86.4,83.3,83.5,700500,82.29
2015-06-03,84.35,84.35,78.7,80.9,589000,79.728
2015-06-04,82,82.8,80.6,82,374900,80.812
2015-06-05,81.75,83.8,81.15,82.85,435000,81.649
2015-06-08,83.75,83.75,81.35,82.3,267100,81.107
2015-06-09,82.1,82.1,80.6,80.95,312400,79.777
2015-06-10,81,83,81,81.55,264600,80.368
2015-06-11,82.25,82.7,78.8,79.55,391800,78.397
2015-06-12,79.4,79.4,75.3,77.65,702800,76.525
2015-06-15,78.4,81.05,77.4,79.65,391700,78.496
2015-06-16,79.85,80,78,78.85,298100,77.707
2015-06-17,79.2,86.8,79.2,85.15,1360100,83.916
2015-06-18,86.1,86.7,84.15,84.9,582400,83.67
2015-06-19,84.9,87.5,84.5,85.2,1032900,83.965
2015-06-22,85.45,85.9,83.55,84,632500,82.783
2015-06-23,84,84.5,82,82.7,472100,81.501
2015-06-24,83.15,84.5,82.3,82.9,381300,81.699
2015-06-25,82.5,84,81.8,82.15,370000,80.959
2015-06-26,82,83.3,81.5,81.95,314600,80.762
2015-06-29,81,86,77.6,83.95,13600400,82.733
2015-06-30,87,87.25,84,84.5,1370200,83.275
2015-07-01,84.8,86.25,83.3,83.85,1000400,82.635
2015-07-02,84.3,84.65,81.75,82.65,866900,81.452
2015-07-03,83,83.75,81.9,82.15,1053400,80.959
2015-07-06,81.4,84.35,80.05,83.55,2031000,82.339
2015-07-07,83.95,91.45,82.7,86.7,11704200,85.443
2015-07-08,85.35,87.75,83,84.95,5278800,83.719
2015-07-09,85.1,86,80,81.5,4794800,80.319
2015-07-10,83.25,85.45,82.75,83.4,4311800,82.191
2015-07-13,84.05,86.1,84.05,85.1,3684200,83.867
2015-07-14,85,91.4,84,89.9,8432400,88.597
2015-07-15,90.75,96.5,90.6,93.95,9705600,92.588
2015-07-16,94.95,98.8,94,97.6,5725900,96.185
2015-07-17,98.3,99.85,95.3,98.05,4698000,96.629
2015-07-20,98.25,100.7,97.25,98.75,3005300,97.319
2015-07-21,99.4,101.8,96.5,97.7,4163300,96.284
2015-07-22,97.35,99.5,96.5,98,1869200,96.58
2015-07-23,99,104.9,98.95,102.6,8200600,101.113
2015-07-24,104.2,109.9,104,108.45,8196200,106.878
