"Date","MARUTI.NS.Open","MARUTI.NS.High","MARUTI.NS.Low","MARUTI.NS.Close","MARUTI.NS.Volume","MARUTI.NS.Adjusted"
2015-03-26,3605,3622.95,3537.95,3561.45,489100,3515.79
2015-03-27,3570,3619.75,3545.6,3610.05,204000,3563.77
2015-03-30,3629,3674,3600.45,3660.95,152100,3614.02
2015-03-31,3659.85,3727.7,3659.85,3697.35,294600,3649.95
2015-04-01,3699.95,3757.55,3600,3644.7,694400,3597.98
2015-04-02,3644.7,3644.7,3644.7,3644.7,0,3597.98
2015-04-03,3644.7,3644.7,3644.7,3644.7,0,3597.98
2015-04-06,3646,3670.9,3619,3628.95,262700,3582.43
2015-04-07,3640,3650,3578,3599.9,306600,3553.75
2015-04-08,3615,3664.9,3606,3628.7,256000,3582.18
2015-04-09,3639,3667,3625,3659.2,238500,3612.29
2015-04-10,3660,3688.35,3633.4,3666.6,201300,3619.6
2015-04-13,3661,3680,3642.75,3665.2,218600,3618.21
2015-04-14,3665.2,3665.2,3665.2,3665.2,0,3618.21
2015-04-15,3655,3729,3650.4,3680.25,232800,3633.07
2015-04-16,3676.25,3718.7,3662.25,3677.9,206300,3630.75
2015-04-17,3666.15,3682.9,3636.35,3646.8,99000,3600.05
2015-04-20,3627,3648.4,3584.6,3608.05,175000,3561.8
2015-04-21,3605,3607.25,3470,3490.15,482700,3445.41
2015-04-22,3491.05,3508.1,3386.1,3462.95,422400,3418.56
2015-04-23,3490,3535.55,3480,3494.45,234600,3449.65
2015-04-24,3486,3565,3434.1,3541.4,332400,3496
2015-04-27,3563.2,3684,3520.2,3648.4,1804100,3601.63
2015-04-28,3664,3838.8,3660,3822.6,1129900,3773.6
2015-04-29,3839,3873,3746.65,3766.2,703600,3717.92
2015-04-30,3760,3793,3709.95,3725.85,592300,3678.09
2015-05-01,3725.85,3725.85,3725.85,3725.85,0,3678.09
2015-05-04,3797,3840,3726.75,3757.75,478800,3709.58
2015-05-05,3753,3805,3736.55,3793.05,458100,3744.43
2015-05-06,3788,3788,3623.55,3634.55,430900,3587.96
2015-05-07,3626,3626,3520,3543.6,469900,3498.17
2015-05-08,3561.45,3620,3561.45,3610.55,495500,3564.27
2015-05-11,3633.9,3674.4,3616.15,3651.7,288800,3604.89
2015-05-12,3650,3652.95,3555,3577.45,332300,3531.59
2015-05-13,3620,3632,3544.4,3604.1,337500,3557.9
2015-05-14,3604.95,3653.5,3552,3646.5,287800,3599.75
2015-05-15,3640,3684,3626,3671.2,208200,3624.14
2015-05-18,3675,3706.4,3652,3697.6,183400,3650.2
2015-05-19,3695,3729.9,3685,3706.75,175500,3659.23
2015-05-20,3707.1,3749.95,3707,3711.9,218100,3664.32
2015-05-21,3711.9,3729.9,3691.45,3698.1,198700,3650.69
2015-05-22,3703,3728.8,3694.6,3702.55,135100,3655.09
2015-05-25,3696.2,3717,3681,3692.75,81100,3645.41
2015-05-26,3696,3730,3672,3726.45,252900,3678.68
2015-05-27,3700,3750,3699,3721.9,283500,3674.19
2015-05-28,3726,3738.95,3696.05,3708.9,317900,3661.35
2015-05-29,3720,3788.95,3693.05,3785.7,432600,3737.17
2015-06-01,3785.9,3898.95,3774.4,3882.85,571300,3833.07
2015-06-02,3880,3887.3,3815.05,3831.4,329300,3782.28
2015-06-03,3805,3820,3752,3777.2,277700,3728.78
2015-06-04,3799,3813,3747,3772.05,193900,3723.7
2015-06-05,3769,3799.9,3751,3759.45,253700,3711.26
2015-06-08,3786,3804.55,3716,3723.5,303600,3675.77
2015-06-09,3710,3726.95,3675.8,3692.3,209900,3644.97
2015-06-10,3702.95,3748.9,3694.15,3742.55,239200,3694.57
2015-06-11,3752.05,3778.95,3691.35,3701.4,226600,3653.95
2015-06-12,3701.1,3755,3695.5,3736.8,173400,3688.9
2015-06-15,3737.5,3789.9,3731,3767.4,175900,3719.1
2015-06-16,3767.4,3810.55,3744.7,3789.6,228700,3741.02
2015-06-17,3805,3824.9,3793,3808.75,291800,3759.92
2015-06-18,3813,3891.95,3812,3861.1,232600,3811.6
2015-06-19,3879,3949.5,3862,3937.35,309200,3886.88
2015-06-22,3955.05,3994.9,3955.05,3980.65,230700,3929.62
2015-06-23,3982,4028.5,3955.3,4017.15,330900,3965.65
2015-06-24,4024,4035.65,3987.05,4009.3,306000,3957.9
2015-06-25,3984,4043.7,3983.6,4031.5,240800,3979.82
2015-06-26,4026,4077.4,4006.15,4069.95,291900,4017.78
2015-06-29,4020,4025.75,3961.1,3993.3,344000,3942.11
2015-06-30,3985.25,4060,3985.25,4023.35,340700,3971.77
2015-07-01,4034.9,4089.85,4026,4031.7,380900,3980.02
2015-07-02,4031.5,4049,3981.15,3993.4,322000,3942.21
2015-07-03,3993.4,4020,3977.1,3998.9,279300,3947.64
2015-07-06,3984.9,4005,3975.05,3987.95,332800,3936.83
2015-07-07,3989,4003.8,3955.7,3972.15,287900,3921.23
2015-07-08,3950,3969,3907,3949,252300,3898.38
2015-07-09,3950,3967.9,3928.5,3935.65,128000,3885.2
2015-07-10,3949.7,3962,3918.9,3934.4,184500,3883.96
2015-07-13,3958.7,4040,3940,4035.25,335100,3983.52
2015-07-14,4049.7,4058.95,4020.15,4050.65,251000,3998.72
2015-07-15,4071,4179.95,4071,4152.15,551400,4098.92
2015-07-16,4166,4190,4156,4178.15,321600,4124.59
2015-07-17,4186,4228.95,4164.1,4193,241000,4139.25
2015-07-20,4208,4219,4161.1,4176.05,207800,4122.52
