"Date","SYNDIBANK.NS.Open","SYNDIBANK.NS.High","SYNDIBANK.NS.Low","SYNDIBANK.NS.Close","SYNDIBANK.NS.Volume","SYNDIBANK.NS.Adjusted"
2015-04-13,107.5,110.75,106.65,109.35,1922900,104.57
2015-04-14,109.35,109.35,109.35,109.35,0,104.57
2015-04-15,109.9,113.4,109.4,110.6,1702500,105.77
2015-04-16,111.4,111.4,106.5,107.75,1292200,103.04
2015-04-17,108,110.3,107,108.45,1305900,103.71
2015-04-20,109,109.8,102.85,103.85,1473600,99.31
2015-04-21,104.8,105.5,102.6,103.6,1384000,99.07
2015-04-22,104.4,105,100.75,103.8,1650600,99.27
2015-04-23,104.6,105.2,101.6,101.9,1812700,97.45
2015-04-24,102.95,102.95,99.4,99.8,1573800,95.44
2015-04-27,100.8,100.8,97.4,97.85,1400800,93.58
2015-04-28,97.5,99.9,97.2,99.45,1091700,95.11
2015-04-29,99.1,100.6,99,99.85,857500,95.49
2015-04-30,99.7,101,98.45,99.3,2148400,94.96
2015-05-01,99.3,99.3,99.3,99.3,0,94.96
2015-05-04,101,104.7,100.1,104.4,1504800,99.84
2015-05-05,104,106.2,103.7,105,1604500,100.41
2015-05-06,104.5,105,99.55,100.15,2355900,95.78
2015-05-07,99.95,100.9,97,98.65,2477800,94.34
2015-05-08,101,103.8,99.9,103.15,2264500,98.64
2015-05-11,107.25,108.8,102,106.5,5464400,101.85
2015-05-12,106.9,106.9,101.35,101.95,2581600,97.5
2015-05-13,103,106.7,102.9,105.9,2283000,101.27
2015-05-14,105.85,111.75,104.25,111,3130900,106.15
2015-05-15,111,113,109.4,110.15,1691600,105.34
2015-05-18,110.4,111,107.5,108.8,1717800,104.05
2015-05-19,108.5,110.25,107.8,109.2,1159300,104.43
2015-05-20,110.75,112.25,110,110.8,2637200,105.96
2015-05-21,110.75,111.4,108.5,109.25,1056800,104.48
2015-05-22,109.55,111.8,107.35,107.7,2580600,103
2015-05-25,107.8,109.9,107.6,108.9,809400,104.14
2015-05-26,109.5,109.5,107.55,108.4,899600,103.67
2015-05-27,107.7,112.7,107.5,112.35,2483400,107.44
2015-05-28,113.9,116.6,112.55,115.7,4206500,110.65
2015-05-29,116.15,118.3,114.3,116.5,2596000,111.41
2015-06-01,116.5,117.9,116.15,116.85,779800,111.75
2015-06-02,117.25,117.65,111.5,112,2290800,107.11
2015-06-03,110.7,112.9,108.35,111.05,2468200,106.2
2015-06-04,111.9,111.9,108.1,110,1576400,105.2
2015-06-05,109.9,111.7,109.15,109.75,1707900,104.96
2015-06-08,110.2,110.45,106.55,107.05,1380500,102.37
2015-06-09,107.5,109.5,106.05,107.8,1786500,103.09
2015-06-10,107.6,110,107.6,108.35,1835000,103.62
2015-06-11,109.55,109.8,105.65,106,1996400,101.37
2015-06-12,105.8,107.2,104.6,106.7,1427900,102.04
2015-06-15,107.1,108.4,105,105.55,1693700,100.94
2015-06-16,105.95,108,105.25,107.45,2147700,102.76
2015-06-17,108.25,109.1,106.9,107.6,2157400,102.9
2015-06-18,103.15,103.8,101.8,102.2,2854000,102.2
2015-06-19,102.6,102.9,101.3,102.15,1576200,102.15
2015-06-22,102.6,105.9,102.25,104.7,2278200,104.7
2015-06-23,105.5,108,104.8,105.8,2039100,105.8
2015-06-24,106,106.35,102.4,103,1660500,103
2015-06-25,103,103.9,102,102.9,1731400,102.9
2015-06-26,102.7,103.5,99.35,99.95,2594100,99.95
2015-06-29,99,99,96.35,97.8,2094000,97.8
2015-06-30,98,99.5,96.85,98.25,1832700,98.25
2015-07-01,98.25,102,97.95,101,2131900,101
2015-07-02,101.4,102.5,99.45,99.95,1565100,99.95
2015-07-03,100.2,101.6,99.75,100.9,1472600,100.9
2015-07-06,99.1,102.65,98.5,102.4,1607100,102.4
2015-07-07,102.4,103.95,102.25,103.05,1355300,103.05
2015-07-08,100.5,102.4,99.95,100.55,1516100,100.55
2015-07-09,102,104.55,100.45,102.95,1754400,102.95
2015-07-10,103.5,104.5,103,104.3,1202200,104.3
2015-07-13,105,106.1,104,105.45,1207700,105.45
2015-07-14,105.25,105.85,103.5,104.05,1253800,104.05
2015-07-15,104.5,104.9,102.6,103.1,894600,103.1
2015-07-16,103.1,104.65,102.9,103.95,996600,103.95
2015-07-17,104.15,104.8,103.2,103.75,615700,103.75
2015-07-20,104.4,104.4,100.4,101,1478600,101
2015-07-21,101,101.6,99.75,100,1617800,100
2015-07-22,99.5,102.9,99.15,102.1,943500,102.1
2015-07-23,102,105.75,101.25,104.55,2202600,104.55
2015-07-24,104.9,105.6,101.8,102.4,1717200,102.4
2015-07-27,101.5,101.65,97.7,99,3029700,99
2015-07-28,99.1,101,89.1,90,11921500,90
2015-07-29,90.75,91.25,86.75,89.4,5223400,89.4
2015-07-30,89.7,93,89.1,92.1,6483800,92.1
2015-07-31,93.8,96.8,92.6,94.95,4329000,94.95
2015-08-03,95.4,99.5,95.4,97.35,3251400,97.35
2015-08-04,97.9,100,96.35,99.8,3530500,99.8
2015-08-05,100.4,102.9,100.2,101.65,3697700,101.65
2015-08-06,100.8,102.95,100.05,102.35,1596000,102.35
2015-08-07,102.4,103.2,101.5,102.25,1397700,102.25
2015-08-10,102,103.95,101.2,102,1372500,102
2015-08-11,102.4,104.2,100.75,102.25,2907000,102.25
2015-08-12,101.8,101.8,98,98.65,1482900,98.65
2015-08-13,99.4,101.35,95.1,96.4,2079900,96.4
2015-08-14,97.35,102.45,96.25,102,1936200,102
2015-08-17,102.75,106.7,102.75,105.35,2808100,105.35
2015-08-18,106.25,107.1,102.6,103.85,2738200,103.85
2015-08-19,104,105.4,101.5,102.65,1457200,102.65
2015-08-20,102,104.25,99.1,99.7,1553600,99.7
2015-08-21,97.85,100.15,95.2,99.4,1379200,99.4
2015-08-24,95,95.5,84.5,85.95,3464300,85.95
2015-08-25,89.25,89.5,79,85.85,3745000,85.85
2015-08-26,85,85.55,83.05,83.7,2137200,83.7
2015-08-27,86,86.25,82.2,85.45,2876900,85.45
2015-08-28,86.9,87.9,83.25,84.4,2034600,84.4
2015-08-31,84,87.35,83.7,85.55,2263200,85.55
2015-09-01,84.9,86.55,80.85,81.9,2924900,81.9
2015-09-02,82.9,83.1,80.4,80.8,1894800,80.8
2015-09-03,81.75,83.1,81.35,82.2,1161500,82.2
2015-09-04,82.05,82.05,77,77.75,3453300,77.75
2015-09-07,78.2,79.1,76.85,77.25,1900800,77.25
2015-09-08,77.55,79.4,76.1,77.6,4209000,77.6
2015-09-09,79.2,79.8,77.25,78.15,3443600,78.15
2015-09-10,77.15,77.8,75.6,77.05,1857500,77.05
2015-09-11,78,79.2,77.1,78,1771600,78
2015-09-14,78.3,81.4,77.85,80.55,1758200,80.55
2015-09-15,80.95,81.4,78.75,79.7,1816500,79.7
2015-09-16,80.4,81,79.5,80.05,955000,80.05
2015-09-17,80.05,80.05,80.05,80.05,0,80.05
2015-09-18,81,84,80.6,81.3,2598600,81.3
2015-09-21,80.5,84.5,80.2,84.25,1600400,84.25
2015-09-22,84.8,85.8,80.15,80.6,1690100,80.6
2015-09-23,79.6,83.9,79.15,82.75,1835700,82.75
2015-09-24,82.75,83.7,81.65,82.05,2256300,82.05
2015-09-25,82.05,82.05,82.05,82.05,0,82.05
2015-09-28,82.75,84,82.15,82.8,2178900,82.8
2015-09-29,82,84.8,80.3,83.35,3629500,83.35
2015-09-30,84.7,84.7,82,82.45,1808300,82.45
2015-10-01,82.95,83.4,81.3,81.8,2478200,81.8
2015-10-02,81.8,81.8,81.8,81.8,0,81.8
2015-10-05,83.2,86.7,82.8,86.3,3477100,86.3
2015-10-06,86.5,86.9,84.35,86.55,2087500,86.55
2015-10-07,87,88.45,86.25,87.9,2116800,87.9
2015-10-08,87.9,92.2,87.2,89.85,3394500,89.85
2015-10-09,91.4,91.9,88.85,90.2,2205400,90.2
2015-10-12,90.3,91,88.05,88.45,1469200,88.45
2015-10-13,88.75,91.2,88.6,90.9,2109600,90.9
2015-10-14,90.8,92.7,90.15,92.45,2834500,92.45
2015-10-15,93,95,92.75,94.25,2435500,94.25
2015-10-16,94.8,95,92.75,94.6,1522800,94.6
2015-10-19,94.65,94.75,93.2,93.8,1350200,93.8
2015-10-20,93.9,95.5,93.5,93.85,1254000,93.85
2015-10-21,93.75,94.85,91.3,92.8,1786500,92.8
2015-10-22,92.8,92.8,92.8,92.8,0,92.8
2015-10-23,93.7,97.15,93.7,95.4,3527900,95.4
2015-10-26,96.3,96.3,93.3,93.7,1396600,93.7
2015-10-27,93.7,97.8,93.25,97.2,2304700,97.2
2015-10-28,97.1,97.1,93.6,95.6,4683400,95.6
2015-10-29,94.5,97.4,94.1,94.55,2280800,94.55
2015-10-30,94.95,95.7,92.55,93.9,1135600,93.9
2015-11-02,94,95.5,92.8,94.55,1495600,94.55
2015-11-03,95,95.9,92.9,93.3,1775300,93.3
2015-11-04,93.9,94.4,91.75,92.05,1221300,92.05
2015-11-05,91.75,92.6,90.6,91.6,850100,91.6
2015-11-06,91.8,93.25,89.8,91.35,2522600,91.35
2015-11-09,89.7,92.2,88.4,91.6,2511300,91.6
2015-11-10,90.8,93.25,89.9,90.3,1912700,90.3
