"Date","CUMMINSIND.NS.Open","CUMMINSIND.NS.High","CUMMINSIND.NS.Low","CUMMINSIND.NS.Close","CUMMINSIND.NS.Volume","CUMMINSIND.NS.Adjusted"
2015-04-21,855,864.2,833,853.95,98800,828.574
2015-04-22,857.95,867,841,863.85,401500,838.1797
2015-04-23,866.5,882,863.6,875.05,577000,849.0469
2015-04-24,879,879,845.2,853.85,190800,828.4769
2015-04-27,855,869,840.1,865.9,44600,840.1689
2015-04-28,865.9,872.3,856,865.7,47600,839.9748
2015-04-29,861,869.7,850.65,860.4,153000,834.8323
2015-04-30,856,874.6,843.5,862.1,119600,836.4817
2015-05-01,862.1,862.1,862.1,862.1,0,836.4817
2015-05-04,866,869.2,850.15,856.6,89700,831.1452
2015-05-05,856.6,865.1,855.15,861.4,71600,835.8026
2015-05-06,860.5,866,843.35,846.45,65400,821.2968
2015-05-07,842,855.4,837,846.65,87300,821.4909
2015-05-08,850,868.1,846,858.35,31600,832.8432
2015-05-11,858.1,866.7,852.75,857.8,31600,832.3095
2015-05-12,861.8,866,844.05,850,297500,824.7413
2015-05-13,850.4,856.9,847,848.85,24900,823.6255
2015-05-14,849.1,873.9,838.15,865.25,118000,839.5382
2015-05-15,865.25,865.25,847,854.3,52900,828.9135
2015-05-18,859,871.1,854,863.9,56200,838.2283
2015-05-19,861.95,865.9,860.05,863.25,66200,837.5976
2015-05-20,862.15,864.9,855,861.15,601500,835.56
2015-05-21,865,865,851,860.2,507300,834.6382
2015-05-22,865,865,851.6,855.55,48700,830.1264
2015-05-25,855,856.8,844,845.95,42300,820.8117
2015-05-26,846.3,850.05,836.35,839.65,653400,814.6989
2015-05-27,844.95,854,837.15,848.85,384400,823.6255
2015-05-28,849.7,854.9,835,850.25,191100,824.9839
2015-05-29,853,935,853,918.35,571100,891.0602
2015-06-01,908.8,932.2,893,917.6,206100,890.3325
2015-06-02,917,917,883.35,898.5,260600,871.8001
2015-06-03,898.5,900,873,895.55,112400,868.9378
2015-06-04,905,920,892.05,901.1,153400,874.3228
2015-06-05,903,909.25,885,892.4,102500,865.8814
2015-06-08,896.8,919.2,887.05,913.6,130200,886.4514
2015-06-09,913,913,895,901.75,121700,874.9535
2015-06-10,906,912.65,893,899.35,118500,872.6248
2015-06-11,902.1,911,882.25,886.1,60200,859.7686
2015-06-12,816.9,908.4,816.9,895,262400,868.4041
2015-06-15,895,895.9,877,882.75,38200,856.5181
2015-06-16,877.05,888,866,876.4,45400,850.3569
2015-06-17,885,902,871,892.3,117900,865.7843
2015-06-18,895,910,888.05,904.85,103900,877.9614
2015-06-19,909.75,915.4,891.15,895.95,106300,869.3259
2015-06-22,902,902,889.35,896.05,243600,869.4229
2015-06-23,903,908,890.05,895.95,248800,869.3259
2015-06-24,899.95,905,891.1,899.55,541800,872.8189
2015-06-25,902,902,891,900.25,294800,873.4981
2015-06-26,900,910,894.1,905.3,249300,878.398
2015-06-29,903.9,904,886,900.05,103900,873.304
2015-06-30,905,907,886,896.55,367700,869.908
2015-07-01,895,945,891,929.4,402300,901.7819
2015-07-02,930,942.8,916.25,920.8,191900,893.4374
2015-07-03,925,939,921.75,925.1,73100,897.6096
2015-07-06,919,930.25,895,928.2,63200,900.6176
2015-07-07,934.9,974.4,933.2,967.5,313200,938.7497
2015-07-08,964,984.4,954.9,972.05,180900,943.1645
2015-07-09,973.05,988.7,941,947.25,89500,919.1014
2015-07-10,950,968,946,949.75,70300,921.5272
2015-07-13,952.55,972.55,948,964.85,130900,936.1784
2015-07-14,957.2,969,955.05,962.7,82600,934.0923
2015-07-15,964.95,984.05,958.1,981.2,139300,952.0426
2015-07-16,983,998.3,977.2,983.1,144100,953.8861
2015-07-17,982.8,983,961.1,968.75,137100,939.9626
2015-07-20,969,992,969,985.65,128900,956.3604
2015-07-21,992,992,967.2,985.85,255300,956.5544
2015-07-22,985,1005,980.5,988.95,124100,959.5623
2015-07-23,1000,1002,984.1,987.45,68400,958.1069
2015-07-24,990,1013.45,980,993.65,136300,964.1226
2015-07-27,980,997,971,975.1,62400,946.1238
2015-07-28,983,983,950.85,954.85,181800,926.4756
2015-07-29,955.3,1013.5,955.3,1005.8,214900,975.9116
2015-07-30,1004,1013,988.55,998.75,262500,977.8207
2015-07-31,1000,1007,985,998.15,263700,977.2333
2015-08-03,999,1020.05,988.4,1015.35,267800,994.0728
2015-08-04,1020,1025,1011.45,1019.7,194600,998.3317
2015-08-05,1025,1046.3,1020,1024.7,117400,1003.2268
2015-08-06,1034,1198.8,1017,1155.5,1673400,1131.2859
