"Date","CONCOR.NS.Open","CONCOR.NS.High","CONCOR.NS.Low","CONCOR.NS.Close","CONCOR.NS.Volume","CONCOR.NS.Adjusted"
2015-12-29,1315,1315,1292.8999,1298.3,56600,1004.2176
2015-12-30,1305.0999,1311.6,1280,1282.1001,66500,991.6872
2015-12-31,1310,1320,1295,1313,197900,1015.5879
2016-01-01,1320,1422.8999,1313.5001,1388,644600,1073.5994
2016-01-04,1393.5001,1415,1334.35,1348.75,314900,1043.24
2016-01-05,1355.3,1361.9,1300.0999,1312.2501,245200,1015.0078
2016-01-06,1316.0001,1324.9001,1285,1287.95,424200,996.212
2016-01-07,1285.95,1285.95,1257.5,1264.65,210300,978.1898
2016-01-08,1276,1288.9999,1245,1274.45,504400,985.77
2016-01-11,1271,1295,1252.9,1281.25,171000,991.0297
2016-01-12,1297.95,1303.9999,1250,1257.6,183700,972.7367
2016-01-13,1269.5,1271,1212,1234.15,170900,954.5985
2016-01-14,1229,1230,1203.8,1224.05,64000,946.7862
2016-01-15,1237.9,1246,1212.15,1224.8,152500,947.3664
2016-01-18,1215,1217,1152,1155.05,348800,893.4156
2016-01-19,1157,1189,1125,1181.2,176000,913.6424
2016-01-20,1168,1230,1141.95,1212.5,294300,937.8525
2016-01-21,1219.95,1240,1190,1206.85,215500,933.4822
2016-01-22,1219.95,1224.6,1196.5,1200,201500,928.1839
2016-01-25,1209.9,1229.85,1201.8,1210.6,136300,936.3828
2016-01-26,1210.6,1210.6,1210.6,1210.6,0,936.3828
2016-01-27,1180.6,1225.35,1167.4,1210.85,500200,936.5762
2016-01-28,1211,1237.95,1183.8,1202.45,455000,930.0789
2016-01-29,1199.95,1212.4,1181.65,1186.85,281200,918.0125
2016-02-01,1190,1209.5,1170,1194.5,176700,923.9297
2016-02-02,1185.15,1195,1152,1164,174500,900.3384
2016-02-03,1159.9,1159.9,1090,1104.9,448100,854.6253
2016-02-04,1111.95,1128.1,1107.1,1110.25,328000,858.7635
2016-02-05,1110,1137.95,1110,1127.45,493700,879.9935
2016-02-08,1127,1151.45,1117,1148.6,147900,896.5015
2016-02-09,1147,1151.2,1085,1138.5,86800,888.6182
2016-02-10,1121,1133.95,1100,1102.9,349200,860.8318
2016-02-11,1100,1113,1080,1095.25,525000,854.8609
2016-02-12,1102,1115.85,1051,1080.6,291500,843.4263
2016-02-15,1089,1165,1084.6,1154.15,89700,900.8333
2016-02-16,1195,1195,1140.95,1156.55,131100,902.7065
2016-02-17,1158,1189.8,1127.5,1177.7,93100,919.2145
2016-02-18,1182,1193.1,1135.2,1139,158900,889.0085
2016-02-19,1139,1139,1104,1119.7,158500,873.9445
2016-02-22,1125,1181.25,1115,1159.4,199900,904.931
2016-02-23,1162,1169,1127,1135.1,288700,885.9645
2016-02-24,1133.9,1142.9,1105.5,1133.35,127200,884.5986
2016-02-25,1149,1171.85,1122.5,1164,993700,908.5214
